date,net,ex,kospi,regime_pit,breadth_q,kq_above20_pit
20241031,-0.060888283238388415,-0.05450100620576896,0.55,약세,저,False
20241107,-0.15801967591843866,-0.14860907831838802,0.65,약세,중,False
20241114,0.046208758026542326,-0.016638810345111596,0.4,약세,저,False
20241121,0.042420841208344516,-0.02254139936875097,0.55,약세,저,False
20241128,0.23145902960695774,0.13693090374937433,0.6,약세,중,False
20241205,0.278234292472879,0.0863883722700316,0.65,약세,저,False
20241212,0.07452184331187117,-0.07308779638011459,0.65,약세,중,False
20241219,0.14514752907791478,-0.08369754368030727,0.65,반등,고,True
20241227,0.22366290171291128,0.01905205052143319,0.6,약세,중,False
20250107,0.13311112755071255,-0.01583556663615096,0.65,강세,고,True
20250114,0.1475277821881815,-0.041043849181771924,0.65,강세,고,True
20250121,0.1266530115731756,-0.026005706802974926,0.7,강세,고,True
20250203,0.09848318288277465,-0.11537932209546269,0.5,강세,중,True
20250210,0.22348578046084341,0.05774212308892221,0.5,강세,중,True
20250217,0.13983027153648442,-5.456508104995095e-05,0.5,강세,고,True
20250224,0.23009485673480323,0.0909373775808672,0.3,강세,고,True
20250304,0.21693775943712026,0.06676776658838127,0.55,강세,중,False
20250311,0.32400564069884513,0.16430272079858937,0.6,조정,저,False
20250318,0.4461846869026616,0.2589491319627749,0.6,조정,중,False
20250325,0.4267183890372688,0.19093637905199676,0.65,약세,중,False
20250401,0.3213589186790242,0.034461540026678505,0.7,약세,저,False
20250408,0.7010012959860502,0.2854123258630056,0.6,약세,저,False
20250415,0.654210809117795,0.32823304923059915,0.7,약세,중,True
20250422,0.527828767953453,0.2464064966963896,0.75,약세,고,True
20250429,0.9605666131875804,0.5580786555965884,0.55,반등,고,True
20250509,0.43312012883358947,0.07250453060017242,0.6,강세,고,True
20250516,0.8082902757312458,0.37972306096117125,0.55,강세,고,True
20250523,0.726865263690567,0.36896398559228094,0.55,반등,중,False
20250530,0.8402606521809939,0.5216796536122381,0.55,강세,고,True
20250610,0.3251892941417478,0.04102389600302181,0.5,강세,고,True
20250617,0.3251614344350753,0.02509430219914771,0.45,강세,고,True
20250624,0.16811661061620758,-0.06243503872976791,0.35,강세,고,True
20250701,0.5485397586356149,0.27244706710035277,0.4,강세,중,True
20250708,0.5942609676798477,0.23224831358120085,0.35,강세,중,False
20250715,0.2766666521803127,-0.11996295084112751,0.25,강세,고,True
20250722,0.3781741952388419,0.01082392946770816,0.5,강세,고,True
20250729,0.4288925924701125,-0.015078373002007373,0.55,강세,저,True
20250805,0.9755302065008178,0.4596161129931645,0.6,강세,저,False
20250812,0.6425791788136769,0.14924298390108293,0.55,강세,중,True
20250820,0.9068457271862971,0.3128793696308997,0.7,조정,저,False
20250827,0.6629118635247132,0.05409747127219944,0.75,조정,중,True
20250903,0.5911456462363087,0.1817368746251654,0.85,반등,저,False
20250910,1.2504271087935364,0.8276273370986651,0.8,강세,고,True
20250917,0.8134304479276758,0.46317273009314786,0.75,강세,고,True
20250924,0.6810702350520536,0.3381020821149265,0.8,강세,고,True
20251001,0.4687500177375312,0.18076510421441683,0.8,강세,저,True
20251015,0.9395006398112291,0.6128617036180917,0.8,강세,저,False
20251022,0.9154925273850796,0.47374979129083583,0.65,강세,중,True
20251029,1.0685494742317188,0.6073801278460651,0.65,강세,고,True
20251105,0.6652773610353776,0.29357238928612367,0.95,강세,중,True
20251112,0.5004071333324605,0.009133946867210974,0.65,강세,중,False
20251119,0.3085034978464094,0.06288484667135463,0.9,강세,저,False
20251126,0.5500772910592415,0.09566528217406839,0.75,약세,저,False
20251203,0.3999825443851175,0.2745120154343273,0.95,강세,고,True
20251210,0.2969912154809713,0.06469312058407639,0.85,강세,고,True
20251217,0.24902905235397893,0.05724381176450466,0.9,강세,고,True
20251224,0.004644875164026512,0.023358835769278826,0.95,강세,중,False
20260105,0.43549294245086373,0.3952535206738719,0.85,강세,중,True
20260112,0.06146077624001892,0.03687452715652322,0.8,강세,중,True
20260119,-0.3458538985890253,-0.14193395485945176,0.95,강세,중,True
20260126,-0.4134291907394807,-0.1510432906310597,0.95,강세,고,True
20260202,-0.19608893317732273,-0.05602435076536677,0.6,강세,고,True
20260209,-0.1755145135190867,-0.06832773481209245,0.7,강세,고,True
20260219,-0.14036961367723297,-0.04718140070839068,0.6,강세,고,True
20260226,-0.1776642017215913,-0.14160022254858468,0.3,강세,고,True
20260306,-0.031245031468662927,0.14022630335838432,0.85,조정,저,False
20260313,-0.43114507080006476,-0.17138313874100797,0.95,강세,저,True
20260320,-0.1183743806156375,-0.05314949506836296,0.6,강세,저,True
20260327,-0.19888458400174913,-0.06780792288016074,0.8,조정,중,True
