variant,h,market,n_anchor,ret,idx,ew,ex_idx,ex_idx_lo,ex_idx_hi,p_beat_idx,ex_ew,ex_ew_lo,ex_ew_hi,kospi_share,size_pct,amt_pct,avg_winners_of20,worst
R1 + amt20 (유동성 추가),60,ALL,23,0.1595465633893838,0.07688288428662728,0.014256381728497074,0.08266367910275654,0.0130686614310643,0.16560890870151257,0.6521739130434783,0.14529018166088672,0.05613229028724019,0.2535624768660079,0.4956521739130435,0.8771496792344123,0.9568501132130874,2.5652173913043477,-0.40627921135019185
R1 + amt20 (유동성 추가),60,KOSPI,23,0.20326482330678242,0.1595959694508222,0.040310534274093285,0.04366885385596025,-0.006344759325156525,0.1034451350785807,0.6086956521739131,0.16295428903268913,0.07973573061536343,0.28644488915948196,1.0,0.9480638986692874,0.9628066952962813,1.9130434782608696,-0.34565408256946306
R1 + amt20 (유동성 추가),60,KOSDAQ,23,0.08071411435654642,0.024203885432943117,-0.002214772766602452,0.056510228923603294,-0.013097772946806323,0.13321581312174283,0.6086956521739131,0.08292888712314889,-0.00037437271821075935,0.1769954410553637,0.0,0.769310978361721,0.9114120018189878,2.260869565217391,-0.4296312430224852
R1 + amt20 (유동성 추가),120,ALL,20,0.3247008522355994,0.2080956489052324,0.07044639643020219,0.11660520333036699,0.04095063139577455,0.18717809104982783,0.8,0.2542544558053972,0.09690156620550942,0.42311219488601987,0.49499999999999994,0.8698328513160917,0.9535720463575792,1.6,-0.15182814396407127
R1 + amt20 (유동성 추가),120,KOSPI,20,0.46755364133523464,0.38034121152589967,0.11949929596115223,0.08721242980933504,0.022952006802638033,0.17700334624269062,0.65,0.3480543453740826,0.20778531275606044,0.5192668249295724,1.0,0.943208142155705,0.9592183480668869,1.6,-0.04700605100273182
R1 + amt20 (유동성 추가),120,KOSDAQ,20,0.1539785615636981,0.09639823733352511,0.03908735327900805,0.057580324230172994,-0.026504430019294062,0.14699716217418363,0.55,0.11489120828469002,-0.007693443899486559,0.2803489770260999,0.0,0.7606257393245273,0.909598163776208,1.55,-0.2592938316723324
R1 + size↓ (소형 한정),60,ALL,23,0.007601880480902451,0.07688288428662728,0.014256381728497074,-0.06928100380572486,-0.12383955583509464,-0.013734250996092963,0.17391304347826086,-0.006654501247594627,-0.07249308965883593,0.06888347829961329,0.2434782608695652,0.28150059595644034,0.6537864261784382,1.565217391304348,-0.5210397786324887
R1 + size↓ (소형 한정),60,KOSPI,23,0.07292151584628667,0.1595959694508222,0.040310534274093285,-0.08667445360453552,-0.14759380098510522,-0.032761245653172025,0.2608695652173913,0.0326109815721934,-0.03725308646280223,0.11723737360818821,1.0,0.5000976479723688,0.6949002564263033,1.3478260869565217,-0.2917829900466241
R1 + size↓ (소형 한정),60,KOSDAQ,23,0.009318824369291812,0.024203885432943117,-0.002214772766602452,-0.014885061063651317,-0.07693302547856572,0.06457883858744637,0.34782608695652173,0.011533597135894264,-0.05587436074840673,0.09149158531957484,0.0,0.3085034335430528,0.661980759632498,1.6956521739130435,-0.50391196348186
R1 + size↓ (소형 한정),120,ALL,20,0.03711031700091257,0.2080956489052324,0.07044639643020219,-0.17098533190431983,-0.2477186346343408,-0.11494173714487695,0.15,-0.03333607942928961,-0.10484426516320859,0.024070658429064883,0.27,0.2723827909630516,0.6421915168262997,0.95,-0.3146641384212355
