event,combo,n,events,episodes,lift,placebo,mean_ex,med_ex,p_beat,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
120,mom12_1↑&sma120gap↑&mom63↑,39557,2349,113,2.4004601320389947,1.2222010719108718,-0.06833464489947555,-0.18568569458444917,0.3329878403316733,0.3809439542938039,,2.5643891341002827,1.956527667543486,2.388743838716455
120,mom12_1↑&sma120gap↑&beta60↑,14767,1211,67,3.3150241469732515,1.3057526986839316,0.0430546743388095,-0.12006538166103187,0.3910069750118507,0.3131306291054378,,3.0126965508656887,2.885189117954129,3.1827313323329336
120,mom12_1↑&sma120gap↑&days_since_high↓,25336,1584,93,2.5272718198416664,1.1934339149252313,-0.028062688805595648,-0.14062073554034227,0.375947268708557,0.35116040416798233,,2.041448465541998,2.1231964427313414,2.8511982732531247
120,mom12_1↑&sma120gap↑&amt20↑,26590,1661,71,2.525143846619912,1.229886437035225,-0.045619912355582354,-0.16933159710115087,0.34407672057164346,0.363708160962768,,1.9609286453299806,2.2692436916396175,2.338932142699672
120,mom12_1↑&rs63↑&mom63↑,42285,2505,126,2.3947281712553687,1.2341692890581561,-0.06678706089520169,-0.18475275909467692,0.3292420480075677,0.3772969137992196,,2.5772218739949095,1.9656237573696784,2.20669016155678
120,mom12_1↑&rs63↑&beta60↑,13796,1103,74,3.231894345141297,1.3302629489520843,0.03711058013434405,-0.12277740206992999,0.38612641345317483,0.3108872136851261,,2.537837113075304,2.902543005535113,2.8724464094409385
120,mom12_1↑&rs63↑&days_since_high↓,21934,1452,90,2.675984571527435,1.173968438059901,-0.01688286988974424,-0.13755181179448378,0.3817817087626516,0.34781617580012764,,2.452223101904693,2.2218417695000348,2.8214065118223592
120,mom12_1↑&rs63↑&amt20↑,23563,1473,75,2.527010180340732,1.2283362451622295,-0.04417935047305498,-0.17254441286435696,0.34286805585027375,0.36650681152654585,,2.2716859080490304,2.208776135941706,2.21983699515304
120,mom12_1↑&mom63↑&beta60↑,14140,1135,74,3.244750290619334,1.3293470353638681,0.02819665727705158,-0.13077892201934904,0.37942008486562945,0.32008486562942007,,2.661627605334483,2.8823416567121236,2.9596519248240383
120,mom12_1↑&mom63↑&days_since_high↓,22830,1462,91,2.5886676059161857,1.173930658496875,-0.026458536552117603,-0.14174102378305076,0.37704774419623305,0.35177398160315376,,2.3787644362969753,2.153948359517621,2.7478522196765627
120,mom12_1↑&mom63↑&amt20↑,24580,1499,74,2.4652137547781305,1.2301400190620693,-0.05371944269153858,-0.17580511751021038,0.33791700569568756,0.37160292921074045,,2.2650977146179647,2.1550270925011574,2.1522242660010265
120,mom12_1↑&beta60↑&days_since_high↓,8427,686,51,3.2906822583607824,1.2567911832223397,0.06332457185911503,-0.0911611174292426,0.41829832680669277,0.28717218464459476,,1.7765929359136217,3.115062393732884,3.148095573597628
120,mom12_1↑&beta60↑&amt20↑,16918,1254,60,2.9962865432346732,1.2233642026604088,0.04926578859181227,-0.09481284211350582,0.40081569925523114,0.28200732947156876,,1.8700006288457254,3.1093287186606364,2.1054518737678163
120,mom12_1↑&days_since_high↓&amt20↑,17323,1128,58,2.632211742396164,1.1854286924975632,-0.025062238823923663,-0.1502633181376989,0.3719332679097154,0.35161346187150033,,3.2827061931840515,2.060678489185967,2.6644620453537264
120,dlow252↑&mom126↑&sma120gap↑,79459,3920,180,1.9942417305029774,1.0393458814840772,-0.07538941654736496,-0.18724296715531197,0.31933449955322873,0.36710756490768826,1.7820487549965163,1.7737236672557424,1.874626179205844,2.5236947747729404
120,dlow252↑&mom126↑&rs63↑,71364,3494,179,1.9791492405639772,1.0343235584630288,-0.07833365782641552,-0.19172249311750428,0.313533434224539,0.3697802813743624,2.2163295440292807,1.805232053564839,1.8860486542789652,2.209837769420643
120,dlow252↑&mom126↑&mom63↑,71913,3503,181,1.9690990317421477,1.042166601441605,-0.08252397237586459,-0.19306598918940487,0.3118351341203955,0.37190772183054527,2.682134397350689,1.7851451938784446,1.853167642362584,2.386463586860767
120,dlow252↑&mom126↑&beta60↑,33283,2220,124,2.6962821549378346,1.0129276203685378,0.016277033667410908,-0.12754845519851954,0.37175134453024067,0.2966980140011417,,1.7536943696384435,2.953890145056923,2.6903810012327902
120,dlow252↑&mom126↑&days_since_high↓,41843,2316,137,2.2374357272222376,1.0935998459480023,-0.05329778779634188,-0.16817297746893467,0.3505006811175107,0.3619482350691872,,1.9655671842561238,2.0022926141981414,2.7087061054705552
120,dlow252↑&mom126↑&amt20↑,53402,3015,125,2.282257389833813,1.0256911320811997,-0.050301547234940985,-0.17542541852214627,0.3320849406389274,0.34856372420508597,3.6200049219144916,2.0512833818872354,2.301118286826036,2.1584810760066566
120,dlow252↑&sma120gap↑&rs63↑,80027,3827,193,1.9331108281958225,1.0324741397523545,-0.07893525348316387,-0.19481079134280344,0.3093955789920902,0.3689629749959389,2.521523419560221,1.804854942705888,1.8268113649536712,2.183915918752952
120,dlow252↑&sma120gap↑&mom63↑,80854,3855,194,1.9273371834583524,1.0359124887485618,-0.0818702567138594,-0.19563312845862718,0.3081109159719989,0.37035891854453706,2.51380252501696,1.781045037389706,1.8125157962880187,2.314535938321639
120,dlow252↑&sma120gap↑&beta60↑,29193,1968,119,2.725092162948825,1.0426800806404803,0.011019159152069755,-0.14257004681787044,0.36049737950878635,0.3134998115986709,3.0294828834940777,1.6751073161865182,2.8817323687399203,2.976009775295474
120,dlow252↑&sma120gap↑&days_since_high↓,43117,2351,143,2.204138706619275,1.0847250036403662,-0.05415626664950751,-0.169240702788496,0.3485168263098082,0.3609017324953035,3.6200049219144916,1.7617652606110974,2.041188158220028,2.544565645024254
120,dlow252↑&sma120gap↑&amt20↑,50526,2556,118,2.0449408930564554,1.0328711631204555,-0.06678670680423544,-0.19252682224839784,0.31486759292245575,0.36127934132921663,3.9405932626869227,1.6933370661029128,2.058092136885673,2.185088648471708
