f,date,tercile,ex120,ex60
vol_dry,20240402,1,0.0610205450893846,0.058673228403703474
vol_dry,20240402,2,-0.06091976902574382,-0.04059652656528631
vol_dry,20240409,0,0.12661713119394227,0.12274355854848569
vol_dry,20240409,1,-0.03510999632072692,0.02693790152043881
vol_dry,20240409,2,-0.03308462595060626,0.02925631973178639
vol_dry,20240417,0,0.07674385123483814,0.0920529460291234
vol_dry,20240417,1,-0.05822951920737309,-0.005560716983677013
vol_dry,20240417,2,-0.11832530512469369,-0.07229748942434314
vol_dry,20240424,0,0.0712192660494477,0.13584689377838527
vol_dry,20240424,1,-0.027436406843409877,0.012461230610666599
vol_dry,20240424,2,-0.07447017887201107,-0.012429349300579642
vol_dry,20240502,0,0.1191268104889187,0.14019510834277005
vol_dry,20240502,1,-0.017635882585818975,0.0463006136734633
vol_dry,20240502,2,-0.11628447031234293,-0.08111814903620877
vol_dry,20240510,0,0.00542871029728003,0.020576058546550903
vol_dry,20240510,1,-0.03501487097791984,-0.046302044670867064
vol_dry,20240510,2,-0.11414992473660483,-0.049372883781295354
vol_dry,20240520,0,-0.04455095538140759,-0.03166012780975763
vol_dry,20240520,1,0.016480913875310053,-0.040672941660134805
vol_dry,20240520,2,-0.11863965659928845,-0.06563924342956828
vol_dry,20240527,0,-0.0004689488831546755,-0.03216795948866381
vol_dry,20240527,1,-0.006777942816947217,-0.06780472313525457
vol_dry,20240527,2,-0.10094980980179441,-0.07504190971701888
vol_dry,20240603,0,0.0027424019115094103,-0.015330877372205008
vol_dry,20240603,1,-0.06977820224279176,-0.09595130506002145
vol_dry,20240603,2,-0.05294157989199977,-0.06247865032999093
vol_dry,20240611,0,-0.03773948309355211,-0.058160772341893596
vol_dry,20240611,1,-0.04450964304755503,-0.07224421708620032
vol_dry,20240611,2,-0.13883154540469922,-0.0756508670554313
vol_dry,20240618,0,-0.06461231972440845,-0.05308685116628896
vol_dry,20240618,1,-0.01619051923064848,-0.053854643855557216
vol_dry,20240618,2,-0.14112054901528362,-0.07948910851438366
vol_dry,20240625,0,-0.024693288728939805,-0.04115592587424818
vol_dry,20240625,1,-0.036003549757548534,-0.07392440822384183
vol_dry,20240625,2,-0.130946314984359,-0.10446655123200618
vol_dry,20240702,0,0.027431184994090176,-0.014892796956741103
vol_dry,20240702,1,0.10282809296207143,0.0775167059510453
vol_dry,20240702,2,-0.07334775113548452,-0.056566868753517886
vol_dry,20240709,0,0.04067128070567366,0.07017793797153361
vol_dry,20240709,1,0.10995942405897687,0.044394676301331634
vol_dry,20240709,2,-0.06304253255382751,0.0023459934598430332
vol_dry,20240716,0,0.059236496079518815,0.02542255575287565
vol_dry,20240716,1,0.109549830647129,0.09286761544772851
vol_dry,20240716,2,-0.04637643783001718,0.033597738773129424
vol_dry,20240723,0,0.14074404939903362,0.04234225974836495
vol_dry,20240723,1,0.022020187637991566,0.07877916060149928
vol_dry,20240723,2,-0.04630420700850861,-0.06059640058676085
vol_dry,20240730,0,0.20558627756829134,0.09526040098624462
vol_dry,20240730,1,0.11849780780213838,0.07066170058546924
vol_dry,20240730,2,-0.11472793211159202,-0.05733132178604915
