ticker,listed,k,date,ex60,ex120,mom_since
352090,20231120,1,20231219,-0.2305128061754146,-0.2318047881348133,-0.49895068205666315
352090,20231120,2,20240122,-0.16268587449630967,-0.1457956003397004,-0.5393494228751312
352090,20231120,6,20240528,0.11299865302240064,0.010943465087807414,-0.5881427072402938
352090,20231120,9,20240827,-0.09411490028192537,-0.12952114440847862,-0.584470094438615
111380,20231121,1,20231220,0.05742814278700514,0.00789795650369407,-0.26929674099485423
111380,20231121,2,20240123,-0.3672256769430787,-0.390943863097689,0.0171526586620927
111380,20231121,3,20240223,-0.1055999586191343,-0.3173418024621616,-0.111492281303602
111380,20231121,6,20240529,-0.32567226801130833,-0.3289205398302931,-0.10120068610634647
448280,20231121,1,20231220,-0.44500767980188105,-0.4958941154551111,-0.17336030049118756
448280,20231121,2,20240123,-0.36804619969760144,-0.48022491314979654,-0.3330443994991814
448280,20231121,3,20240223,-0.25617431275742897,-0.3946851066141065,-0.3796109024366753
448280,20231121,6,20240529,-0.17836110403720795,-0.24653445260009133,-0.5401136473080999
402490,20231124,1,20231226,-0.16637273441360045,-0.24975481292679647,-0.405350659277661
402490,20231124,2,20240126,0.07463521086731362,-0.29587371134485096,-0.4694056946302312
402490,20231124,3,20240228,0.07853440138844914,-0.08525011729660681,-0.4971526848843876
402490,20231124,6,20240603,-0.17232941091872045,-0.32081680862110085,-0.4741830689852857
402490,20231124,9,20240902,-0.19492929623595134,-0.15240060095568786,-0.6369195490158609
402490,20231124,12,20241206,0.3920020752926654,0.057544163576358054,-0.7705713739728646
452160,20231124,1,20231226,-0.20613479790377687,-0.23844127573062235,-0.3735498839907193
452160,20231124,2,20240126,0.2935909808347237,-0.13458848166823756,-0.4338747099767981
452160,20231124,6,20240603,-0.12190352453535236,-0.2961187110654444,-0.531322505800464
452160,20231124,9,20240902,-0.2341774443438125,-0.20288374266396092,-0.6473317865429234
452280,20231124,1,20231226,-0.32733240141918873,0.41011867763853593,-0.5073649754500819
452280,20231124,2,20240126,-0.18230352576085074,0.26913827502686305,-0.574468085106383
452280,20231124,3,20240228,0.8017840598108085,1.1042165800087989,-0.618657937806874
452280,20231124,6,20240603,0.31889392363051683,0.02729624343310144,-0.3900709219858156
452280,20231124,9,20240902,-0.3988926596296678,-0.3642787813798868,-0.23349699945444624
452280,20231124,12,20241206,0.1811343737473161,0.040412820664783355,-0.6492089470812875
453860,20231128,1,20231228,-0.20960846974888137,0.1341873635386529,-0.5007132667617689
453860,20231128,2,20240130,-0.20576007815849384,0.01869328514194568,-0.4978601997146933
453860,20231128,3,20240304,0.4508837014625575,-0.01639516139704411,-0.5634807417974322
453860,20231128,6,20240605,-0.3003709483673973,-0.33662428997223626,-0.40442225392296716
453860,20231128,9,20240904,-0.2459095534123048,-0.17808929894878256,-0.6119828815977175
355690,20231201,1,20240104,-0.3302503102201615,-0.27618666986373264,-0.4506737443854635
355690,20231201,2,20240202,-0.025605974778413643,-0.290814567269029,-0.5180890159248672
355690,20231201,3,20240307,-0.10719469052802388,-0.25359059882869406,-0.5230298080849326
355690,20231201,6,20240611,-0.19205524746993385,-0.3987145637525391,-0.5750102082482647
355690,20231201,9,20240909,-0.32317461014572857,-0.18148023663297586,-0.7075949367088608
338840,20231205,1,20240108,-0.24185347238871568,-0.20395336696725352,0.1015625
338840,20231205,2,20240206,-0.0695210863626472,0.04528936429616304,-0.29921875
338840,20231205,3,20240311,-0.29221529485332143,-0.011865103013980027,-0.025781249999999978
338840,20231205,6,20240613,0.5823183532349131,0.09729748040936026,-0.33828125
338840,20231205,9,20240911,-0.2144469542298848,-0.37772627343359577,-0.15937500000000004
338840,20231205,12,20241217,-0.20719104924673992,0.08934017876431,-0.37031250000000004
432470,20231206,1,20240109,-0.41197452412514,-0.37958747916587454,-0.39347826086956517
432470,20231206,2,20240207,-0.2846501944891169,-0.07187097366831796,-0.5652173913043479
432470,20231206,3,20240312,-0.00595311775248808,-0.03601041544217487,-0.5907608695652173
432470,20231206,6,20240614,-0.12319869376920933,-0.1895092611995901,-0.5836956521739131
432470,20231206,9,20240912,-0.11961753893269833,-0.06075368558746208,-0.6904347826086956
417200,20231212,1,20240115,-0.43906669090458317,-0.4717562725614265,0.9166666666666667
417200,20231212,2,20240215,-0.14720326277030682,-0.35548156494753946,0.2895833333333333
417200,20231212,3,20240318,0.024930353132631033,-0.13046429439925022,0.08333333333333326
417200,20231212,6,20240620,-0.1733115581233775,-0.3686820181143259,0.03750000000000009
417200,20231212,9,20240923,-0.2648388498126013,-0.28354369251099676,-0.26249999999999996
417200,20231212,12,20241224,-0.02859785469400067,-0.1566810727606418,-0.5316666666666667
439580,20231213,1,20240116,-0.3828160277834346,-0.25517782771244224,-0.5921570933035452
439580,20231213,2,20240216,-0.3130804376719015,0.062201537716175315,-0.6029748956434828
439580,20231213,3,20240319,-0.1929873602150547,0.7235168235407381,-0.6984537597742372
439580,20231213,6,20240621,1.44774449464845,0.4086696435189858,-0.7761185254865072
439580,20231213,9,20240924,-0.37444289140305187,-0.4458614360808598,-0.5097889352695631
439580,20231213,12,20241226,-0.14833267119279825,0.06937123125441791,-0.7700041154682815
109670,20231221,1,20240124,0.24733250020153452,-0.32476571193928916,-0.46923076923076923
109670,20231221,3,20240327,-0.11857667068022903,-0.3534175576123123,-0.3602564102564103
109670,20231221,6,20240701,-0.2836128315118507,-0.35651456181995644,-0.5553846153846154
109670,20231221,9,20241004,-0.16906595100116628,-0.3064030342507277,-0.7271794871794872
017860,20231222,1,20240125,-0.4551045090623793,-0.6556260685955193,-0.4875088951807046
017860,20231222,2,20240227,-0.49822907069748423,-0.6085855129417846,-0.5560131421563432
017860,20231222,3,20240328,-0.20564243170443774,-0.43812270591545044,-0.634502702620861
017860,20231222,6,20240702,-0.25746585619942086,-0.06127868799277458,-0.7132572259148788
017860,20231222,9,20241007,0.4008514050031877,-0.08683309220080782,-0.8052598906839069
017860,20231222,12,20250108,-0.3178071876870717,-0.4445991289341653,-0.741729374536315
452190,20240104,1,20240202,-0.3560234008907084,-0.5418403741075193,0.429699842022117
452190,20240104,2,20240307,-0.34804393137726475,-0.21967406491216024,0.4834123222748816
452190,20240104,3,20240405,-0.23198373725147936,-0.12977368462130578,0.023696682464454888
452190,20240104,6,20240710,0.10871740219062664,-0.003973597158231534,-0.1927330173775671
452190,20240104,9,20241016,-0.16468580621227535,0.20304639081343323,-0.1690363349131122
452190,20240104,12,20250116,0.1955212803879982,-0.08143327333381811,-0.2819905213270142
457550,20240124,1,20240226,1.3455739024443019,-0.029120498525052496,0.07311320754716988
457550,20240124,2,20240327,0.4874591845720181,-0.18072940875165355,0.17688679245283012
457550,20240124,3,20240426,-0.1603193591272296,-0.09558757937060347,0.3561320754716981
457550,20240124,6,20240730,0.01062906641832484,0.053742837689974454,0.04481132075471694
457550,20240124,9,20241105,-0.12130271781465074,-0.20891508993110397,0.009433962264151052
457550,20240124,12,20250211,-0.12756259130336256,0.2326467696486263,-0.03301886792452835
362990,20240125,1,20240227,-0.13297283947207506,-0.25810916851017507,-0.5901315789473685
362990,20240125,2,20240328,-0.0956143080959263,-0.23976331069126555,-0.5743421052631579
362990,20240125,6,20240731,-0.05867286790768844,-0.058355848292428236,-0.6894736842105262
362990,20240125,9,20241106,-0.09738384016252333,0.14296785704375536,-0.7296052631578948
440290,20240125,1,20240227,-0.18108365363273815,-0.2581469328606282,-0.5104477611940299
440290,20240125,2,20240328,-0.08119367152426005,-0.16832304996038694,-0.5701492537313433
440290,20240125,3,20240429,-0.14861776840481977,-0.19849742163733952,-0.5634328358208955
460930,20240126,1,20240228,0.04655477272024966,-0.06455798646518951,-0.475
460930,20240126,2,20240329,-0.051986558315672116,-0.22497476457693455,-0.3873287671232877
460930,20240126,3,20240430,0.0031806295932589324,-0.24814300722454363,-0.43390410958904113
460930,20240126,6,20240801,-0.25970146670129624,0.3346818559574559,-0.4746575342465753
460930,20240126,9,20241107,0.32634852308698425,0.19051125767023513,-0.5414383561643836
460930,20240126,12,20250213,-0.11461573960251759,0.017669787938986214,-0.3116438356164384
105760,20240129,1,20240229,-0.3323717659534057,-0.3937396504137861,-0.3147751605995718
105760,20240129,2,20240401,-0.1675389700563038,-0.2801990159434269,-0.4179871520342613
105760,20240129,3,20240502,-0.21635830916772059,-0.2881123658326883,-0.4920770877944326
105760,20240129,6,20240802,-0.06029611301641591,-0.23185869898901423,-0.6552462526766596
199550,20240201,1,20240306,-0.1852402322679899,-0.17038813291833588,-0.3084071885770556
