h,rule,anchor,ret,idx,ew,ex_idx,ex_ew
60,R4_고베타단독,20241002,-0.10507181320648647,-0.09119802817718152,-0.07850848648975707,-0.013873785029304947,-0.026563326716729396
60,R4_고베타단독,20241101,-0.050312042370324,-0.030693714100456224,-0.022198570656492087,-0.01961832826986778,-0.028113471713831915
60,R4_고베타단독,20241202,0.09614701841281639,0.04208445824194528,0.05622187063803199,0.05406256017087111,0.039925147774784404
60,R4_고베타단독,20250102,-0.13672371759311913,-0.01147847473255006,-0.020045606055172586,-0.12524524286056907,-0.11667811153794655
60,R4_고베타단독,20250203,-0.13764507245152582,0.009231484136966816,0.019812476834558182,-0.14687655658849263,-0.15745754928608402
60,R4_고베타단독,20250304,-0.17376440490239317,0.015320717688655332,0.026106850703740234,-0.1890851225910485,-0.1998712556061334
60,R4_고베타단독,20250401,0.1359033777016928,0.17583756380904153,0.18085752107446956,-0.039934186107348724,-0.044954143372776756
60,R4_고베타단독,20250502,0.012549539364793465,0.12448097097077016,0.05246197844769393,-0.11193143160597668,-0.039912439082900465
60,R4_고베타단독,20250602,0.0871901104840425,0.09675870876259099,0.023854003667089525,-0.009568598278548487,0.06333610681695298
60,R4_고베타단독,20250701,0.11437278901988554,0.1054065517910619,0.024280735632637232,0.008966237228823642,0.09009205338724831
60,R4_고베타단독,20250801,0.14397747137877698,0.23349087225720683,0.08158004324210236,-0.08951340087842985,0.06239742813667462
60,R4_고베타단독,20250901,0.3335111125769333,0.20498758203874506,0.08832647245658827,0.1285235305381882,0.24518464012034502
60,R4_고베타단독,20251001,0.3946046469387709,0.1787970645394572,0.05060408731539212,0.2158075823993137,0.3440005596233788
60,R4_고베타단독,20251103,0.5378437711804963,0.2512114312420499,0.1392958677832175,0.2866323399384464,0.3985479033972788
60,R4_고베타단독,20251201,0.38570195375567246,0.2808299965990464,0.12776500931062784,0.10487195715662606,0.2579369444450446
60,R4_고베타단독,20260102,0.022506050518428987,0.14971090868705667,0.08355153667558401,-0.12720485816862767,-0.06104548615715503
60,R4_고베타단독,20260202,0.10247114934003917,0.1841197046935233,0.1410621559148764,-0.08164855535348411,-0.03859100657483722
60,R4_고베타단독,20260303,0.006631235445816412,0.3220013723426128,0.08364172136626362,-0.3153701368967964,-0.07701048592044721
60,R4_고베타단독,20260401,-0.238282095883929,0.1623431579895489,-0.1184853330454568,-0.4006252538734779,-0.11979676283847221
60,R4_고베타단독,20260504,-0.5336792305678723,-0.30231206937231436,-0.34634110304788407,-0.2313671611955579,-0.18733812751998818
60,R4_고베타단독,20260601,-0.31789942197207854,-0.2004931315334244,-0.11470284434372435,-0.11740629043865414,-0.2031965776283542
60,R5_mom12_1단독,20240801,-0.14497755476730137,-0.03602300941788685,-0.047959294858964795,-0.10895454534941451,-0.09701825990833657
60,R5_mom12_1단독,20240902,-0.09936558240490914,-0.09610777986403826,-0.10328431280998818,-0.00325780254087088,0.003918730405079035
60,R5_mom12_1단독,20241002,-0.13881287421642313,-0.09119802817718152,-0.07850848648975707,-0.04761484603924161,-0.06030438772666606
60,R5_mom12_1단독,20241101,-0.1320327951418438,-0.030693714100456224,-0.022198570656492087,-0.10133908104138757,-0.10983422448535171
60,R5_mom12_1단독,20241202,0.0490237877837874,0.04208445824194528,0.05622187063803199,0.006939329541842121,-0.007198082854244586
60,R5_mom12_1단독,20250102,-0.003563607155455185,-0.01147847473255006,-0.020045606055172586,0.007914867577094874,0.016481998899717402
60,R5_mom12_1단독,20250203,0.09415391139512679,0.009231484136966816,0.019812476834558182,0.08492242725815997,0.0743414345605686
60,R5_mom12_1단독,20250304,0.17564897842023583,0.015320717688655332,0.026106850703740234,0.1603282607315805,0.1495421277164956
60,R5_mom12_1단독,20250401,0.23274722274971135,0.17583756380904153,0.18085752107446956,0.05690965894066982,0.05188970167524179
60,R5_mom12_1단독,20250502,0.09834816401518276,0.12448097097077016,0.05246197844769393,-0.026132806955587395,0.04588618556748883
60,R5_mom12_1단독,20250602,0.17384514162025738,0.09675870876259099,0.023854003667089525,0.07708643285766639,0.14999113795316785
60,R5_mom12_1단독,20250701,0.13689081662882818,0.1054065517910619,0.024280735632637232,0.031484264837766285,0.11261008099619095
60,R5_mom12_1단독,20250801,0.2634140518819888,0.23349087225720683,0.08158004324210236,0.02992317962478197,0.18183400863988644
60,R5_mom12_1단독,20250901,0.19351553470540098,0.20498758203874506,0.08832647245658827,-0.011472047333344088,0.1051890622488127
60,R5_mom12_1단독,20251001,0.11170687811687059,0.1787970645394572,0.05060408731539212,-0.06709018642258661,0.06110279080147847
60,R5_mom12_1단독,20251103,0.04336547436862931,0.2512114312420499,0.1392958677832175,-0.2078459568734206,-0.0959303934145882
60,R5_mom12_1단독,20251201,0.04387334316581204,0.2808299965990464,0.12776500931062784,-0.23695665343323435,-0.0838916661448158
60,R5_mom12_1단독,20260102,0.17872880300540725,0.14971090868705667,0.08355153667558401,0.029017894318350584,0.09517726632982323
60,R5_mom12_1단독,20260202,0.04818117268572198,0.1841197046935233,0.1410621559148764,-0.13593853200780132,-0.09288098322915442
60,R5_mom12_1단독,20260303,0.25259290385100336,0.3220013723426128,0.08364172136626362,-0.06940846849160942,0.16895118248473973
60,R5_mom12_1단독,20260401,-0.20032151962876624,0.1623431579895489,-0.1184853330454568,-0.3626646776183151,-0.08183618658330943
60,R5_mom12_1단독,20260504,-0.4635634469866754,-0.30231206937231436,-0.34634110304788407,-0.16125137761436104,-0.11722234393879133
60,R5_mom12_1단독,20260601,-0.34278195895110886,-0.2004931315334244,-0.11470284434372435,-0.14228882741768445,-0.2280791146073845
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240102,0.043023894849375625,0.049554687693736096,0.018524143516862115,-0.006530792844360471,0.02449975133251351
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240201,0.08723464786176392,0.04766831799698465,0.023295897835714084,0.03956632986477927,0.06393875002604985
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240304,-0.047200561659105404,-0.010402394482988322,0.011267272800217148,-0.036798167176117086,-0.05846783445932255
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240401,0.03630286292084795,-0.039959332571774434,-0.03432123919959773,0.07626219549262239,0.07062410212044568
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240502,-0.20777212223129873,-0.030545311696085126,-0.06019403164968665,-0.1772268105352136,-0.1475780905816121
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240603,-0.19953475002575444,-0.06474679240833034,-0.11572459059273345,-0.1347879576174241,-0.08381015943302099
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240701,-0.11499273269610318,-0.07462808812010764,-0.08483000806949122,-0.040364644575995534,-0.03016272462661196
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240801,-0.008358821691908271,-0.03602300941788685,-0.047959294858964795,0.027664187725978583,0.039600473167056525
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20240902,-0.08397010540292542,-0.09610777986403826,-0.10328431280998818,0.012137674461112843,0.01931420740706276
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20241002,-0.0367414138606143,-0.09119802817718152,-0.07850848648975707,0.05445661431656722,0.04176707262914277
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20241101,-0.053396952059783016,-0.030693714100456224,-0.022198570656492087,-0.022703237959326793,-0.03119838140329093
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20241202,0.11884611048576203,0.04208445824194528,0.05622187063803199,0.07676165224381676,0.06262423984773005
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250102,-0.0069625714795361355,-0.01147847473255006,-0.020045606055172586,0.004515903253013924,0.01308303457563645
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250203,-0.029566919020313366,0.009231484136966816,0.019812476834558182,-0.038798403157280184,-0.04937939585487155
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250304,0.08784680946495531,0.015320717688655332,0.026106850703740234,0.07252609177629998,0.061739958761215075
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250401,0.23623609486371117,0.17583756380904153,0.18085752107446956,0.060398531054669635,0.0553785737892416
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250502,-0.10557009236726914,0.12448097097077016,0.05246197844769393,-0.2300510633380393,-0.15803207081496307
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250602,-0.09631419560145563,0.09675870876259099,0.023854003667089525,-0.19307290436404662,-0.12016819926854515
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250701,0.14641334254785426,0.1054065517910619,0.024280735632637232,0.041006790756792366,0.12213260691521703
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250801,0.10462122667158351,0.23349087225720683,0.08158004324210236,-0.1288696455856233,0.023041183429481152
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20250901,-0.016647287824827335,0.20498758203874506,0.08832647245658827,-0.2216348698635724,-0.10497376028141561
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20251001,0.14178056140359258,0.1787970645394572,0.05060408731539212,-0.03701650313586463,0.09117647408820045
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20251103,0.12296547857298709,0.2512114312420499,0.1392958677832175,-0.12824595266906283,-0.016330389210230417
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20251201,0.3490016805935999,0.2808299965990464,0.12776500931062784,0.06817168399455348,0.22123667128297203
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260102,0.27041271232805436,0.14971090868705667,0.08355153667558401,0.1207018036409977,0.18686117565247035
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260202,0.306457074284348,0.1841197046935233,0.1410621559148764,0.1223373695908247,0.1653949183694716
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260303,0.2975019250496471,0.3220013723426128,0.08364172136626362,-0.02449944729296566,0.2138602036833835
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260401,-0.25285286794379297,0.1623431579895489,-0.1184853330454568,-0.4151960259333419,-0.13436753489833617
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260504,-0.4357858359288247,-0.30231206937231436,-0.34634110304788407,-0.13347376655651033,-0.08944473288094063
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",20260601,-0.30137161601292,-0.2004931315334244,-0.11470284434372435,-0.1008784844794956,-0.18666877166919565
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240102,0.07499643960879789,0.049554687693736096,0.018524143516862115,0.02544175191506179,0.05647229609193577
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240201,0.2175218521640468,0.04766831799698465,0.023295897835714084,0.16985353416706214,0.1942259543283327
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240304,-0.04008889589662026,-0.010402394482988322,0.011267272800217148,-0.029686501413631935,-0.0513561686968374
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240401,0.04394683337088264,-0.039959332571774434,-0.03432123919959773,0.08390616594265707,0.07826807257048038
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240502,-0.055278197647410224,-0.030545311696085126,-0.06019403164968665,-0.024732885951325098,0.004915834002276423
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240603,-0.09734981662547078,-0.06474679240833034,-0.11572459059273345,-0.03260302421714044,0.01837477396726267
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240701,-0.08718650880896198,-0.07462808812010764,-0.08483000806949122,-0.012558420688854335,-0.00235650073947076
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240801,-0.0587910132046995,-0.03602300941788685,-0.047959294858964795,-0.022768003786812645,-0.010831718345734702
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20240902,-0.009209441920898355,-0.09610777986403826,-0.10328431280998818,0.0868983379431399,0.09407487088908982
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20241002,-0.09397541949877633,-0.09119802817718152,-0.07850848648975707,-0.0027773913215948104,-0.01546693300901926
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20241101,-0.04393959976839819,-0.030693714100456224,-0.022198570656492087,-0.013245885667941965,-0.0217410291119061
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20241202,0.19678175888717078,0.04208445824194528,0.05622187063803199,0.1546973006452255,0.1405598882491388
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250102,-0.020504752632503998,-0.01147847473255006,-0.020045606055172586,-0.009026277899953939,-0.0004591465773314124
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250203,0.12013182557308238,0.009231484136966816,0.019812476834558182,0.11090034143611557,0.1003193487385242
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250304,0.30691960558989334,0.015320717688655332,0.026106850703740234,0.291598887901238,0.2808127548861531
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250401,0.3780169979368829,0.17583756380904153,0.18085752107446956,0.2021794341278414,0.19715947686241336
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250502,-0.20589147178397155,0.12448097097077016,0.05246197844769393,-0.3303724427547417,-0.25835345023166545
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250602,-0.016807795436012924,0.09675870876259099,0.023854003667089525,-0.11356650419860391,-0.04066179910310245
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250701,0.05636138784103065,0.1054065517910619,0.024280735632637232,-0.04904516395003125,0.032080652208393415
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250801,0.09927228217517217,0.23349087225720683,0.08158004324210236,-0.13421859008203466,0.017692238933069815
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20250901,0.09760235317197499,0.20498758203874506,0.08832647245658827,-0.10738522886677007,0.009275880715386722
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20251001,0.1324455306528109,0.1787970645394572,0.05060408731539212,-0.04635153388664631,0.08184144333741877
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20251103,0.04941221441770926,0.2512114312420499,0.1392958677832175,-0.20179921682434065,-0.08988365336550824
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20251201,0.40818820388740096,0.2808299965990464,0.12776500931062784,0.12735820728835456,0.2804231945767731
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20260102,0.26313076823010223,0.14971090868705667,0.08355153667558401,0.11341985954304556,0.17957923155451821
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20260202,0.2636781543789453,0.1841197046935233,0.1410621559148764,0.07955844968542203,0.12261599846406893
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),20260303,0.2628928165562642,0.3220013723426128,0.08364172136626362,-0.059108555786348604,0.17925109519000054
