h,factor,decile,n,mean_ex,med_ex,p_ex_gt50,p_ex_lt_m30,p_beat
60,amt20,D1,98524,-0.03859642741529269,-0.056770905781793446,0.031017823068490925,0.10414721286184077,0.3697373228857943
60,amt20,D10,99341,-0.0455379003002995,-0.09235202242723661,0.05542525241340433,0.17383557644879757,0.35468738989943727
60,max5_21,D1,98554,-0.05701582009381785,-0.052203666082204836,0.015991233232542566,0.11280110396330946,0.3726890841569089
60,max5_21,D10,99312,-0.09522417576098553,-0.14911620248462593,0.051161994522313514,0.23480546157564042,0.26378483969711614
60,bbw20,D1,98495,-0.049836132065513086,-0.0474309858975811,0.015076907457231331,0.10031981318848672,0.3824356566323164
60,bbw20,D10,99257,-0.0834073852128968,-0.14934722733261718,0.06194021580341941,0.24737801867878337,0.2869419789032512
60,sma20gap,D1,98491,-0.05712740381572744,-0.10228787833992747,0.04928369089561483,0.1734676264836381,0.3272075621122742
60,sma20gap,D10,99294,-0.06566850322080357,-0.13153601700827255,0.06413277740850404,0.2157028622071827,0.30728946361310855
60,rsi14,D1,98481,-0.052772184118995535,-0.07793849393579944,0.036230338847087255,0.13989500512789269,0.34836161289995027
60,rsi14,D10,99292,-0.05956320068228707,-0.10943629748144129,0.05541231922007815,0.1910727953913709,0.3270354107078113
60,dd52,D1,81969,-0.07325648604004927,-0.12113579048903977,0.04965291756639705,0.19404896973245983,0.3052861447620442
60,dd52,D10,82900,-0.03430404781289574,-0.06608764094180353,0.054981905910735825,0.16523522316043426,0.3852593486127865
60,mom126,D1,80875,-0.061013225810391127,-0.10436924177869833,0.0477774343122102,0.17005255023183927,0.32743122102009276
60,mom126,D10,81625,-0.04173828125164323,-0.11971136660722226,0.0796937212863706,0.22689127105666157,0.34211332312404286
60,mom252,D1,62061,-0.06931142917705277,-0.11213586532792386,0.04838787644414366,0.1952756159262661,0.32015275293662687
60,mom252,D10,62712,-0.036915385903402625,-0.11304593874888774,0.08264765914019645,0.2264797805842582,0.3542065314453374
60,sma60gap,D1,94308,-0.062107252834928905,-0.10561927250727993,0.04713279891419604,0.17229715400602283,0.3209377783433007
60,sma60gap,D10,95143,-0.06231726076148698,-0.1360479865270373,0.06960049609535121,0.22934950548122301,0.3141902189336052
60,sma120gap,D1,87820,-0.06503552332867485,-0.10989051171489744,0.04798451377818265,0.17572306991573675,0.3180368936460943
60,sma120gap,D10,88641,-0.054245543406013334,-0.1334495292354948,0.07446892521519387,0.23512821380625218,0.32468045261222234
60,range120,D1,87945,-0.06208172446485074,-0.05624850435014328,0.014713741543009836,0.11661834100858491,0.3592586275513105
60,range120,D10,88590,-0.07325438702500427,-0.14318098389715872,0.06725364036572977,0.2478157805621402,0.3012078112653798
60,range60,D1,94371,-0.053267460906951156,-0.04675688124736321,0.013160822710366532,0.10518061692681015,0.3792478621610452
60,range60,D10,95111,-0.07397091781850267,-0.1473064819478559,0.0680047523420004,0.2527467905920451,0.3010167067952182
60,bbw60,D1,94382,-0.053926274466482134,-0.0491757832400323,0.01436714627789197,0.10186264330062936,0.3721790171854803
60,bbw60,D10,95117,-0.07164661684303267,-0.14401822170527523,0.06735914715560835,0.24495095513945983,0.3035524669617419
60,vol_dry,D1,87914,-0.05286691430911563,-0.09198840619475468,0.03940214300338968,0.12478103601246673,0.30295516072525425
60,vol_dry,D10,88645,-0.08447515973745698,-0.11723676417167006,0.03905465621298437,0.18154436234418184,0.2820125218568447
60,vol_surge5,D1,94398,-0.06270870178308856,-0.0925150082793404,0.03273374435899066,0.12717430454035042,0.29609737494438443
60,vol_surge5,D10,95132,-0.07389984076679869,-0.11314955745447924,0.04614640709750662,0.1802968506916705,0.2982907959466846
60,hl_range20,D1,98558,-0.05478928942968794,-0.04194225966819254,0.008857728444164856,0.10807849185251324,0.39469145071937334
60,hl_range20,D10,99280,-0.09461852794754236,-0.16137583003613054,0.06048549556809025,0.2710314262691378,0.2766921837228042
60,clv20,D1,98453,-0.06325294278032283,-0.09918529481503324,0.03824159751353438,0.1511381065076737,0.3090713335297045
60,clv20,D10,99281,-0.04561049625769467,-0.06292232331304004,0.039473816742377696,0.14045990672938427,0.37494586073871133
60,upvol20,D1,98515,-0.04182293837539837,-0.06667530393519161,0.03664416586306654,0.12173780642541746,0.3625539257981018
60,upvol20,D10,99290,-0.06672494665053395,-0.1022631889939088,0.04148454023567328,0.1545372142209689,0.29661597341121965
60,amihud20,D1,98467,-0.02833478945035592,-0.056505420503329185,0.04488813511125555,0.131627855017417,0.3960311576467243
60,amihud20,D10,99141,-0.05754550088708804,-0.08802556026974018,0.04157714769873211,0.1531757799497685,0.3288346899869882
60,logprice,D1,98323,-0.03961814963899531,-0.0787630531565533,0.045757350772454054,0.13553288650671766,0.34197491939830965
60,logprice,D10,99339,-0.045363303727743186,-0.0668554477703982,0.034024904619535126,0.13889811655039813,0.3747672112664714
60,rs63,D1,90354,-0.07302791765831343,-0.10792864896168464,0.04393828718153042,0.19579653363437147,0.3221108085972951
60,rs63,D10,91182,-0.05258371525478505,-0.13073677247749138,0.0737864929481696,0.22685398433901427,0.3213572854291417
60,rs21,D1,97436,-0.05649455277997476,-0.09919925300826926,0.04793916006404204,0.17223613448827949,0.3319717558192044
60,rs21,D10,98244,-0.06647537110584077,-0.13594392721839121,0.06591751150197468,0.2220288261878588,0.30436464313342293
60,days_since_high,D1,52228,-0.04998756128151686,-0.10189030020769574,0.0678371754614383,0.2116489239488397,0.35329708202496746
60,days_since_high,D10,52062,-0.061579786478262157,-0.08680897694217282,0.033440897391571585,0.14811186662056777,0.33563827743843877
60,beta60,D1,94206,-0.08326706490787261,-0.09722355691810153,0.034339638664203975,0.18876716981933211,0.31861027960002547
60,beta60,D10,94995,-0.017133758090565266,-0.09141008622704594,0.07035107110900574,0.13941786409811044,0.35775567135112374
60,ipo_age,D1,72517,-0.055672190577899516,-0.12736690127027395,0.06235779196602176,0.1876663403064109,0.308493180909304
120,lv60,D1,85039,-0.1507027447278141,-0.10137787707068613,0.02109620291866085,0.2666541234022037,0.32402779900986606
120,lv60,D10,85632,-0.18454655588907662,-0.2552716259338816,0.06863088565022421,0.4422178624813154,0.2218679932735426
120,lv20,D1,89322,-0.14149709067678137,-0.09861909524451828,0.024473254069546136,0.26179440675309557,0.3303777344887038
120,lv20,D10,89899,-0.1756594880243481,-0.2383282531595191,0.06572931845737995,0.41393118944593377,0.22707705313740975
120,rv21,D1,89325,-0.14203370869088258,-0.09868643903801622,0.024125384830674505,0.26197593059054014,0.33001959137979286
120,rv21,D10,89899,-0.17587123004408858,-0.2390713788060529,0.06545122860098555,0.41517703200258066,0.22656536780164407
120,to20,D1,89340,-0.15752580225988466,-0.11961543946366415,0.033971345421983434,0.30491381240205956,0.33169912693082604
120,to20,D10,89783,-0.16256821859377552,-0.22448700346749018,0.060312085806889945,0.3870220420346836,0.21451722486439526
120,nh252,D1,72779,-0.1490230221170766,-0.19493409228800485,0.06331496722955798,0.3611893540719163,0.2766182552659421
120,nh252,D10,73636,-0.07823295291999331,-0.1164561899685056,0.08317942310826226,0.2975446792329839,0.3638845130099408
120,dlow252,D1,72967,-0.15293842118596654,-0.15229180884491067,0.04370468842079296,0.3180067701837817,0.28799320240656734
120,dlow252,D10,73475,-0.06576714795716142,-0.192066957034829,0.12432800272201429,0.3756515821708064,0.32106158557332426
120,mom12_1,D1,53085,-0.16793694682036345,-0.2231552164662357,0.07064142413111048,0.4020533107280776,0.2643873033813695
120,mom12_1,D10,53669,-0.07241195586183857,-0.18272806516585827,0.13218058842162142,0.3839646723434385,0.33600402466973484
120,mom21,D1,88204,-0.10692147206976622,-0.16703505116106748,0.07698063579882998,0.3287265883633395,0.2993855153961272
120,mom21,D10,88875,-0.11840349991674672,-0.20326463513985338,0.08579465541490858,0.36754992967651196,0.27565682137834036
120,mom63,D1,81114,-0.1175157255702223,-0.16728400884987987,0.07073994624848978,0.33094163769509577,0.29907290973198214
120,mom63,D10,81838,-0.10131186565640173,-0.20422187855192186,0.09906156064419952,0.37659766856472543,0.29141719005840805
120,ret5,D1,89245,-0.11536068074088911,-0.17624969483617214,0.07690066670401703,0.33743066838478347,0.28597680542327303
120,ret5,D10,89925,-0.11011580727350259,-0.18771367198511624,0.08298026132888518,0.349713650264109,0.2836030025020851
120,upratio63,D1,84615,-0.15292989090898818,-0.17870891887813112,0.05370206228210128,0.34275246705666845,0.27449033859244815
120,upratio63,D10,85823,-0.03459129144228802,-0.1058804208403008,0.09658250119431853,0.2631811985132191,0.3679083695512858
120,on60,D1,84969,-0.14281273882954448,-0.16248966523998987,0.056138120961762523,0.3281902811613647,0.2852099000812061
120,on60,D10,85637,-0.11796873252193808,-0.1913985270069306,0.07965015121968308,0.34703457617618555,0.2604014619848897
120,size,D1,89120,-0.12081092316519614,-0.14663883272153616,0.05261445242369838,0.29130385996409336,0.27432675044883303
120,size,D10,90038,-0.07346627140602593,-0.09456346235102153,0.07184744219107488,0.2689197894222439,0.3826162287034363
120,amt20,D1,89236,-0.09255398095188552,-0.09958551947500394,0.05154870231745036,0.24532699807252678,0.3358173831189206
120,amt20,D10,89975,-0.07651886603713771,-0.159814121415219,0.09184773548207835,0.3225784940261184,0.3275465407057516
120,max5_21,D1,89305,-0.13219255960872608,-0.10489184755676995,0.03316723587705056,0.2616762779239684,0.3242259671910867
120,max5_21,D10,89909,-0.17274838344786406,-0.22832429181972924,0.061150719060383274,0.39776885517578886,0.22456038883760246
120,bbw20,D1,89307,-0.12853437642460913,-0.09716299476535395,0.031565274838478506,0.25394425968849027,0.3343634877445217
120,bbw20,D10,89863,-0.15140976716299934,-0.2290341811389779,0.07666113973492984,0.4027352748072065,0.2509264102021967
120,sma20gap,D1,89243,-0.11272466984154662,-0.17107508996306886,0.07619645238281994,0.33547729233665385,0.2929305379693645
120,sma20gap,D10,89931,-0.11296387469430791,-0.19623781498886428,0.08540992538724133,0.3584970699758704,0.2802815491877106
120,rsi14,D1,89256,-0.10709522843384488,-0.1379073144854167,0.06287532490812943,0.2933472259567984,0.318533207851573
120,rsi14,D10,89921,-0.10452203866513242,-0.1679025886360015,0.079047163621401,0.32705374717807856,0.30442277109907584
120,dd52,D1,72779,-0.1490230221170766,-0.19493409228800485,0.06331496722955798,0.3611893540719163,0.2766182552659421
120,dd52,D10,73636,-0.07823295291999331,-0.1164561899685056,0.08317942310826226,0.2975446792329839,0.3638845130099408
120,mom126,D1,71735,-0.11996906057560487,-0.1686989771764289,0.06964522199763017,0.33460653795218515,0.30520666341395414
120,mom126,D10,72276,-0.06353881187550099,-0.17726893620571027,0.11771542420720571,0.35915103215451877,0.3257927942885605
120,mom252,D1,53046,-0.1516952595713802,-0.2110782608954762,0.07453907928967311,0.3875315763676809,0.2802096293782755
120,mom252,D10,53661,-0.0791838973056433,-0.1918767098325569,0.13350478000782692,0.39181155774212184,0.3296248672220048
120,sma60gap,D1,85084,-0.11494773414020872,-0.1738574922718934,0.07504348643693291,0.33672605895350477,0.2981406609938414
120,sma60gap,D10,85790,-0.11230374649870604,-0.20515899816982391,0.09104790768154797,0.37329525585732604,0.283785989043012
120,sma120gap,D1,78607,-0.12634454689724176,-0.1730748571607743,0.06851807090971541,0.33789611612197384,0.2989810067805666
120,sma120gap,D10,79300,-0.09335903147844081,-0.20268257499954973,0.1034047919293821,0.37476670870113493,0.3003656998738966
120,range120,D1,78774,-0.1505925392660777,-0.1127186388766444,0.027902607459313986,0.2763094422017417,0.31472313199786733
120,range120,D10,79259,-0.12519572996695089,-0.2109117064920335,0.09016010800035328,0.3909839891999647,0.28308457083738126
120,range60,D1,85186,-0.13621269598495206,-0.1001231828146234,0.028431901955720422,0.2571431925433757,0.3281055572511915
120,range60,D10,85797,-0.1444536900820695,-0.22876967744976606,0.08381411937480332,0.4100143361656002,0.26139608611023696
120,bbw60,D1,85192,-0.1387047042018227,-0.10230418207730019,0.028652925157291766,0.2597779134191004,0.3223424734716875
120,bbw60,D10,85784,-0.141022001941678,-0.2268179836575112,0.08459619509465635,0.4062529142963723,0.26563228574093073
120,vol_dry,D1,78692,-0.10373869159879513,-0.1435864908247681,0.06273827072637625,0.2869669089615209,0.2870812789101815
120,vol_dry,D10,79323,-0.15988340270032328,-0.19123455782102972,0.05249423244204077,0.347440212800827,0.23885884295853663
120,vol_surge5,D1,85177,-0.119141120214322,-0.15058842141143514,0.050377449311433835,0.286438827382979,0.26214823250407976
120,vol_surge5,D10,85823,-0.13511374667196627,-0.1769901282111006,0.062209431038299755,0.3326031483401885,0.26526688649895713
120,hl_range20,D1,89299,-0.140711809243581,-0.09313964842796096,0.02218389903582347,0.25722572481214795,0.34131401247494375
120,hl_range20,D10,89893,-0.1796349302728224,-0.25320005724362704,0.06804756766377805,0.43844348280733764,0.2303961376302938
120,clv20,D1,89220,-0.1319523529342406,-0.1694974558257053,0.057431069266980495,0.31571396547859226,0.2660838377045506
120,clv20,D10,89988,-0.09544019848018384,-0.11347574543546163,0.06196381739787527,0.27210294705960797,0.3463795172689692
120,upvol20,D1,89295,-0.09356751860315975,-0.12128374769191508,0.06319502771711742,0.2720645052914497,0.3306456128562629
120,upvol20,D10,89884,-0.12752809757731906,-0.16140001757115624,0.05284589025855547,0.3041586934270838,0.26172622491210895
120,amihud20,D1,89247,-0.05075217363303608,-0.1039330680602284,0.08840633298598272,0.2696113034611808,0.3753403475747084
120,amihud20,D10,89864,-0.11531292218350335,-0.14490325384129665,0.05663001869491676,0.29736045579987536,0.2982840737113861
120,logprice,D1,88967,-0.08502102139712853,-0.12661348402965544,0.06801398271269123,0.2746523992041993,0.3140715096608855
120,logprice,D10,90005,-0.10107437524363691,-0.13524146393133296,0.07065163046497416,0.29358368979501137,0.33233709238375647
120,rs63,D1,81115,-0.15454042234544138,-0.1896496702218562,0.06674474511496024,0.3640756950009246,0.2835357208900943
120,rs63,D10,81841,-0.09628671523062385,-0.20300163505884417,0.09971774538434282,0.3731381581358977,0.2917486345474762
120,rs21,D1,88205,-0.11880445647477829,-0.17317717119374498,0.07500708576611304,0.34135253103565555,0.2943257184966839
120,rs21,D10,88869,-0.11712193971650543,-0.20377836559702522,0.08618303345373528,0.36712464413912616,0.2752253316679607
120,days_since_high,D1,43918,-0.09842187530743522,-0.17232047457841315,0.10032332984197823,0.36477070904868164,0.3303656814973359
120,days_since_high,D10,43743,-0.13543966101732313,-0.16826732238743525,0.055460302219783736,0.3323503189081682,0.2943556683355051
120,beta60,D1,84949,-0.17614406730450496,-0.1724361972026387,0.04993584385925673,0.35782646058223166,0.2822281604256672
120,beta60,D10,85633,-0.03765568365230318,-0.14111153434914425,0.09996146345450936,0.28142188175119404,0.33343454042250065
120,ipo_age,D1,63268,-0.10840447392430735,-0.2115603148695427,0.08384965543402668,0.3843175064803692,0.275131187962319
250,lv60,D1,66183,-0.3340707731144017,-0.18067246687726946,0.04993729507577475,0.3977305350316547,0.3042322046446973
250,lv60,D10,66477,-0.3353238666275854,-0.36493990816137367,0.07318320622170074,0.5669479669660183,0.19018607939588128
250,lv20,D1,70420,-0.2966442199955493,-0.17340656828470385,0.056333428003408126,0.38217835842090314,0.3058932121556376
250,lv20,D10,70765,-0.3208122846838515,-0.3459811936861932,0.07163145622836148,0.5486045361407476,0.19089945594573587
250,rv21,D1,70422,-0.2977175385589899,-0.17246495206433904,0.05638862855357701,0.3811876970264974,0.3064667291471415
250,rv21,D10,70768,-0.32149172830486455,-0.3461564022416964,0.07167081166628984,0.5486095410354963,0.19063701107845354
250,to20,D1,70278,-0.34124050588832844,-0.22452908580542524,0.06636500754147813,0.4444776459204872,0.3058140527618885
250,to20,D10,70659,-0.2791215828732454,-0.30848924128174326,0.07076239403331494,0.5102534708954274,0.18585035168909836
250,nh252,D1,54190,-0.25368477744153195,-0.32610877892151746,0.0919726886879498,0.5240450267577044,0.23923233068831887
250,nh252,D10,54550,-0.26440435391402345,-0.2504868070412573,0.10975252062328139,0.4596700274977085,0.30498625114573785
250,dlow252,D1,54189,-0.3366964207590586,-0.28798154182080016,0.07202568787023196,0.48960121057779254,0.23755743785639152
250,dlow252,D10,54584,-0.18571803692530697,-0.3226985616418103,0.15319507547999414,0.5201157848453759,0.2814744247398505
