tag,factor,decile,n,rate,lift,lift_2023,lift_2024,lift_2025,lift_2026
60_all,logprice,D10,99339,0.031065341910025267,0.8121760816057269,0.39589143839836277,0.9458698937653243,0.7634868750294953,0.9682054486066594
60_all,rs63,D1,90354,0.03896894437434978,1.018808826825019,1.8202418725311216,1.3584733531769395,0.7653373503500197,0.7227055788267408
60_all,rs63,D10,91182,0.0684564936061942,1.7897349045304962,1.5217832895657162,1.6772595584013774,1.8989558717733936,1.6229196105841985
60_all,rs21,D1,97436,0.04333100701999261,1.1328511237846928,1.280008296638503,1.445351083201361,1.0355060920627703,0.8053082145500738
60_all,rs21,D10,98244,0.06065510361955946,1.5857744147739552,1.3814969781496977,1.6277177380504493,1.6257687276830708,1.5341693760666504
60_all,days_since_high,D1,52228,0.061499578770008424,1.6078524759358608,,1.4451605001256909,1.5066535368497904,1.4580523004761319
60_all,days_since_high,D10,52062,0.029599323883062502,0.7738483277973024,,0.7316204592447961,0.7201289066508398,0.6682752260089455
60_all,beta60,D1,94206,0.030624376366685774,0.8006474247459409,1.418145686912608,1.0846848848900492,0.6575879737041751,0.3922893001764813
60_all,beta60,D10,94995,0.06641402179062056,1.736336272680016,1.1266312742760307,1.513184528822255,1.9206921658657787,1.8332880283119168
60_all,ipo_age,D1,72517,0.058910324475640194,1.5401586963801257,1.7683814393855282,1.4921823477841287,1.7734018227339414,0.6329855621518916
60_all,buyback60,flag,64529,0.02777045979327124,0.7260342823398873,,,,
60_all,dilution120,flag,159566,0.053614178459070225,1.4016956100311082,,,,
60_all,reduction120,flag,9584,0.02963272120200334,0.7747214713703577,,,,
60_all,resumed60,flag,13890,0.04499640028797696,1.17639136817156,,,,
60_all,bonus120,flag,14141,0.04518775192702072,1.1813940887228906,,,,
60_cold,lv60,D1,77785,0.0081892395706113,0.24861408182843364,0.022077078933850806,0.26707074641497225,0.3186870556408124,0.19792513135614026
60_cold,lv60,D10,30194,0.05335497118632841,1.6197837489178981,1.56820984890423,2.062352887526013,1.3330643760248482,1.1564543612492066
60_cold,lv20,D1,80485,0.010213083183201839,0.3100551982068348,0.3305725175056514,0.22695301313501984,0.37778810612434177,0.29355319363799004
60_cold,lv20,D10,31905,0.04557279423287886,1.3835275298604512,1.1960533096655979,1.731639668166711,1.1274228357471796,1.3384256731017692
60_cold,rv21,D1,80460,0.010004971414367387,0.3037372103301404,0.3198265962333486,0.2303848812293905,0.3636999030272879,0.2896412570690175
60_cold,rv21,D10,31849,0.045433137618135576,1.3792877465757771,1.1777318945585984,1.726842218479185,1.1477975181075935,1.2865062423751965
