date,tercile,n,base_med,ex120,ex60,win
20240625,0,28,29.0,-0.09298597102509985,-0.09620848157016042,0.0
20240625,1,29,52.0,-0.12109847641842283,-0.049279558813293586,0.0
20240625,2,27,82.0,-0.05081655216290266,-0.09366144259618689,0.037037037037037035
20240702,0,26,29.0,0.05161783706301001,0.009913292944977404,0.0
20240702,1,25,52.0,-0.004692885994766893,0.030986270507186924,0.0
20240702,2,26,82.5,0.03497257638802431,0.013662412776726824,0.038461538461538464
20240709,0,25,31.0,0.04041695188397593,-0.01516922630984169,0.0
20240709,1,22,54.0,-0.0390378102220055,0.04515594171418948,0.0
20240709,2,23,76.0,0.07400684744810758,0.18621421079937783,0.043478260869565216
20240716,0,21,31.0,0.13176057708729363,0.02088650423911332,0.0
20240716,1,19,53.0,-0.03556398671975016,-0.004259886204552088,0.0
20240716,2,19,76.0,0.03822084869262546,0.08180016432263358,0.0
20240723,0,19,27.0,0.1154483478405093,-0.01444115140865544,0.0
20240723,1,18,51.5,0.13072154396973726,0.043710410109642855,0.05555555555555555
20240723,2,19,90.0,0.07054229362279135,0.08721782867466805,0.0
20240730,0,16,31.0,0.15660613715158933,-0.0017047903767057615,0.0
20240730,1,16,61.5,0.2179332108719221,0.1362536486832679,0.0
20240730,2,16,92.0,0.040403090687171066,0.046429795182979954,0.0
20240806,0,16,31.0,0.07025011547899508,0.00016223024230947736,0.0
20240806,1,16,58.5,0.0968733141105858,0.12672909050036837,0.0
20240806,2,17,92.0,-0.08052810569378843,-0.045370249376796554,0.0
20240813,0,14,31.5,-0.018918527696739622,-0.007608186609869926,0.0
20240813,1,14,69.5,-0.015438038737335664,0.029288216220325434,0.0
20240813,2,14,104.5,-0.11183411988723212,-0.012073342008971501,0.0
20240821,0,16,39.5,0.046681150900843356,0.05097145304288501,0.0
20240821,1,14,78.0,0.04978881319150702,0.016416520866045496,0.07142857142857142
20240821,2,16,110.5,-0.06275116578530357,-0.01855684720390908,0.0
20240828,0,18,41.0,0.019327303094204242,0.003236615922405465,0.0
20240828,1,17,76.0,-0.021062513399204702,0.0005319292532313897,0.0
20240828,2,18,110.0,-0.02501027381926202,0.02691415061077823,0.0
20240904,0,17,40.0,-0.030538576043812996,-0.05857191176158078,0.0
20240904,1,17,73.0,-0.013192357043183792,0.019090964452317366,0.0
20240904,2,16,108.5,0.013496453490050853,0.048239509064272185,0.0
20241010,0,12,42.0,-0.013758661336063543,-0.13811323459834968,0.08333333333333333
20241010,1,13,81.0,-0.052283932230056215,-0.1322726288333251,0.07692307692307693
20241010,2,12,127.0,-0.06928683778068166,-0.050700211368739624,0.0
20241017,0,15,42.0,0.06656729247492296,-0.13421541295058148,0.06666666666666667
20241017,1,15,76.0,-0.004860828603853595,-0.07090548851689542,0.06666666666666667
20241017,2,15,150.0,-0.07574684482479341,-0.07620167070708164,0.0
20241024,0,17,46.0,0.18149693524320673,-0.0774193242565125,0.11764705882352941
20241024,1,16,83.5,0.10639021517738022,0.00963705065251834,0.0625
20241024,2,17,150.0,-0.03190301930876326,-0.018487252257222777,0.0
20241031,0,14,44.0,0.2503985677540269,0.031813635814731914,0.07142857142857142
20241031,1,15,83.0,0.09868682739265118,0.007021836169024528,0.06666666666666667
20241031,2,13,138.0,0.00732626174712444,0.006516854528559486,0.0
20241114,0,16,53.0,0.16383862241564973,-0.015638089598871877,0.0
20241114,1,13,87.0,0.21257716454305065,-0.004921277008376284,0.07692307692307693
20241114,2,14,147.5,-0.025839273441072248,-0.07276605410967588,0.0
20241121,0,15,53.0,0.34128982719339085,0.03368346634961135,0.2
20241121,1,15,86.0,0.2538513985147116,0.04141067148833433,0.06666666666666667
20241121,2,12,116.0,0.13989148739322896,-0.058575505022346507,0.0
20241128,0,15,56.0,0.2620893263111945,0.02788263045419169,0.13333333333333333
20241128,1,13,82.0,0.32740808554708717,0.18046742736510252,0.15384615384615385
20241128,2,15,107.0,0.0977540709153241,-0.002879049089441551,0.0
20241205,0,16,61.5,0.11421853938972809,-0.01716204963654558,0.0
20241205,1,15,90.0,0.30803487100542293,0.17243537725432112,0.13333333333333333
20241205,2,16,161.0,-0.07722115150929837,0.05393830093603502,0.0
20241212,0,17,59.0,-0.07753207953092871,-0.12408764052052877,0.0
20241212,1,17,99.0,0.2062459806864449,0.04143599715512353,0.058823529411764705
20241212,2,17,164.0,-0.19038356081105268,-0.022650152453930178,0.058823529411764705
20241219,0,14,47.0,-0.16691901284379895,-0.1423537957825587,0.0
20241219,1,14,99.0,0.1113072252515414,0.04311353460146849,0.14285714285714285
20241219,2,14,167.5,-0.2342944554942823,0.046228987485652816,0.07142857142857142
20241227,0,14,61.0,-0.06704171681476467,-0.10292191355076145,0.0
20241227,1,10,93.5,0.17907231510735042,0.153141662045221,0.0
20241227,2,13,139.0,-0.2630771979148697,0.07657476433310764,0.0
20250107,0,14,62.0,0.014424377603878427,-0.010743724378705037,0.0
20250107,1,13,96.0,0.08186555448122064,0.039489261983469484,0.0
20250107,2,14,166.0,-0.15479860855237906,0.13048191039170026,0.0
20250114,0,13,51.0,-0.06926302793520679,-0.015234948543396635,0.0
20250114,1,11,94.0,0.1768997695883994,0.09767819680466892,0.0
20250114,2,13,163.0,-0.24419871899730256,0.07085336178504666,0.0
20250121,0,16,52.5,-0.06677873596470593,-0.06416342266048009,0.0
20250121,1,14,94.5,0.033583480895224886,0.0694366970827498,0.0
20250121,2,16,164.0,0.009999508247555224,0.02725502466487157,0.0625
20250203,0,19,62.0,-0.181139021580198,-0.08291379536313946,0.0
20250203,1,19,102.0,0.3007671822357964,0.04798915294594857,0.21052631578947367
20250203,2,18,169.5,0.003187629444926584,-0.029627825499440916,0.1111111111111111
