combo,n,events,episodes,lift,mean_ex_idx,med_ex_idx,mean_ex_ew,p_beat_idx,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
mom126↑&beta60↑,9572,521,63,2.581902598769882,0.024387947691659338,-0.10336819364395156,0.16309380530745443,0.37463435018804847,0.23004596740493105,,2.4010872048420944,2.834755068174162,4.771223319238224
mom126↑&bbw20↑,7390,366,66,2.3493161722423217,-0.09739685494680742,-0.17601553898147082,0.04726235475612936,0.3004059539918809,0.3382949932341001,,2.7227760918326953,2.1086295087190896,2.3774788925976833
mom126↑&amt20↑,11009,654,61,2.817959180793825,0.0075493259276331465,-0.09455936591639724,0.18834525666243077,0.3909528567535653,0.23807793623399037,,2.854117360537959,3.159837917485265,2.0762105749097324
mom252↑&mom12_1↑,34881,1651,108,2.24524101639169,-0.06543996969547722,-0.13182959645200854,0.1457069714863069,0.35403228118459906,0.3240732777156618,,2.878469914689264,1.8723302364010244,1.1290944099034506
mom252↑&sma120gap↑,4085,208,38,2.415327885357678,0.0144721979853368,-0.07061890879666088,0.14343526487996724,0.40709914320685436,0.24406364749082007,,1.8905909612775285,3.1092899967749825,8.278415712354521
mom252↑&on60↑,8546,541,58,3.002888438992031,0.01646933932722603,-0.08604787041078488,0.2023292426735089,0.4022934706295343,0.28855604961385445,,3.356909210977336,2.8322115070053178,1.0519347949370754
mom252↑&beta60↑,10043,537,56,2.536387734221426,0.02775749569730435,-0.07040960795976758,0.20317259168020554,0.4223837498755352,0.2487304590261874,,2.6003316393004696,2.6114735532400233,0.8342031202097133
mom252↑&bbw20↑,6344,279,47,2.0861515278370426,-0.1261495885456898,-0.20639613299725273,0.055140724528476924,0.30595838587641866,0.39044766708701134,,2.7640827212451926,1.651234681565138,0.7315319669531333
mom252↑&amt20↑,12503,680,56,2.579879982629768,-0.032366996854054086,-0.09951374475502484,0.20621154519395832,0.38414780452691355,0.28897064704470926,,2.7104825389528298,2.4507277411341066,0.8335384165282713
mom12_1↑&sma120gap↑,3553,190,37,2.5366655727288445,0.021926178525020167,-0.07024242397937519,0.15158834033308755,0.4030396847734309,0.23839009287925697,,2.0439712569945128,3.253794180918164,7.025982399020019
mom12_1↑&on60↑,9636,606,61,2.9831882112160453,0.007947421562053374,-0.09738632007239872,0.19497234208039768,0.3926940639269406,0.29597343295973433,,3.5477690338081103,2.7082687353964165,1.0068245550943027
mom12_1↑&beta60↑,11400,573,59,2.3842653752935825,0.018974505968763416,-0.07508172015370257,0.1930857788435372,0.4144736842105263,0.2569298245614035,,2.475715454629809,2.4809166885130214,0.6611528381100298
mom12_1↑&bbw20↑,7780,283,48,1.7254868737067246,-0.1495451850586235,-0.22187809705975892,0.03542846910010873,0.288560411311054,0.40976863753213366,,2.5630383713203098,1.2397196695704058,0.64706642025339
mom12_1↑&amt20↑,13661,714,57,2.4792512549565173,-0.041309839491077985,-0.1108671036322828,0.2079365459369683,0.37127589488324425,0.29924602884122686,,2.6751064795143065,2.2724381029029415,1.3752288072870034
sma120gap↑&on60↑,3256,129,36,1.8793606760116068,-0.029409591556775774,-0.13338949987353116,0.0700535320448338,0.33875921375921375,0.24815724815724816,0.2432139794168096,2.3189523304827913,2.601389337217819,
sma120gap↑&beta60↑,2457,147,38,2.8380301151299636,0.015003255886669205,-0.15236351914449797,0.1409250361160052,0.3256003256003256,0.25844525844525845,1.6664004039847589,2.6385270425776755,3.133431393095588,
sma120gap↑&bbw20↑,3822,185,60,2.296073926963746,-0.05511920859456936,-0.17509232883279374,0.05347705309372441,0.304552590266876,0.31815803244374674,2.217026234683906,1.907878140699162,2.788417328782499,
sma120gap↑&amt20↑,4707,226,42,2.27755598968911,0.020084592835535132,-0.09335886115510683,0.13213166173197957,0.3930316549819418,0.20097726789887402,3.347928744597871,1.2588776512743456,3.900180735899001,5.029282272802791
on60↑&beta60↑,22494,720,97,1.5183455708731735,-0.041216918134062294,-0.12863258389515164,0.07955378842516861,0.33284431403929937,0.26264781719569663,1.5825356857274104,1.367239622456015,1.7468559093122369,0.8706260733456305
on60↑&bbw20↑,16444,469,85,1.3529140155986248,-0.1290227542136267,-0.18849694870864991,-0.010371255964124863,0.27091948431038676,0.34304305521770856,0.7004562607204117,1.9111297313870168,1.2228562550199185,1.1484029780611564
on60↑&amt20↑,12691,541,61,2.0221168229159168,-0.011749797499778333,-0.11772050923801891,0.13223214607606443,0.3460720195414073,0.24308565124891657,0.8299777383398717,2.9314070306094204,2.0381154707046902,0.5768882607038496
beta60↑&bbw20↑,20480,585,96,1.3549732926204685,-0.07459246598370387,-0.15660077573818137,0.02963689376824189,0.31328125,0.30166015625,1.2783366247804944,1.4680489633617242,1.3832382608831957,1.4562747741201585
beta60↑&amt20↑,20451,800,65,1.8555824638415488,-0.03793825099692546,-0.14672895234140793,0.11836188361065147,0.3246784998288592,0.26184538653366585,1.36167252575668,1.814803599251304,2.3416075387211714,0.2814593845945239
bbw20↑&amt20↑,15587,427,74,1.2994816790711843,-0.1111321302773229,-0.17967210945660428,0.02456532860382687,0.2772823506768461,0.3293128889459165,1.1902269022502856,1.8033388185851724,0.9270540322682006,1.0609439277312176
dlow252↑&mom126↑&mom252↑,11676,739,61,3.002307515348725,-0.026091931140224508,-0.1175194153572634,0.15499009033328257,0.3723021582733813,0.30986639260020554,,3.51754132521957,2.7140617343249573,1.9812324104980694
dlow252↑&mom126↑&mom12_1↑,11904,732,62,2.916909696382856,-0.03190822725263476,-0.12158789400929088,0.15009620510473176,0.3676915322580645,0.31401209677419356,,3.478550317469236,2.61037717140533,1.713342386658203
dlow252↑&mom126↑&sma120gap↑,4832,254,51,2.493512859550386,-0.0034953370380461117,-0.116493578344533,0.12100772598577209,0.3714817880794702,0.2853890728476821,,2.157863669041239,3.0680199167833555,8.539516022391677
dlow252↑&mom126↑&on60↑,6055,361,53,2.828120277757326,0.00817489402213755,-0.10673980199684774,0.13457696028916927,0.36862097440132124,0.25532617671346,,3.138069714782194,2.855194247522095,1.9019831140781465
dlow252↑&mom126↑&beta60↑,6916,380,47,2.606354187364252,0.027835901449469784,-0.09867754804827866,0.16533889689797682,0.38042220936957777,0.23221515326778486,,2.3837776286997787,3.113890414126612,2.794232287794272
dlow252↑&mom126↑&bbw20↑,5581,264,50,2.243865006172327,-0.10229242296873847,-0.17882207474149336,0.04252241200298051,0.30424655079734814,0.3416950367317685,,2.604627470239684,2.0115166833854197,2.478887944888579
dlow252↑&mom126↑&amt20↑,8204,592,53,3.422952530026499,0.037851005436805044,-0.08947174626527493,0.21027105953606698,0.39736713798147244,0.2380546075085324,,3.267282769376632,4.138236193272102,1.8780802742243816
dlow252↑&mom252↑&mom12_1↑,23304,1282,84,2.609530485807487,-0.05339334151712537,-0.13817898091102038,0.14128291735869658,0.3507123240645383,0.33466357706831446,,2.958036660956637,2.4717300215542077,1.3857986527565442
dlow252↑&mom252↑&sma120gap↑,3340,195,36,2.769446410465788,0.014230128429169913,-0.09926769526534113,0.14902073575765626,0.3853293413173653,0.27335329341317366,,2.236236441524577,3.254535870952566,9.060628220608493
dlow252↑&mom252↑&on60↑,6512,388,50,2.8263253577228813,0.018494734207541615,-0.08844136406879927,0.19786786640090454,0.398955773955774,0.2839373464373464,,2.959466759136181,2.8348779763890497,1.2985953675430104
dlow252↑&mom252↑&beta60↑,8039,462,47,2.726118739772805,0.0500006827368418,-0.05657820067827135,0.2167266033597678,0.4351287473566364,0.23734295310361986,,2.6417381418363415,3.0464371346651706,0.9713005689349865
dlow252↑&mom252↑&bbw20↑,5292,230,37,2.061639952438919,-0.12855248488097396,-0.21340541702439603,0.046688351823447174,0.3013983371126228,0.39399092970521543,,2.3784636846529428,1.791430370087047,0.9257439935778589
dlow252↑&mom252↑&amt20↑,9325,582,46,2.9605947554141667,-0.012187235675310026,-0.10194004209364649,0.20795544898072563,0.38359249329758716,0.2836461126005362,,2.6949308939171104,3.2572184074934216,0.9466884278217019
dlow252↑&mom12_1↑&sma120gap↑,3037,176,34,2.7489870704528063,0.02012563562447292,-0.0928091419249526,0.15434465057299543,0.3872242344418834,0.2634178465591044,,2.2069204485297655,3.3163910848741787,7.717062634989201
dlow252↑&mom12_1↑&on60↑,6621,393,51,2.8156183296392614,0.02009711198011581,-0.08640143167642966,0.19786899646462242,0.3993354478175502,0.28032019332427127,,2.882292266909763,2.8697127328622036,1.2306949561682123
dlow252↑&mom12_1↑&beta60↑,8205,463,49,2.676746397957783,0.05106235500018129,-0.05557446670718802,0.2154418722685863,0.43619744058500914,0.23461304082876294,,2.5742668422150863,3.077885134351684,0.7379828661326141
dlow252↑&mom12_1↑&bbw20↑,5236,220,37,1.9930943785726636,-0.12749950826078643,-0.2085269800438873,0.04837234020059955,0.3009931245225363,0.38693659281894577,,2.370322002878943,1.701061907637819,0.9230212171261594
dlow252↑&mom12_1↑&amt20↑,9261,588,46,3.011787060954247,-0.010975155613055386,-0.10131541917765674,0.2149817829131251,0.38224813735017815,0.28387863081740633,,2.645703453391577,3.3723340323980167,0.9176234322306847
dlow252↑&sma120gap↑&on60↑,1847,78,21,2.00323790166881,-0.024692011128916898,-0.13595381226043146,0.08017074965313162,0.34650785056848943,0.2869518137520303,,2.0139481774264385,2.5352834434720486,
dlow252↑&sma120gap↑&beta60↑,1734,102,24,2.7903321300017287,0.014833438422223802,-0.1485346742594894,0.15078483297615713,0.33217993079584773,0.27566320645905423,,2.1420836138321406,3.3809789875605203,
dlow252↑&sma120gap↑&bbw20↑,2299,116,37,2.393447133694393,-0.08658590197972256,-0.1992968695111511,0.03459573396137888,0.293605915615485,0.36537625054371464,,2.0613631510928805,2.765732811252738,
dlow252↑&sma120gap↑&amt20↑,2804,141,30,2.3853160184073268,0.007247192172935895,-0.11754613036093331,0.1325177708056277,0.36626248216833096,0.24001426533523537,2.561022415739397,1.251608981735564,4.3905970333451645,
dlow252↑&on60↑&beta60↑,4773,199,41,1.9777275499258011,0.02869546629342552,-0.08849427643275043,0.15611861416037337,0.3989105384454222,0.2350722815839095,1.4863076519916143,1.7308903204745656,2.613272587115352,1.248318272962984
dlow252↑&on60↑&bbw20↑,3403,180,33,2.5090850184558597,-0.08956697521131693,-0.18114328211595498,0.04453917819358265,0.30473111960035265,0.36056420805171907,,3.451441933197419,2.0289434724718105,0.0
dlow252↑&on60↑&amt20↑,4476,274,35,2.9037906750554185,0.0439714843677024,-0.08756016295703495,0.18280714171916912,0.3923145665773012,0.2276586237712243,0.6741048878324172,3.3837534603327706,3.188727241209039,0.9298584113270938
dlow252↑&beta60↑&bbw20↑,4128,142,29,1.6317494578062435,-0.02923852451120759,-0.13133116298792513,0.07752786136666394,0.3556201550387597,0.25339147286821706,0.0,1.60950921322024,2.00593613298209,2.037839050798014
dlow252↑&beta60↑&amt20↑,6184,357,36,2.7384420596669616,0.04408752753959773,-0.09038796152153084,0.19136419420403702,0.3935963777490298,0.22752263906856404,0.7017321373337458,2.3632869766059654,4.117212069811548,0.38672484759444753
dlow252↑&bbw20↑&amt20↑,4761,208,33,2.0723827791821283,-0.06497921082151409,-0.1619172240014477,0.07592343074841017,0.3299726948120143,0.29972694812014283,2.896623634558093,2.4922368965285058,1.8073083500084173,1.6692936905473093
mom126↑&mom252↑&mom12_1↑,13575,779,72,2.7220897530469905,-0.029465156025297465,-0.10896587610170227,0.156389605315718,0.3747329650092081,0.292744014732965,,3.3404428904428904,2.3570042367050323,1.653172329181181
mom126↑&mom252↑&sma120gap↑,3462,193,36,2.6444482144817076,0.026762521426692807,-0.0643676389747388,0.16118769129223576,0.41767764298093585,0.25447718082033505,,1.9969241015394863,3.330057062353829,8.461027823656462
mom126↑&mom252↑&on60↑,3773,203,37,2.552196178276164,0.002108738415250338,-0.07694655406033035,0.15739067243319507,0.4094884707129605,0.2626557116353035,,3.805259081689102,1.7977900245231988,1.7551857596358735
mom126↑&mom252↑&beta60↑,4154,272,30,3.1060413502956177,0.07015930456504077,-0.051321812136722045,0.24413930702228143,0.44246509388541166,0.22123254694270583,,3.7098238082917603,3.0061882935906326,1.2187464614481327
mom126↑&mom252↑&bbw20↑,3122,198,34,3.008410618060801,-0.0999474895375221,-0.18056778236601262,0.075354849601181,0.32319026265214607,0.38244714926329276,,3.8967854161563955,2.4014981639391477,1.6093703272968933
mom126↑&mom252↑&amt20↑,5971,409,39,3.249234516814943,0.023660428090517827,-0.07264697476311022,0.22871554675277553,0.4128286719142522,0.23664377826159771,,2.993441348938038,3.6206886089007897,1.7843764822907984
mom126↑&mom12_1↑&sma120gap↑,3101,175,35,2.6769552037262634,0.030457808034970616,-0.06400917028069153,0.16423435071088072,0.4124475975491777,0.2473395678813286,,2.058379888069139,3.412091604526486,7.18688275930292
mom126↑&mom12_1↑&on60↑,3916,208,38,2.5195644565082005,-0.0030254609228876636,-0.08247299728331131,0.15147733659131382,0.39989785495403474,0.2640449438202247,,3.772735499794323,1.7794321286715264,1.8624760464266716
mom126↑&mom12_1↑&beta60↑,4373,273,31,2.9613380780558023,0.06974135139142118,-0.052207577530917426,0.2380122611049219,0.44065858678252917,0.21769951978047108,,3.5143289587125204,2.9673438245498107,0.7419083069099153
mom126↑&mom12_1↑&bbw20↑,3245,187,33,2.7335796121033886,-0.11807783360600135,-0.19769120986298583,0.05477708028742415,0.3016949152542373,0.3882896764252696,,3.8218327425998657,2.0453996774302077,1.5459468661226312
mom126↑&mom12_1↑&amt20↑,6124,418,40,3.237769450651908,0.014751156364400341,-0.08097680284022007,0.22310843000625022,0.399412148922273,0.24510124101894187,,2.9244002218892913,3.5952513704002937,2.13053098318326
mom126↑&sma120gap↑&on60↑,1866,106,29,2.6946294202910583,0.00404959416250006,-0.12230833232072097,0.11144344003997494,0.36441586280814575,0.27009646302250806,,2.9175058451783245,2.9414743042076297,
mom126↑&sma120gap↑&beta60↑,1599,113,27,3.352237662122152,0.03849571331657475,-0.14764267909537032,0.17836216580914493,0.35647279549718575,0.27204502814258913,,2.7487072927072926,3.5674720123903123,
mom126↑&sma120gap↑&bbw20↑,1977,116,40,2.7832751443416335,-0.0668061533879117,-0.17837641096918455,0.0615055565300426,0.30652503793626706,0.343955488113303,,2.4051188811188813,3.152401282618723,
mom126↑&sma120gap↑&amt20↑,2821,141,31,2.3709415510861906,0.02607364579620501,-0.07971680371936674,0.1507520593337348,0.40836582772066643,0.21127259836937257,,1.555955931501783,4.406871536474173,
mom126↑&on60↑&beta60↑,3166,155,30,2.322338964799291,0.034823341661505525,-0.08191993923604457,0.1422829083480652,0.3957675300063171,0.20846493998736576,,2.5654601398601398,2.668719414181104,0.41676920826413566
mom126↑&on60↑&bbw20↑,2182,150,31,3.2609289328617823,-0.08186295973402785,-0.16122287525510093,0.04930921813188588,0.30384967919340056,0.34784601283226396,,4.5083399947333005,2.5423712663965476,0.0
mom126↑&on60↑&amt20↑,3379,223,32,3.130556112706882,0.047569658036954225,-0.07801124935600723,0.17114784826400953,0.39212784847588045,0.20479431784551644,,3.9447397849462367,2.9771183396185084,1.237977174843764
mom126↑&beta60↑&bbw20↑,2617,129,26,2.3382492782169626,-0.00034152255440364894,-0.10218641175419108,0.10757356950503413,0.37905999235766147,0.2315628582346198,,1.8497284704700832,3.2462015921537115,3.3209228975967635
mom126↑&beta60↑&amt20↑,3935,246,28,2.965481313257238,0.06612620941767178,-0.06491744922774068,0.2112182378239762,0.4198221092757306,0.19161372299872936,,3.144455803515771,3.70990605723639,0.60819227485057
mom126↑&bbw20↑&amt20↑,3329,182,34,2.593357648010018,-0.04483110726727494,-0.14528417355277923,0.0985968851427752,0.34454791228597176,0.2808651246620607,,3.107388735295712,2.2934307465618864,3.169971856796911
mom252↑&mom12_1↑&sma120gap↑,3456,188,37,2.580411310036321,0.020996985012529883,-0.07037167128201877,0.1519801703059585,0.4027777777777778,0.24189814814814814,,2.0596914592989526,3.301953946778193,7.078809334350996
mom252↑&mom12_1↑&on60↑,8096,520,56,3.046755932462362,0.016720554182493658,-0.0865359206967356,0.20375745042588003,0.40155632411067194,0.29014328063241107,,3.493890797071009,2.8573388367808716,1.053111455781524
mom252↑&mom12_1↑&beta60↑,9626,512,55,2.523067822515588,0.02932815139945324,-0.06763790649458606,0.20344947779274314,0.42385206731768127,0.24693538333679618,,2.5988742371955107,2.642919485866691,0.675441945273918
