h,rule,decile,n,win_lift,mean_ex_idx,med_ex_idx,p_beat_idx,mean_ex_ew,med_ex_ew,p_beat_ew,p_lt_m30
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),2,62495,0.7563576630669735,-0.06513570804377486,-0.0917359174815302,0.3310664853188255,0.04407233592785449,-0.00021405662704804262,0.4987919033522682,0.1488279062324986
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),3,62502,0.7320119850713307,-0.06737550091994644,-0.09089643904186234,0.3328853476688746,0.04834832382480273,0.0076773056033636045,0.5206233400531183,0.14962721192921827
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),4,62503,0.8528848900272474,-0.06519133630555593,-0.09313664833261903,0.32548837655792523,0.054341724658574925,0.0069866309871920995,0.5198470473417276,0.15216869590259668
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),5,62602,0.845271755772649,-0.0621168220674733,-0.08769630239566778,0.3347976102999904,0.058915203690814925,0.010363824188728332,0.5257180281780135,0.15208779272227724
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),6,62602,0.9308847547515982,-0.05998728546912325,-0.08844021290058335,0.34035653812977223,0.06479785165551505,0.015187451827862575,0.5352384907830421,0.15670425864988338
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),7,62503,0.9712597913895382,-0.06488618412697215,-0.09440723045855293,0.33076812313008974,0.0594069161918994,0.00727433426052837,0.5166791993984289,0.16699998400076796
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),8,62502,1.2373094010519978,-0.056953430697485555,-0.09765729199262035,0.33166938657962947,0.06459115719217787,0.00025819649085781493,0.5006879779847044,0.17924226424754408
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),9,62495,1.4562395050531718,-0.05409259089938547,-0.1083857449603316,0.3307944635570846,0.07015109776975945,-0.005891852590128366,0.4898151852148172,0.19166333306664532
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),10,62697,1.9502696700117501,-0.03863634145831435,-0.10986089602257776,0.3589645437580746,0.0830681328431508,-0.00790176943463533,0.4890026636043192,0.22559293108123196
60,R3_조용함(lv60↓+to20↓),1,94286,1.3548159742684158,-0.0948569657090405,-0.1599610901474809,0.2618522368114036,-0.020654175611217896,-0.09813528109961514,0.3280444604713319,0.2501113632988991
