ticker,name,market,date,fw120,ex_idx,mom12_1,mom63,nh252,dlow252,beta60,rv21_pct,size_pct,amt20_pct,dsh,range120_pct,mdd_path,R1_pct
417840,저스템,KOSDAQ,20251126,4.7427013153673405,4.487832329161854,0.6452601135678787,-0.1736702127659574,-0.3536509257333056,0.8604790419161676,1.4280804830981468,0.5685240963855421,0.1016566265060241,0.08207831325301204,33.0,0.5591805766312595,-0.35180722891566263,0.8846761453396524
323280,태성,KOSDAQ,20240516,4.286706540613544,4.480154953590411,,0.35241855873642636,0.0,1.4453369031682284,1.588499601071033,0.9236111111111112,0.32253086419753085,0.8734567901234568,0.0,0.8822605965463108,-0.4311493822538375,
009470,삼화전기,KOSPI,20231208,4.5186170212765955,4.447355894150166,,-0.16796008869179602,,,1.2919628247932815,0.20208799403430275,0.18419090231170768,0.07307979120059657,,0.6132723112128147,-0.1873449131513648,
440110,파두,KOSDAQ,20251121,4.792325056433409,4.4365616637847705,0.12364441969419993,0.8692372170997484,-0.16635514018691588,1.5312145289443815,1.5202008550492019,0.7730287398673544,0.8098747236551216,0.8673544583640383,7.0,0.9271916790490342,-0.3528169014084507,0.8785769528228925
043260,성호전자,KOSDAQ,20250623,4.480033984706882,4.3425188460555635,-0.31427292240802485,0.036771300448430466,-0.3676148796498906,0.27172717271727165,0.9133246232122578,0.1723905723905724,0.13804713804713806,0.41414141414141414,266.0,0.2021932830705963,-0.1632,0.12778176597272076
389140,포바이포,KOSDAQ,20241113,4.395968645016797,4.332129804709267,-0.19883992085650037,-0.20189108737524075,-0.7414340821420468,0.0,1.4331146482656163,0.6432160804020101,0.10050251256281408,0.1407035175879397,174.0,0.8695652173913043,-0.4377927567691078,0.3431372549019608
119850,지엔씨에너지,KOSDAQ,20241108,4.318532818532819,4.314361807062538,0.3953379953379954,-0.08777969018932874,-0.46733668341708545,0.38381201044386426,1.5891366875551556,0.4092436974789916,0.15378151260504203,0.11092436974789915,118.0,0.7835757057313943,-0.23681687440076704,0.8776785714285714
019210,와이지-원,KOSDAQ,20260106,4.174418604651163,4.28030952602462,0.03832381188938572,0.027184466019417375,-0.18989280245022966,0.06868686868686869,0.3206241726550143,0.20322817314746883,0.3661041819515774,0.04695524578136464,139.0,0.07481481481481482,-0.3248704663212435,0.14307692307692307
007810,코리아써키트,KOSPI,20250728,4.810451727192206,4.278341294667914,-0.30844128857594066,0.11804878048780498,-0.270063694267516,0.4636015325670497,1.3988786842424945,0.32734806629834257,0.5317679558011049,0.10013812154696132,381.0,0.417074877536739,-0.15037593984962405,0.22846715328467154
295310,에이치브이엠,KOSDAQ,20251117,4.532008830022075,4.267538589894615,0.5048198605210742,-0.1775862068965517,-0.33472803347280333,0.4640883977900552,0.8855883118115466,0.4553376906318083,0.5279593318809005,0.49310094408133626,70.0,0.5425219941348973,-0.34433541480820695,0.7290076335877863
