ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
003490,대한항공,,25450,27.6,15.6,20.4,-18.4,21.2,-4.0,-6.9,-0.6,-5.9,-4.9,4.7,0.98,31200,21000,5,False,False,True,2134837,3160325,769.4,541.5,865.5,0.68,7,False,True,False,True,5일선회복/거래량동반양봉,56.3,153.3,-74.6,-311.0,1558.8,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.3,73.3,003490,00113526,0,0,0,0,,,,,,,,,,,안전,SAFE
000270,기아,,130500,38.1,3.0,-0.8,-38.6,33.7,-12.8,-6.0,-18.4,-10.2,-15.7,-9.0,1.39,212500,97600,5,False,False,True,921105,1083110,1974.1,1290.4,1575.9,0.85,0,False,False,False,False,-,63.2,316.5,-887.3,1045.8,997.7,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.2,73.2,000270,00106641,0,0,0,0,,,,,,,,,,,안전,SAFE
462520,조선내화,,13920,28.9,25.3,25.7,-26.0,6.5,-0.6,-7.6,-4.7,-6.8,-5.2,-3.1,0.36,18800,13070,10,False,True,True,13718,35899,1.6,1.9,5.5,0.38,3,False,True,False,False,5일선회복,55.1,0.4,-0.2,2.5,0.2,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.1,73.1,462520,01770203,0,0,0,0,,,,,,,,,,,안전,SAFE
248070,솔루엠,,14360,37.7,35.3,22.7,-41.0,6.1,-3.0,-12.6,-26.4,-4.5,-17.5,-17.7,0.53,24350,13540,5,False,False,True,112091,130796,10.1,16.0,19.7,0.86,6,False,True,True,False,5일선회복/+3%반등,52.1,-8.6,8.7,-37.0,29.7,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.1,73.1,248070,01159233,0,0,0,0,,,,,,,,,,,안전,SAFE
006650,대한유화,,99700,34.9,34.1,25.0,-50.8,8.3,-5.4,-14.9,-37.3,-6.0,-16.4,-28.0,0.61,202500,92100,0,False,False,False,21274,25313,14.9,20.9,27.0,0.84,3,False,True,False,False,5일선회복,60.1,18.8,-21.5,47.6,-43.4,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.1,73.1,006650,00260383,0,0,0,0,,,,,,,,,,,안전,SAFE
007120,미래아이앤지,,1130,17.2,42.1,19.3,-62.2,44.9,-5.0,-5.4,-46.1,-6.8,-12.3,-10.4,0.3,2990,780,0,False,False,False,65404,54493,0.2,0.7,0.7,1.2,3,False,True,False,False,5일선회복,65.0,0.2,-0.0,-0.1,0.3,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.0,73.0,007120,00104786,0,2,0,0,,[20260327] 최대주주등소유주식변동신고서(최대주주변경시)               (20260327802756) || [20260327] 최대주주변경               (20260327802500),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260327802756 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260327802500,,,,20260327802756 || 20260327802500,주의,SAFE
008970,KBI동양철관,,1103,38.2,33.8,32.4,-72.7,6.4,-0.1,-13.6,-42.6,-3.9,-16.5,-38.2,0.79,4041,1037,5,False,False,True,696204,793047,6.9,7.6,9.1,0.88,6,False,True,True,False,5일선회복/+3%반등,51.5,5.7,-0.2,21.0,-0.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,70.5,72.5,008970,00117629,0,9,0,0,,[20251211] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251211800162) || [20251210] 유상증자또는주식관련사채등의청약결과(자율공시)               (20251210800140) || [20251205] 유상증자또는주식관련사채등의청약결과(자율공시)               (20251205800078),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251211800162 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251210800140 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251205800078,,,,20251211800162 || 20251210800140 || 20251205800078,주의,SAFE
000500,가온전선,,188900,31.6,15.1,23.7,-70.3,259.1,-4.0,9.1,28.7,-17.4,-34.5,27.5,1.14,635000,52600,5,False,True,False,304886,258060,568.9,617.0,596.1,1.18,0,False,False,False,False,-,62.5,-121.3,151.1,112.6,-193.1,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,70.5,72.5,000500,00104768,0,0,1,0,,,[20260616] 매매거래정지및정지해제(중요내용공시)               (20260616800506),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260616800506,,,,안전,SAFE
010040,한국내화,,1445,24.4,24.8,15.3,-41.9,5.9,-5.3,-5.2,-27.5,-6.5,-9.7,-25.7,0.21,2485,1364,0,False,False,False,38119,52598,0.2,0.5,0.8,0.72,3,False,True,False,False,5일선회복,64.5,0.1,-0.0,0.1,0.0,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,70.5,72.5,010040,00160205,0,0,0,0,,,,,,,,,,,안전,SAFE
078000,텔코웨어,,12550,33.3,31.7,27.3,-54.3,3.7,-1.3,-3.8,-27.1,-1.9,-8.0,-20.0,0.3,27450,12100,5,False,False,True,8781,9355,0.4,1.1,1.2,0.94,6,False,True,True,False,5일선회복/+3%반등,56.0,0.8,-0.0,5.3,-0.1,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,70.0,72.0,078000,00361488,0,0,0,0,,,,,,,,,,,안전,SAFE
