rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
604,466100,KOSDAQ,2.014,1212,0.953,690.0,클로봇,출판·SW,EXCLUDE,0.69,0.0581,-64.3,100.0,-28.0,77.0,34.9,120.1,18.5,28.5,0,0
605,047920,KOSDAQ,2.014,1212,0.675,916.0,HLB제약,지주·전문서비스,,0.4,0.0369,-42.2,-35.5,11.9,13.9,3.0,-13.2,0.3,0.3,0,0
606,037070,KOSDAQ,2.014,1212,1.317,288.0,파세코,전기장비,,0.18,0.0579,-12.4,-8.7,47.6,61.6,-6.8,-16.2,0.2,0.2,0,0
607,271940,KOSPI,2.008,1212,0.661,929.0,일진하이솔루스,조선·기타운송,EXCLUDE,0.37,0.0359,-51.1,-15.2,-20.0,6.7,3.2,-11.5,-0.2,3.0,0,0
608,206650,KOSDAQ,2.008,1212,0.659,930.0,유바이오로직스,제약·바이오,WAIT,0.31,0.034,-47.5,-23.1,-5.3,25.1,7.0,-28.8,-1.6,-4.2,0,0
609,060370,KOSDAQ,2.005,1212,0.941,700.0,LS마린솔루션,건설,WATCH,1.39,0.0631,-47.0,7.1,-4.7,62.6,-89.2,6.7,112.6,-47.6,0,0
610,052710,KOSDAQ,2.0,1212,1.464,173.0,아모텍,반도체·전자부품,WATCH,0.28,0.092,-40.0,132.2,-19.8,214.9,-81.0,-107.0,-5.2,65.5,0,0
611,194700,KOSDAQ,2.0,1212,0.824,816.0,노바렉스,식료품,WAIT,0.24,0.0373,-41.3,-18.2,-7.4,13.9,-5.3,-20.3,11.0,-1.3,0,0
612,000680,KOSPI,1.998,1212,0.896,752.0,LS네트웍스,도매,,0.24,0.0411,-35.0,-23.5,2.4,6.2,-5.5,-12.4,-1.1,-1.0,0,0
613,009070,KOSPI,1.994,1212,0.903,745.0,KCTC,운수·물류,WAIT,0.12,0.0317,-49.0,8.2,-3.0,5.2,-0.4,4.7,-0.0,-1.8,0,0
614,025820,KOSPI,1.994,1212,1.053,583.0,이구산업,철강·1차금속,WATCH,0.14,0.0411,-39.3,1.2,-7.9,10.2,-6.5,-29.1,0.0,-1.3,0,0
615,460860,KOSPI,1.994,1212,0.87,770.0,동국제강,철강·1차금속,OBSERVE,0.42,0.0483,-47.8,0.0,-5.6,25.7,-14.7,-81.8,8.4,36.1,0,0
616,005810,KOSPI,1.994,1212,0.91,735.0,풍산홀딩스,금융(은행),WATCH,0.51,0.0526,-35.8,-19.9,0.0,12.6,2.2,-18.7,-5.0,31.1,0,0
617,091580,KOSDAQ,1.994,1212,1.249,356.0,상신이디피,전기장비,WATCH,0.21,0.0579,-49.8,124.9,-9.0,30.8,-8.2,39.3,12.0,-4.9,0,0
618,009900,KOSPI,1.992,1212,0.899,748.0,명신산업,자동차·부품,WAIT,0.41,0.0496,-47.3,1.9,-3.0,13.7,-0.1,-19.0,3.4,-9.3,0,0
619,004430,KOSPI,1.992,1212,1.056,575.0,송원산업,화학,,0.28,0.0526,-25.6,-22.1,23.8,14.3,2.2,-19.5,8.0,10.8,0,0
620,003570,KOSPI,1.991,1212,0.582,994.0,SNT다이내믹스,자동차·부품,WATCH,1.19,0.0431,-52.1,-20.0,-10.6,30.3,-25.6,39.1,23.3,-26.7,0,0
621,259630,KOSDAQ,1.99,1212,1.202,410.0,엠플러스,기계·장비,WATCH,0.12,0.0474,-45.9,51.1,-10.3,10.5,2.6,-1.1,-3.3,-4.1,0,0
622,445680,KOSDAQ,1.99,1212,0.959,686.0,큐리옥스바이오시스템즈,의료·정밀·광학,EXCLUDE,0.73,0.0607,-69.8,159.6,-46.6,87.6,-59.4,126.7,16.1,-68.1,0,0
623,215000,KOSDAQ,1.988,1212,0.558,1007.0,골프존,출판·SW,WAIT,0.25,0.0217,-47.8,-35.3,-6.8,17.3,-0.6,32.8,-0.4,-79.5,0,0
624,089980,KOSDAQ,1.98,1212,0.86,781.0,상아프론테크,고무·플라스틱,WATCH,0.24,0.041,-47.8,-1.6,-10.6,7.9,1.2,13.7,-2.8,-2.1,0,0
625,005010,KOSPI,1.98,1212,0.909,737.0,휴스틸,철강·1차금속,WAIT,0.22,0.0418,-44.8,-4.2,-15.7,30.6,1.3,-20.8,-0.7,3.6,0,0
626,114190,KOSDAQ,1.979,1212,1.066,565.0,강원에너지,전기장비,,0.25,0.052,-48.8,32.7,7.9,18.8,-2.5,-3.5,-0.3,-3.4,0,0
627,041440,KOSDAQ,1.977,1212,1.092,531.0,현대에버다임,기계·장비,WATCH,0.12,0.0422,-34.0,-6.0,-5.9,14.9,3.3,10.2,-0.4,-0.5,0,0
628,117580,KOSPI,1.974,1212,0.619,962.0,대성에너지,전력·가스,,0.19,0.0195,-52.0,-16.6,-2.5,6.9,2.8,-0.2,0.4,0.7,0,0
629,117730,KOSDAQ,1.973,1212,0.945,696.0,티로보틱스,기계·장비,WATCH,0.3,0.0486,-54.3,32.7,-15.7,18.2,-0.3,21.5,2.2,8.3,0,0
630,077360,KOSDAQ,1.972,1212,1.297,306.0,덕산하이메탈,반도체·전자부품,OBSERVE,0.43,0.0848,-51.5,241.2,-26.9,96.2,-51.6,-31.4,27.8,-33.0,0,0
631,174900,KOSDAQ,1.969,1212,0.977,661.0,앱클론,제약·바이오,EXCLUDE,0.51,0.0583,-71.2,214.6,-10.9,50.1,-8.4,49.4,16.5,8.7,0,0
632,381970,KOSPI,1.967,1212,0.438,1064.0,케이카,자동차판매,WAIT,0.41,0.0254,-51.1,-43.6,-0.6,10.8,-0.3,-9.5,-1.7,-0.1,0,0
633,083500,KOSDAQ,1.967,1212,1.44,189.0,에프엔에스테크,기계·장비,WAIT,0.12,0.0619,-36.6,73.8,-4.6,22.5,-2.7,10.5,-12.0,-29.0,0,0
634,241520,KOSDAQ,1.963,1212,1.029,609.0,DSC인베스트먼트,금융(은행),WATCH,0.23,0.0496,-52.6,45.6,-18.8,35.8,2.5,101.8,-0.6,-11.7,0,0
635,389470,KOSDAQ,1.962,1212,0.788,850.0,인벤티지랩,지주·전문서비스,EXCLUDE,0.5,0.0477,-62.3,27.2,-9.2,31.6,-19.8,55.2,12.7,17.3,0,0
636,103140,KOSPI,1.962,1212,0.307,1121.0,풍산,철강·1차금속,WATCH,1.93,0.0334,-58.3,-42.3,1.5,94.8,50.3,164.6,-13.5,-77.9,0,0
637,089010,KOSDAQ,1.961,1212,1.013,625.0,켐트로닉스,화학,OBSERVE,0.39,0.0572,-49.6,24.9,-14.6,41.2,-1.1,8.4,3.0,-29.1,0,0
