rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
55,039200,KOSDAQ,0.951,1093,오스코텍,제약·바이오,,1.4,0.0423,-41.0,3.1,3.5,62.1,20.7,-44.8,-29.8,53.3,0,1,
56,058610,KOSDAQ,0.95,1093,에스피지,전기장비,WAIT,2.09,0.0771,-40.4,361.4,-13.1,529.5,11.7,-128.6,-63.2,-278.3,0,1,
57,166090,KOSDAQ,0.949,1093,하나머티리얼즈,반도체·전자부품,WATCH,0.99,0.0648,-38.5,136.9,-9.4,101.2,60.3,5.1,-95.7,-138.8,0,1,EB 08/04
58,004370,KOSPI,0.948,1093,농심,식료품,,2.62,0.0295,-17.6,-2.0,10.3,175.3,46.0,343.2,93.7,551.6,0,1,
59,000100,KOSPI,0.947,1093,유한양행,제약·바이오,,5.99,0.0319,-34.9,-34.7,4.6,233.7,-6.0,11.0,94.7,420.2,0,1,
60,005940,KOSPI,0.946,1093,NH투자증권,,,9.84,0.0349,-32.0,47.8,-5.8,118.9,129.5,275.4,-156.8,-447.1,0,1,
61,295310,KOSDAQ,0.945,1093,에이치브이엠,철강·1차금속,,0.6,0.0707,-63.6,42.9,10.5,65.0,16.3,-88.6,-32.0,-39.3,0,1,
62,215000,KOSDAQ,0.944,1093,골프존,출판·SW,,0.23,0.0251,-42.6,-41.6,-0.1,8.9,-0.2,-27.3,1.1,-11.4,0,1,
63,099320,KOSDAQ,0.943,1093,쎄트렉아이,조선·기타운송,,0.77,0.0622,-67.0,45.3,-5.1,31.3,8.9,23.4,-22.2,-17.3,0,1,
64,081660,KOSPI,0.942,1093,미스토홀딩스,도매,,2.2,0.0369,-23.6,10.4,-11.0,45.4,-14.0,-16.5,18.5,-15.8,0,1,
65,084370,KOSDAQ,0.941,1093,유진테크,기계·장비,,3.13,0.0819,-33.9,156.9,16.5,156.2,189.2,389.4,-177.1,-310.3,0,1,
66,060370,KOSDAQ,0.941,1093,LS마린솔루션,건설,,1.61,0.0555,-38.3,30.6,-0.6,31.4,4.8,33.8,-10.0,18.7,0,1,
67,185750,KOSPI,0.94,1093,종근당,제약·바이오,,0.94,0.0208,-30.4,-16.9,-1.2,16.7,-22.9,-35.2,-2.4,-13.0,0,1,
