factor,label,h,IC,ci_lo,ci_hi,n_days,pct_pos
ins20n,기관20d,5,-0.05247015787850874,-0.07198284955301673,-0.03405684032981971,31,0.22580645161290322
pen5n,연기금5d,5,-0.0946430044644179,-0.11701955380044812,-0.07307204340142143,31,0.06451612903225806
pen20n,연기금20d,5,-0.09153290839516556,-0.10477002581569027,-0.0768038919582776,31,0.0
tru5n,투신5d,5,-0.04976645488501474,-0.06718674891028456,-0.0330952840655608,31,0.12903225806451613
tru20n,투신20d,5,-0.03971552507708774,-0.053509941125690665,-0.02467556948752293,31,0.1935483870967742
per5n,개인5d,5,0.012448977268087854,-0.01668333176487065,0.04176242103847149,31,0.6451612903225806
per20n,개인20d,5,0.041854230352571964,0.03048412000059039,0.05283790297194073,31,0.9032258064516129
rv21,실현변동성21,20,-0.4432267936058806,-0.46959572080323186,-0.41701008385304345,16,0.0
dd52,52주고점대비낙폭,20,0.21061014547926732,0.1889309937613414,0.23183785988796102,16,1.0
dlow52,52주저점대비거리,20,-0.2774696040718257,-0.3081622601128377,-0.2497389624049857,16,0.0
mom21,1개월수익,20,0.14958834438961022,0.09776964251220595,0.2012153904876122,16,0.9375
mom63,3개월수익,20,-0.07174284058178104,-0.09611087351194374,-0.04914313853713102,16,0.0625
mom12_1,12-1모멘텀,20,-0.21508247684064039,-0.26633593620893925,-0.16618658959440974,16,0.0
ret5,직전1주수익(반전),20,0.11363697343665571,0.03185144241629772,0.1927442362441609,16,0.625
sma20gap,SMA20이격,20,0.19752027724643625,0.15225736611819038,0.2448421850652724,16,1.0
max5_21,복권성(최대급등),20,-0.36287744435634095,-0.38355523272772973,-0.34321333735378184,16,0.0
upr63,상승일비율63,20,-0.024594640406750235,-0.036185258244827136,-0.010811567777835502,16,0.125
amihud63,비유동성,20,0.03850768013738786,-0.005552418911520086,0.0820263987896759,16,0.6875
obv63,OBV매집,20,-0.23422154768347858,-0.2512724037235151,-0.21674941594301345,16,0.0
amt20,거래대금20,20,-0.23074775844794904,-0.2573021974254156,-0.20120415085388807,16,0.0
amt_trend,거래대금팽창,20,0.03284998800591306,0.008155839933522932,0.059046888855543184,16,0.625
size,시가총액,20,0.11133383042869809,0.07608057420126,0.14588095207840276,16,0.9375
turn20,회전율,20,-0.4813688802326578,-0.49877221149768114,-0.45988826726420545,16,0.0
vol_exp,변동성팽창(std5/21),20,-0.023232348283018053,-0.06087254106042898,0.012412662281137998,16,0.375
svr5,공매도비중5d,20,0.25244517035185754,0.22505694239772622,0.2782465590811448,16,1.0
frg5n,외인5d,20,-0.0589811752895679,-0.08564385549137331,-0.030037684530771273,16,0.125
frg20n,외인20d,20,-0.09541810114694824,-0.10349904858267912,-0.08749307971338413,16,0.0
ins5n,기관5d,20,-0.058220676131598446,-0.0976357002478288,-0.019188743104243886,16,0.375
ins20n,기관20d,20,-0.04797110382165925,-0.07251234746357978,-0.022582173193824256,16,0.25
pen5n,연기금5d,20,-0.10673746544687454,-0.14122952000978123,-0.07275761484322385,16,0.0625
pen20n,연기금20d,20,-0.10648513444941754,-0.11543428973920657,-0.09721076784569133,16,0.0
