anchor,rate,n,mk20
20240919,0.008361204013377926,1196,-0.15821287068463752
20240920,0.009189640768588136,1197,-0.41960097817806963
20240923,0.007481296758104738,1203,-2.718773175124478
20240924,0.007550335570469799,1192,-5.204926044178027
20240925,0.009174311926605505,1199,-2.478598709337543
20240926,0.008285004142502071,1207,-4.491901742857873
20240927,0.010743801652892562,1210,-4.686955286704797
20240930,0.007456503728251864,1207,-2.725558988322785
20241002,0.00831255195344971,1203,-4.340466849487623
20241004,0.007481296758104738,1203,-1.9376316679237449
20241007,0.00825082508250825,1212,-3.7387485435525836
20241008,0.007462686567164179,1206,-4.4883326480263275
20241010,0.006606110652353427,1211,-5.410842317016562
20241011,0.008264462809917356,1210,-3.579859399725027
20241014,0.010788381742738589,1205,-5.3774050320670845
20241015,0.00825082508250825,1212,-8.179010351378246
20241016,0.008203445447087777,1219,-9.942673578918503
20241017,0.007352941176470588,1224,-10.914176665882414
20241018,0.009836065573770493,1220,-9.001354186028
20241021,0.011494252873563218,1218,-9.263767353115348
20241022,0.011428571428571429,1225,-7.072622369098247
20241023,0.009795918367346938,1225,-8.35760007514863
20241024,0.008176614881439084,1223,-7.340148926612134
20241025,0.009819967266775777,1222,-6.928692209345488
20241028,0.009075907590759076,1212,-5.894824978392387
20241029,0.00914380714879468,1203,-6.85721196484721
20241030,0.01256281407035176,1194,-6.257196656687314
20241031,0.01345668629100084,1189,-6.549942131187247
20241101,0.01423785594639866,1194,-6.976201906590751
20241104,0.013377926421404682,1196,-10.375556970082755
20241105,0.013389121338912133,1195,-8.115082268126251
20241106,0.007525083612040134,1196,-8.900727825537125
20241107,0.008375209380234505,1194,-8.531464718071756
20241108,0.008403361344537815,1190,-11.037423659501188
20241111,0.006756756756756757,1184,-13.97151638219637
20241112,0.009212730318257957,1194,-6.886505657828068
20241113,0.015113350125944584,1191,-1.9908649314869908
20241114,0.018363939899833055,1198,0.2626327836140696
20241115,0.023391812865497075,1197,1.2123953196580217
20241118,0.02321724709784411,1206,1.3022986005365889
20241119,0.02331390507910075,1201,1.2169882819331956
20241120,0.023549201009251473,1189,2.146695757859751
20241121,0.021922428330522766,1186,0.5421129181541806
20241122,0.017811704834605598,1179,-1.2850622590508287
20241125,0.01517706576728499,1186,-2.5242885639252033
20241126,0.015939597315436243,1192,-1.8812666810935519
20241127,0.010815307820299502,1202,-2.3641618497109884
