anchor,n,breadth,big5pct,med_fw5,mk_kos1,mk_kos5,mk_kos20,ic_rv21,ic_dd52,ic_dlow52,ic_mom21,ic_mom63,ic_mom12_1,ic_ret5,ic_sma20gap,ic_max5_21,ic_upr63,ic_amihud63,ic_obv63,ic_amt20,ic_amt_trend,ic_size,ic_turn20,ic_vol_exp,ic_svr5,ic_credit_rate,ic_dcr20,ic_loanchg5,ic_frg5n,ic_frg20n,ic_ins5n,ic_ins20n,ic_pen5n,ic_pen20n,ic_tru5n,ic_tru20n,ic_per5n,ic_per20n
20260609,1521,0.7804076265614727,0.45956607495069035,4.365620736698506,-1.6718157489589824,5.256196980812344,-14.112274103388057,-0.1631677789103101,0.046657902281705944,-0.019521324901913408,-0.13888169109631784,-0.08771130406644222,0.13950525650952073,-0.02883980369268568,-0.05635819595023632,-0.1820911069177284,0.038247956934192744,-0.22232717621971754,-0.10085823897269826,0.08574889773066467,-0.12537414469125285,0.2538609407669796,-0.20847010765520493,0.09523862261818929,0.24487799846658168,,,,0.04123649140803817,0.05183243169842555,-0.0942514320339022,-0.1618886844892536,-0.12233878088701053,-0.1575583340260777,-0.10331788334261742,-0.14612746558933037,-0.002092072574291192,0.02510439224097253
20260610,1500,0.8546666666666667,0.572,6.044403850207258,4.760253459853092,8.441305969757163,-17.50995660077972,0.03653339610221137,-0.058549012079017075,0.042368593428460534,-0.18893783015207444,-0.08925389182035608,0.16745697378633403,-0.11698465044811365,-0.1491151529845519,-0.020144505672086022,0.00786360435735592,-0.18223143885329338,-0.03197922915430725,0.13600754664384979,-0.1152241107180539,0.16970351663249383,-0.0213027234237185,0.10822730728399023,0.12170307645435348,,,,0.03336900831318163,0.02883900663343311,-0.04709998620749926,-0.08859531854202814,-0.08483564454024432,-0.09395891746737221,-0.03223072673984477,-0.08649974222462102,0.0033798551381558277,0.027076960948855467
20260611,1469,0.5418652144315861,0.2471068754254595,0.6504065040650486,3.221891206002425,0.4012317815694111,-20.355491358470502,-0.10980607247845638,0.03923160759924943,-0.049680173371504016,-0.07673068811159676,-0.023320462289862516,0.06712775974503543,-0.1130508271850235,-0.06694155510077049,-0.13160073325320754,-0.008653577027533,-0.09084076189440303,-0.013419393628494744,0.03411674215476104,-0.07845535008832569,0.10062067366401359,-0.10019477560234982,0.02973879849261001,0.1080652259715588,,,,0.015337642291345781,-0.022347153600177007,-0.10100415528962439,-0.09016247394866986,-0.06355811412579893,-0.0924072072351004,-0.08816259512510201,-0.09954238254345717,0.08289198514433618,0.0565894426912911
20260612,1444,0.18767313019390583,0.0886426592797784,-4.7929326078211325,0.48394149944124276,-6.0696759146785855,-18.62105825761625,-0.27621920535059624,0.09892729499306535,-0.1550334843192427,0.08103182267717929,-0.010175846310096465,-0.09512627668392463,-0.0773315038492841,0.05042550646490408,-0.23678235237510917,0.017613696969110686,-0.05475560721024003,-0.10225365224095466,-0.04084210875321575,0.01747641453406219,0.1371498197623937,-0.2660687617403853,0.013068941755521606,0.17623627684826437,,,,-0.05457691420311784,-0.08348900082539025,-0.0644730635916585,-0.05524971374917133,-0.08989745595853417,-0.11108669837823967,-0.07149703189062542,-0.09034402186739271,0.09266307425719376,0.07178116476267697
20260615,1434,0.09623430962343096,0.056485355648535567,-8.297125301733594,-1.4844830420780886,-6.347011208572284,-22.69469938009535,-0.23234086433989534,0.18559016545801302,-0.1467318445900875,0.19927729600686817,0.04872725583169994,-0.11289992805093457,-0.04341220191373351,0.1466999449549997,-0.18544881023044868,0.04706116732114053,0.058680241155009416,-0.0685833217144203,-0.1370024071599852,0.07262478283768499,0.0376359281639674,-0.22248405528450516,0.025627973451807538,0.07136127642478893,,,,-0.008863419800117123,-0.07709501814814877,-0.033443272532316465,0.005557159962706162,-0.0609316680788713,-0.08335495745426454,-0.041183298634566635,-0.017451814267359478,0.013458312570628347,0.03316073808956587
20260616,1408,0.04403409090909091,0.029829545454545456,-14.009724473257702,1.3036478580123356,-12.482820905485525,-23.039619900263077,-0.3291077550350848,0.2106916458533101,-0.2601250605926179,0.26896680389528177,0.04060586206391999,-0.2405893058942762,-0.03796359317839873,0.20009781351196018,-0.26846395662593875,0.016011881017843746,0.11279788983116447,-0.1358564975634259,-0.1884154680401892,0.18018763616447495,0.03281894073130555,-0.3050354503686657,-0.027693938726057656,0.09422052588862903,,,,0.07572031651568929,-0.09533974542027347,-0.0023820967749856965,0.038280915952250846,-0.038120758340191546,-0.06642267316479461,-0.020953560445473064,0.0038736280377219545,-0.08792883107832153,0.04287642944286149
20260617,1385,0.05054151624548736,0.03032490974729242,-13.704819277108438,-3.0068994922283876,-11.885150587232074,,-0.3537470452430587,0.25548375368354337,-0.2198890911371561,0.23483609451811244,0.05124860459920847,-0.17718362001428514,-0.1140932220507733,0.21726354283614177,-0.2970888278823698,0.050789443088385705,0.04136288379934606,-0.13994451024394333,-0.14223323619131348,0.17047992544339605,0.10404074919340563,-0.34700567825471784,0.022966850506744123,0.1202880612352627,,,,0.12944475820618315,-0.06562679844576952,-0.013773942668559464,-7.267329928690364e-05,-0.07869286748090096,-0.10416648607373141,-0.002154709627590699,0.006768899827172102,-0.12120035017226206,0.03429646116228437
20260618,1379,0.06018854242204496,0.0340826686004351,-12.620027434842251,-3.4308093473069956,-11.301489614658367,,-0.39218246858522315,0.2648999626191054,-0.1932877758144272,0.2622606675663593,0.05521152869561025,-0.17273379434836958,0.015285316199296118,0.2759605029668011,-0.3092209467153074,0.02127202489382559,-0.010999454491648818,-0.1770923855756086,-0.12431766039014079,0.15000372946318538,0.17826596069530262,-0.4194371407217082,0.10453303942661779,0.17876791644750417,,,,0.09275320810553471,-0.08361493374126255,-0.06440298845012003,-0.027699682717487357,-0.10434237219389571,-0.1203022780578817,-0.032592637850774084,-0.016914040832465917,-0.08299378156245568,0.05276827131530075
20260619,1362,0.05506607929515418,0.02276064610866373,-13.334488709805537,0.18725623066655483,-11.920255744421116,,-0.39879352140196633,0.3109314090252832,-0.1865337723746997,0.25058185451538245,0.09194630453054548,-0.19952449016003304,0.2201607121853472,0.33630246678938347,-0.31777852123147016,0.019077436517757757,0.051160733192428094,-0.184594473224336,-0.18800177528692857,0.16870254142590868,0.12549906256607857,-0.4116723047129346,0.08146339845680102,0.149021197302863,,,,0.026203586450710234,-0.07851779904159588,-0.03472952081235333,-0.01164914737296925,-0.11543168312345106,-0.119212556503537,-0.0059625826416534805,-0.02111593559773755,-0.05306660155420859,0.02204445459004119
20260622,1351,0.22279792746113988,0.07994078460399703,-4.374999999999996,-7.938868236266005,-4.939074762494833,,-0.49161368842781683,0.01958969579129174,-0.37313067471377775,0.029106321507717744,-0.20681748217659654,-0.3414731818549695,0.14106955786883527,0.11711437400625117,-0.4459424905575815,-0.16047001592634766,0.06012662126817144,-0.34965984131321787,-0.26425983339857123,0.0027952581445219614,0.08069719044255652,-0.4800159748365492,0.132676244808997,0.24937886651564212,,,,-0.05795091968137138,-0.05793546555041899,-0.07227188339735363,-0.06154178995100487,-0.11920437362663007,-0.13521667220168335,-0.0114832794672811,-0.08360369447972965,0.04810320262894929,0.04510499496677049
