date,ticker,opinion_score,opinion_label,target_price,coverage,fetched_at
20260912,017510,,,,0,20260912_0131
20260912,017550,,,,0,20260912_0131
20260912,017650,,,,0,20260912_0131
20260912,017670,,,,0,20260912_0131
20260912,017800,,,,0,20260912_0131
20260912,017810,,,,0,20260912_0131
20260912,017860,,,,0,20260912_0131
20260912,017890,,,,0,20260912_0131
20260912,017900,,,,0,20260912_0131
20260912,017940,,,,0,20260912_0131
20260912,017960,,,,0,20260912_0131
20260912,018000,,,,0,20260912_0131
20260912,018120,,,,0,20260912_0131
20260912,018250,,,,0,20260912_0131
20260912,018260,,,,0,20260912_0131
20260912,018290,,,,0,20260912_0131
20260912,018310,,,,0,20260912_0131
20260912,018470,,,,0,20260912_0131
20260912,018500,,,,0,20260912_0131
20260912,018620,,,,0,20260912_0131
20260912,018670,,,,0,20260912_0131
20260912,018680,,,,0,20260912_0131
20260912,018700,,,,0,20260912_0131
20260912,018880,,,,0,20260912_0131
20260912,019010,,,,0,20260912_0131
20260912,019170,,,,0,20260912_0131
20260912,019175,,,,0,20260912_0131
20260912,019180,,,,0,20260912_0131
20260912,019210,,,,0,20260912_0131
20260912,019540,,,,0,20260912_0131
20260912,019550,,,,0,20260912_0131
20260912,019570,,,,0,20260912_0131
20260912,019660,,,,0,20260912_0131
20260912,019680,,,,0,20260912_0131
20260912,019685,,,,0,20260912_0131
20260912,019770,,,,0,20260912_0131
20260912,019990,,,,0,20260912_0131
20260912,020000,,,,0,20260912_0131
20260912,020120,,,,0,20260912_0131
20260912,020150,,,,0,20260912_0131
20260912,020180,,,,0,20260912_0131
20260912,020400,,,,0,20260912_0131
20260912,020560,,,,0,20260912_0131
20260912,020710,,,,0,20260912_0131
20260912,021040,,,,0,20260912_0131
20260912,021045,,,,0,20260912_0131
20260912,021050,,,,0,20260912_0131
20260912,021080,,,,0,20260912_0131
20260912,021240,,,,0,20260912_0131
20260912,021320,,,,0,20260912_0131
20260912,021650,,,,0,20260912_0131
20260912,021820,,,,0,20260912_0131
