h,subset,factor,mean_ic,n_anchor,ci_lo,ci_hi,pos
5,대금상위½,fgn5,0.023188874112862617,14,-0.013801442587558718,0.06160764125222589,0.5
5,대금상위½,fgn20,0.02960547136843002,12,0.0040933796674601335,0.05926792656630018,0.75
5,대금상위½,inst20,-0.02004486788341966,12,-0.05097868177055842,0.012845796154929754,0.3333333333333333
5,대금상위½,person20,-0.03037316363341318,12,-0.07802147994859765,0.015574218564424041,0.16666666666666666
5,대금상위½,lv63,-0.13960367243918956,23,-0.22254141553936754,-0.057395242947622285,0.2608695652173913
5,대금상위½,nh252,0.029064512299211177,23,-0.03290034738564118,0.08464594575154313,0.6086956521739131
5,대금상위½,r20,-0.007922119428675316,23,-0.06346073731684776,0.04241038038794726,0.5652173913043478
20,전체,sv5,0.17891126566446539,15,0.13282408239603888,0.22581699675267028,1.0
20,전체,sv20,0.1876511332178183,15,0.1416610544243777,0.23444429021458651,1.0
20,전체,sv_chg,0.01694397261967714,14,-0.023407855726446117,0.05497608980516076,0.6428571428571429
20,전체,sval_amt,0.18305779759080837,15,0.14012135405832282,0.22464382213925235,1.0
20,전체,credit,0.018273372485870392,3,-0.09298609408024298,0.12487142944621504,0.6666666666666666
20,전체,fgn5,-0.026306145353450137,11,-0.07522866337739757,0.02189142013453201,0.36363636363636365
20,전체,fgn20,-0.034307398677933684,9,-0.07322084772401756,0.006493887630021743,0.2222222222222222
20,전체,inst20,0.0029215083733248656,9,-0.01873398262216627,0.023409623082669046,0.4444444444444444
20,전체,person20,-0.008161243618541196,9,-0.03255656741523909,0.015087928794933913,0.3333333333333333
20,전체,lv63,-0.23990941612487612,20,-0.33339537014119985,-0.143870106325991,0.15
20,전체,nh252,0.08684633388596891,20,0.027937358650054568,0.1391931103251696,0.7
20,전체,r20,0.013148584892595228,20,-0.032335062742244666,0.06137562671328203,0.6
20,저변동⅓,sv5,0.16693901540294825,15,0.11722067352206744,0.21494043765307258,0.9333333333333333
20,저변동⅓,sv20,0.1701766404005799,15,0.1204431493053269,0.21807265266179765,0.9333333333333333
20,저변동⅓,sv_chg,0.034638220040999944,14,-0.0030167836566155955,0.0707911515238837,0.6428571428571429
20,저변동⅓,sval_amt,0.16067712777232657,15,0.1153552163043248,0.205046753621273,0.9333333333333333
20,저변동⅓,credit,-0.04632894866628259,3,-0.3168386282304889,0.20603428384030156,0.3333333333333333
20,저변동⅓,fgn5,-0.004971305511804333,11,-0.04657834867946647,0.04006648225630642,0.45454545454545453
20,저변동⅓,fgn20,-0.014331356466422227,9,-0.04328887245242,0.015242650577981971,0.3333333333333333
20,저변동⅓,inst20,-0.017735529018504913,9,-0.06175309404463424,0.01744153327995638,0.4444444444444444
20,저변동⅓,person20,-0.011627890318094256,9,-0.04712221711958637,0.03500983556812146,0.4444444444444444
20,저변동⅓,lv63,-0.10126654307906273,20,-0.18118123932760705,-0.018742988066573985,0.35
20,저변동⅓,nh252,0.06604480935148878,20,0.007008986137333307,0.1325555576166557,0.75
20,저변동⅓,r20,0.01520446977360918,20,-0.03758115516136661,0.06961147816547451,0.45
20,대금상위½,sv5,0.28209968764862303,15,0.21570416687706406,0.3485398762530158,1.0
20,대금상위½,sv20,0.287987631385234,15,0.2168111346619278,0.3535909746786762,1.0
20,대금상위½,sv_chg,0.029132949811816643,14,-0.018528139345646146,0.07203168747513339,0.7142857142857143
20,대금상위½,sval_amt,0.2860157026234154,15,0.2224828269922409,0.3481163806320979,1.0
20,대금상위½,credit,0.0304607795013347,3,-0.08922395446768917,0.13813541291659664,0.6666666666666666
20,대금상위½,fgn5,0.019067189210597402,11,-0.018103194362763815,0.06005168528990823,0.45454545454545453
20,대금상위½,fgn20,0.03202219733826813,9,0.0053144353689715835,0.06012846486620643,0.6666666666666666
20,대금상위½,inst20,-0.036759098892121436,9,-0.06165269357762857,-0.012344181236896559,0.2222222222222222
20,대금상위½,person20,-0.04017480763650709,9,-0.06628695318492653,-0.01624878963185807,0.2222222222222222
20,대금상위½,lv63,-0.26864389961234936,20,-0.35491606519327823,-0.18495568908924387,0.1
20,대금상위½,nh252,0.07673404367001242,20,0.019545062258236993,0.12618478364354155,0.8
20,대금상위½,r20,-0.005665412915535443,20,-0.055790885071124646,0.03970117616737758,0.55
