c1,c2,n,events,lift
sma20gap↑,ret5↑,22376,593,1.5165543246159807
bbw20↑,obv63↓,11588,307,1.516057316846264
sma60gap↑,max21↑,8515,225,1.512110738556127
sma60gap↑,zr20↑,3635,96,1.5113064980899533
turn20↑,sma60gap↓,16817,443,1.507443119565731
dlow52↑,size↓,5529,145,1.5007458259494675
mom63↓,size↓,29232,766,1.4995328059242465
vol_dry↑,sma60gap↓,11192,293,1.498116718715745
sma60gap↓,size↓,30576,800,1.4972525075650238
upr63↓,size↓,33769,883,1.4963329358570403
rv21↑,mom21↑,3448,90,1.4936917562419283
mom63↑,zr20↑,5710,149,1.4932615823171884
obv63↓,amihud63↑,13005,339,1.4916779618967193
vol_dry↑,mom12_1↓,14145,368,1.4887802494734363
mom63↑,upr63↑,23273,605,1.4876087937814981
turn20↑,mom21↑,3044,79,1.4851426663244682
amt_trend↑,sma60gap↓,6978,181,1.484339831167021
mom63↑,price↑,13701,355,1.4827291254574848
mom12_1↓,ret5↑,10247,265,1.4799085168703847
rv_ratio↓,bbw20↑,9947,257,1.4785184121501709
ret5↓,max21↑,19463,502,1.4759772594793135
turn20↑,upr63↓,20764,535,1.4744447167663908
sma60gap↑,amihud63↑,5824,150,1.4738579371343203
bbw20↑,mom63↓,19936,512,1.4696626860773088
mom12_1↑,price↓,9231,237,1.469214909422061
sma60gap↓,price↓,29878,767,1.4690263060986917
ret5↓,price↓,23522,603,1.4669955563301817
sma20gap↓,mom12_1↑,31439,805,1.4652539083782514
turn20↑,mom12_1↓,11614,296,1.4584636893735166
mom12_1↑,upr63↓,12165,310,1.4582611722262158
vol_dry↓,mom12_1↑,23490,597,1.4543771618119932
amt_trend↑,dd52↓,12085,307,1.4537089108493595
bbw20↑,nh_fresh↑,4221,107,1.4506216583244416
amt_trend↓,amihud63↓,16090,407,1.4475184133951542
amt20↑,amt_trend↓,8306,210,1.4468153234069823
amt20↓,mom63↑,4473,113,1.445657045567243
amt_trend↑,mom12_1↑,3765,95,1.4439240716382058
turn20↑,obv63↑,27778,699,1.4399981494908025
sma60gap↓,mom12_1↑,23967,603,1.4397575614803078
amt_trend↑,max21↑,20431,513,1.436856752017834
mom12_1↓,size↓,26457,664,1.4361943499711147
amt20↑,ret5↓,20703,519,1.4345636016766254
sma20gap↑,amihud63↓,6745,169,1.4338062938196963
rv_ratio↑,dd52↓,14893,373,1.4332183967634078
rv_ratio↑,sma20gap↑,6471,162,1.4326145133580441
sma60gap↓,ret5↑,5996,150,1.4315791570831022
mom21↑,amihud63↑,3159,79,1.4310776436504216
mom63↓,price↓,28870,721,1.4291381501564422
sma60gap↑,upr63↑,13343,333,1.4281587311273345
mom21↓,price↓,29974,748,1.428047412680094
rv_ratio↑,vol_dry↑,17885,446,1.4270252118677274
upr63↑,obv63↑,13455,335,1.4247768064741952
sma60gap↑,amihud63↓,7796,194,1.4240184995885365
rv21↑,vol_dry↓,15273,380,1.423786847303829
amt20↑,vol_dry↓,10615,264,1.4232122073981814
max21↑,price↑,4626,115,1.422584078361554
amt_trend↓,dd52↑,4225,105,1.4221595356471473
amt_trend↑,vol_dry↑,17002,422,1.4203591421076966
sma60gap↑,nh_fresh↓,7355,182,1.416036483035025
sma20gap↓,upr63↑,12672,313,1.413464499104271
amt_trend↓,turn20↑,14166,349,1.4098208247111526
amt_trend↑,sma20gap↑,5605,138,1.4089293016593505
mom21↓,mom12_1↑,34024,837,1.4077509208898475
amt20↑,nh_fresh↓,7080,174,1.4063768935041705
turn20↓,dlow52↑,5547,136,1.4030284395389199
max21↑,obv63↑,13919,341,1.4019485506246934
mom63↑,size↑,13731,336,1.400305653044165
dd52↓,dlow52↑,8299,203,1.3997678202608084
rv_ratio↓,amt20↑,14546,355,1.3965950603528805
mom12_1↑,zr20↑,9665,235,1.3913991564611252
vol_dry↑,sma20gap↑,13401,325,1.387815985577117
mom21↓,mom12_1↓,22481,545,1.387287932357488
mom21↓,size↓,30947,750,1.386846645211213
bbw20↑,price↑,5912,143,1.3841633440453882
rv21↑,rv_ratio↑,22982,555,1.381945431891047
upr63↓,price↓,33669,812,1.3801031382392643
amt20↑,max21↑,14707,354,1.377415295917173
mom21↓,upr63↑,11687,281,1.375906770411311
sma60gap↑,dd52↑,12401,298,1.3751348496139257
mom12_1↓,price↓,27792,667,1.3733833077757336
dd52↑,obv63↑,6669,160,1.3729192583988055
amt_trend↓,upr63↑,10635,255,1.3721083840131152
ret5↑,zr20↑,8052,193,1.371637261792486
ret5↓,size↓,25259,605,1.3706448971723664
sma60gap↓,bbw20↑,27160,650,1.369522976636152
vol_dry↑,ret5↓,12244,293,1.369399078394856
vol_dry↑,nh_fresh↑,8444,202,1.3689540679186774
vol_dry↑,sma60gap↑,6815,163,1.3686975064972913
sma20gap↓,price↓,29210,697,1.3654850604203095
bbw20↑,dlow52↓,11043,263,1.3628699258075305
vol_dry↑,mom63↓,13650,325,1.3624997818841715
dd52↓,mom12_1↑,11964,284,1.3583999831422935
sma20gap↓,size↓,31139,739,1.3580804852474684
mom12_1↓,amihud63↑,25047,594,1.3571144072522183
mom21↓,amihud63↑,19581,463,1.3531061109503908
amt20↓,ret5↑,10481,247,1.348590090379391
dd52↑,mom63↑,14528,342,1.3471191400732545
amt20↑,sma20gap↓,22809,536,1.3447584326264401
rv_ratio↑,mom21↓,9365,220,1.3443137196593429
upr63↓,amihud63↑,22954,539,1.3437427055107554
ret5↓,upr63↑,13419,315,1.3433096441111552
vol_dry↑,obv63↑,9588,225,1.3428893344603068
vol_dry↑,upr63↓,13510,317,1.342732945670308
rv_ratio↑,mom12_1↓,15523,364,1.3418731344099217
turn20↑,amihud63↑,19079,447,1.3407186385603773
sma60gap↓,upr63↑,4882,114,1.3362656607254024
max21↑,nh_fresh↓,4542,106,1.3355017677120942
sma20gap↑,upr63↑,7929,185,1.3351776144835432
dd52↓,obv63↑,12172,283,1.3304857383729267
rv_ratio↑,mom63↓,14080,327,1.3290178980395748
turn20↑,mom63↓,13964,323,1.3236660012203287
amt20↑,upr63↑,19986,462,1.322823264669292
bbw20↑,size↑,5079,117,1.3182366466191808
turn20↑,price↓,25190,580,1.3176059820047012
mom21↓,ret5↓,47332,1085,1.311778818990571
ret5↓,upr63↓,29056,666,1.3116686363871164
rv_ratio↑,amt20↓,12629,288,1.304996227862138
vol_dry↓,max21↑,14355,327,1.3035577850503108
sma20gap↓,ret5↓,64942,1479,1.3032515390822732
amt20↓,dd52↓,29508,671,1.3012731751748585
rv_ratio↑,mom63↑,3826,87,1.3012478314178682
ret5↑,size↑,12243,278,1.2993994489324177
mom63↓,ret5↑,9079,206,1.2984192215950934
amihud63↑,price↓,37471,850,1.2981036591835
amt_trend↑,turn20↑,22049,500,1.2976776914856731
amt_trend↑,mom63↓,9571,217,1.297442588244942
size↓,price↓,48607,1102,1.29738391393682
rv_ratio↑,size↓,22030,499,1.2961992931787776
amihud63↓,nh_fresh↓,6498,147,1.2945635046711104
