date,combo,ic,top50_abs,top50_exc
20241204,wu_a(기존),-0.18021453635643753,-3.841269300165399,-6.741647610379768
20241204,wu_b(기존),-0.1690699846337395,1.7225633327888576,-1.1778149774255116
20241204,c1_wu_a+max5,-0.1594842347835162,-2.660679138373269,-5.561057448587638
20241204,c2_max5대체lv,-0.17169499914523623,-3.0357994939978346,-5.936177804212203
20241204,c3_up추가,-0.17805639247541347,0.3734719894497679,-2.526906320764601
20241204,c4_질모멘텀,-0.1865054111163849,-3.4560382535157492,-6.356416563730119
20250106,wu_a(기존),0.12365048557238456,3.7300362007347014,5.2591323822341085
20250106,wu_b(기존),0.0670051241190345,3.652620307950808,5.1817164894502135
20250106,c1_wu_a+max5,0.1356648088608453,3.951072723384773,5.480168904884178
20250106,c2_max5대체lv,0.11993676611233144,4.505677075924458,6.034773257423866
20250106,c3_up추가,0.14722527694489537,4.751183931153598,6.280280112653003
20250106,c4_질모멘텀,0.1650961827468365,3.261643742691177,4.790739924190582
20250207,wu_a(기존),0.1774287965573803,3.252436833615116,4.826413748620364
20250207,wu_b(기존),0.06318211179150555,3.7024383345547434,5.276415249559991
20250207,c1_wu_a+max5,0.24124375804702788,-0.10202572782459907,1.4719511871806492
20250207,c2_max5대체lv,0.18344764197375193,1.5711959719752835,3.1451728869805327
20250207,c3_up추가,0.038361168603709986,0.1415482373994271,1.7155251524046755
20250207,c4_질모멘텀,0.11903518296931904,0.4004049018310553,1.974381816836304
20250310,wu_a(기존),0.13624594436353407,-7.077355866180821,4.809436586649364
20250310,wu_b(기존),0.13092794808617114,-11.40268056799047,0.48411188483971335
20250310,c1_wu_a+max5,0.1805813972846527,-5.106339633451551,6.780452819378635
20250310,c2_max5대체lv,0.13754734041385344,-5.688925366507557,6.197867086322629
20250310,c3_up추가,0.05630648382807849,-12.754684909185324,-0.8678924563551397
20250310,c4_질모멘텀,0.11698647633021539,-8.3584525258892,3.5283399269409856
20250407,wu_a(기존),-0.05160917988479086,11.826359003481102,0.35298010778134115
20250407,wu_b(기존),-0.07073134539091284,9.44639784124674,-2.0269810544530182
20250407,c1_wu_a+max5,0.015572148208323889,11.81657762612572,0.343198730425962
20250407,c2_max5대체lv,0.029470770852672374,12.378637961180418,0.9052590654806582
20250407,c3_up추가,-0.06062574155870213,12.171280169048087,0.6979012733483276
20250407,c4_질모멘텀,-0.019378288508131242,14.237557987978029,2.7641790922782676
20250508,wu_a(기존),0.27198911887368177,13.689504646365013,10.479082862013366
20250508,wu_b(기존),0.10723324319500092,13.269455428761784,10.059033644410137
20250508,c1_wu_a+max5,0.2892927379323604,9.300038438008883,6.089616653657236
20250508,c2_max5대체lv,0.24460995451305645,9.725756768163922,6.5153349838122745
20250508,c3_up추가,0.20067194421261225,16.748192911675233,13.537771127323586
20250508,c4_질모멘텀,0.26795333660965037,13.605568156322738,10.395146371971093
20250609,wu_a(기존),0.22740998380185592,5.673918791874152,6.287679179216223
20250609,wu_b(기존),0.04053257418522871,3.4559018286562027,4.0696622159982745
20250609,c1_wu_a+max5,0.2278935923452257,5.981059315625324,6.5948197029673965
20250609,c2_max5대체lv,0.1746591106623335,6.872081633488811,7.485842020830882
20250609,c3_up추가,0.18275467352417632,6.57631020223615,7.190070589578223
20250609,c4_질모멘텀,0.25768838269029787,7.999472418893281,8.613232806235354
20250707,wu_a(기존),0.1116457914616448,-1.7828190648295044,1.9397784238779647
20250707,wu_b(기존),0.016348080483096526,-0.1561338390641285,3.56646364964334
20250707,c1_wu_a+max5,0.14219104919608122,-0.7743990613444136,2.9481984273630553
20250707,c2_max5대체lv,0.12646933657813716,-0.09489338509721904,3.6277041036102498
20250707,c3_up추가,0.06561359988606175,0.18446596604357013,3.907063454751039
20250707,c4_질모멘텀,0.1278865722686903,0.6366860375260933,4.359283526233562
20250804,wu_a(기존),0.1009942794297824,1.5309520244329677,3.985842869209837
20250804,wu_b(기존),0.02381837391331955,6.121756614003013,8.576647458779881
20250804,c1_wu_a+max5,0.08651226596428807,-0.25474595482624274,2.2001448899506264
20250804,c2_max5대체lv,0.05571846041037396,-0.7308908417973431,1.724000002979526
20250804,c3_up추가,0.06549057342674076,5.076173497389467,7.531064342166337
20250804,c4_질모멘텀,0.088412873901728,-0.437017554953604,2.0178732898232656
20250902,wu_a(기존),0.08848656279917184,1.9155743603682014,1.3203362651301083
20250902,wu_b(기존),0.019812516914709633,6.497906786169136,5.902668690931042
