factor,tilt_med,tilt_mean,tilt_std,n_days,label,def
tru5n,0.050619398452295905,0.044440380540482216,0.04123608144083577,16,투신5d,h20>+10%
turn20,-0.06327717059982507,-0.07492781994317135,0.07580734592666577,16,회전율,h20>+10%
upr63,0.05090823206080647,0.07741539414481918,0.07439377561376632,16,상승일비율63,h20>+10%
vol_exp,-0.04061889969615182,-0.04624569089317542,0.06942034995467447,16,변동성팽창(std5/21),h20>+10%
amihud63,0.010223642172523917,-0.009197149965895077,0.11444758698483222,31,비유동성,h5>0
amt20,-0.000340367597004787,0.019106213022266096,0.09666884934466091,31,거래대금20,h5>0
amt_trend,0.07294213528932358,0.07858187485019404,0.06421381128164289,31,거래대금팽창,h5>0
credit_rate,,,,31,신용잔고율,h5>0
dcr20,,,,31,신용잔고율변화20,h5>0
dd52,0.09005704971475148,0.09915790737733095,0.07154435007038522,31,52주고점대비낙폭,h5>0
dlow52,-0.005982367758186391,0.01776206998867714,0.09000023486339244,31,52주저점대비거리,h5>0
frg20n,-0.02002967359050445,-0.012482976587011129,0.05299445851597568,31,외인20d,h5>0
frg5n,0.0009765625,0.01271252839920868,0.0641313709327795,31,외인5d,h5>0
ins20n,-0.015614156835530857,-0.00853230962373731,0.06682426782142596,31,기관20d,h5>0
ins5n,-0.014931087289433376,-0.009053020195485045,0.06300454471872853,31,기관5d,h5>0
loanchg5,,,,31,대차잔고변화5,h5>0
max5_21,-0.02729044834307992,0.009434807875129072,0.12385438857585378,31,복권성(최대급등),h5>0
mom12_1,-0.010188679245282994,-0.011866842894227845,0.08316684933958898,31,12-1모멘텀,h5>0
mom21,0.11004932182490745,0.10680215171532544,0.08415749475863286,31,1개월수익,h5>0
mom63,0.051724137931034475,0.05936186653141247,0.07620043721380725,31,3개월수익,h5>0
obv63,-0.0330073349633252,-0.02058241634047633,0.08929870287934798,31,OBV매집,h5>0
pen20n,0.08576512455516017,0.0894242030730736,0.018782325990682046,31,연기금20d,h5>0
pen5n,0.0634765625,0.05923137648997064,0.028666339415725314,31,연기금5d,h5>0
per20n,0.008252063015753985,0.004778669313963705,0.030092324006993142,31,개인20d,h5>0
per5n,0.004008016032064132,-0.007999067901669689,0.05976062215901742,31,개인5d,h5>0
ret5,0.06931407942238266,0.05852730883539821,0.05987312019562097,31,직전1주수익(반전),h5>0
rv21,-0.047311095983662343,-0.019713779845680488,0.13433003906184351,31,실현변동성21,h5>0
size,0.03451676528599601,0.05666811405558371,0.1118891132810075,31,시가총액,h5>0
sma20gap,0.1058713304184884,0.10451509181344393,0.08112785001923684,31,SMA20이격,h5>0
svr5,0.045011252813203284,0.033136207958596994,0.09942104520308245,31,공매도비중5d,h5>0
tru20n,0.05562422744128559,0.04210110729005554,0.04025455061715026,31,투신20d,h5>0
tru5n,0.04280397022332505,0.022763945265250444,0.07253380557698927,31,투신5d,h5>0
turn20,-0.06886715566422169,-0.06172334675525081,0.11345588430645759,31,회전율,h5>0
upr63,0.04078455790784563,0.032455604765919924,0.06342487814095463,31,상승일비율63,h5>0
vol_exp,0.0064102564102563875,0.004668331606496562,0.05908358266546401,31,변동성팽창(std5/21),h5>0
amihud63,-0.03248862897985705,-0.021533552119705635,0.15323810010635527,31,비유동성,h5>+5%
amt20,0.047131147540983576,0.0733821713423578,0.10085050019047194,31,거래대금20,h5>+5%
amt_trend,0.1127562642369021,0.10233803441475026,0.08355976414245019,31,거래대금팽창,h5>+5%
credit_rate,,,,31,신용잔고율,h5>+5%
dcr20,,,,31,신용잔고율변화20,h5>+5%
dd52,0.08932902182700087,0.09750021502633514,0.08010998385318914,31,52주고점대비낙폭,h5>+5%
dlow52,0.10635696821515894,0.09027550067086094,0.09890054148853089,31,52주저점대비거리,h5>+5%
frg20n,-0.02588996763754048,-0.0038272159567230217,0.07432370304816455,31,외인20d,h5>+5%
frg5n,0.012126865671641784,0.013095371568626349,0.07708121549945171,31,외인5d,h5>+5%
ins20n,0.006245662734212454,0.008811070045776465,0.05681114164916033,31,기관20d,h5>+5%
ins5n,-0.0222491909385113,-0.00847551068136477,0.057340919281259305,31,기관5d,h5>+5%
loanchg5,,,,31,대차잔고변화5,h5>+5%
max5_21,0.1417128773875539,0.10663347143157076,0.14508670945037067,31,복권성(최대급등),h5>+5%
mom12_1,0.036317567567567544,0.030277095783368888,0.096544380047469,31,12-1모멘텀,h5>+5%
mom21,0.10589907604832982,0.11933325120531987,0.11043570999995447,31,1개월수익,h5>+5%
mom63,0.10668276972624802,0.10289512019421633,0.09853422341327808,31,3개월수익,h5>+5%
obv63,0.011610486891385774,0.028397513236303833,0.111955380712834,31,OBV매집,h5>+5%
pen20n,0.08576512455516017,0.0894242030730736,0.018782325990682046,31,연기금20d,h5>+5%
pen5n,0.0634765625,0.05923137648997064,0.028666339415725314,31,연기금5d,h5>+5%
per20n,0.007905138339920903,-0.002279859270231272,0.052278489393971866,31,개인20d,h5>+5%
per5n,0.006402048655569814,0.0020527669432723705,0.07826642926954468,31,개인5d,h5>+5%
ret5,0.05287569573283857,0.03727107324610751,0.07864626981798048,31,직전1주수익(반전),h5>+5%
rv21,0.1461218836565097,0.08184865576574755,0.15111385663217697,31,실현변동성21,h5>+5%
size,0.04223521767381411,0.04958662415891996,0.1506735943706112,31,시가총액,h5>+5%
sma20gap,0.10399703923019987,0.10650007322134719,0.10762444787396386,31,SMA20이격,h5>+5%
svr5,0.02224711907810506,0.0028752311080691875,0.11888809198788103,31,공매도비중5d,h5>+5%
tru20n,0.05352894528152263,0.04447871400735378,0.03472013424365102,31,투신20d,h5>+5%
tru5n,0.04280397022332505,0.02215757077617097,0.07391320970308075,31,투신5d,h5>+5%
turn20,0.0020210185933710045,0.016926119925444558,0.1316778699928867,31,회전율,h5>+5%
upr63,0.08586688578471646,0.07369394462872723,0.08902037945873563,31,상승일비율63,h5>+5%
vol_exp,0.016894087069525665,0.013045393899180222,0.07754672611854395,31,변동성팽창(std5/21),h5>+5%
