name,mode,date,net,index_original,index_matched,ex_original,ex_matched,ex_ew,kospi_pick,kospi_universe,known_later_exclusions,cap_exclusions,missing_exit,entry_failed,size_min,size_max,size_median
R1_small_tilt,original,20250102,0.12253242038742412,0.1610818691908991,0.1750052105087112,-0.03854944880347497,-0.05247279012128708,-0.016180076445389352,0.5,0.4081145584725537,0,0,0,0,0.00397456279809221,0.7098569157392687,0.2976947535771065
R1_small_tilt,causal_uncapped,20250102,0.12253242038742412,0.1610818691908991,0.1750052105087112,-0.03854944880347497,-0.05247279012128708,-0.016180076445389352,0.5,0.4081145584725537,0,0,0,0,0.00397456279809221,0.7098569157392687,0.2976947535771065
R1_small_tilt,original,20250203,0.0015972590961778766,0.1908444439871355,0.20410949150674984,-0.1892471848909576,-0.20251223241057195,-0.13883254396742456,0.45,0.3819951338199513,0,0,0,0,0.0024311183144246355,0.726904376012966,0.34521880064829824
R1_small_tilt,causal_uncapped,20250203,0.0015972590961778766,0.1908444439871355,0.20410949150674984,-0.1892471848909576,-0.20251223241057195,-0.13883254396742456,0.45,0.3819951338199513,0,0,0,0,0.0024311183144246355,0.726904376012966,0.34521880064829824
R1_small_tilt,original,20250304,-0.018503800899669284,0.13732674616873008,0.1411422465086797,-0.15583054706839938,-0.15964604740834898,-0.11047948774171718,0.4,0.37886792452830187,0,0,0,0,0.012075471698113207,0.9071698113207547,0.309433962264151
R1_small_tilt,causal_uncapped,20250304,-0.018503800899669284,0.13732674616873008,0.1411422465086797,-0.15583054706839938,-0.15964604740834898,-0.11047948774171718,0.4,0.37886792452830187,0,0,0,0,0.012075471698113207,0.9071698113207547,0.309433962264151
R1_small_tilt,original,20250401,-0.3146641384212355,0.3004713576132273,0.2658331530773592,-0.6151354960344628,-0.5804972914985946,-0.5466441756317193,0.15,0.39666136724960255,0,0,0,0,0.028616852146263912,0.7114467408585056,0.1724960254372019
R1_small_tilt,causal_uncapped,20250401,-0.3146641384212355,0.3004713576132273,0.2658331530773592,-0.6151354960344628,-0.5804972914985946,-0.5466441756317193,0.15,0.39666136724960255,0,0,0,0,0.028616852146263912,0.7114467408585056,0.1724960254372019
R1_small_tilt,original,20250502,0.442815625612634,0.4108899389764611,0.3590340956521031,0.0319256866361729,0.0837815299605309,0.2983269303415205,0.25,0.38826185101580135,0,0,0,0,0.0015015015015015015,0.771021021021021,0.22785285285285284
R1_small_tilt,causal_uncapped,20250502,0.442815625612634,0.4108899389764611,0.3590340956521031,0.0319256866361729,0.0837815299605309,0.2983269303415205,0.25,0.38826185101580135,0,0,0,0,0.0015015015015015015,0.771021021021021,0.22785285285285284
R1_small_tilt,original,20250602,0.09921497642912691,0.2956319553532766,0.26669246852771766,-0.19641697892414967,-0.16747749209859075,0.01887714244631214,0.25,0.39429407461594734,0,0,0,0,0.0014619883040935672,0.6980994152046783,0.21454678362573099
R1_small_tilt,causal_uncapped,20250602,0.09921497642912691,0.2956319553532766,0.26669246852771766,-0.19641697892414967,-0.16747749209859075,0.01887714244631214,0.25,0.39429407461594734,0,0,0,0,0.0014619883040935672,0.6980994152046783,0.21454678362573099
R1_small_tilt,original,20250701,0.017739042184461488,0.24244093854007434,0.20922622129807084,-0.22470189635561286,-0.19148717911360935,-0.02928009439353649,0.2,0.39869281045751637,0,0,0,0,0.0091324200913242,0.7527723418134377,0.33724722765818654
R1_small_tilt,causal_uncapped,20250701,0.27285770202624837,0.24244093854007434,0.20922622129807084,0.03041676348617403,0.06363148072817754,0.2258385654482504,0.2,0.39869281045751637,1,1,0,0,0.0091324200913242,0.7527723418134377,0.418460534898891
R1_small_tilt,original,20250801,0.1127976350339575,0.5446418561793125,0.5241209259372677,-0.431844221145355,-0.41132329090331016,-0.11395199196654539,0.3,0.40594059405940597,0,0,0,0,0.010570824524312896,0.6124031007751938,0.2216349541930937
R1_small_tilt,causal_uncapped,20250801,0.1127976350339575,0.5446418561793125,0.5241209259372677,-0.431844221145355,-0.41132329090331016,-0.11395199196654539,0.3,0.40594059405940597,0,0,0,0,0.010570824524312896,0.6124031007751938,0.2216349541930937
R1_small_tilt,original,20250901,0.3944468201785378,0.5467130157815678,0.4945878974275481,-0.15226619560303,-0.10014107724901028,0.18052947337746716,0.25,0.397196261682243,0,0,0,0,0.03110419906687403,0.8483670295489891,0.23755832037325036
R1_small_tilt,causal_uncapped,20250901,0.3944468201785378,0.5467130157815678,0.4945878974275481,-0.15226619560303,-0.10014107724901028,0.18052947337746716,0.25,0.397196261682243,0,0,0,0,0.03110419906687403,0.8483670295489891,0.23755832037325036
R1_small_tilt,original,20251001,0.015136326011684614,0.3446795097404919,0.257027282632204,-0.32954318372880725,-0.24189095662051938,-0.13076835629213776,0.1,0.3831360946745562,0,0,0,0,0.008130081300813009,0.8263118994826312,0.38470066518847007
R1_small_tilt,causal_uncapped,20251001,0.015136326011684614,0.3446795097404919,0.257027282632204,-0.32954318372880725,-0.24189095662051938,-0.13076835629213776,0.1,0.3831360946745562,0,0,0,0,0.008130081300813009,0.8263118994826312,0.38470066518847007
R1_small_tilt,original,20251103,0.5070986328894345,0.4114977103368396,0.3182577177788299,0.09560092255259489,0.18884091511060458,0.2191882087195906,0.1,0.39680232558139533,0,0,0,0,0.0455531453362256,0.7722342733188721,0.31055676066522053
R1_small_tilt,causal_uncapped,20251103,0.7743550928776362,0.4114977103368396,0.3025502949384991,0.3628573825407966,0.47180479793913704,0.4864446687077923,0.05,0.39680232558139533,1,1,0,0,0.0455531453362256,0.7722342733188721,0.3311641359363702
R1_small_tilt,original,20251201,0.16126216807882512,0.5450267372400641,0.21493854722196853,-0.383764569161239,-0.05367637914314341,0.02153322208315095,0.1,0.4006187161639598,0,0,0,0,0.016191210485736313,0.5890516576715498,0.2810331534309946
R1_small_tilt,causal_uncapped,20251201,0.16126216807882512,0.5450267372400641,0.21493854722196853,-0.383764569161239,-0.05367637914314341,0.02153322208315095,0.1,0.4006187161639598,0,0,0,0,0.016191210485736313,0.5890516576715498,0.2810331534309946
R1_small_tilt,original,20260102,-0.16872642009650762,0.2340001758771782,-0.09480939947780676,-0.4027265959736858,-0.07391702061870087,-0.08530953663741946,0.0,0.40564635958395245,0,0,0,0,0.05337286879169755,0.6916234247590808,0.3328391401037806
R1_small_tilt,causal_uncapped,20260102,-0.16872642009650762,0.2340001758771782,-0.09480939947780676,-0.4027265959736858,-0.07391702061870087,-0.08530953663741946,0.0,0.40564635958395245,0,0,0,0,0.05337286879169755,0.6916234247590808,0.3328391401037806
R1_small_tilt,original,20260202,-0.24907503134925263,-0.15443688739440725,-0.2748049416224363,-0.09463814395484538,0.025729910273183665,0.01119672806689137,0.15,0.37333333333333335,0,0,0,0,0.06844106463878327,0.8453738910012675,0.311787072243346
R1_small_tilt,causal_uncapped,20260202,-0.24907503134925263,-0.15443688739440725,-0.2748049416224363,-0.09463814395484538,0.025729910273183665,0.01119672806689137,0.15,0.37333333333333335,0,0,0,0,0.06844106463878327,0.8453738910012675,0.311787072243346
R1_small_tilt,original,20260303,-0.008144426357063857,0.04717050434933151,-0.09379452236463401,-0.05531493070639537,0.08565009600757015,0.06456319506678423,0.1,0.38137969713965225,0,0,0,0,0.006711409395973154,0.7757270693512305,0.22063758389261745
R1_small_tilt,causal_uncapped,20260303,-0.008144426357063857,0.04717050434933151,-0.09379452236463401,-0.05531493070639537,0.08565009600757015,0.06456319506678423,0.1,0.38137969713965225,0,0,0,0,0.006711409395973154,0.7757270693512305,0.22063758389261745
R1_minus_mom,original,20240102,0.0586698876899493,0.011191694341047043,0.003054157476669553,0.047478193348902256,0.05561573021327975,0.07384993497110146,0.3,0.37856645789839943,0,0,0,1,0.24913013221990257,0.9993041057759221,0.7658315935977731
R1_minus_mom,causal_uncapped,20240102,0.08952103316751943,0.011191694341047043,0.003054157476669553,0.07832933882647239,0.08646687569084988,0.10470108044867159,0.3,0.37856645789839943,0,0,0,1,0.24913013221990257,0.9993041057759221,0.7658315935977731
R1_minus_mom,original,20240201,-0.03700982781828272,0.01356934483792717,0.029942339594805568,-0.05057917265620989,-0.06695216741308829,-0.0022221837657510762,0.6,0.3777624309392265,0,0,0,0,0.0856353591160221,0.9958563535911602,0.8929558011049723
R1_minus_mom,causal_uncapped,20240201,-0.03700982781828272,0.01356934483792717,0.029942339594805568,-0.05057917265620989,-0.06695216741308829,-0.0022221837657510762,0.6,0.3777624309392265,0,0,0,0,0.0856353591160221,0.9958563535911602,0.8929558011049723
R1_minus_mom,original,20240304,-0.1139285580678907,-0.0673056724528906,-0.05231549037192312,-0.04662288561500011,-0.06161306769596758,-0.01458438965342547,0.5,0.3890857547838412,0,0,0,0,0.3316796598157335,0.997165131112686,0.8472714386959603
R1_minus_mom,causal_uncapped,20240304,-0.1139285580678907,-0.0673056724528906,-0.05231549037192312,-0.04662288561500011,-0.06161306769596758,-0.01458438965342547,0.5,0.3890857547838412,0,0,0,0,0.3316796598157335,0.997165131112686,0.8472714386959603
R1_minus_mom,original,20240401,-0.07612042946451826,-0.11181199018367795,-0.12620580417126354,0.03569156071915969,0.050085374706745275,0.03780993491090465,0.2,0.36901408450704226,0,0,0,0,0.0014074595355383533,0.9992962702322308,0.7515833919774806
R1_minus_mom,causal_uncapped,20240401,-0.07612042946451826,-0.11181199018367795,-0.12620580417126354,0.03569156071915969,0.050085374706745275,0.03780993491090465,0.2,0.36901408450704226,0,0,0,0,0.0014074595355383533,0.9992962702322308,0.7515833919774806
R1_minus_mom,original,20240502,-0.1470427977640632,-0.11600273432572382,-0.12008971565292273,-0.031040063438339385,-0.026953082111140475,-0.0008202190742237214,0.35,0.38799076212471134,0,0,0,0,0.08615384615384615,0.9684615384615385,0.7326923076923078
R1_minus_mom,causal_uncapped,20240502,-0.1470427977640632,-0.11600273432572382,-0.12008971565292273,-0.031040063438339385,-0.026953082111140475,-0.0008202190742237214,0.35,0.38799076212471134,0,0,0,0,0.08615384615384615,0.9684615384615385,0.7326923076923078
R1_minus_mom,original,20240603,-0.032527506524027576,-0.15112534873915695,-0.15594232874761568,0.11859784221512937,0.1234148222235881,0.15576895387493322,0.35,0.3898916967509025,0,0,0,0,0.049819494584837545,0.9992779783393502,0.7898916967509025
R1_minus_mom,causal_uncapped,20240603,-0.032527506524027576,-0.15112534873915695,-0.15594232874761568,0.11859784221512937,0.1234148222235881,0.15576895387493322,0.35,0.3898916967509025,0,0,0,0,0.049819494584837545,0.9992779783393502,0.7898916967509025
