ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
182360,큐브엔터,,6690,24.9,13.0,14.6,-66.3,5.2,-9.2,-36.6,-43.4,-18.7,-29.7,-47.9,1.26,19840,6360,5,False,True,False,60447,61475,5.3,4.2,5.1,0.98,4,False,False,False,True,거래량동반양봉,84.7,4.4,-0.8,8.2,-0.4,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.7,100.7,182360,00985686,0,0,0,0,,,,,,,,,,,안전
208370,셀바스헬스케어,,3270,28.4,8.5,-1.2,-56.3,2.7,-13.8,-26.2,-35.1,-14.0,-21.3,-27.4,1.29,7490,3185,0,False,False,False,180477,160578,6.7,6.2,6.1,1.12,4,False,False,False,True,거래량동반양봉,89.5,4.7,0.0,7.8,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.5,100.5,208370,01047451,0,0,0,0,,,,,,,,,,,안전
082270,젬백스,,13850,5.4,12.3,8.4,-80.9,7.4,-18.1,-44.6,-70.3,-24.1,-45.0,-62.7,0.99,72700,12900,0,False,False,False,280079,294289,40.8,42.2,54.0,0.95,0,False,False,False,False,-,86.1,20.9,21.0,106.7,-26.5,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.1,100.1,082270,00492894,0,63,0,0,,[20260602] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260602900759) || [20260601] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260601901686) || [20260522] 주요사항보고서(전환사채권발행결정) (20260522000597),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260602900759 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260601901686 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260522000597,,,,20260602900759 || 20260601901686 || 20260522000597,주의
077360,덕산하이메탈,,11550,28.2,7.7,-8.1,-45.3,203.9,-35.0,-34.5,-1.4,-31.5,-22.2,27.5,0.77,21100,3800,5,True,False,False,2465346,1759344,153.7,325.3,290.8,1.4,0,False,False,False,False,-,88.1,158.1,-208.6,353.3,-462.4,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.1,100.1,077360,00471068,0,0,0,0,,,,,,,,,,,안전
122350,삼기,,1039,21.3,13.1,4.8,-54.0,5.9,-16.2,-32.8,-40.5,-18.7,-26.2,-27.5,1.35,2260,981,0,False,False,False,286564,241573,3.4,3.2,3.1,1.19,4,False,False,False,True,거래량동반양봉,89.1,3.3,-0.0,4.0,-0.2,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.1,100.1,122350,00799177,0,0,0,0,,,,,,,,,,,안전
065950,웰크론,,1002,13.3,15.5,-14.9,-63.0,7.5,-22.9,-37.0,-38.4,-22.3,-32.0,-41.7,1.87,2705,932,0,False,False,False,167705,155969,3.0,1.8,2.0,1.08,0,False,False,False,False,-,93.0,1.4,0.0,0.2,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.0,100.0,065950,00362159,0,0,0,0,,,,,,,,,,,안전
333430,일승,,3940,11.4,4.1,10.4,-62.2,1.9,-18.4,-37.0,-30.8,-22.1,-27.4,-36.8,0.74,10430,3865,0,False,False,False,119837,232899,6.0,5.1,13.0,0.51,0,False,False,False,False,-,85.8,0.7,0.3,-5.4,0.3,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,100.8,99.8,333430,01396676,0,0,0,0,,,,,,,,,,,안전
065450,빅텍,,3605,7.5,5.0,9.6,-48.9,3.1,-13.8,-38.3,-18.1,-20.4,-28.9,-14.5,0.82,7050,3495,0,False,False,False,820642,857760,25.5,31.8,40.4,0.96,0,False,False,False,False,-,85.7,2.7,0.1,-9.6,-28.2,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,100.7,99.7,065450,00385363,0,0,0,0,,,,,,,,,,,안전
045060,오공,,2060,20.2,23.1,6.8,-23.4,4.9,-9.8,-16.6,-12.5,-9.9,-11.4,-13.3,3.19,2690,1964,5,True,False,False,187363,79873,5.4,3.9,1.8,2.35,4,False,False,False,True,거래량동반양봉,76.7,1.6,0.1,3.8,1.1,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,100.7,99.7,045060,00220969,0,0,0,0,,,,,,,,,,,안전
214430,아이쓰리시스템,,70900,31.1,13.9,4.9,-48.6,10.8,-16.2,-36.0,-32.8,-18.6,-25.1,-20.7,1.13,137900,64000,0,False,False,False,92366,72541,59.0,71.8,62.7,1.27,0,False,False,False,False,-,85.5,14.6,19.6,28.0,-86.5,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,100.5,99.5,214430,00612489,0,0,0,0,,,,,,,,,,,안전
