rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
74,304100,1.348,122,솔트룩스,출판·SW,55.9,-3.9,-2.4,0.43,-0.1,-60.9,22.0,3.4,14.5,-0.2,-10.8,-7.3,95.0,EXCLUDE,EXCLUDE,0,0,
75,099190,1.34,122,아이센스,의료·정밀·광학,66.4,-5.0,-8.6,0.77,-2.3,-42.1,6.6,-4.9,-4.4,0.8,-9.8,41.8,49.0,WATCH,WATCH,0,0,
76,396300,1.336,122,HT로보틱스,금속가공,43.9,-5.9,6.5,0.31,-1.1,-37.3,67.4,-6.0,21.6,-1.3,21.1,256.8,82.0,EXCLUDE,EXCLUDE,0,0,
77,195940,1.328,122,HK이노엔,제약·바이오,64.7,-6.0,-5.4,0.75,-2.3,-33.8,48.1,-24.5,-162.3,2.6,112.5,53.6,32.0,OBSERVE,B,0,0,
78,439960,1.291,122,코스모로보틱스,의료·정밀·광학,46.8,-3.5,-12.5,0.67,5.9,-82.8,97.0,7.8,-17.9,3.6,1.6,-259.9,97.0,OBSERVE,C,0,0,
79,179900,1.287,122,유티아이,반도체·전자부품,48.4,-1.3,-13.5,0.43,3.8,-92.0,10.0,-0.7,-2.6,-0.8,-5.0,-65.3,119.0,EXCLUDE,EXCLUDE,0,0,유상증자 08/05
80,094940,1.275,122,푸른로보틱스,반도체·전자부품,44.2,-1.8,-7.0,0.16,4.1,-60.0,14.9,0.3,0.5,0.0,0.0,-18.6,117.0,OBSERVE,C,0,0,
81,302430,1.27,122,이노메트리,기계·장비,40.4,-5.7,8.6,0.14,-6.2,-37.4,68.4,-0.3,-3.9,0.0,0.0,-317.9,83.0,OBSERVE,C,0,0,
82,281740,1.254,122,레이크머티리얼즈,화학,54.4,-4.3,-6.7,0.58,3.7,-62.4,39.3,-10.8,-31.3,1.2,-94.0,40.0,67.0,WATCH,WATCH,0,0,
83,491000,1.238,122,리브스메드,의료·정밀·광학,52.3,-8.3,-10.6,1.34,-1.8,-68.8,57.9,-33.1,-127.3,-32.3,-58.7,-124.4,92.0,EXCLUDE,EXCLUDE,0,0,
84,198440,1.217,122,강동씨앤엘,비금속광물(시멘트·유리),57.5,-8.4,32.9,0.28,-13.0,-43.1,108.1,1.2,-7.5,0.0,-0.6,-13.5,59.0,OBSERVE,C,0,0,
85,0039P0,1.213,122,매드업,엔지니어링,46.8,-5.6,-0.3,0.39,-9.3,-65.5,226.9,14.0,19.7,-11.9,-20.5,126.6,,OBSERVE,C,0,0,
86,439090,1.213,122,마녀공장,화학,58.0,-4.1,-10.6,0.64,-5.1,-25.8,26.2,0.4,-2.6,-0.4,3.1,-15.4,19.0,OBSERVE,B,0,0,
87,493330,1.193,122,지에프아이,기계·장비,53.2,-8.4,8.8,0.29,-5.2,-50.8,14.1,-0.2,4.5,0.3,-13.6,330.8,68.0,OBSERVE,B,0,0,
88,025900,1.184,122,동화기업,목재,59.7,-6.1,-0.1,0.39,-3.6,-47.7,7.1,-1.4,5.4,-0.1,-4.4,82.7,53.0,OBSERVE,C,0,0,
89,076610,1.18,122,해성옵틱스,의료·정밀·광학,52.8,-5.5,-19.7,1.01,-11.2,-59.7,10.1,-0.5,-4.5,-8.3,-8.7,119.1,41.0,EXCLUDE,EXCLUDE,0,0,
90,217730,1.176,122,강스템바이오텍,제약·바이오,64.1,-5.4,-9.0,0.71,-0.7,-54.8,5.2,-0.1,-1.4,0.9,1.0,-36.7,62.0,EXCLUDE,EXCLUDE,0,0,
91,101360,1.156,122,에코앤드림,전기장비,68.3,-7.5,2.0,0.37,-3.5,-72.2,7.3,-0.7,-22.4,0.1,-0.3,-1781.7,71.0,EXCLUDE,EXCLUDE,0,0,
