rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
43,031430,1.142,107,신세계인터내셔날,소매,47.7,0.015356672991141906,0.51,-0.6,2.0,-38.8,6.4,-10.5,-9.0,5.1,-18.0,198.2,69.7,0,0,
44,014820,1.118,107,동원시스템즈,고무·플라스틱,48.9,0.026722527505014453,6.22,-0.2,3.9,-30.5,8.9,-2.5,-4.0,1.9,8.2,23.7,69.9,0,0,
45,018260,1.109,107,삼성에스디에스,IT서비스,50.0,0.027734209156941365,7.66,-1.1,-5.6,-43.4,422.8,82.4,929.7,4.1,-263.2,0.7,74.0,0,0,
46,078520,1.102,107,에이블씨엔씨,화학,57.9,0.0409757986685931,15.88,6.4,-6.2,-36.0,13.2,5.5,8.5,5.3,4.9,52.5,90.9,0,0,
47,241560,1.099,107,두산밥캣,기계·장비,56.9,0.026140775606685023,5.58,-3.6,1.0,-25.5,87.6,-72.0,30.7,4.4,12.5,71.4,77.9,0,0,
48,475150,1.092,107,SK이터닉스,건설,43.1,0.038215166838079184,11.25,-1.3,-8.6,-41.6,668.9,158.3,251.4,-64.5,23.9,-51.2,34.1,0,0,
49,033240,1.082,107,자화전자,반도체·전자부품,53.2,0.03614395029883875,10.54,0.6,-12.5,-54.5,25.2,8.0,-16.6,-3.4,-16.3,344.0,101.2,0,0,
50,489790,1.071,107,한화비전,반도체·전자부품,55.5,0.02564033690041369,5.25,0.3,-13.4,-51.6,68.0,18.0,264.7,-29.8,-287.8,11.6,90.5,0,0,
51,036460,1.045,107,한국가스공사,전력·가스,42.5,0.02005633893965487,1.18,-3.6,-1.9,-22.0,59.4,0.6,220.6,4.3,-43.5,66.9,74.5,0,0,
52,004490,1.044,107,세방전지,전기장비,52.1,0.032843906258250885,8.75,-2.6,8.9,-22.8,71.0,13.8,-52.1,3.6,169.9,-2.4,59.1,0,0,
53,002790,1.041,107,아모레퍼시픽홀딩스,화학,50.3,0.02230972713876031,3.51,1.0,0.6,-27.5,27.2,-8.1,25.5,22.2,39.6,97.2,95.3,0,0,
54,001740,1.04,107,SK네트웍스,도매,56.9,0.021126290065074597,2.46,-1.7,-11.2,-61.3,53.0,-6.2,-25.2,1.1,-16.9,-42.4,65.9,0,0,
