rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
43,123330,1.152,105,제닉,화학,48.8,0.0652127360288788,46.02,-18.0,-19.7,-32.8,117.0,8.1,27.5,-88.8,-100.0,,49.8,0,0,
44,099190,1.142,105,아이센스,의료·정밀·광학,63.4,0.023513493373614667,0.0,0.5,-10.4,-40.0,7.5,-1.2,3.6,-8.8,-9.3,41.8,69.4,0,0,
45,372320,1.094,105,큐로셀,지주·전문서비스,63.8,0.0259880761054277,0.0,-5.0,-12.6,-65.4,5.3,-0.9,-9.8,-4.2,-4.8,19.8,54.8,0,0,
46,319400,1.089,105,현대무벡스,기계·장비,51.8,0.044405084938313265,7.08,-1.8,-13.7,-57.0,316.2,-11.4,-166.4,-19.7,-125.6,-28.2,37.8,0,0,
47,090710,1.075,105,휴림로봇,기계·장비,56.3,0.026299946362119818,0.0,-1.1,-17.8,-76.7,66.4,-21.8,-14.2,-18.2,-78.9,-655.9,49.3,0,0,
48,200710,1.066,105,에이디테크놀로지,반도체·전자부품,43.9,0.03886127638252399,2.66,2.4,-21.7,-61.5,22.6,-1.7,15.7,-1.8,-32.7,-15.1,27.9,0,0,
49,242040,1.018,105,나무AX,출판·SW,55.6,0.029686204224583082,0.0,0.5,-22.1,-72.6,8.0,0.6,-4.7,0.0,0.0,128.1,92.6,0,0,
50,124500,1.0,105,아이티센글로벌,IT서비스,46.8,0.09085380119845296,37.19,-10.0,17.6,-57.5,245.3,-29.1,-236.1,-45.3,94.6,,47.8,0,0,
51,332570,0.998,105,PS일렉트로닉스,반도체·전자부품,46.6,0.07674160701066168,17.63,1.7,-9.8,-48.3,388.1,-7.4,-126.2,-1.8,-52.2,147.0,59.6,0,0,
52,420770,0.984,105,기가비스,기계·장비,69.0,0.05170006196496376,7.32,-7.3,-20.3,-54.5,141.5,130.2,224.9,-168.8,-358.5,225.1,90.0,0,0,
53,025320,0.981,105,시노펙스,반도체·전자부품,40.5,0.04282245998952043,4.28,-0.1,-15.7,-53.8,18.0,4.5,-4.8,-3.7,-22.6,-133.5,54.5,0,0,
54,144960,0.981,105,뉴파워프라즈마,기계·장비,58.1,0.041912777396772155,2.99,0.6,-25.2,-33.7,110.3,-52.8,-7.6,-8.0,-147.4,123.6,79.1,0,0,
55,039020,0.98,105,이건홀딩스,목재,66.7,0.03024419313014311,0.0,-1.7,-1.3,-51.5,5.0,0.0,-2.8,0.4,1.2,392.9,87.7,0,0,
56,251970,0.977,105,펌텍코리아,고무·플라스틱,59.4,0.06094006176837614,11.7,-4.5,-10.4,-24.8,56.5,61.4,52.3,-74.3,-75.5,,76.4,0,0,
57,486990,0.97,105,노타,출판·SW,69.5,0.030280920345059616,0.0,-4.6,-19.6,-73.6,22.0,-3.0,-9.9,-31.1,-45.3,-59.8,24.5,0,0,
58,000250,0.97,105,삼천당제약,제약·바이오,54.0,0.04062785610394925,1.9,2.4,-13.7,-87.0,196.7,-89.9,-186.2,76.7,-101.8,418.6,91.0,0,0,
59,163730,0.95,105,핑거,출판·SW,48.8,0.0401188382684868,0.65,-4.1,-9.2,-64.2,12.1,-3.7,-20.1,0.0,-0.4,-29.9,37.8,0,0,CB 08/21
60,086820,0.931,105,바이오솔루션,제약·바이오,44.1,0.04066828589629155,0.83,7.2,5.1,-51.2,6.9,-0.9,-14.3,0.0,-0.1,65.0,57.1,0,0,
61,194480,0.907,105,데브시스터즈,출판·SW,48.1,0.053758988461597365,6.29,-4.7,-31.3,-74.0,16.4,5.4,10.9,-12.0,-38.1,-258.0,54.1,0,0,
62,399720,0.903,105,가온칩스,반도체·전자부품,60.3,0.03349098319299389,0.0,-2.7,-14.3,-50.8,39.5,92.2,75.5,-134.3,-183.4,156.1,91.3,0,0,
63,121600,0.893,105,나노신소재,화학,52.7,0.041409479355204275,0.66,0.5,-7.2,-50.4,23.8,23.2,22.6,-38.6,-57.9,189.3,77.7,0,0,
64,052020,0.865,105,에스티큐브,도매,50.7,0.03557905589310995,0.0,-2.5,-14.0,-65.1,10.2,-3.1,-18.0,0.0,-0.4,-10.2,33.7,0,0,
65,189300,0.856,105,인텔리안테크,반도체·전자부품,42.6,0.04608257183214978,2.77,0.5,-17.2,-64.8,39.1,2.7,17.0,-18.3,-70.7,304.7,59.6,0,0,
66,420570,0.851,105,제이투케이바이오,화학,58.3,0.06422422228757935,7.95,-10.5,-29.6,-34.3,8.1,-2.0,7.5,0.0,3.1,,54.3,0,0,
67,394280,0.846,105,오픈엣지테크놀로지,출판·SW,69.6,0.036731535648096246,0.0,-1.7,-19.9,-63.6,6.1,0.9,-1.7,-0.2,-0.1,28.6,95.6,0,0,
68,382800,0.84,105,지앤비에스 에코,기계·장비,43.2,0.05533954586483692,5.38,-0.6,-14.8,-51.1,50.0,-24.0,-86.4,-7.4,-11.7,117.5,74.2,0,0,
69,348210,0.837,105,넥스틴,기계·장비,45.5,0.037608129146384624,0.0,1.0,-14.5,-68.6,30.7,95.7,114.8,-128.3,-160.9,-130.5,52.5,0,0,
70,053030,0.827,105,바이넥스,제약·바이오,66.8,0.03779015228320163,0.0,-3.1,-12.4,-65.8,6.4,-0.4,-12.3,-3.2,-2.1,-995.2,42.8,0,0,
71,322310,0.808,105,오로스테크놀로지,기계·장비,63.2,0.03835895743815176,0.0,-0.2,-21.7,-76.3,15.5,0.3,12.9,-8.2,-36.9,-246.3,69.2,0,0,
72,330860,0.799,105,네패스아크,전문서비스,62.9,0.04724654659467328,2.02,-1.3,-24.7,-63.2,43.3,21.2,133.6,-41.1,-89.8,11.7,93.9,0,0,
73,394420,0.78,105,리센스메디컬,의료·정밀·광학,69.9,0.038912687019028405,0.0,-5.4,-11.2,-75.7,14.9,-8.2,-26.1,0.1,-10.9,-65.5,67.9,0,0,
74,457370,0.776,105,한켐,화학,42.8,0.08916404296450306,9.68,6.3,-7.7,-50.7,107.7,4.2,0.3,0.0,-4.7,-79.5,57.8,0,0,
75,033160,0.75,105,엠케이전자,반도체·전자부품,67.0,0.04621661209727248,0.36,-6.2,-28.1,-64.7,157.0,18.6,128.4,-89.9,-342.7,188.3,83.0,0,0,
76,475580,0.742,105,에이럭스,기타제조,48.1,0.04038897793576629,0.0,-0.3,-6.8,-54.4,14.8,-0.7,-12.8,0.0,0.0,67.4,74.1,0,0,
77,900290,0.729,105,GRT,금융(은행),58.0,0.05754504059969702,,-7.8,-7.1,-51.3,13.3,-5.0,-12.7,-0.2,-3.8,,51.0,0,0,
78,126640,0.728,105,화신정공,자동차·부품,55.6,0.09002464010751682,8.7,-18.6,-2.6,-49.7,115.2,-61.2,-36.3,-0.2,0.6,89.3,63.6,0,0,
79,170920,0.714,105,엘티씨,화학,43.5,0.05793738423814212,4.0,-6.5,-18.9,-44.6,85.4,-42.0,23.8,-4.0,-14.5,,42.5,0,0,
80,330350,0.677,105,위더스제약,제약·바이오,43.0,0.07175396168034913,5.06,0.7,-0.9,-38.1,86.7,0.7,-15.2,0.9,2.1,,67.0,0,0,
81,084110,0.668,105,휴온스글로벌,제약·바이오,43.7,0.07740796114874683,5.28,-6.9,-11.8,-71.1,13.3,-5.5,-62.3,-2.8,-1.4,-22.8,41.7,0,0,
82,127120,0.637,105,제이에스링크,지주·전문서비스,51.5,0.04326177774450461,0.0,-6.4,-24.4,-37.0,55.9,-21.9,-77.1,54.5,41.6,-76.4,58.5,0,0,CB 08/24
83,066980,0.635,105,한성크린텍,연구개발,52.6,0.05350800604622155,0.17,-3.8,-15.3,-45.2,8.8,0.9,-8.8,0.0,-0.2,-31.8,48.6,0,0,
84,064260,0.627,105,다날,출판·SW,40.2,0.04330327036993186,0.0,-4.2,0.8,-56.5,203.7,-18.5,-54.3,-0.9,-3.4,,41.2,0,0,
85,251370,0.589,105,와이엠티,화학,43.4,0.04565705703431489,0.0,3.2,-18.9,-69.4,7.0,-0.2,13.2,-2.7,-15.8,-60.8,50.4,0,0,
