rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
50,068270,KOSPI,3.619,1103,셀트리온,제약·바이오,WATCH,43.34,0.0263,-21.3,17.4,-6.5,891.5,-352.3,1409.4,18.2,-472.7,1,1,
51,090435,KOSPI,3.618,1103,아모레퍼시픽우,,,0.47,0.0286,-19.7,12.5,-3.4,6.6,-2.4,15.4,0.9,-8.8,0,1,
52,002100,KOSPI,3.617,1103,경농,화학,,0.18,0.0086,-12.0,-5.1,1.5,7.9,1.1,-0.9,-0.1,-0.1,0,1,
53,029780,KOSPI,3.61,1103,삼성카드,,,5.4,0.0251,-30.8,-6.4,-2.5,54.3,-47.0,-122.6,-1.2,16.9,0,1,
54,055550,KOSPI,3.608,1103,신한지주,,,53.47,0.0262,-0.5,61.0,3.5,1214.6,-1059.2,-1813.8,1478.4,2757.6,0,1,
55,185750,KOSPI,3.593,1103,종근당,제약·바이오,,0.94,0.0203,-30.0,-15.2,-3.0,16.2,-30.2,-42.2,-3.2,-12.4,0,1,
56,005500,KOSPI,3.586,1103,삼진제약,제약·바이오,,0.25,0.0169,-24.0,-5.3,2.6,6.7,-2.0,1.2,0.0,0.1,0,1,
57,071055,KOSPI,3.586,1103,한국금융지주우,,,0.88,0.031,-22.5,60.0,1.4,13.4,-18.9,-63.3,-0.0,6.9,0,1,
58,139130,KOSPI,3.57,1103,iM금융지주,,,2.95,0.0267,-13.9,26.2,4.4,70.8,-3.6,-129.8,66.8,247.3,0,1,
59,271560,KOSPI,3.564,1103,오리온,식료품,,4.86,0.0244,-15.8,27.7,-10.6,133.2,26.6,62.4,-29.6,-171.2,0,1,
60,005300,KOSPI,3.564,1103,롯데칠성,음료,,0.92,0.0179,-33.4,-16.1,-3.8,15.8,1.7,-36.9,-13.3,-38.8,0,1,
61,086790,KOSPI,3.532,1103,하나금융지주,,,38.11,0.0276,-0.4,61.4,3.1,1009.4,-865.5,-1210.2,963.6,1643.0,0,1,
62,000815,KOSPI,3.527,1103,삼성화재우,,,1.27,0.023,-6.3,20.6,5.0,50.7,7.6,87.1,32.0,23.9,0,1,
63,001120,KOSPI,3.524,1103,LX인터내셔널,도매,,1.55,0.03,-29.6,25.1,5.6,26.6,-45.0,-38.2,69.2,49.5,0,1,
64,462870,KOSPI,3.514,1103,시프트업,출판·SW,,1.85,0.0319,-28.0,-21.6,-3.7,15.2,-2.3,-24.4,0.7,32.6,0,1,
65,016380,KOSPI,3.508,1103,KG스틸,철강·1차금속,,0.57,0.0266,-24.6,2.4,-3.6,11.9,-0.1,8.7,0.8,9.8,0,1,
66,192080,KOSPI,3.5,1103,더블유게임즈,출판·SW,OBSERVE,1.19,0.0244,-24.5,18.7,-9.6,28.3,6.6,-37.4,-9.7,8.2,0,1,
67,105560,KOSPI,3.499,1103,KB금융,,,62.39,0.027,-5.5,55.5,0.1,1917.9,-981.4,-1029.1,1166.5,962.7,0,1,
68,078935,KOSPI,3.494,1103,GS우,,,0.11,0.021,-4.9,40.7,6.5,5.3,-1.1,0.8,2.2,10.6,0,1,
69,279570,KOSPI,3.49,1103,케이뱅크,금융(은행),,2.33,0.0331,-31.1,,2.7,32.0,5.0,41.4,-0.9,-38.3,0,1,
70,000240,KOSPI,3.487,1103,한국앤컴퍼니,금융(은행),,2.33,0.0323,-29.1,17.6,-5.0,18.7,0.8,-22.8,5.7,46.4,0,1,
71,004990,KOSPI,3.485,1103,롯데지주,금융(은행),,2.48,0.0259,-35.6,-16.5,4.9,28.6,2.0,-31.0,16.8,19.8,0,1,
72,089600,KOSDAQ,3.482,1103,KT나스미디어,엔지니어링,,0.15,0.0245,-13.6,-30.4,11.5,5.9,1.0,-12.1,2.6,23.5,0,1,
