rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
61,014830,1.402,107,유니드,화학,64.7,-3.7,-1.3,0.59,-2.7,-39.8,8.0,-4.4,-15.6,0.6,19.2,-26.1,19,OBSERVE,B,0,0,
62,078930,1.397,107,GS,금융(은행),49.7,-5.4,0.4,0.71,-4.2,-14.4,557.8,566.1,1420.8,-374.8,-697.8,253.4,38,WAIT,B,0,0,
63,456040,1.393,107,OCI,화학,65.6,-4.8,-6.8,0.92,-6.1,-53.9,25.0,-2.6,-50.0,-12.1,34.7,2004.0,31,WAIT,B,0,0,
64,037710,1.393,107,광주신세계,소매,59.3,-2.4,-8.7,0.65,-1.0,-41.1,9.2,-0.9,-3.4,-0.7,0.9,18.0,35,WATCH,WATCH,0,0,
65,064400,1.383,107,LG씨엔에스,IT서비스,65.6,-3.6,-4.6,0.69,-2.1,-54.1,370.3,110.1,234.4,-124.0,-200.0,-9.2,12,WAIT,B,0,0,
66,003850,1.374,107,보령,제약·바이오,61.6,-6.5,-9.1,1.68,-10.3,-23.0,10.8,-11.4,-34.3,18.8,15.4,-6.2,4,OBSERVE,B,0,0,
67,006110,1.374,107,삼아알미늄,철강·1차금속,58.9,-6.0,9.7,0.5,0.5,-42.5,124.1,15.3,-98.2,9.9,-7.9,153.4,106,EXCLUDE,EXCLUDE,0,0,
68,450080,1.36,107,에코프로머티,전기장비,59.5,-4.3,-5.5,0.79,-3.7,-60.6,95.9,-25.3,-99.8,1.4,14.4,63.2,72,OBSERVE,C,0,0,
69,018250,1.35,107,애경산업,화학,68.0,-3.2,-0.8,0.36,-2.7,-41.4,6.0,-2.3,-8.6,-1.1,-1.5,-59.4,17,EXCLUDE,EXCLUDE,0,0,
70,008060,1.341,107,대덕,금융(은행),66.4,-5.4,-9.0,1.02,-2.1,-41.5,10.1,0.0,18.8,0.4,-1.4,441.3,70,OBSERVE,B,0,0,
71,010690,1.318,107,화신,자동차·부품,46.7,-1.8,-9.3,0.46,-0.5,-54.2,14.6,0.6,-16.2,0.1,-3.1,-78.1,34,OBSERVE,C,0,0,
72,066970,1.299,107,엘앤에프,전기장비,67.0,-9.3,2.3,0.65,-7.9,-50.9,827.2,-74.9,-1155.4,-390.1,357.2,117.2,88,EXCLUDE,EXCLUDE,0,0,
73,278470,1.285,107,에이피알,화학,52.8,-7.6,-4.7,0.89,-1.1,-22.5,1115.3,-47.2,377.9,-309.7,-1013.9,134.5,51,WAIT,B,0,0,
74,017670,1.257,107,SK텔레콤,통신,51.6,-4.3,-7.8,0.82,-2.0,-36.1,999.8,-10.4,-792.8,-45.4,-936.5,67.3,60,WAIT,B,0,0,
75,007810,1.248,107,코리아써키트,반도체·전자부품,68.2,-3.8,-15.3,0.89,2.2,-64.8,134.8,69.0,285.5,-31.8,-274.5,213.4,94,WAIT,B,0,0,
76,000270,1.234,107,기아,자동차·부품,66.7,-4.1,-7.2,0.76,-3.9,-42.8,958.5,-191.8,77.1,-139.3,-1210.9,-4.9,3,OBSERVE,B,0,0,
77,018260,1.224,107,삼성에스디에스,IT서비스,50.0,-3.9,-5.6,0.71,-1.1,-43.4,422.8,82.4,929.7,4.1,-263.2,0.7,65,WATCH,WATCH,0,0,
78,001740,1.201,107,SK네트웍스,도매,56.9,-3.3,-11.2,0.75,-1.7,-61.3,53.0,-6.2,-25.2,1.1,-16.9,-42.4,63,OBSERVE,B,0,0,
79,015760,1.196,107,한국전력,전력·가스,48.6,-4.7,-2.8,0.65,-6.6,-55.5,605.3,-525.3,-784.4,-258.8,241.3,-47.2,9,OBSERVE,B,0,0,
80,028260,1.192,107,삼성물산,도매,49.8,-4.5,-5.5,0.73,-3.7,-37.4,1334.3,-121.7,-831.7,-85.3,464.3,37.1,66,WATCH,WATCH,0,0,
81,003230,1.192,107,삼양식품,식료품,52.9,-5.9,-7.2,0.85,1.4,-22.2,732.3,-56.3,323.6,492.3,-37.9,46.7,59,WAIT,B,0,0,
82,005250,1.178,107,녹십자홀딩스,엔지니어링,69.0,-2.7,-6.4,0.41,-2.0,-46.6,10.4,-4.8,-21.7,0.0,-2.4,-69.4,61,OBSERVE,C,0,0,
83,002140,1.154,107,고려산업,식료품,64.3,-3.6,-4.6,0.43,-3.7,-39.9,11.5,1.9,0.0,0.0,-0.2,7.6,24,OBSERVE,B,0,0,
84,249420,1.121,107,일동제약,제약·바이오,40.7,-4.3,-0.7,0.28,-6.1,-68.1,92.0,-0.7,-283.9,-0.2,-9.7,232.1,29,OBSERVE,B,0,0,
85,483650,1.098,107,달바글로벌,화학,64.0,-6.6,-19.1,1.22,8.7,-35.7,295.5,-103.7,572.0,177.4,-876.4,61.6,80,WAIT,B,0,0,
86,004170,1.084,107,신세계,소매,65.6,-7.1,-10.0,0.96,-4.5,-54.0,344.3,166.7,403.1,-266.7,-703.9,121.8,74,OBSERVE,B,0,0,
87,280360,1.065,107,롯데웰푸드,식료품,62.1,-8.9,-0.7,0.61,-11.1,-18.0,52.4,58.9,-82.0,-33.5,220.1,88.5,39,WATCH,WATCH,0,0,
88,027740,1.051,107,마니커,식료품,67.0,-14.2,0.8,0.51,-15.6,-31.8,5.2,-0.9,-0.2,0.0,0.0,-100.8,77,WATCH,WATCH,0,0,
89,499790,1.028,107,GS피앤엘,금융(은행),64.6,-5.2,-2.6,0.48,-2.3,-41.9,17.6,-7.6,-18.5,3.8,21.3,153.9,76,OBSERVE,B,0,0,
90,322000,1.014,107,HD현대에너지솔루션,반도체·전자부품,52.5,-4.8,-8.8,0.74,-5.2,-50.5,331.2,-88.5,-46.7,-6.1,102.5,139.8,36,WAIT,B,0,0,
91,001550,1.009,107,조비,화학,55.6,-3.1,-6.6,0.22,-1.3,-49.7,12.3,0.9,5.6,0.0,0.0,-27.9,99,WAIT,B,0,0,
92,207940,0.911,107,삼성바이오로직스,제약·바이오,62.8,-5.2,-11.1,0.75,-1.1,-29.6,610.7,-5.4,596.7,-80.3,-868.5,94.8,14,WATCH,WATCH,0,0,유상증자 08/28
93,025560,0.841,107,미래산업,의료·정밀·광학,59.3,-3.6,-28.8,0.64,2.4,-54.6,26.8,-1.8,5.1,-1.5,-71.4,899.3,97,WATCH,WATCH,0,0,
94,002780,0.832,107,진흥기업,건설,64.8,-7.4,-2.4,0.42,-3.1,-57.6,10.9,0.2,-11.2,-0.2,0.2,110.7,86,EXCLUDE,EXCLUDE,0,0,
95,011090,0.827,107,에넥스,가구,48.2,-4.1,-11.3,0.61,11.7,-60.9,12.3,-1.8,-1.3,0.0,0.0,-300.1,107,WATCH,WATCH,0,0,유상증자 07/21
96,033240,0.794,107,자화전자,반도체·전자부품,53.2,-4.7,-12.5,0.69,0.6,-54.5,25.2,8.0,-16.6,-3.4,-16.3,344.0,81,WATCH,WATCH,0,0,
97,069620,0.748,107,대웅제약,제약·바이오,67.3,-6.5,-8.8,0.62,-1.4,-44.7,25.5,-6.5,-24.2,-0.7,-22.8,-219.5,33,OBSERVE,C,0,0,
98,181710,0.706,107,NHN,출판·SW,62.7,-9.9,-20.3,0.83,1.6,-26.7,146.9,90.3,367.6,-89.6,-502.0,164.1,105,WAIT,B,0,0,
99,011070,0.692,107,LG이노텍,반도체·전자부품,65.2,-5.5,-9.5,0.58,-2.2,-70.3,1401.1,495.6,879.3,-355.7,-1998.6,2057.3,79,WAIT,B,0,0,
100,0120G0,0.444,107,삼양바이오팜,제약·바이오,60.1,-5.8,-13.5,0.42,-0.8,-67.8,52.0,7.2,-71.4,1.2,5.1,,104,WAIT,B,0,0,
101,005950,0.435,107,이수화학,화학,65.5,-6.6,-17.7,0.55,-4.1,-39.5,49.5,-11.1,-23.8,-3.7,-34.0,2370.2,83,WATCH,WATCH,0,0,
102,058730,0.425,107,다스코,금속가공,52.1,-5.9,-9.4,0.15,-2.7,-44.4,76.7,2.2,-3.4,0.0,0.0,92.5,98,OBSERVE,C,0,0,
103,475560,0.369,107,더본코리아,도매,63.7,-6.6,-15.6,0.44,-2.2,-45.3,11.2,-0.4,4.3,-0.1,-0.1,75.3,93,EXCLUDE,EXCLUDE,0,0,
104,100090,0.341,107,SK오션플랜트,철강·1차금속,67.8,-7.0,-12.3,0.37,-4.0,-62.1,153.3,-32.2,-126.6,-22.1,-49.1,24.4,53,WATCH,WATCH,0,0,
105,002990,0.196,107,금호건설,건설,68.7,-11.7,-13.9,0.25,-8.4,-30.4,1298.2,-9.5,-48.2,1.3,-12.5,2.2,15,WATCH,WATCH,0,0,
106,003060,0.187,107,에이프로젠바이오로직스,제약·바이오,68.6,-7.0,-17.2,0.15,-2.4,-74.3,12.7,0.1,-4.1,0.2,0.2,2.7,92,EXCLUDE,EXCLUDE,0,0,유상증자 09/03
107,465770,0.075,107,STX그린로지스,운수·물류,60.2,-16.4,-28.0,0.17,-18.1,-71.0,80.2,3.7,3.0,0.0,0.0,97.9,85,OBSERVE,C,0,0,
