rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
48,009970,1.529,102,영원무역홀딩스,금융(은행),52.1,0.028308792544833393,12.19,-0.3,-10.0,-34.8,23.8,3.4,-0.4,-1.2,-38.9,20.4,83.1,0,0,
49,042660,1.52,102,한화오션,조선·기타운송,46.5,0.03986428190822718,19.9,-1.9,-5.5,-43.9,772.4,88.7,1504.3,72.7,-1344.3,98.0,77.5,0,0,
50,011790,1.515,102,SKC,화학,42.2,0.03165857382988653,0.0,-7.7,3.6,-54.3,106.9,-22.9,192.2,-10.5,-54.0,78.9,55.2,0,0,
51,005850,1.51,102,에스엘,자동차·부품,63.1,0.03260274293472242,12.18,-1.9,-8.4,-35.3,47.5,-9.4,-128.9,-1.6,-27.5,347.1,70.1,0,0,
52,047810,1.505,102,한국항공우주,조선·기타운송,65.9,0.048627704784820716,10.16,-5.0,-13.7,-41.3,552.7,-108.8,-820.1,-383.0,-588.3,-43.2,53.9,0,0,
53,307950,1.505,102,현대오토에버,출판·SW,68.7,0.047144933732737544,9.88,-5.0,-4.7,-62.9,392.4,234.7,-102.2,-225.0,-655.6,11.3,83.7,0,0,
54,272210,1.5,102,한화시스템,반도체·전자부품,66.4,0.049093191564166104,4.97,-9.2,-5.0,-62.6,262.2,-37.6,111.9,-148.7,-59.0,218.8,80.4,0,0,
55,073240,1.495,102,금호타이어,고무·플라스틱,48.9,0.04073304400171335,17.11,-2.4,-2.7,-18.9,470.4,85.7,371.3,-15.9,-129.9,100.7,56.9,0,0,
56,009470,1.49,102,삼화전기,반도체·전자부품,52.0,0.033803712388777,10.04,-2.8,-5.0,-61.7,11.0,-1.8,-4.9,0.0,1.4,-74.4,47.0,0,0,
57,036570,1.485,102,NC,출판·SW,54.1,0.029006608882717746,10.3,-1.3,-5.5,-35.4,178.5,11.7,175.0,-33.2,-363.2,106.0,69.1,0,0,
58,003620,1.48,102,KG모빌리티,자동차·부품,66.7,0.020843629269077027,3.16,-2.0,-9.1,-43.6,11.9,-13.0,-39.6,-0.8,-1.9,-34.8,55.7,0,0,CB 08/27
59,251270,1.48,102,넷마블,출판·SW,57.1,0.026101749523507585,4.14,-3.1,-4.3,-47.4,52.5,-8.9,51.0,-17.3,-62.1,-20.7,41.1,0,0,
60,105840,1.461,102,우진,의료·정밀·광학,49.7,0.047171409838544516,4.48,-8.3,-13.0,-59.3,30.6,-14.4,-83.9,0.5,4.2,-78.8,32.7,0,0,
61,011070,1.456,102,LG이노텍,반도체·전자부품,56.8,0.060268139246620854,5.92,-8.0,-6.5,-68.6,1689.9,-150.6,-554.3,-1054.9,-1560.3,2057.3,81.8,0,0,
62,064960,1.451,102,SNT모티브,자동차·부품,46.8,0.021328293217584254,6.87,1.5,-3.5,-35.7,21.6,-19.9,-105.0,10.0,51.3,-3.0,72.8,0,0,
63,012610,1.446,102,경인양행,화학,54.2,0.02280780497597559,2.35,-2.6,3.3,-50.9,5.2,-1.5,0.0,0.0,-5.6,146.5,77.2,0,0,
64,011210,1.422,102,현대위아,자동차·부품,69.4,0.026666729088057745,2.74,-3.5,-7.5,-48.8,36.1,-12.0,-26.0,-5.5,-1.5,-10.6,59.4,0,0,
