rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
97,004560,KOSPI,2.31,1053,현대비앤지스틸,철강·1차금속,,0.19,0.0315,-42.5,-2.9,12.3,5.1,-10.3,-18.4,-0.1,-0.3,0,1,
98,091440,KOSDAQ,2.306,1053,한울소재과학,반도체·전자부품,,0.1,0.0541,-19.9,45.7,-2.9,5.1,8.8,12.6,0.0,-3.5,0,1,
99,016610,KOSPI,2.305,1053,,,,0.44,0.0295,-41.1,4.8,11.3,6.2,-17.2,-18.8,23.2,50.3,0,1,
100,340810,KOSDAQ,2.301,1053,시선AI,출판·SW,,0.06,0.0435,0.0,6.6,29.5,12.1,1.2,16.8,-0.0,-0.0,0,1,CB 09/01
101,185750,KOSPI,2.294,1053,종근당,제약·바이오,WATCH,0.89,0.0193,-34.0,-17.8,-6.7,13.5,-22.8,-81.1,0.5,7.2,0,1,
102,071055,KOSPI,2.293,1053,한국금융지주우,,,0.86,0.0292,-24.3,56.4,-0.9,14.7,-29.2,-51.7,-6.0,-7.5,0,1,
103,950190,KOSDAQ,2.291,1053,고스트스튜디오,출판·SW,,0.13,0.0376,-10.8,-9.4,15.7,14.2,-0.3,14.5,1.7,2.2,0,1,
104,020710,KOSDAQ,2.29,1053,시공테크,전문서비스,,0.07,0.0256,-38.0,-10.5,5.8,8.9,6.1,10.9,0.0,0.0,0,1,
105,215000,KOSDAQ,2.287,1053,골프존,출판·SW,,0.22,0.0236,-43.5,-44.7,2.4,7.1,-5.9,-13.0,-0.0,0.9,0,1,
106,097520,KOSPI,2.284,1053,엠씨넥스,반도체·전자부품,OBSERVE,0.32,0.0314,-42.2,-34.2,-6.6,5.5,-1.0,-23.4,-2.4,-2.8,0,0,
107,000815,KOSPI,2.281,1053,삼성화재우,,,1.23,0.0221,-9.4,21.0,1.1,46.6,-66.0,-1.8,6.7,30.0,0,0,
108,013700,KOSPI,2.279,1053,까뮤이앤씨,건설,,0.1,0.0428,-9.5,37.9,2.2,11.4,0.0,-5.3,0.0,0.0,0,0,
109,009290,KOSPI,2.277,1053,광동제약,제약·바이오,,0.32,0.0277,-42.0,-2.8,3.7,6.8,-5.2,-6.8,0.4,0.4,0,0,
110,003780,KOSPI,2.272,1053,진양산업,고무·플라스틱,,0.06,0.0245,-45.3,-42.5,14.9,6.3,4.4,4.4,0.0,-0.2,0,0,
111,095660,KOSDAQ,2.268,1053,네오위즈,출판·SW,,0.39,0.0258,-42.3,-28.3,-2.1,7.1,-7.7,-8.0,4.4,-3.4,0,0,
112,084730,KOSDAQ,2.268,1053,팅크웨어,반도체·전자부품,,0.08,0.0258,-33.6,-23.8,9.5,12.1,0.1,-0.2,0.0,0.0,0,0,
113,099190,KOSDAQ,2.267,1053,아이센스,의료·정밀·광학,WATCH,0.47,0.0308,-40.8,2.6,-11.0,6.6,-4.9,-4.2,0.8,-10.0,0,0,
114,000520,KOSPI,2.267,1053,삼일제약,제약·바이오,,0.18,0.0409,-33.4,-46.4,31.4,6.3,-2.0,-5.4,0.0,-0.3,0,0,
115,005300,KOSPI,2.266,1053,롯데칠성,음료,OBSERVE,0.88,0.0157,-35.9,-18.1,-3.1,13.5,-24.5,-41.1,-2.3,-34.9,0,0,
116,041440,KOSDAQ,2.265,1053,현대에버다임,기계·장비,,0.12,0.0339,-35.5,-24.9,9.8,7.6,-1.5,-5.5,0.0,0.0,0,0,
117,001530,KOSPI,2.263,1053,DI동일,도매,OBSERVE,0.53,0.031,-27.5,-28.0,2.0,12.9,0.4,-2.9,2.2,57.1,0,0,
118,006120,KOSPI,2.257,1053,SK디스커버리,금융(은행),,0.99,0.0397,-16.7,-2.8,11.4,12.6,-7.7,-25.4,2.1,8.7,0,0,
119,001680,KOSPI,2.251,1053,대상,식료품,,0.62,0.0216,-25.8,-23.2,-1.2,26.2,-9.3,-8.9,-1.0,36.2,0,0,
120,294870,KOSPI,2.25,1053,IPARK현대산업개발,건설,,1.55,0.0311,-5.2,5.9,7.5,32.4,0.4,16.2,5.3,105.4,0,0,
