rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
96,004980,KOSPI,0.91,1053,성신양회,비금속광물(시멘트·유리),WAIT,0.2,0.0422,-38.1,-25.3,0.9,6.1,-2.9,3.3,-1.3,-1.1,0,1,
97,004020,KOSPI,0.909,1053,현대제철,철강·1차금속,,4.72,0.0386,-23.9,-23.8,26.4,252.7,-306.7,-956.3,164.1,790.0,0,1,
98,025900,KOSDAQ,0.908,1053,동화기업,목재,OBSERVE,0.34,0.0604,-46.1,-28.6,-6.3,6.7,-1.4,5.1,-0.1,-4.3,0,1,
99,085660,KOSDAQ,0.907,1053,차바이오텍,제약·바이오,EXCLUDE,0.75,0.0343,-66.4,-27.0,-1.1,24.2,-8.8,-39.6,3.0,-20.3,0,1,
100,376300,KOSDAQ,0.906,1053,디어유,출판·SW,WATCH,0.41,0.0374,-65.1,-63.3,-6.0,10.5,-11.2,-4.6,1.0,-19.2,0,1,
101,001530,KOSPI,0.905,1053,DI동일,도매,OBSERVE,0.53,0.031,-27.5,-28.0,2.0,12.9,0.4,-2.9,2.2,57.1,0,1,
102,018250,KOSPI,0.904,1053,애경산업,화학,EXCLUDE,0.29,0.0204,-38.3,-31.0,-2.7,6.3,-2.2,-9.5,-1.1,-1.5,0,1,
103,021240,KOSPI,0.903,1053,코웨이,미분류,,7.15,0.0271,-6.7,-6.0,3.7,198.2,-170.3,-467.5,213.4,370.9,0,1,
104,035250,KOSPI,0.902,1053,강원랜드,예술·스포츠,OBSERVE,3.08,0.012,-26.3,-19.5,-0.6,34.9,-65.0,-75.4,21.2,58.8,0,1,
105,005940,KOSPI,0.901,1053,NH투자증권,,,9.77,0.032,-32.5,34.9,1.9,109.7,-98.2,11.0,79.2,-28.2,0,1,
106,111770,KOSPI,0.9,1053,영원무역,도매,OBSERVE,3.2,0.0296,-26.3,27.3,-4.9,45.7,-19.5,-46.5,10.5,-8.4,0,0,
107,011500,KOSPI,0.899,1053,한농화성,화학,WAIT,0.21,0.0446,-50.9,-10.9,2.2,7.3,0.2,-4.8,0.0,0.9,0,0,
108,358570,KOSDAQ,0.898,1053,지아이이노베이션,지주·전문서비스,,0.6,0.0579,-55.2,-57.7,14.7,32.8,5.7,24.5,12.3,-25.1,0,0,
109,002790,KOSPI,0.897,1053,아모레퍼시픽홀딩스,화학,,2.03,0.029,-24.1,-4.6,0.4,29.7,-9.8,28.8,25.4,38.9,0,0,
110,060370,KOSDAQ,0.896,1053,LS마린솔루션,건설,,1.72,0.0537,-34.3,34.0,7.5,34.5,13.8,48.0,6.9,9.3,0,0,
111,377300,KOSPI,0.896,1053,카카오페이,금융보조,OBSERVE,5.45,0.0406,-43.2,-17.6,-10.0,157.6,-93.8,-171.2,-254.8,68.6,0,0,
112,005380,KOSPI,0.895,1053,현대차,자동차·부품,WATCH,74.02,0.0363,-51.8,89.9,-12.7,2088.1,-707.0,-3181.6,-460.1,-5868.7,0,0,
113,023530,KOSPI,0.894,1053,롯데쇼핑,소매,,3.12,0.0431,-45.8,44.1,14.6,195.7,-331.0,-835.6,-9.0,319.4,0,0,
114,030200,KOSPI,0.893,1053,KT,통신,,13.43,0.0163,-22.6,-1.3,1.5,147.3,-5.0,-39.7,61.9,131.2,0,0,
115,117730,KOSDAQ,0.892,1053,티로보틱스,기계·장비,,0.3,0.0474,-53.5,13.9,3.6,8.8,4.1,10.1,-0.2,-0.8,0,0,
116,056080,KOSDAQ,0.891,1053,유진로봇,기계·장비,,0.5,0.057,-71.7,11.9,9.7,40.3,44.4,7.1,33.8,68.9,0,0,
117,329180,KOSPI,0.89,1053,HD현대중공업,조선·기타운송,,47.44,0.0368,-39.3,-11.4,-0.8,1281.7,-38.8,-976.4,-346.5,406.8,0,0,
118,023590,KOSPI,0.889,1053,다우기술,IT서비스,,1.71,0.0298,-35.9,13.1,3.4,16.0,-5.1,-5.6,7.2,27.1,0,0,
