rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
310,144960,KOSDAQ,2.507,1076,1.807,17.0,뉴파워프라즈마,기계·장비,0.52,0.0914,0.0,53.1,25.5,155.8,-39.9,-92.2,13.8,74.3,0,0
311,051905,KOSPI,2.503,1076,1.178,396.0,LG생활건강우,,0.24,0.0282,-10.2,-28.2,18.6,11.5,2.6,23.0,4.4,8.4,0,0
312,126720,KOSPI,2.502,1076,1.135,444.0,수산인더스트리,건설,0.33,0.0328,-34.9,-9.8,6.7,5.0,1.9,6.7,2.0,-0.3,0,0
313,035810,KOSDAQ,2.497,1076,1.105,471.0,이지홀딩스,식료품,0.29,0.0271,-46.8,16.1,3.2,8.8,6.3,6.3,-0.3,-0.7,0,0
314,306200,KOSPI,2.494,1076,1.049,521.0,세아제강,철강·1차금속,0.39,0.0301,-25.5,-27.5,11.3,10.3,1.6,6.7,3.2,26.7,0,0
315,206640,KOSDAQ,2.493,1076,1.139,441.0,바디텍메드,제약·바이오,0.25,0.026,-24.1,-21.7,-1.5,7.7,-5.0,9.2,17.5,37.2,0,0
316,005810,KOSPI,2.491,1076,0.941,615.0,풍산홀딩스,금융(은행),0.55,0.0276,-30.7,-32.7,10.8,11.3,13.8,46.1,-12.9,-15.0,0,0
317,031980,KOSDAQ,2.491,1076,1.608,89.0,피에스케이홀딩스,기계·장비,2.26,0.0968,-36.9,237.8,-22.9,265.6,-30.9,-119.6,-19.8,-22.2,0,0
318,007660,KOSPI,2.485,1076,1.345,252.0,이수페타시스,반도체·전자부품,6.83,0.0745,-42.4,53.3,-10.4,606.6,-300.0,-1519.2,382.2,2024.9,0,0
319,049070,KOSDAQ,2.485,1076,1.44,181.0,인탑스,반도체·전자부품,0.31,0.0507,-20.7,4.0,4.0,27.3,5.8,-0.7,0.2,38.8,0,0
320,018260,KOSPI,2.484,1076,1.304,301.0,삼성에스디에스,IT서비스,17.22,0.0743,-38.5,19.7,11.5,677.6,-158.8,-349.0,651.2,1588.2,0,0
321,095340,KOSDAQ,2.478,1076,1.347,251.0,ISC,도매,3.01,0.0708,-47.6,131.3,-6.0,249.5,-171.0,14.8,58.2,-48.7,0,0
322,014820,KOSPI,2.478,1076,0.949,605.0,동원시스템즈,고무·플라스틱,0.65,0.0333,-28.5,-35.4,10.7,9.9,-0.8,3.3,0.9,6.4,0,0
323,003090,KOSPI,2.477,1076,0.852,683.0,대웅,제약·바이오,1.05,0.0319,-38.3,-28.1,6.4,9.1,0.8,5.5,3.7,7.9,0,0
324,003100,KOSDAQ,2.477,1076,1.292,317.0,선광,운수·물류,0.13,0.0258,-29.1,-2.4,6.3,10.2,-0.9,6.1,0.0,-0.0,0,0
325,213500,KOSPI,2.472,1076,1.193,384.0,한솔제지,펄프·종이,0.19,0.025,-15.8,-23.9,15.8,8.8,11.4,27.6,-1.2,0.9,0,0
326,000660,KOSPI,2.472,1076,1.334,263.0,SK하이닉스,반도체·전자부품,1037.3,0.0816,-51.4,734.4,-34.9,106787.8,-34828.6,-55054.9,-8427.2,-10671.0,0,0
327,042500,KOSDAQ,2.471,1076,1.339,256.0,링네트,IT서비스,0.1,0.023,-30.1,4.9,9.4,5.7,-1.1,9.5,-0.0,-0.1,0,0
328,047040,KOSPI,2.47,1076,1.258,341.0,대우건설,건설,7.0,0.0691,-54.2,321.0,-2.4,817.3,-543.6,-1.5,235.4,327.8,0,0
329,084370,KOSDAQ,2.467,1076,1.549,118.0,유진테크,기계·장비,2.82,0.0955,-40.4,238.7,-25.7,285.9,-30.6,-227.5,17.9,53.3,0,0
330,000370,KOSPI,2.466,1076,1.14,438.0,한화손해보험,,0.7,0.0455,-35.2,-8.5,-2.0,21.6,8.6,19.8,0.8,13.2,0,0
331,475960,KOSDAQ,2.465,1076,1.31,294.0,토모큐브,의료·정밀·광학,0.53,0.0523,-41.2,33.3,15.7,16.3,1.5,-6.9,1.5,2.8,0,0
332,051915,KOSPI,2.464,1076,0.894,652.0,LG화학우,,0.99,0.0351,-38.1,-24.5,3.1,21.9,10.5,-3.1,-1.4,-8.8,0,0
333,006405,KOSPI,2.457,1076,1.319,282.0,삼성SDI우,,0.34,0.0464,-41.6,41.4,10.2,11.8,6.5,-10.8,-0.2,0.6,0,0
334,043150,KOSDAQ,2.457,1076,1.06,515.0,바텍,의료·정밀·광학,0.29,0.0268,-27.8,-24.4,9.1,6.8,2.4,7.6,3.2,2.3,0,0
335,036890,KOSDAQ,2.455,1076,1.383,218.0,진성티이씨,기계·장비,0.32,0.0491,-29.6,9.9,0.3,9.1,7.7,8.8,-0.2,6.8,0,0
336,950190,KOSDAQ,2.45,1076,1.348,250.0,고스트스튜디오,출판·SW,0.11,0.0285,-15.1,-11.8,-8.1,6.1,14.4,67.3,-0.2,-0.4,0,0
337,014830,KOSPI,2.45,1076,0.951,603.0,유니드,화학,0.44,0.0281,-34.3,-26.0,-0.2,9.2,2.0,8.0,-0.6,-9.0,0,0
338,000670,KOSPI,2.449,1076,0.922,633.0,영풍,철강·1차금속,0.74,0.0349,-42.6,-14.8,9.3,12.0,-2.2,-12.0,0.8,-1.4,0,0
339,050890,KOSDAQ,2.446,1076,1.283,323.0,쏠리드,반도체·전자부품,0.63,0.0547,-45.1,50.3,-3.2,81.1,-38.9,36.4,4.4,13.6,0,0
340,402340,KOSPI,2.443,1076,1.322,278.0,SK스퀘어,금융(은행),125.23,0.0836,-51.8,783.5,-32.6,9650.5,-597.3,10324.1,-1590.7,-11787.4,0,0
341,159010,KOSDAQ,2.436,1076,1.918,2.0,아스플로,기계·장비,0.27,0.0915,-11.0,307.9,33.2,29.5,-18.6,8.3,3.3,-21.4,0,0
342,347850,KOSDAQ,2.431,1076,1.502,141.0,디앤디파마텍,지주·전문서비스,3.01,0.0952,-40.9,151.7,-22.1,959.4,-457.0,-472.2,315.2,-138.8,0,0
343,060370,KOSDAQ,2.431,1076,1.192,387.0,LS마린솔루션,건설,1.66,0.0586,-36.7,0.4,9.3,36.8,1.5,-30.3,43.3,158.7,0,0
344,001500,KOSPI,2.43,1076,1.016,552.0,현대차증권,,0.5,0.0363,-41.2,-9.3,-2.8,10.0,0.6,19.2,2.8,-2.4,0,0
345,000155,KOSPI,2.429,1076,1.243,350.0,두산우,,1.79,0.063,-39.3,12.1,-3.7,48.7,6.2,-11.1,-10.8,-14.4,0,0
346,200880,KOSPI,2.428,1076,1.186,389.0,서연이화,자동차·부품,0.33,0.0404,-26.2,-15.5,10.9,7.0,-6.5,4.2,1.8,1.0,0,0
347,298050,KOSPI,2.425,1076,0.966,594.0,HS효성첨단소재,화학,0.82,0.0396,-33.7,-26.2,23.4,26.3,-19.9,-26.5,40.3,63.6,0,0
348,003620,KOSPI,2.42,1076,0.995,569.0,KG모빌리티,자동차·부품,0.59,0.0375,-34.1,-22.9,1.2,14.7,-2.6,13.0,0.3,-13.6,0,0
349,003160,KOSPI,2.419,1076,1.472,162.0,디아이,의료·정밀·광학,0.7,0.071,-35.7,51.9,13.2,60.4,-30.6,10.0,32.1,-47.8,0,0
350,001230,KOSPI,2.414,1076,1.246,347.0,동국홀딩스,금융(은행),0.3,0.0426,-23.4,-13.4,12.8,7.8,4.5,7.4,-1.4,0.5,0,0
351,082740,KOSPI,2.409,1076,1.103,475.0,한화엔진,기계·장비,3.88,0.0603,-48.1,19.3,-0.3,396.7,84.6,-903.3,-140.3,406.9,0,0
352,456040,KOSPI,2.407,1076,1.211,371.0,OCI,화학,0.69,0.0541,-48.4,49.7,-13.4,60.9,-14.9,-172.7,17.8,61.7,0,0
353,016610,KOSPI,2.406,1076,1.011,556.0,,,0.39,0.0345,-47.4,4.6,-3.1,7.0,-1.8,-1.8,-0.4,0.4,0,0
354,048550,KOSDAQ,2.406,1076,1.611,88.0,SM C&C,엔지니어링,0.15,0.0525,-15.2,20.2,-1.8,13.1,12.5,10.6,0.0,-0.3,0,0
355,102710,KOSDAQ,2.404,1076,1.327,272.0,이엔에프테크놀로지,화학,0.7,0.0619,-21.5,-8.4,16.7,39.1,-8.0,-41.3,6.3,64.3,0,0
356,004020,KOSPI,2.4,1076,0.842,694.0,현대제철,철강·1차금속,3.86,0.044,-37.8,-29.5,7.4,143.2,-43.3,-19.4,39.6,57.7,0,0
357,307950,KOSPI,2.399,1076,1.223,363.0,현대오토에버,출판·SW,11.83,0.0737,-54.0,167.3,-4.5,373.2,-221.8,-350.2,228.8,85.9,0,0
358,000210,KOSPI,2.39,1076,1.07,509.0,DL,화학,1.08,0.0501,-32.7,-18.4,13.3,51.8,-45.6,-40.0,77.4,108.8,0,0
359,039030,KOSDAQ,2.389,1076,1.379,222.0,이오테크닉스,기계·장비,4.4,0.0863,-41.7,59.3,-5.7,388.8,-188.6,-9.7,163.2,71.2,0,0
360,001390,KOSPI,2.388,1076,1.086,490.0,KG케미칼,화학,0.3,0.035,-36.7,-11.1,5.0,10.0,-0.7,0.8,-0.1,-0.4,0,0
361,170920,KOSDAQ,2.387,1076,1.741,38.0,엘티씨,화학,0.44,0.0931,-28.7,261.9,-18.1,156.6,-127.1,-139.2,-8.9,-166.6,0,0
362,248170,KOSPI,2.385,1076,1.221,367.0,샘표식품,식료품,0.11,0.0201,-21.6,-16.9,8.7,8.9,0.7,3.1,0.0,0.5,0,0
363,012030,KOSPI,2.384,1076,1.294,314.0,DB,IT서비스,0.31,0.0474,-35.2,10.2,-3.1,8.7,-3.3,-11.2,2.2,18.9,0,0
364,439090,KOSDAQ,2.383,1076,1.433,186.0,마녀공장,화학,0.28,0.0548,-3.5,-9.0,5.0,63.3,13.9,49.2,15.0,29.5,0,0
365,011170,KOSPI,2.382,1076,0.835,697.0,롯데케미칼,화학,2.5,0.0421,-50.4,-7.7,-5.3,65.2,43.1,106.0,-33.7,-125.0,0,0
366,089030,KOSDAQ,2.382,1076,1.451,177.0,테크윙,기계·장비,1.72,0.0832,-34.7,41.1,5.7,533.6,-29.0,737.2,43.0,-13.0,0,0
367,439260,KOSPI,2.381,1076,0.793,726.0,대한조선,조선·기타운송,1.93,0.038,-53.4,,4.9,36.2,4.7,56.4,-33.4,-42.7,0,0
368,095660,KOSDAQ,2.377,1076,0.885,657.0,네오위즈,출판·SW,0.42,0.0276,-37.4,-26.2,4.6,12.3,1.3,12.3,-0.9,6.4,0,0
369,452260,KOSPI,2.375,1076,1.382,219.0,한화갤러리아,소매,0.41,0.0589,-42.6,69.3,1.2,29.5,6.5,-22.1,-0.5,0.4,0,0
370,178920,KOSPI,2.375,1076,1.147,428.0,PI첨단소재,고무·플라스틱,0.61,0.0497,-33.9,-11.1,8.1,14.7,3.2,-13.4,-1.8,8.0,0,0
371,042700,KOSPI,2.374,1076,1.313,291.0,한미반도체,기계·장비,19.59,0.0882,-49.8,152.9,-7.4,2092.0,-978.6,519.6,156.4,-259.4,0,0
372,031330,KOSDAQ,2.369,1076,1.539,125.0,에스에이엠티,도매,1.11,0.0927,-41.1,271.2,-6.2,88.0,-59.3,-74.7,-5.7,7.5,0,0
373,010780,KOSPI,2.365,1076,1.106,469.0,아이에스동서,비금속광물(시멘트·유리),0.59,0.0471,-41.4,0.5,-4.9,10.7,12.3,22.7,-12.6,-43.0,0,0
374,001440,KOSPI,2.361,1076,1.037,533.0,대한전선,전기장비,5.66,0.0609,-60.0,75.1,-4.5,593.1,-190.8,-513.0,107.0,252.2,0,0
375,042660,KOSPI,2.359,1076,0.969,590.0,한화오션,조선·기타운송,28.93,0.0607,-37.0,-19.5,16.1,1371.5,560.2,1106.0,234.9,621.3,0,0
376,137310,KOSPI,2.358,1076,0.766,742.0,에스디바이오센서,의료·정밀·광학,0.8,0.0308,-38.8,-37.1,2.6,7.5,1.1,4.0,-1.6,3.8,0,0
377,089970,KOSDAQ,2.354,1076,1.506,140.0,브이엠,기계·장비,1.78,0.1018,-43.5,667.7,-34.6,616.1,-94.0,-1014.9,-144.3,1088.9,0,0
378,265520,KOSDAQ,2.35,1076,1.329,269.0,AP시스템,기계·장비,0.31,0.052,-32.5,7.0,-3.8,14.4,3.9,-3.7,-0.2,-0.4,0,0
379,015750,KOSDAQ,2.35,1076,0.967,591.0,성우하이텍,자동차·부품,0.5,0.0378,-45.0,-7.4,4.5,15.2,0.6,22.5,0.6,3.2,0,0
380,033530,KOSPI,2.345,1076,1.315,289.0,SJG세종,자동차·부품,0.19,0.0425,-40.4,30.4,14.8,5.1,1.1,3.9,0.2,2.7,0,0
381,225570,KOSDAQ,2.341,1076,0.757,749.0,넥슨게임즈,출판·SW,0.6,0.0268,-38.4,-38.5,1.0,10.7,-8.0,-10.5,0.6,8.5,0,0
382,440110,KOSDAQ,2.338,1076,1.313,290.0,파두,반도체·전자부품,3.08,0.0806,-52.1,495.9,-20.1,405.1,-92.2,-514.1,8.5,417.5,0,0
383,066970,KOSPI,2.337,1076,1.082,495.0,엘앤에프,전기장비,4.11,0.0639,-52.6,40.3,0.5,316.9,-108.2,-43.0,-94.6,-464.5,0,0
384,009830,KOSPI,2.337,1076,1.056,517.0,한화솔루션,화학,6.06,0.0637,-36.1,-14.3,10.5,1398.5,-762.9,-1497.2,1038.1,762.6,0,0
385,272210,KOSPI,2.331,1076,0.955,599.0,한화시스템,반도체·전자부품,14.58,0.0596,-52.6,11.9,7.7,416.3,150.7,490.7,41.9,-2.5,0,0
386,136490,KOSPI,2.329,1076,1.055,518.0,선진,식료품,0.26,0.0334,-21.5,-31.7,10.4,7.6,5.6,7.4,-0.1,-0.1,0,0
387,103590,KOSPI,2.323,1076,1.033,536.0,일진전기,전기장비,2.99,0.0598,-56.6,51.0,-5.4,178.8,37.3,167.0,-122.7,-253.6,0,0
388,046440,KOSDAQ,2.32,1076,1.058,516.0,KG파이낸셜,출판·SW,0.16,0.0216,-25.4,-26.6,3.6,5.9,-6.3,-0.6,-0.3,-0.2,0,0
389,064350,KOSPI,2.315,1076,0.861,677.0,현대로템,조선·기타운송,16.39,0.055,-44.2,-17.5,-16.0,844.3,383.8,1957.4,-221.1,-1822.3,0,0
390,003000,KOSPI,2.312,1076,0.978,582.0,부광약품,제약·바이오,0.45,0.0397,-52.4,15.1,11.3,13.7,4.8,8.1,2.1,2.2,0,0
391,368770,KOSDAQ,2.311,1076,1.324,276.0,파이버프로,의료·정밀·광학,0.46,0.0613,-47.2,99.4,2.8,19.8,-14.3,13.2,2.7,-0.3,0,0
392,032350,KOSPI,2.311,1076,0.783,731.0,롯데관광개발,사업지원,1.06,0.0376,-50.1,-12.7,-11.1,81.8,-40.6,49.3,64.8,-136.8,0,0
393,204620,KOSDAQ,2.309,1076,1.052,519.0,글로벌텍스프리,금융보조,0.37,0.0413,-26.6,-25.8,3.5,32.8,63.6,124.8,-27.1,-83.1,0,0
394,066570,KOSPI,2.308,1076,1.254,346.0,LG전자,반도체·전자부품,30.95,0.0922,-51.6,128.8,4.2,2347.9,-200.4,959.4,675.1,1205.5,0,0
395,005070,KOSPI,2.306,1076,1.105,472.0,코스모신소재,화학,1.3,0.059,-40.1,-4.0,-0.6,42.0,14.9,56.2,-3.0,-23.3,0,0
396,281820,KOSPI,2.304,1076,1.463,168.0,케이씨텍,의료·정밀·광학,1.31,0.0933,-43.5,182.1,-31.8,189.8,-55.9,-493.0,-47.0,118.1,0,0
397,051160,KOSDAQ,2.303,1076,1.196,379.0,지어소프트,출판·SW,0.17,0.0364,-1.0,-29.9,50.3,19.3,32.3,49.9,2.3,2.9,0,0
398,085620,KOSPI,2.302,1076,1.341,254.0,미래에셋생명,,2.41,0.0841,-48.3,142.1,-2.5,25.5,-20.1,-45.1,25.1,79.2,0,0
399,272110,KOSDAQ,2.3,1076,1.519,133.0,케이엔제이,반도체·전자부품,0.24,0.0627,-31.1,42.8,4.6,23.7,-8.2,-38.2,0.4,5.9,0,0
400,052690,KOSPI,2.292,1076,1.011,555.0,한전기술,연구개발,3.86,0.0619,-48.2,6.7,-1.3,116.3,28.6,-54.1,19.8,187.8,0,0
401,217730,KOSDAQ,2.291,1076,1.408,200.0,강스템바이오텍,제약·바이오,0.25,0.0569,-41.7,74.0,3.5,28.8,4.2,-31.7,0.6,0.9,0,0
402,476060,KOSDAQ,2.29,1076,1.357,240.0,온코닉테라퓨틱스,지주·전문서비스,0.67,0.0711,-44.2,72.0,25.4,115.5,-63.0,-128.1,4.9,3.5,0,0
403,194700,KOSDAQ,2.289,1076,1.105,470.0,노바렉스,식료품,0.31,0.042,-20.2,-28.2,21.5,22.6,-1.6,4.2,-7.4,-23.3,0,0
404,437730,KOSDAQ,2.289,1076,1.33,265.0,삼현,자동차·부품,1.17,0.0766,-49.5,178.9,8.5,115.3,-1.3,-77.3,32.5,46.0,0,0
405,030520,KOSDAQ,2.286,1076,0.903,647.0,한컴,출판·SW,0.46,0.0369,-31.2,-36.4,7.5,18.0,11.3,28.5,0.4,7.8,0,0
406,290550,KOSDAQ,2.285,1076,1.469,163.0,디케이티,반도체·전자부품,0.38,0.0696,-42.9,179.2,-15.1,58.7,16.1,-65.8,-37.6,30.1,0,0
407,195870,KOSPI,2.284,1076,1.39,214.0,해성디에스,반도체·전자부품,0.96,0.0806,-45.0,115.2,-5.2,102.8,-55.8,-36.2,95.8,108.0,0,0
408,027710,KOSDAQ,2.278,1076,1.117,461.0,팜스토리,식료품,0.12,0.0253,-28.0,-19.3,4.8,11.2,1.1,3.5,-0.2,-0.2,0,0
409,377300,KOSPI,2.275,1076,0.744,756.0,카카오페이,금융보조,5.98,0.0472,-37.7,-42.7,13.8,126.6,-134.0,63.6,-44.0,-59.7,0,0
410,160980,KOSDAQ,2.275,1076,1.682,59.0,싸이맥스,기계·장비,0.36,0.0947,-29.5,128.5,-3.5,54.7,12.0,-78.1,-14.2,91.7,0,0
411,317450,KOSPI,2.272,1076,0.663,804.0,명인제약,제약·바이오,0.71,0.0281,-60.4,,11.7,7.4,3.4,14.5,0.5,0.1,0,0
412,093520,KOSDAQ,2.272,1076,1.14,440.0,매커스,도매,0.3,0.0442,-24.8,-20.5,42.1,7.3,8.5,23.4,0.8,0.3,0,0
413,115180,KOSDAQ,2.266,1076,1.305,300.0,큐리언트,지주·전문서비스,1.01,0.0745,-47.0,78.2,45.9,32.0,-35.5,-22.8,6.6,14.2,0,0
414,460850,KOSPI,2.266,1076,1.048,522.0,동국씨엠,철강·1차금속,0.16,0.0267,-26.3,-26.3,11.8,6.1,0.7,-1.5,0.0,2.2,0,0
415,001740,KOSPI,2.266,1076,1.376,227.0,SK네트웍스,도매,1.6,0.0888,-44.2,85.1,-7.0,107.3,-2.3,174.8,1.4,-6.6,0,0
416,019180,KOSPI,2.265,1076,1.571,104.0,티에이치엔,전기장비,0.11,0.0543,-34.7,98.6,5.2,6.4,1.8,6.4,-0.2,2.6,0,0
417,460860,KOSPI,2.262,1076,0.873,669.0,동국제강,철강·1차금속,0.49,0.0375,-39.5,-24.8,15.7,17.6,7.4,-9.0,1.6,36.3,0,0
418,352820,KOSPI,2.25,1076,0.672,798.0,하이브,미디어·엔터,7.93,0.0451,-54.5,-14.1,-16.6,563.9,-13.6,442.6,29.6,-425.5,0,0
419,171090,KOSDAQ,2.248,1076,1.188,388.0,선익시스템,기계·장비,0.71,0.0633,-46.3,32.4,28.3,36.9,-4.6,-34.3,17.2,36.8,0,0
420,028300,KOSDAQ,2.242,1076,1.17,405.0,HLB,제약·바이오,5.42,0.0802,-40.3,5.3,11.2,455.1,328.8,-254.3,33.9,-76.8,0,0
421,265740,KOSDAQ,2.234,1076,1.366,230.0,엔에프씨,화학,0.12,0.0437,-30.3,9.1,26.0,7.0,-6.6,-2.0,-0.4,-8.8,0,0
422,094970,KOSDAQ,2.234,1076,1.416,196.0,제이엠티,반도체·전자부품,0.05,0.0388,-22.8,4.2,11.3,5.7,4.2,6.2,-0.1,-0.1,0,0
423,145720,KOSPI,2.23,1076,0.818,709.0,덴티움,의료·정밀·광학,0.37,0.0314,-34.4,-40.8,2.4,7.1,1.1,-11.8,1.5,3.6,0,0
424,066575,KOSPI,2.229,1076,1.319,283.0,LG전자우,,1.16,0.0807,-45.5,68.0,0.0,66.7,18.8,96.8,-1.6,-7.7,0,0
425,178320,KOSDAQ,2.224,1076,1.17,407.0,서진시스템,전기장비,2.38,0.0748,-53.7,86.6,-20.9,360.0,-102.6,-404.0,28.2,93.4,0,0
426,446540,KOSDAQ,2.22,1076,1.657,68.0,메가터치,전기장비,0.23,0.0779,-21.3,48.8,15.9,14.9,-5.6,-24.3,1.5,27.4,0,0
427,218410,KOSDAQ,2.219,1076,1.174,400.0,RFHIC,반도체·전자부품,1.45,0.0703,-51.6,65.0,4.4,167.4,-296.0,-159.6,-25.4,-241.8,0,0
428,000990,KOSPI,2.216,1076,1.133,446.0,DB하이텍,반도체·전자부품,4.0,0.0772,-58.3,152.9,-24.6,394.1,-281.2,562.1,25.9,-680.7,0,0
429,010170,KOSDAQ,2.216,1076,1.326,273.0,대한광통신,전기장비,2.18,0.0948,-51.8,1080.7,11.4,1330.4,-778.1,-804.4,75.3,77.2,0,0
430,064820,KOSDAQ,2.215,1076,1.155,423.0,케이프,조선·기타운송,0.28,0.0472,-45.9,20.4,4.7,16.6,0.6,-22.7,0.0,-0.6,0,0
431,035000,KOSPI,2.214,1076,1.071,507.0,HS애드,엔지니어링,0.11,0.0223,-28.7,-22.4,6.9,7.5,-0.5,-56.6,0.2,6.2,0,0
432,039130,KOSPI,2.213,1076,0.655,807.0,하나투어,사업지원,0.49,0.0252,-42.2,-42.4,-1.2,9.4,1.9,27.6,-1.4,-29.1,0,0
433,140410,KOSDAQ,2.212,1076,0.877,664.0,메지온,지주·전문서비스,1.87,0.0533,-64.7,41.3,7.8,112.1,-111.9,-140.1,-21.0,-80.8,0,0
434,365270,KOSDAQ,2.211,1076,1.468,164.0,큐라클,지주·전문서비스,0.26,0.0664,-40.6,102.5,16.1,12.8,-3.5,17.0,-0.9,-15.9,0,0
435,310210,KOSDAQ,2.21,1076,1.065,514.0,보로노이,지주·전문서비스,3.25,0.0705,-51.5,28.7,6.1,141.6,-141.1,299.3,39.2,-125.0,0,0
436,005690,KOSPI,2.209,1076,1.008,560.0,파미셀,반도체·전자부품,0.7,0.0538,-42.2,-8.2,-2.7,56.1,12.6,61.3,-9.1,-3.1,0,0
437,013580,KOSPI,2.204,1076,1.283,322.0,계룡건설,건설,0.18,0.0476,-32.7,2.2,-5.1,15.1,3.0,6.8,0.3,-0.0,0,0
438,475830,KOSDAQ,2.201,1076,1.237,355.0,오름테라퓨틱,제약·바이오,1.52,0.0784,-51.4,103.5,43.5,62.1,-110.1,-111.2,107.4,137.8,0,0
439,332570,KOSDAQ,2.201,1076,1.497,143.0,PS일렉트로닉스,반도체·전자부품,0.41,0.0815,-38.4,88.9,43.0,292.5,-44.0,-126.3,11.4,41.2,0,0
440,030720,KOSPI,2.193,1076,1.432,187.0,동원수산,농림어업,0.03,0.0403,-16.6,-1.2,1.8,7.4,0.5,-6.3,-0.1,0.0,0,0
441,033240,KOSPI,2.19,1076,1.131,448.0,자화전자,반도체·전자부품,0.58,0.0601,-51.5,47.9,-1.6,22.7,-24.3,-59.6,-0.7,18.0,0,0
442,089590,KOSPI,2.189,1076,0.811,716.0,제주항공,운수·물류,0.35,0.0334,-36.7,-36.3,-0.9,5.7,5.6,2.7,1.4,5.8,0,0
443,091580,KOSDAQ,2.187,1076,1.377,223.0,상신이디피,전기장비,0.24,0.0608,-41.8,60.1,14.4,18.2,-3.1,-10.5,-2.5,-5.4,0,0
444,064850,KOSDAQ,2.187,1076,1.394,210.0,에프앤가이드,IT서비스,0.2,0.058,-46.5,185.5,-28.5,12.1,0.3,19.2,4.9,9.4,0,0
445,006650,KOSPI,2.186,1076,0.878,663.0,대한유화,화학,0.6,0.0443,-52.0,0.5,-13.6,28.2,42.5,46.7,-46.8,-67.5,0,0
446,458870,KOSDAQ,2.185,1076,1.119,458.0,씨어스,의료·정밀·광학,0.94,0.0658,-60.7,202.2,-31.2,73.8,-75.1,-11.0,34.0,-12.3,0,0
447,090710,KOSDAQ,2.182,1076,1.024,546.0,휴림로봇,기계·장비,0.88,0.0589,-65.7,147.6,0.7,182.1,18.6,-56.6,-4.2,17.0,0,0
448,064290,KOSDAQ,2.176,1076,1.536,126.0,인텍플러스,기계·장비,0.39,0.0907,-41.3,315.5,-32.4,105.5,-31.8,102.5,13.4,-193.1,0,0
449,003200,KOSPI,2.172,1076,1.24,353.0,일신방직,섬유,0.24,0.0532,-33.4,-2.3,-6.6,5.6,1.2,5.2,0.2,1.7,0,0
450,023410,KOSDAQ,2.171,1076,1.275,327.0,유진기업,비금속광물(시멘트·유리),0.27,0.0571,-31.9,-0.1,-7.0,15.8,5.6,9.1,-0.2,-1.1,0,0
451,112610,KOSPI,2.169,1076,0.926,624.0,씨에스윈드,금속가공,1.91,0.0594,-41.0,-17.6,13.9,204.7,45.4,-16.4,79.1,227.2,0,0
452,213420,KOSDAQ,2.168,1076,0.895,651.0,덕산네오룩스,반도체·전자부품,0.9,0.0518,-34.9,-29.7,20.4,45.5,-58.5,-135.0,63.8,128.8,0,0
453,037710,KOSPI,2.168,1076,1.535,127.0,광주신세계,소매,0.3,0.08,-26.0,30.2,-21.4,71.9,-5.1,-19.0,-0.7,7.1,0,0
454,001510,KOSPI,2.167,1076,1.034,534.0,SK증권,,0.53,0.0542,-59.2,68.9,-6.5,48.5,-2.8,49.6,2.3,-0.7,0,0
455,377450,KOSDAQ,2.165,1076,0.944,611.0,리파인,IT서비스,0.24,0.0357,-22.6,-44.3,36.6,6.9,-3.9,4.0,-2.2,-5.0,0,0
456,001530,KOSPI,2.164,1076,0.701,777.0,DI동일,도매,0.52,0.0342,-39.6,-44.7,7.1,5.4,4.2,-16.6,0.4,27.4,0,0
457,036540,KOSDAQ,2.163,1076,1.2,378.0,SFA반도체,반도체·전자부품,0.91,0.0735,-49.7,54.3,3.6,141.4,-4.2,-209.5,7.9,184.1,0,0
458,019170,KOSPI,2.163,1076,0.679,795.0,신풍제약,제약·바이오,0.47,0.0306,-43.3,-36.5,9.8,6.1,6.3,12.5,0.0,0.3,0,0
459,011070,KOSPI,2.161,1076,1.104,474.0,LG이노텍,반도체·전자부품,13.14,0.0864,-63.7,379.0,-25.2,1598.6,-455.4,3465.4,-63.4,-4652.6,0,0
460,237880,KOSDAQ,2.16,1076,1.046,526.0,클리오,화학,0.2,0.0389,-27.1,-26.0,-2.2,6.7,0.5,15.0,-1.9,0.5,0,0
461,000020,KOSPI,2.156,1076,1.085,492.0,동화약품,제약·바이오,0.15,0.036,-24.2,-25.8,1.4,45.4,7.2,0.2,0.0,-1.1,0,0
462,089470,KOSPI,2.156,1076,1.117,462.0,HDC현대EP,화학,0.13,0.0359,-37.9,-6.2,4.7,6.2,3.2,5.1,0.8,2.8,0,0
463,032820,KOSDAQ,2.155,1076,1.146,433.0,우리기술,전기장비,2.12,0.0773,-58.2,170.5,9.3,321.7,21.0,141.3,-9.9,-5.9,0,0
464,036710,KOSDAQ,2.153,1076,1.69,56.0,심텍홀딩스,엔지니어링,0.23,0.0928,-28.3,117.3,23.2,15.8,-8.5,-21.3,0.2,1.0,0,0
465,189330,KOSDAQ,2.152,1076,1.868,6.0,씨이랩,출판·SW,0.13,0.0963,0.0,83.6,12.9,54.3,20.0,26.0,-2.7,-2.1,0,0
466,119850,KOSDAQ,2.146,1076,1.336,260.0,지엔씨에너지,전기장비,0.87,0.0892,0.0,-18.9,91.0,521.5,-327.5,7.7,298.8,395.6,0,0
