rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
46,175330,KOSPI,3.19,1076,1.458,172.0,JB금융지주,,5.34,0.0353,-23.6,10.4,10.0,109.9,0.5,-60.9,31.6,192.6,1,1
47,395400,KOSPI,3.19,1076,1.553,114.0,SK리츠,,1.69,0.0347,-20.6,19.3,-1.4,12.5,8.5,13.0,-6.9,-14.0,1,1
48,011200,KOSPI,3.176,1076,1.266,332.0,HMM,운수·물류,20.23,0.0259,-12.4,-19.3,8.7,296.1,222.9,1031.9,53.3,717.0,1,1
49,026960,KOSPI,3.165,1076,1.349,249.0,동서,도매,2.65,0.0244,-12.4,-12.8,2.5,21.0,13.8,-1.6,1.3,15.6,1,1
50,047810,KOSPI,3.162,1076,1.64,76.0,한국항공우주,조선·기타운송,15.02,0.0501,-23.7,52.3,6.8,666.1,-220.6,-1219.4,-354.6,680.7,1,1
51,002810,KOSPI,3.159,1076,1.636,77.0,삼영무역,도매,0.43,0.0257,-0.2,13.8,22.8,6.9,-3.3,4.2,3.2,3.4,0,1
52,093320,KOSDAQ,3.155,1076,1.808,16.0,케이아이엔엑스,IT서비스,0.73,0.0447,0.0,53.2,12.4,20.8,-2.4,-26.6,1.3,20.5,0,1
53,007340,KOSPI,3.137,1076,1.6,91.0,DN오토모티브,전기장비,2.83,0.0433,-5.4,11.6,35.1,78.3,-31.4,-123.2,78.1,197.8,0,1
54,036570,KOSPI,3.136,1076,1.509,139.0,NC,출판·SW,5.25,0.0415,-28.0,28.6,-2.0,168.3,85.8,515.9,-17.6,-247.1,0,1
55,017670,KOSPI,3.125,1076,1.559,110.0,SK텔레콤,통신,18.26,0.0474,-32.1,57.1,-4.2,1512.7,-834.5,-5047.2,829.1,4712.0,0,1
56,214320,KOSPI,3.124,1076,1.434,183.0,이노션,엔지니어링,0.78,0.0191,-10.1,-7.1,4.3,15.3,6.9,29.6,0.0,2.2,0,1
57,086280,KOSPI,3.119,1076,1.468,165.0,현대글로비스,운수·물류,15.22,0.0425,-30.1,24.3,5.9,364.6,30.9,357.5,130.9,564.2,0,1
58,207940,KOSPI,3.112,1076,1.257,343.0,삼성바이오로직스,제약·바이오,72.63,0.0329,-20.2,-15.6,12.5,1011.3,790.2,1049.5,-241.8,2721.3,0,1
59,005935,KOSPI,3.106,1076,1.754,33.0,삼성전자우,,138.01,0.0641,-26.8,226.2,-11.5,7130.0,-1452.8,4223.0,-636.9,690.7,0,1
60,003650,KOSPI,3.106,1076,1.693,52.0,미창석유,석유정제,0.26,0.0203,0.0,20.6,7.8,5.1,-4.0,-10.5,2.7,23.3,0,1
61,000270,KOSPI,3.103,1076,1.459,170.0,기아,자동차·부품,52.9,0.0446,-34.2,37.3,-8.1,1337.4,669.2,1937.8,-328.4,-1144.8,0,1
62,236200,KOSDAQ,3.103,1076,1.761,31.0,슈프리마,반도체·전자부품,0.44,0.039,0.0,40.2,33.5,17.1,27.6,64.0,-4.3,5.6,0,1
63,028050,KOSPI,3.102,1076,1.673,63.0,삼성E&A,연구개발,9.56,0.0554,-24.2,66.9,10.7,1027.7,76.3,516.0,324.1,942.0,0,1
64,004370,KOSPI,3.102,1076,1.294,313.0,농심,식료품,2.41,0.0232,-23.9,-8.6,11.5,90.9,81.0,161.6,46.7,344.0,0,1
65,009540,KOSPI,3.093,1076,1.391,212.0,HD한국조선해양,금융(은행),28.59,0.0411,-15.7,-7.4,18.6,765.7,-230.5,-967.3,382.2,1628.2,0,1
66,010955,KOSPI,3.092,1076,1.784,22.0,S-Oil우,,0.27,0.032,-6.2,56.1,0.3,13.5,-7.2,-16.2,5.8,65.6,0,1
67,005850,KOSPI,3.092,1076,1.652,70.0,에스엘,자동차·부품,2.65,0.0488,-25.1,63.3,2.5,45.4,21.3,6.3,-27.5,-2.3,0,1
68,006400,KOSPI,3.091,1076,1.628,81.0,삼성SDI,전기장비,38.8,0.0564,-32.4,106.4,10.9,2042.1,-147.5,-469.1,628.3,607.4,0,1
69,293940,KOSPI,3.084,1076,1.422,192.0,신한알파리츠,,0.64,0.0162,-15.2,-4.6,0.8,9.3,5.7,29.0,0.6,-12.9,0,1
70,049430,KOSDAQ,3.084,1076,1.8,18.0,코메론,의료·정밀·광학,0.19,0.0245,-11.7,73.3,3.3,6.2,-7.2,-16.3,19.5,52.9,0,1
71,041960,KOSDAQ,3.074,1076,1.701,51.0,코미팜,제약·바이오,0.66,0.0424,-13.2,42.0,19.3,15.5,12.0,19.3,-1.1,-10.9,0,1
72,088350,KOSPI,3.073,1076,1.453,175.0,한화생명,,4.0,0.0411,-30.2,21.8,-0.9,112.9,61.9,214.9,-39.9,-7.1,0,1
73,000240,KOSPI,3.07,1076,1.404,201.0,한국앤컴퍼니,금융(은행),2.46,0.0352,-25.1,6.3,3.6,21.4,7.8,-11.8,23.1,56.3,0,1
74,002960,KOSPI,3.068,1076,1.585,97.0,한국쉘석유,석유정제,0.67,0.0361,-11.7,13.3,3.2,8.8,2.5,18.1,0.1,9.8,0,1
75,071050,KOSPI,3.067,1076,1.541,123.0,한국금융지주,,10.81,0.049,-33.7,57.7,-18.9,500.4,149.9,1016.1,-483.6,-1185.1,0,1
76,329180,KOSPI,3.066,1076,1.393,211.0,HD현대중공업,조선·기타운송,55.84,0.0429,-28.6,9.1,5.6,1342.9,-218.7,-354.2,257.3,631.8,0,1
77,383220,KOSPI,3.059,1076,1.495,148.0,F&F,의복,2.6,0.0419,-21.1,11.5,-12.5,68.2,-56.8,45.4,-67.3,-98.5,0,1
78,012750,KOSPI,3.056,1076,1.527,130.0,에스원,사업지원,2.88,0.0441,-19.4,13.4,3.8,41.2,28.5,-0.6,-13.1,3.2,0,1
79,267270,KOSPI,3.056,1076,1.522,132.0,HD건설기계,기계·장비,6.89,0.0473,-27.4,31.2,10.4,388.1,-177.1,-807.7,270.5,1099.5,0,1
80,010140,KOSPI,3.034,1076,1.332,264.0,삼성중공업,조선·기타운송,19.84,0.0403,-34.4,12.5,0.9,752.2,-45.8,59.9,161.4,493.8,0,1
81,003850,KOSPI,3.032,1076,1.423,191.0,보령,제약·바이오,0.78,0.0294,-14.4,-5.6,7.9,8.8,-3.2,-6.4,1.2,-0.6,0,1
82,001120,KOSPI,3.031,1076,1.381,221.0,LX인터내셔널,도매,1.46,0.0326,-33.6,16.3,1.5,38.1,-76.0,-102.2,45.1,101.3,0,1
83,244920,KOSPI,3.02,1076,1.785,21.0,에이플러스에셋,금융보조,0.29,0.0378,-12.6,71.1,20.6,7.9,1.8,21.2,9.7,37.3,0,1
84,017890,KOSDAQ,3.016,1076,1.745,37.0,한국알콜,화학,0.3,0.0366,0.0,34.1,8.3,11.8,6.8,59.1,-0.1,1.1,0,1
85,090430,KOSPI,3.015,1076,1.334,262.0,아모레퍼시픽,화학,7.94,0.0396,-17.7,-11.2,10.3,481.8,239.9,611.9,399.9,1008.1,0,1
86,330590,KOSPI,3.009,1076,1.307,298.0,롯데리츠,,1.1,0.0253,-21.6,-9.8,8.3,5.9,0.8,4.7,4.9,7.7,0,1
87,092730,KOSDAQ,3.007,1076,1.589,95.0,네오팜,화학,0.39,0.0326,0.0,6.5,22.7,12.4,2.5,13.9,10.7,13.1,0,1
88,011780,KOSPI,3.004,1076,1.354,243.0,금호석유화학,화학,3.15,0.0383,-18.4,-8.7,6.6,126.3,2.2,-85.6,-52.5,116.4,0,1
89,097950,KOSPI,2.999,1076,1.185,392.0,CJ제일제당,식료품,3.09,0.0261,-18.5,-22.7,7.6,95.2,-12.6,-31.4,112.5,155.0,0,1
90,021240,KOSPI,2.998,1076,1.173,401.0,코웨이,미분류,6.67,0.0295,-16.7,-24.7,4.9,188.3,169.9,332.6,-150.0,-18.8,0,1
91,041830,KOSDAQ,2.995,1076,1.906,3.0,인바디,의료·정밀·광학,0.94,0.0644,-1.1,135.7,33.3,84.5,-93.6,-189.8,146.4,231.5,0,1
92,012450,KOSPI,2.993,1076,1.357,242.0,한화에어로스페이스,조선·기타운송,59.4,0.0452,-25.0,0.0,19.1,2070.3,721.4,337.6,-111.7,739.7,0,1
93,016360,KOSPI,2.991,1076,1.434,185.0,삼성증권,,8.32,0.0463,-37.7,51.9,-16.8,459.9,-106.2,587.9,-320.4,-825.8,0,1
94,079940,KOSDAQ,2.988,1076,1.691,54.0,가비아,출판·SW,0.61,0.0454,-4.3,28.2,43.8,20.3,1.5,83.7,6.4,52.4,0,1
95,030190,KOSPI,2.986,1076,1.293,316.0,NICE평가정보,IT서비스,0.91,0.0241,-15.4,-15.8,11.4,10.2,-0.5,-8.5,5.7,23.5,0,1
96,005387,KOSPI,2.986,1076,1.308,295.0,현대차2우B,,7.05,0.0396,-37.7,19.0,-1.2,313.1,169.2,-23.4,-24.7,-298.2,0,1
97,005440,KOSPI,2.984,1076,1.445,179.0,현대지에프홀딩스,금융(은행),2.17,0.0418,-37.0,50.7,-15.6,39.6,1.8,-31.3,-9.9,31.7,0,1
98,005380,KOSPI,2.979,1076,1.362,235.0,현대차,자동차·부품,83.54,0.0466,-45.6,103.9,-10.8,3385.0,544.6,2166.8,-308.8,-811.3,0,1
99,000070,KOSPI,2.977,1076,1.4,205.0,삼양홀딩스,금융(은행),0.47,0.0207,-18.9,-3.8,5.4,5.3,2.4,-7.6,2.9,22.5,0,1
100,035250,KOSPI,2.974,1076,1.103,477.0,강원랜드,예술·스포츠,3.12,0.0163,-25.2,-23.5,-0.1,60.8,-19.1,-23.8,1.0,59.3,0,1
101,017940,KOSPI,2.969,1076,1.39,213.0,E1,도매,0.6,0.0274,-22.4,0.2,3.1,9.2,-3.0,12.7,-1.0,16.0,0,1
102,005385,KOSPI,2.966,1076,1.319,285.0,현대차우,,4.61,0.0399,-38.6,22.9,-3.4,201.7,-56.3,-316.6,-13.2,5.2,0,1
103,323410,KOSPI,2.966,1076,1.114,464.0,카카오뱅크,금융(은행),10.57,0.0291,-22.8,-24.5,-3.3,208.4,7.2,606.1,-20.2,-248.8,0,1
104,280360,KOSPI,2.964,1076,1.352,244.0,롯데웰푸드,식료품,1.2,0.034,-3.5,-15.8,22.9,32.0,30.4,38.6,-10.3,1.7,0,1
105,007310,KOSPI,2.963,1076,1.222,365.0,오뚜기,식료품,1.34,0.0231,-22.5,-16.2,7.4,16.9,3.7,26.4,4.4,25.0,0,1
106,204610,KOSDAQ,2.962,1076,1.74,39.0,티쓰리,출판·SW,0.19,0.0302,-7.5,43.8,10.6,5.1,3.5,4.1,-0.5,-1.7,0,1
107,036460,KOSPI,2.96,1076,1.092,486.0,한국가스공사,전력·가스,3.3,0.0191,-21.7,-27.6,8.0,53.0,31.7,167.1,0.2,81.6,0,1
