model,run_id,n_stocks,exc40_close,exc40_open,excidx40_close,exc20_close,exc20_open,excidx20_close
lv_b,20260624,20,10.506329850291003,9.613854872326309,29.728066361837495,5.257679701827385,4.464189581698446,25.905287267694582
lv_b,20260625,20,9.19853114200602,5.7085937068672346,27.454817226414885,7.103017533623929,3.904303931872446,24.61936044632641
lv_b,20260627,20,4.110083686586484,10.653453328767439,20.206130299420554,3.924519260160391,10.21637798387807,23.90707058456975
lv_b,20260629,20,6.185797780801189,4.016173417642392,21.796434582068848,5.7251447793645545,3.798039787239551,27.273402569807928
lv_b,20260630,20,9.57282811363344,12.203391930439446,24.56341797827276,6.278451903208477,8.322774260035779,27.389146021550015
lv_b,20260701,20,6.948991589987133,6.382574215994377,16.135700748171374,4.620164201539727,4.111847512022458,15.014252998152196
lv_b,20260706,20,1.911484710190281,1.2755318980117103,11.879943275595206,5.235778887390403,4.615361533294146,13.512632229244144
lv_b,20260707,20,2.259915416650931,0.4051390087037599,7.658704490956713,2.143563211923262,0.3637219909304695,9.25367201046314
lv_b,20260708,20,,,,6.482947094949129,5.288314567607909,16.59008967368156
lv_b,20260709,20,,,,-0.511167463199516,2.540799334972721,9.64783779073544
lv_b,20260710,20,,,,2.715675400608479,-0.6842314338347585,7.9409986628164715
lv_b,20260713,20,,,,4.482001426138986,3.030101436855383,8.382137385937298
lv_b,20260714,20,,,,2.055816731345205,2.710287309475986,7.504488505164661
lv_b,20260715,20,,,,4.038985436092401,3.926694273388167,3.8867904580910797
lv_b,20260716,20,,,,5.634727166962994,2.2797853702766018,4.440476845656094
lv_b,20260720,20,,,,2.4625690688065265,2.8820402235647227,5.437678062200871
lv_b,20260721,20,,,,0.8888341918904802,0.261736161919647,0.7247007691548437
lv_b,20260722,20,,,,1.171041296876464,4.283287998806417,2.6008048337463854
lv_b,20260723,20,,,,2.0339793759837144,1.8094961623369434,-0.17519737576612832
lv_b,20260724,20,,,,2.9269742474462905,3.0255042739745353,1.8906263161373706
lv_b,20260727,20,,,,0.37007898382567944,-3.5312266566160084,-6.545153078137349
lv_b,20260728,20,,,,-3.11316928869426,-6.659559801660942,-14.151803500283304
lv_b,20260729,20,,,,-4.678236886057374,-1.084022834192141,-17.29925677428081
lv_b,20260730,20,,,,-1.5272716722928426,1.3584850196621137,-3.5590273689572958
lv_b,20260731,20,,,,2.4293439796211667,2.6909428647528673,-0.9538829423506745
lv_b,20260803,20,,,,6.493442279318943,10.795807391480942,5.586001933973181
lv_b,20260804,20,,,,-1.0145466492842725,-0.5724456893503956,0.35808361045878007
lv_b,20260805,20,,,,-0.26537875101956343,-1.2431192013970949,-3.8199390165655136
lv_b,20260806,20,,,,,,
lv_b,20260807,17,,,,,,
lv_b,20260810,18,,,,,,
lv_b,20260811,19,,,,,,
lv_b,20260812,20,,,,,,
lv_b,20260814,9,,,,,,
lv_b,20260818,18,,,,,,
lv_b,20260819,17,,,,,,
lv_b,20260821,20,,,,,,
lv_b,20260824,20,,,,,,
lv_b,20260825,20,,,,,,
lv_b,20260826,19,,,,,,
lv_b,20260827,20,,,,,,
lv_b,20260828,20,,,,,,
lv_b,20260831,20,,,,,,
lv_b,20260901,20,,,,,,
lv_b,20260902,20,,,,,,
lv_b,20260903,20,,,,,,
lv_b,20260904,20,,,,,,
