inv,w,norm,uni,h,n,ic,lo,hi,pos
foreign,60,none,전체,10,65,-0.024373884667819614,-0.05435697542901371,-0.001161684317275335,0.38461538461538464
foreign,60,none,전체,20,55,-0.03150100074299906,-0.06530620322992033,-0.002076078020820013,0.36363636363636365
foreign,60,none,대형30%,5,70,-0.002209078103957339,-0.02175817908342522,0.011512333935574354,0.44285714285714284
foreign,60,none,대형30%,10,65,-0.013292499058599975,-0.032345377585225675,0.0016501821148065972,0.3230769230769231
foreign,60,none,대형30%,20,55,-0.016133961795498176,-0.028937768396049425,-0.006509243864295659,0.32727272727272727
foreign,60,none,중소형,5,60,-0.01777290078875903,-0.04878345080057227,0.027590216467258958,0.4166666666666667
foreign,60,none,중소형,10,55,-0.03571775084909098,-0.08060585832182418,0.019045332577760872,0.38181818181818183
foreign,60,none,중소형,20,45,-0.03704476997663779,-0.09732165125303083,0.03555923788006606,0.4222222222222222
inst,5,amt,전체,5,70,-0.027682984737215414,-0.06285360765378549,0.0008272028030093282,0.4142857142857143
inst,5,amt,전체,10,65,-0.012452030480997304,-0.06495245421120488,0.037201760684096336,0.46153846153846156
inst,5,amt,전체,20,55,-0.019906546886542302,-0.05423127872798092,0.01363673976734939,0.4
inst,5,amt,대형30%,5,70,-0.03370014774222642,-0.0806661978703342,0.00834937772819298,0.44285714285714284
inst,5,amt,대형30%,10,65,-0.013846587284126502,-0.07952941488834646,0.05569808330010596,0.49230769230769234
inst,5,amt,대형30%,20,55,-0.024029051119410408,-0.0841842287671067,0.0356938786137214,0.5272727272727272
inst,5,amt,중소형,5,60,-0.007098960664032153,-0.025966592630965724,0.007870740322515644,0.4666666666666667
inst,5,amt,중소형,10,55,-0.0014788550578238736,-0.035062809757136326,0.031736439688360894,0.4727272727272727
inst,5,amt,중소형,20,45,-0.005015680661804844,-0.030159494979757458,0.029256714878805674,0.4
inst,5,mcap,전체,5,70,-0.019124567299329077,-0.04252754254642393,0.0043490993716826095,0.38571428571428573
inst,5,mcap,전체,10,65,-0.0005167786670422547,-0.045284694834543816,0.037029423188667976,0.5230769230769231
inst,5,mcap,전체,20,55,-0.0017059743864258673,-0.027873244231266983,0.022350361877081015,0.509090909090909
inst,5,mcap,대형30%,5,70,-0.023530854206453164,-0.061706920321021964,0.013535221258954913,0.38571428571428573
inst,5,mcap,대형30%,10,65,-0.0037179912184711907,-0.05405406042735222,0.03993894443823107,0.49230769230769234
inst,5,mcap,대형30%,20,55,0.00148997009066026,-0.04302831046807201,0.04018576728381506,0.5272727272727272
inst,5,mcap,중소형,5,60,0.0013582383207270887,-0.014353747667804216,0.014548427190275664,0.55
inst,5,mcap,중소형,10,55,0.007742543953102004,-0.01929916032628059,0.034767748385084334,0.509090909090909
inst,5,mcap,중소형,20,45,0.005085022904464615,-0.016900830404845114,0.03575101674042483,0.4888888888888889
