combo,h,cut,n,ic,lo,hi,pos
lv60,60,year_2026,5,0.31197492542097777,0.18375957425293868,0.43422917300315744,1.0
lv60,60,regime_강세,297,0.18863419409917703,0.16255628760411947,0.2118601761590493,0.98989898989899
lv60,60,regime_조정,56,0.2388926661351481,0.1856613591823252,0.2781836121433886,0.9642857142857143
lv60,60,regime_반등,48,0.23841582854190188,0.20494284147120137,0.2714326658377452,1.0
lv60,60,regime_약세,188,0.22532125309453546,0.18921010545338715,0.2568853022559285,0.973404255319149
lv60,60,top50_excess,29,0.06934253745708534,0.0502252978386096,0.09083190818207992,0.8387096774193549
lv60+to20(lv_e형),5,all_monthly,31,0.10818608897493583,0.05070996750223083,0.1596928884228811,0.8064516129032258
lv60+to20(lv_e형),5,year_2024,12,0.09940127832876727,0.035689271021431615,0.16101157223018292,0.8333333333333334
lv60+to20(lv_e형),5,year_2025,12,0.16066867906585283,0.07976763035006992,0.23218330555006,0.8333333333333334
lv60+to20(lv_e형),5,year_2026,7,0.03327560992679552,-0.12003922015320506,0.1544311566544042,0.7142857142857143
lv60+to20(lv_e형),5,regime_강세,297,0.12043801392007668,0.10137541111985922,0.145348421548674,0.8922558922558923
lv60+to20(lv_e형),5,regime_조정,56,0.14714553866723987,0.06162100645421392,0.21576012978139528,0.8928571428571429
lv60+to20(lv_e형),5,regime_반등,60,0.13059747063031005,0.09233057195238727,0.18206813487646978,0.8
lv60+to20(lv_e형),5,regime_약세,231,0.12130270210594608,0.07528350553079899,0.1681729579067126,0.7792207792207793
lv60+to20(lv_e형),5,top50_excess,31,0.00838658633423349,0.002143473919253212,0.014428204287691497,0.6451612903225806
lv60+to20(lv_e형),20,all_monthly,30,0.18237579190612438,0.12836751518688694,0.24047811743443806,0.8
lv60+to20(lv_e형),20,year_2024,12,0.17150282769959302,0.08407327754173688,0.24891825685843935,0.75
lv60+to20(lv_e형),20,year_2025,12,0.1619778775990324,0.07713684236774966,0.24990872846687473,0.8333333333333334
lv60+to20(lv_e형),20,year_2026,6,0.24491754893337117,0.08576497367750616,0.4009954804585739,0.8333333333333334
lv60+to20(lv_e형),20,regime_강세,297,0.18524535521946095,0.15735885821063983,0.21104582212207088,0.9191919191919192
lv60+to20(lv_e형),20,regime_조정,56,0.13577452687071878,0.07126051510359835,0.17477858908198293,0.875
lv60+to20(lv_e형),20,regime_반등,48,0.1773210646996485,0.1261390577402954,0.24584485122335553,0.875
lv60+to20(lv_e형),20,regime_약세,228,0.17735232620577773,0.13305424849483785,0.23203953800340552,0.8157894736842105
lv60+to20(lv_e형),20,top50_excess,30,0.03330885950322707,0.017501315053452923,0.05069012751857772,0.7741935483870968
lv60+to20(lv_e형),60,all_monthly,29,0.23613399378979494,0.1941304828812349,0.2847208388200031,1.0
lv60+to20(lv_e형),60,year_2024,12,0.21934618661033348,0.16374277498377757,0.26878041297886124,1.0
lv60+to20(lv_e형),60,year_2025,12,0.2117320265343771,0.15438878656241428,0.270062759286678,1.0
lv60+to20(lv_e형),60,year_2026,5,0.33498945243350503,0.19083868696741707,0.46425418772135074,1.0
lv60+to20(lv_e형),60,regime_강세,297,0.2102427896380457,0.1842763299899471,0.23523045579243404,0.9932659932659933
lv60+to20(lv_e형),60,regime_조정,56,0.27594192669122847,0.22382565233410187,0.3150776055003652,1.0
lv60+to20(lv_e형),60,regime_반등,48,0.2606518992547378,0.2111447159449905,0.3061596528408626,1.0
lv60+to20(lv_e형),60,regime_약세,188,0.2436766492894399,0.19767991327583495,0.2822806847032956,0.973404255319149
lv60+to20(lv_e형),60,top50_excess,29,0.07851580026370968,0.05584049306632595,0.10164031313715856,0.8387096774193549
lv60+lv20,5,all_monthly,31,0.1000657603465638,0.04362243036701361,0.1501257573963248,0.8064516129032258
lv60+lv20,5,year_2024,12,0.10634484398519871,0.04286731383739716,0.17021147404060666,0.8333333333333334
lv60+lv20,5,year_2025,12,0.14408755854939953,0.07860397359685616,0.2079678657059422,0.8333333333333334
lv60+lv20,5,year_2026,7,0.013835677189756987,-0.14029506840440406,0.1508238956380348,0.7142857142857143
lv60+lv20,5,regime_강세,297,0.1166007815034623,0.09794937277487309,0.142089277418511,0.8956228956228957
lv60+lv20,5,regime_조정,56,0.13508672109862463,0.05290133468562605,0.20223265829055795,0.7857142857142857
lv60+lv20,5,regime_반등,60,0.12553531573118873,0.08471670349497867,0.17518670076752624,0.8166666666666667
lv60+lv20,5,regime_약세,231,0.11471092196462405,0.06924878745245132,0.1632482272832197,0.7662337662337663
lv60+lv20,5,top50_excess,31,0.008086856665383767,0.0009033449868067256,0.014372311056634944,0.6451612903225806
lv60+lv20,20,all_monthly,30,0.17335048405898615,0.1218098715984054,0.23055830854598186,0.8333333333333334
lv60+lv20,20,year_2024,12,0.16670046478470676,0.08434832378355733,0.24185891988794653,0.75
lv60+lv20,20,year_2025,12,0.15227502722221678,0.07494238613767662,0.23065341255237976,0.9166666666666666
lv60+lv20,20,year_2026,6,0.22880143628108365,0.05705328215530965,0.37521771015950217,0.8333333333333334
lv60+lv20,20,regime_강세,297,0.16913722478861198,0.1425864630213508,0.19269450905547508,0.9090909090909091
lv60+lv20,20,regime_조정,56,0.12374362199861043,0.05497268189304487,0.1655256600186456,0.8214285714285714
lv60+lv20,20,regime_반등,48,0.17524983791563972,0.13103609491085058,0.23673478726496486,0.9583333333333334
lv60+lv20,20,regime_약세,228,0.17159937141220477,0.1302214341773735,0.22910536599738102,0.8333333333333334
lv60+lv20,20,top50_excess,30,0.03053180449929121,0.01551594349477138,0.0469635731983228,0.7741935483870968
lv60+lv20,60,all_monthly,29,0.21350432156702837,0.17603103257429653,0.2591711835071651,0.9655172413793104
lv60+lv20,60,year_2024,12,0.2075254092484432,0.16008419574247337,0.2493134481401635,1.0
lv60+lv20,60,year_2025,12,0.18054382645084566,0.12542462939907503,0.23491706566461687,0.9166666666666666
lv60+lv20,60,year_2026,5,0.30695889941047116,0.168673019150473,0.43728013605289895,1.0
lv60+lv20,60,regime_강세,297,0.1865126382318872,0.15855550301221513,0.2103578114885786,0.9831649831649831
lv60+lv20,60,regime_조정,56,0.2363798872318695,0.18022396526525208,0.27459734437766037,0.9642857142857143
lv60+lv20,60,regime_반등,48,0.24454091088622168,0.21432496276247118,0.27623604893948145,1.0
lv60+lv20,60,regime_약세,188,0.22754172389969568,0.18830244356389556,0.26177608980761335,0.9627659574468085
lv60+lv20,60,top50_excess,29,0.06424209512648008,0.0443579417689824,0.08797657084300746,0.8387096774193549
px4,5,all_monthly,31,0.10582700563378349,0.045395818946665153,0.1587279788592747,0.7741935483870968
px4,5,year_2024,12,0.09538226432333308,0.01987412820537836,0.17215199714578613,0.6666666666666666
px4,5,year_2025,12,0.15650895386688754,0.08457335287057852,0.2192254376861677,0.9166666666666666
px4,5,year_2026,7,0.036848936623520165,-0.12899715754947547,0.17939930941454443,0.7142857142857143
px4,5,regime_강세,297,0.12787509847294606,0.10826931354996341,0.1533117110778636,0.8888888888888888
px4,5,regime_조정,56,0.143711431744092,0.06295430469642266,0.20561361440908615,0.875
px4,5,regime_반등,60,0.13548042756859063,0.09549333272004494,0.18522056498160275,0.8666666666666667
px4,5,regime_약세,231,0.11192332721611703,0.06400913800033667,0.1645062722567509,0.7402597402597403
px4,5,top50_excess,31,0.009964650671652127,0.0028304165944617278,0.01636201360945203,0.6774193548387096
px4,20,all_monthly,30,0.1804599127189194,0.12517655011158849,0.24185750633881004,0.8333333333333334
px4,20,year_2024,12,0.1630919829842479,0.07263364381885122,0.2474466041611526,0.75
px4,20,year_2025,12,0.16289615561163148,0.08524795779685096,0.244371613951726,0.9166666666666666
px4,20,year_2026,6,0.25032328640283824,0.07496057088073978,0.418650137900207,0.8333333333333334
px4,20,regime_강세,297,0.19108594393426284,0.16353625105975914,0.2164124312674394,0.9259259259259259
px4,20,regime_조정,56,0.14871603284114254,0.08333947945014196,0.18622479700572742,0.8928571428571429
px4,20,regime_반등,48,0.18326709805763453,0.1294578130860859,0.25312668413860867,0.875
px4,20,regime_약세,228,0.17089720613447498,0.1243002410651989,0.23127192401670843,0.8289473684210527
px4,20,top50_excess,30,0.04033088155820865,0.023202547085679974,0.05968227091537911,0.7741935483870968
px4,60,all_monthly,29,0.23864298619578764,0.19807211470842329,0.28181481917389317,1.0
px4,60,year_2024,12,0.21303981849315048,0.1485143910536815,0.26987242043862614,1.0
px4,60,year_2025,12,0.2206064342523144,0.1710451050462487,0.2698651856565072,1.0
px4,60,year_2026,5,0.34337831334645247,0.2103993521572612,0.45256365061533704,1.0
px4,60,regime_강세,297,0.22427418950680275,0.19888185599708919,0.24699452905350117,1.0
px4,60,regime_조정,56,0.2867623218847042,0.2354068099842458,0.32732703253586215,1.0
px4,60,regime_반등,48,0.2594262879360625,0.20065937604434625,0.3077107192598581,1.0
px4,60,regime_약세,188,0.2411295821106256,0.19317511920212516,0.2825009245550044,0.9095744680851063
px4,60,top50_excess,29,0.08619966722202893,0.0606988074159366,0.11194093550102391,0.8709677419354839
lv60+upratio63,5,all_monthly,31,0.0801908974894335,0.03365682178408482,0.11997602407199323,0.7419354838709677
lv60+upratio63,5,year_2024,12,0.07092851458035579,-0.003173477839496965,0.14361655856268501,0.5833333333333334
lv60+upratio63,5,year_2025,12,0.11244446890203223,0.07497184029424471,0.1454509241887072,0.9166666666666666
lv60+upratio63,5,year_2026,7,0.04077743148339752,-0.09081588425175971,0.15558613285180378,0.7142857142857143
lv60+upratio63,5,regime_강세,297,0.10747554755610471,0.09310567946437284,0.12810842145793555,0.8922558922558923
lv60+upratio63,5,regime_조정,56,0.09952092218597117,0.050626385354974976,0.13451232491926135,0.8392857142857143
lv60+upratio63,5,regime_반등,60,0.1142728877154965,0.07730563507756018,0.15578727195020628,0.8166666666666667
lv60+upratio63,5,regime_약세,231,0.06606643402577825,0.028325395816376473,0.10337218940897498,0.70995670995671
lv60+upratio63,5,top50_excess,31,0.010667106134464156,0.004905862960326208,0.015614349365849286,0.7096774193548387
lv60+upratio63,20,all_monthly,30,0.1306022909189188,0.08444289244621891,0.1774499965844265,0.8333333333333334
lv60+upratio63,20,year_2024,12,0.11700459652947309,0.039487688725499875,0.18370228241201614,0.75
lv60+upratio63,20,year_2025,12,0.12721048751147473,0.07146271830421012,0.1790451057264454,0.9166666666666666
lv60+upratio63,20,year_2026,6,0.1645812865126984,0.03782685881938604,0.28497503696015747,0.8333333333333334
lv60+upratio63,20,regime_강세,297,0.1579084792327546,0.1358297294457969,0.17932210305026433,0.9629629629629629
lv60+upratio63,20,regime_조정,56,0.10483816411341154,0.07040279187686586,0.1305245249124491,0.9285714285714286
lv60+upratio63,20,regime_반등,48,0.16331171096019703,0.1226935730948906,0.21118541987578024,0.9166666666666666
lv60+upratio63,20,regime_약세,228,0.10907156200992585,0.07125605998653105,0.14903611383579626,0.7675438596491229
lv60+upratio63,20,top50_excess,30,0.04012705475002312,0.025330673585374275,0.05523783211803279,0.8387096774193549
lv60+upratio63,60,all_monthly,29,0.19477656435276927,0.16421883963112155,0.2263370077944725,1.0
lv60+upratio63,60,year_2024,12,0.16018561296388456,0.11551171806935555,0.20102031877064305,1.0
lv60+upratio63,60,year_2025,12,0.19693275428051624,0.16193034655310598,0.23339690025548596,1.0
lv60+upratio63,60,year_2026,5,0.27261999185949987,0.20974853521634337,0.33558117894829975,1.0
lv60+upratio63,60,regime_강세,297,0.19606211496956283,0.179456826672432,0.2120955212278256,1.0
lv60+upratio63,60,regime_조정,56,0.22012069475915305,0.18495900756288516,0.2559204701386417,1.0
lv60+upratio63,60,regime_반등,48,0.21050400400881442,0.1631758250151564,0.24945327722514424,1.0
lv60+upratio63,60,regime_약세,188,0.19208066371428828,0.16058594132323484,0.22239630601760024,0.973404255319149
lv60+upratio63,60,top50_excess,29,0.09032122799023337,0.07236959115675504,0.10727261060559445,0.9032258064516129
lv60+to20+upratio63,5,all_monthly,31,0.10406234465162408,0.053259563145921986,0.150209520443967,0.7419354838709677
lv60+to20+upratio63,5,year_2024,12,0.08940969646844056,0.019270146525909436,0.16258077916916625,0.6666666666666666
lv60+to20+upratio63,5,year_2025,12,0.15019342379811215,0.08982823613680051,0.2047940241931604,0.8333333333333334
lv60+to20+upratio63,5,year_2026,7,0.05009932014310198,-0.09658001021442861,0.1673687273773215,0.7142857142857143
lv60+to20+upratio63,5,regime_강세,297,0.12431174815069321,0.10882475869103507,0.14638925499649125,0.9090909090909091
lv60+to20+upratio63,5,regime_조정,56,0.1348582843283251,0.06419751217944016,0.18596618577327792,0.8928571428571429
lv60+to20+upratio63,5,regime_반등,60,0.13264585768455237,0.09618111376874826,0.17847058442714223,0.85
lv60+to20+upratio63,5,regime_약세,231,0.09988370670544869,0.058843985980005564,0.14453260129206943,0.7359307359307359
lv60+to20+upratio63,5,top50_excess,31,0.011012998513312704,0.0046951047221447965,0.01659175583657638,0.7096774193548387
lv60+to20+upratio63,20,all_monthly,30,0.17071115898966277,0.11893741026816322,0.22733679687885402,0.8666666666666667
lv60+to20+upratio63,20,year_2024,12,0.1556046971839283,0.07312687807120788,0.2311673053254642,0.75
lv60+to20+upratio63,20,year_2025,12,0.1596144269456388,0.08476931348883433,0.23367088460544735,0.9166666666666666
lv60+to20+upratio63,20,year_2026,6,0.22311754668917969,0.07776858185070396,0.3668805721601271,1.0
lv60+to20+upratio63,20,regime_강세,297,0.19061083869563622,0.16471476621605366,0.21396193456177418,0.9595959595959596
lv60+to20+upratio63,20,regime_조정,56,0.13266788925703318,0.08328137453484903,0.16274774858677743,0.9285714285714286
lv60+to20+upratio63,20,regime_반등,48,0.1851897199581407,0.1363272051408891,0.24371285575030807,0.8958333333333334
lv60+to20+upratio63,20,regime_약세,228,0.15366997126317236,0.11333567526994003,0.20203306183501193,0.8114035087719298
lv60+to20+upratio63,20,top50_excess,30,0.04067089589264375,0.025562063459947177,0.05770139023725487,0.8064516129032258
lv60+to20+upratio63,60,all_monthly,29,0.23792149732206264,0.2001218605301901,0.27687206017154464,1.0
lv60+to20+upratio63,60,year_2024,12,0.20605969738607163,0.15112490163202183,0.2546035807081842,1.0
lv60+to20+upratio63,60,year_2025,12,0.23252476509993966,0.1876021380072124,0.2819672992333028,1.0
lv60+to20+upratio63,60,year_2026,5,0.3273419745015364,0.22624523181678935,0.42843871718628346,1.0
lv60+to20+upratio63,60,regime_강세,297,0.22688698195696885,0.20494807029719708,0.24680822991966675,1.0
lv60+to20+upratio63,60,regime_조정,56,0.27783927307665734,0.23795571177657202,0.31492845568685346,1.0
lv60+to20+upratio63,60,regime_반등,48,0.25699555210301694,0.20085576081318873,0.303745685627464,1.0
lv60+to20+upratio63,60,regime_약세,188,0.23670849528649127,0.19388381757146245,0.2763413918632296,0.973404255319149
