factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
gap_abs20,40,-0.12138317865407004,-0.1668234630781707,-0.059538452959809945,609,0.18883415435139572,-0.09812455993549221,-0.04341027745133784,-0.17814069219032902,-0.1624886189282536,-0.16480196796300614,-0.07763576657251968,-0.12132374070573493,-0.0723770257229857,-0.11291510095750196,True,
gap_abs20,60,-0.12258987649697835,-0.16606071634352917,-0.05160963925571265,589,0.14091680814940577,-0.08206012479095848,-0.11983247900318043,-0.17777138710028736,-0.1733507169617749,-0.1852229006165357,-0.0641589365209802,-0.1115008433806633,-0.05855904423372492,-0.1168505077669363,True,
upvol20,5,-0.05144316111311386,-0.06282667617271348,-0.04095077301114984,644,0.265527950310559,-0.04314483674674855,-0.05984801189334195,-0.04507504833236523,-0.06172895098308199,-0.05223261317188639,-0.049899156301395194,-0.05258887543017347,-0.05528627563855985,-0.039702520874637846,True,
upvol20,20,-0.07287265611265333,-0.08821047440589994,-0.05623167062575208,629,0.1685214626391097,-0.07330027574241366,-0.04585057832934099,-0.05680890662319648,-0.08233446883774367,-0.0758447847830153,-0.06665324826772706,-0.07832648340568708,-0.07222010476571773,-0.056510155002175363,True,-0.09587563001779113
upvol20,40,-0.08227066328760235,-0.096756647903932,-0.06087860654958521,609,0.12643678160919541,-0.08489960526817168,-0.06580457326961427,-0.08334222515525748,-0.0827027320526543,-0.08093159029507964,-0.081643358664966,-0.08616124482299704,-0.07834939587877707,-0.060760054772225756,True,
upvol20,60,-0.08057026228171647,-0.09159512282182652,-0.05808525346418032,589,0.08828522920203735,-0.07683284968733194,-0.08689086850928965,-0.07768678172491729,-0.08532805301849557,-0.08342035884812778,-0.07818057224993967,-0.07943318874274193,-0.07046701119073981,-0.0571177832191374,True,
amihud20,5,-0.03344791128491348,-0.047165473139186544,-0.022317832970959,644,0.33695652173913043,-0.054771726955599356,-0.031592543282394754,-0.052179663734031254,-0.0016159727870791582,-0.01579329175516912,-0.051782700333016185,-0.03262960885210818,-0.043646830607100326,0.007053119892690813,True,
amihud20,20,-0.05619905669891986,-0.08842075024084733,-0.02708740731319016,629,0.2766295707472178,-0.09343356108369055,-0.030215105667625284,-0.059804372107999236,-0.01331922475084874,-0.038184209600631576,-0.08743458442211624,-0.03407755308331716,-0.0768147811606491,0.007072920654267432,True,-0.009644479598507423
amihud20,40,-0.07677561401898303,-0.12307257612831621,-0.04447878526699649,609,0.2019704433497537,-0.1008477546688447,-0.10919101675743062,-0.07565373033187561,-0.03393504714695986,-0.050780692480912104,-0.12527265891082157,-0.03292582533170161,-0.10519933842941738,0.004961128045772952,True,
amihud20,60,-0.0961252245284602,-0.14814353807850394,-0.060810737094638634,589,0.1273344651952462,-0.11673404531136598,-0.11813973203467279,-0.07523665129420298,-0.062343412413425205,-0.05245034269127924,-0.1535931405678839,-0.06456634575886422,-0.13495256707061265,0.0023498804427746177,True,
