factor,h,cut,n,ic,lo,hi,pos
rv21,20,year_2026,6,0.21068718778729845,0.04864771729041911,0.34851370633260265,0.8333333333333334
rv21,20,regime_강세,297,0.1548761088929834,0.1308857532387309,0.17687547233374218,0.9225589225589226
rv21,20,regime_조정,56,0.11297799271108379,0.04450385497407822,0.15498875622686192,0.875
rv21,20,regime_반등,48,0.16715042089885682,0.1263122514208445,0.2263237753886316,0.9791666666666666
rv21,20,regime_약세,228,0.16572233897958724,0.12858478315640912,0.21533275180674658,0.8552631578947368
rv21,20,mkt_KOSPI,30,0.14062431382723697,0.0855357626727249,0.19855291485225848,0.7666666666666667
rv21,20,mkt_KOSDAQ,30,0.14437480182308063,0.10975325137725278,0.1839786028226562,0.9333333333333333
rv21,60,all_monthly,29,0.19552698139935848,0.1585898083924378,0.2391248396613492,0.9655172413793104
rv21,60,all_daily_block5,589,0.1896478110473298,0.16906600796467483,0.2070495447980307,0.9524617996604414
rv21,60,year_2024,12,0.19159902214933952,0.1462577774688398,0.23301928117848428,1.0
rv21,60,year_2025,12,0.16567931961797852,0.11021999466885112,0.22293376544504026,0.9166666666666666
rv21,60,year_2026,5,0.2765884718747159,0.13824007568937446,0.39658532630819365,1.0
rv21,60,regime_강세,297,0.16704431600449057,0.14110764055107453,0.18995095105684065,0.9629629629629629
rv21,60,regime_조정,56,0.212207098279477,0.15759405570432108,0.25019097850905136,0.9642857142857143
rv21,60,regime_반등,48,0.2279576475137709,0.20339846621294366,0.25720558581608133,1.0
rv21,60,regime_약세,188,0.20885550143208417,0.16968597569659452,0.24334188836649565,0.9202127659574468
rv21,60,mkt_KOSPI,29,0.13136795116874952,0.0792464068761157,0.18886858672794976,0.8275862068965517
rv21,60,mkt_KOSDAQ,29,0.1679381674472894,0.14158323087550145,0.19868204488575825,0.9310344827586207
to20,5,all_monthly,31,0.10454847620467021,0.057274580051257795,0.15205326275934766,0.8387096774193549
to20,5,all_daily_block5,644,0.11455372699318984,0.09614018409019966,0.13466467743327895,0.8307453416149069
to20,5,year_2024,12,0.08421427298173123,0.03304586222423604,0.13772135096429186,0.8333333333333334
to20,5,year_2025,12,0.15695316138797394,0.0789986513378865,0.23558525802938834,0.9166666666666666
to20,5,year_2026,7,0.04957050712975925,-0.0665812926735732,0.14873843284331612,0.7142857142857143
to20,5,regime_강세,297,0.10749636990876583,0.09044231862212325,0.13112138478448396,0.8653198653198653
to20,5,regime_조정,56,0.13478100048699987,0.06070640560507259,0.1936416207389683,0.8571428571428571
