basket,k,cut,cost_rt,n,ret_per20d,lo,hi,excess_per20d,ew_per20d,win
조용함top20,60,강세,0.0,297,0.0054556693864898816,-0.0007336083819315184,0.015305081630826205,-0.0011247363662981364,0.006580405752788019,0.7138047138047138
조용함top20,60,강세,0.005,297,0.003789002719823215,-0.0024002750485981835,0.013638414964159542,-0.0011247363662981364,0.006580405752788019,0.7138047138047138
조용함top20,60,강세,0.008,297,0.0027890027198232146,-0.003400275048598184,0.012638414964159541,-0.0011247363662981364,0.006580405752788019,0.7138047138047138
조용함top20,60,조정,0.0,56,0.003944468801040389,-0.009197072423995006,0.020803204575418333,0.00857809277271127,-0.004633623971670883,0.7142857142857143
조용함top20,60,조정,0.005,56,0.002277802134373724,-0.010863739090661668,0.019136537908751666,0.00857809277271127,-0.004633623971670883,0.7142857142857143
조용함top20,60,조정,0.008,56,0.001277802134373724,-0.011863739090661669,0.018136537908751665,0.00857809277271127,-0.004633623971670883,0.7142857142857143
조용함top20,60,반등,0.0,48,0.004597638314804271,-0.0010060756846687864,0.009756263435250736,0.01684586133985456,-0.012248223025050289,0.6666666666666666
조용함top20,60,반등,0.005,48,0.0029309716481376036,-0.0026727423513354526,0.008089596768584069,0.01684586133985456,-0.012248223025050289,0.6666666666666666
조용함top20,60,반등,0.008,48,0.0019309716481376038,-0.003672742351335453,0.007089596768584069,0.01684586133985456,-0.012248223025050289,0.6666666666666666
조용함top20,60,약세,0.0,188,0.00868734939647155,-0.0007521830285005328,0.0159686411814442,0.013125756243498484,-0.004438406847026935,0.5904255319148937
조용함top20,60,약세,0.005,188,0.0070206827298048835,-0.0024188496951671997,0.014301974514777533,0.013125756243498484,-0.004438406847026935,0.5904255319148937
조용함top20,60,약세,0.008,188,0.0060206827298048835,-0.0034188496951671997,0.013301974514777534,0.013125756243498484,-0.004438406847026935,0.5904255319148937
과매도프록시top20(RSI최저),1,전체,0.0,648,-0.0056154362486851685,-0.039372804908109765,0.02770312454244636,-0.005434783922994487,-0.00018065232569068973,0.470679012345679
과매도프록시top20(RSI최저),1,전체,0.005,648,-0.10561543624868515,-0.13937280490810974,-0.07229687545755363,-0.005434783922994487,-0.00018065232569068973,0.470679012345679
