rcept_no,rcept_dt,ticker,corp_name,market,event_type,report_nm,corr,ext,trust,cancel,sub,dt,t,j,ok_t,ex5,raw5,exm5,ex20,raw20,exm20,ex60,raw60,exm60,pre20,react,year,regime,size_q,quiet_q,rsi
20251024000497,20251024,042520,한스바이오메드,K,buyback_sell,주요사항보고서(자기주식처분결정),False,False,False,False,buyback_sell,2025-10-24,566,893,True,-0.24872557072267631,-0.27477477477477474,-0.26490518902017046,0.13617225472895578,0.052552552552552534,0.12678422062770517,-0.23866449561840886,-0.26726726726726724,-0.32580828201671996,1.128521856333795,-0.02474314816450285,2025,강세,대,하위50,77.624506966912
20251215000414,20251215,042520,한스바이오메드,K,buyback_sell,주요사항보고서(자기주식처분결정),False,False,False,False,buyback_sell,2025-12-15,602,893,True,-0.08428027418126427,-0.08923076923076922,-0.09116095611820647,-0.2678587196467992,-0.28,-0.3126213359635859,0.6785031185031185,0.7138461538461538,0.5530049409135726,-0.09071977417634569,-0.0034963833479374484,2025,강세,중,하위50,59.63080861903552
20251202000244,20251202,042520,한스바이오메드,K,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2025-12-02,593,893,True,0.1294319283765194,0.11623931623931627,0.11633613998279008,-0.0860443376068376,-0.10427350427350424,-0.1284141013519022,0.7113148034975291,0.7333333333333334,0.5959184912159489,0.041448758274259534,-0.009875094952836116,2025,강세,중,하위50,53.23597202096599
20260212000833,20260212,042600,새로닉스,K,buyback_sell,주요사항보고서(자기주식처분결정),False,False,False,False,buyback_sell,2026-02-12,642,894,True,0.03714045582398939,0.06478658536585358,0.018359891218647343,-0.03362713057554445,-0.09832317073170727,-0.08581173477798151,0.46232986143476673,0.38109756097560976,0.35668015082568894,-0.013953045587851376,-0.03492835901595026,2026,강세,중,50~80,54.657902333730064
20260304001541,20260304,042660,한화오션,Y,buyback,주요사항보고서(자기주식취득결정),False,False,False,False,buyback_direct,2026-03-04,652,895,True,0.10628909541953013,0.11957411957411956,0.08484734355512454,0.017732494796715015,-0.0229320229320229,-0.02146837356993682,0.06820673487340156,-0.049959049959049984,-0.01895600516050583,-0.12085887839009468,-0.060252790606360906,2026,강세,대,50~80,31.776783970781963
20230823000265,20230823,042660,한화오션,Y,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2023-08-23,41,895,True,0.07368596049274867,0.09412633674812931,0.0637435809495075,0.04379913483780429,0.00998747551302226,0.03005176147046007,-0.055445480018322224,-0.12649731847522394,-0.06433833628617552,-0.2064266656668745,-0.029884144058689333,2023,약세,대,50~80,27.849586361849035
20240614000410,20240614,042660,한화오션,Y,paid_in,주요사항보고서(유상증자결정),False,False,False,False,paid_in,2024-06-14,237,895,True,0.01147303904689767,-0.01538461538461533,0.00435452936025004,-0.04194186670756961,-0.0738461538461539,-0.056406125309337425,0.1058059528411287,-0.08615384615384614,0.07904891055110197,0.0012012449265602632,0.044682780206677264,2024,강세,대,50~80,57.726397702041716
20231017000039,20231017,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약체결결정),False,False,True,False,buyback_trust,2023-10-17,75,896,True,0.04931056543959761,0.017094017094017033,0.050768397331018664,0.07545186729977443,0.06495726495726495,0.07038693185763088,-0.053650284900284895,-0.03931623931623929,-0.09300516173939011,0.18400283877146173,-0.0011502103587515133,2023,약세,대,하위50,65.12920154326429
20240116000111,20240116,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약체결결정),False,False,True,False,buyback_trust,2024-01-16,137,896,True,0.12201236591083375,0.12977099236641232,0.10831553043787101,0.414012930980608,0.43893129770992356,0.39220112313684213,1.735804209914738,1.6774809160305342,1.69102411796031,-0.12181500760722763,-0.03262758205138361,2024,강세,대,하위50,30.965427977380102
20240417000353,20240417,042700,한미반도체,Y,buyback,주요사항보고서(자기주식취득신탁계약해지결정),False,False,True,False,buyback_trust,2024-04-17,199,896,True,-0.04277699859747541,-0.04277699859747541,-0.04393489246104814,-0.03265044440525833,-0.016830294530154277,-0.053487296063079934,0.15312804684119152,0.11781206171108005,0.11574990477518807,0.5133304385512629,-0.004555417512600579,2024,약세,대,하위50,66.03140816864385
