code,strategy,buy,sell,hold_td,ret,pnl_at_sell,rsi_sell,rsi_chg5,rs_vs_mkt,after5,after5_mkt,after5_exc,closed5,after10,after10_mkt,after10_exc,closed10,after20,after20_mkt,after20_exc,closed20,hold40_ret,hold40_closed,sell_vs_hold40,type
003690,스윙,08-12,08-20,5,0.9,1.5983321751216195,56.283210519736635,-2.3380533726800437,4.032059969002921,-0.8207934336525335,0.7830134758527674,-1.603806909505301,True,5.813953488372103,-1.515020397283906,7.328973885656009,True,-0.8207934336525335,0.2879879589815282,-1.1087813926340617,False,0.7644197359277349,False,0.8339124391938846,기타
272210,저변동,06-30,08-19,34,6.1,4.109589041095885,53.73842500171679,1.0811185790669242,5.151820345562985,-3.421052631578947,1.4801306399481406,-4.9011832715270875,True,-11.973684210526315,0.18143609153484785,-12.155120302061164,True,-9.473684210526311,1.432687000777877,-10.906371211304188,False,6.712328767123288,True,-2.602739726027403,기타
030200,저변동,07-31,08-14,10,3.1,2.8901734104046284,51.30071046461182,1.6278379950064732,-14.589267000883098,-1.6853932584269704,-5.658268356409235,3.9728750979822647,True,0.0,-1.9360805877448373,1.9360805877448373,True,1.6853932584269593,-3.2109673589239662,4.8963606173509255,False,4.6242774566473965,False,-1.7341040462427681,시장대비약세
114090,저변동,08-06,08-13,5,1.4,-0.537056928034374,41.83140173798343,2.0184573498239615,-6.621236046463375,-2.1598272138228958,-5.531599465518866,3.3717722516959703,True,3.7796976241900593,-0.8727627681043626,4.652460392294422,True,3.455723542116629,-2.196606177538507,5.652329719655135,False,2.9001074113855996,False,-3.4371643394199736,기타
037270,저변동,08-04,08-12,6,10.7,6.5769805680119475,57.70441775778472,4.339106820601181,-2.7073018780150235,-6.732117812061711,-2.433727793881302,-4.2983900181804096,True,-10.518934081346421,-1.6697707346201796,-8.849163346726241,True,-11.079943899018229,-2.152748677900529,-8.9271952211177,False,-5.231689088191327,False,11.808669656203275,기타
083650,저변동,06-30,08-12,30,0.9,3.4798534798534897,58.732504249913674,5.075680085221066,0.8959562036066293,6.017699115044239,-2.433727793881302,8.45142690892554,True,13.27433628318584,-1.6697707346201796,14.944107017806019,True,6.194690265486735,-2.152748677900529,8.347438943387264,False,17.216117216117222,True,-13.736263736263734,기타
006280,스윙,06-18,08-12,38,2.4,-0.8422664624808562,57.67079984356567,5.795292165921005,7.114858814873848,-3.1660231660231686,-2.433727793881302,-0.7322953721418668,True,-1.8532818532818518,-1.6697707346201796,-0.18351111866167225,True,-1.4671814671814665,-2.152748677900529,0.6855672107190625,False,-1.071975497702915,True,0.22970903522205877,기타
103590,저변동,06-30,08-12,30,0.9,-4.980340760157276,59.39164715302528,11.51472176786175,-7.564238036404136,-3.4482758620689613,-2.433727793881302,-1.0145480681876595,True,3.5862068965517135,-1.6697707346201796,5.255977631171893,True,-5.79310344827586,-2.152748677900529,-3.6403547703753314,False,-1.5727391874180818,True,-3.407601572739194,기타
017800,저변동,07-08,08-11,23,1.4,2.4531024531024626,50.694968301102506,3.196680524901481,-7.628519811721746,4.507042253521121,-3.1464546474078148,7.6534969009289355,True,6.478873239436611,-1.71289564676802,8.191768886204631,True,5.492957746478866,-1.7588464933487424,7.251804239827608,False,8.080808080808088,True,-5.627705627705626,기타
443060,저변동,07-09,08-11,22,1.6,5.652403592181732,50.31412906620893,9.364986695107184,-4.50719168096525,4.75000000000001,-3.1464546474078148,7.8964546474078245,True,10.250000000000004,-1.71289564676802,11.962895646768024,True,5.249999999999999,-1.7588464933487424,7.0088464933487415,False,11.19915478077127,False,-5.546751188589538,기타
