cut,key,metric,n,mean,lo,hi,pos
type_year,"('bonus', '2025')",exm60,32,-0.0739530675272993,-0.19669003726538314,0.052898429810530105,0.40625
type_year,"('bonus', '2026')",pre20,19,0.13533659241366688,0.010443026592465893,0.26411598007106063,0.631578947368421
type_year,"('bonus', '2026')",react,19,0.2033361974565281,0.14132969212519886,0.27766798855407065,1.0
type_year,"('bonus', '2026')",ex5,19,-0.13258693263900403,-0.2583433405158933,-0.018643097310347915,0.3157894736842105
type_year,"('bonus', '2026')",ex20,19,-0.07064877917838629,-0.2312583709134664,0.10270363049347178,0.3684210526315789
type_year,"('bonus', '2026')",ex60,11,-0.11983657101037642,-0.24272537685975243,0.011149560532468687,0.15789473684210525
type_year,"('bonus', '2026')",raw20,19,-0.1378937916178339,-0.29395105418899947,0.0314047382802554,0.2631578947368421
type_year,"('bonus', '2026')",exm20,19,-0.09712372806913021,-0.2540077687372132,0.06964583559344152,0.3157894736842105
type_year,"('bonus', '2026')",exm60,11,-0.1896477418560912,-0.3159802689540282,-0.052231602558327206,0.15789473684210525
type_year,"('buyback_direct', '2023')",pre20,23,-0.0036937240303813977,-0.047514367908883984,0.03607516199388436,0.4782608695652174
type_year,"('buyback_direct', '2023')",react,23,0.048187089796697814,0.030052739540581908,0.0704597607437005,0.9130434782608695
type_year,"('buyback_direct', '2023')",ex5,23,0.013101587785191738,-0.008090347850154849,0.03735162880362424,0.5652173913043478
type_year,"('buyback_direct', '2023')",ex20,23,0.02666413628813416,-0.00999230011857556,0.07345088044323489,0.5217391304347826
type_year,"('buyback_direct', '2023')",ex60,23,0.027376975060726026,-0.024186441414791923,0.07945164943061744,0.4782608695652174
type_year,"('buyback_direct', '2023')",raw20,23,0.022924535421006653,-0.021881985426787175,0.08081167823672843,0.5217391304347826
type_year,"('buyback_direct', '2023')",exm20,23,0.011548178352635255,-0.02559645836318097,0.05796502309134931,0.43478260869565216
type_year,"('buyback_direct', '2023')",exm60,23,-0.003211272726191893,-0.05552353916149889,0.049538222080391124,0.43478260869565216
type_year,"('buyback_direct', '2024')",pre20,123,0.02604376879259167,0.004879866325624732,0.048487096294922497,0.5528455284552846
type_year,"('buyback_direct', '2024')",react,123,0.05485702261058006,0.04245959427779036,0.06797329439205131,0.8617886178861789
type_year,"('buyback_direct', '2024')",ex5,123,0.018560613322542413,0.009397972172393588,0.0286070631233336,0.6504065040650406
type_year,"('buyback_direct', '2024')",ex20,123,0.04024649395876028,0.02173781318998023,0.05880327854664563,0.6422764227642277
type_year,"('buyback_direct', '2024')",ex60,123,0.0684706925792556,0.04056615569934504,0.09842467513971961,0.6422764227642277
type_year,"('buyback_direct', '2024')",raw20,123,0.008480068727695526,-0.010476703943662232,0.027514050446871025,0.4959349593495935
type_year,"('buyback_direct', '2024')",exm20,123,0.01946107199540226,0.0009919037300228166,0.03785296928280042,0.5853658536585366
type_year,"('buyback_direct', '2024')",exm60,123,0.026234566157764337,-0.0023439296449085647,0.05538019314602634,0.5528455284552846
type_year,"('buyback_direct', '2025')",pre20,109,0.008696297180404397,-0.012704448346568626,0.03752269235825965,0.5045871559633027
type_year,"('buyback_direct', '2025')",react,109,0.03894471443191974,0.028577494127124393,0.0494007484392602,0.7981651376146789
type_year,"('buyback_direct', '2025')",ex5,109,0.0040565106525844484,-0.004583621975348736,0.01146040240523523,0.47706422018348627
type_year,"('buyback_direct', '2025')",ex20,109,0.025791678432217042,0.007875350713913078,0.0452068321623585,0.5321100917431193
type_year,"('buyback_direct', '2025')",ex60,109,0.07513999387267542,0.028034384238972945,0.125725189311522,0.5688073394495413
type_year,"('buyback_direct', '2025')",raw20,109,0.016909683574164214,-0.0021652768520470417,0.03699947447811859,0.45871559633027525
type_year,"('buyback_direct', '2025')",exm20,109,0.001156630877735871,-0.016414950451109883,0.02066367413186607,0.3853211009174312
type_year,"('buyback_direct', '2025')",exm60,109,0.008485156893341488,-0.04052540565684725,0.05898637162283897,0.44954128440366975
type_year,"('buyback_direct', '2026')",pre20,100,0.05207593216791015,0.014000640648074896,0.09475698522145175,0.53
type_year,"('buyback_direct', '2026')",react,100,0.05222830865252539,0.03524479989120731,0.06945414637403148,0.75
type_year,"('buyback_direct', '2026')",ex5,98,0.009965276830298821,-0.008854589094828924,0.028045868119330453,0.59
type_year,"('buyback_direct', '2026')",ex20,89,0.03329097139198666,-0.0027426880255566593,0.07391894558018855,0.51
type_year,"('buyback_direct', '2026')",ex60,65,0.13574580742790382,0.0409802650511982,0.23777964324893477,0.41
type_year,"('buyback_direct', '2026')",raw20,89,-0.00894568227369836,-0.0439862933706476,0.031229132230187796,0.32
type_year,"('buyback_direct', '2026')",exm20,89,0.002575204772011368,-0.03203797123031961,0.04289881465109135,0.42
type_year,"('buyback_direct', '2026')",exm60,65,0.06555708815488802,-0.03018755343231803,0.1666958038575191,0.34
type_year,"('buyback_sell', '2023')",pre20,66,0.08311947682452774,0.02761100751490932,0.1562378022251954,0.6515151515151515
type_year,"('buyback_sell', '2023')",react,66,0.0009723303726272483,-0.010807931029131395,0.013375142714741555,0.3939393939393939
type_year,"('buyback_sell', '2023')",ex5,66,0.008212254782496244,-0.010881468397539906,0.02905162556680221,0.5303030303030303
type_year,"('buyback_sell', '2023')",ex20,66,0.00917514259802848,-0.020552816115250713,0.044193676652597456,0.4090909090909091
type_year,"('buyback_sell', '2023')",ex60,66,0.02090882273385637,-0.014707667633189961,0.05892288572109153,0.5757575757575758
type_year,"('buyback_sell', '2023')",raw20,66,-0.011477878735204535,-0.04090300075860794,0.024027212308618616,0.3181818181818182
type_year,"('buyback_sell', '2023')",exm20,66,-0.005879523788554824,-0.03600954983424639,0.029843573733786564,0.3939393939393939
