universe,base,label,h,regime,n,ic_base,diff,lo,hi,pos
전체,lv60+to20,+lv20,5,강세,297,0.12043801392007668,0.0002573860600552622,-0.0024691075695724304,0.0030487693601526232,0.5218855218855218
전체,lv60+to20,+lv20,5,조정,56,0.14714553866723987,-0.003231754117300083,-0.005600863582153877,0.0005924683844830434,0.48214285714285715
전체,lv60+to20,+lv20,5,반등,60,0.13059747063031005,0.0006911945086018037,-0.0023049046533484513,0.004569919904053965,0.5166666666666667
전체,lv60+to20,+lv20,5,약세,231,0.12130270210594608,0.0009895668427469255,-0.0022413298221862794,0.004482224142352008,0.5281385281385281
전체,lv60+to20,+rv21,5,전체,644,0.12401710050298191,0.00022037028381429152,-0.0017971212928816272,0.0020489112719684626,0.5248447204968945
전체,lv60+to20,+rv21,5,강세,297,0.12043801392007668,0.000251090961563391,-0.002354958821395263,0.0030013222968318064,0.5252525252525253
전체,lv60+to20,+rv21,5,조정,56,0.14714553866723987,-0.0029983545976580983,-0.005296331540428855,0.0010222828021224505,0.48214285714285715
전체,lv60+to20,+rv21,5,반등,60,0.13059747063031005,0.0006495181846735441,-0.0023872130597968706,0.004249273431175137,0.48333333333333334
전체,lv60+to20,+rv21,5,약세,231,0.12130270210594608,0.0008497022232922827,-0.0022656741217962607,0.004180670124267239,0.5454545454545454
전체,lv60+to20,+nh252,5,전체,644,0.12401710050298191,-0.005039880190258297,-0.012576795201820498,0.0020294145735977585,0.4767080745341615
전체,lv60+to20,+nh252,5,강세,297,0.12043801392007668,0.0049557957839558835,-0.0064976336044573505,0.01558925564984092,0.5252525252525253
전체,lv60+to20,+nh252,5,조정,56,0.14714553866723987,-0.007099684831641015,-0.02728090564697292,0.009316782926107409,0.5357142857142857
전체,lv60+to20,+nh252,5,반등,60,0.13059747063031005,0.0014375398842641006,-0.015172342753518914,0.014001187303369005,0.48333333333333334
전체,lv60+to20,+nh252,5,약세,231,0.12130270210594608,-0.0190745637785506,-0.032908054743476856,-0.004716487122636709,0.39826839826839827
전체,lv60+to20,+dlow252,5,전체,644,0.12401710050298191,-0.010754949727238275,-0.015704677088644547,-0.006138706925195644,0.37422360248447206
전체,lv60+to20,+dlow252,5,강세,297,0.12043801392007668,-0.016586212167517288,-0.02405299986858657,-0.010244681644113228,0.3063973063973064
전체,lv60+to20,+dlow252,5,조정,56,0.14714553866723987,-0.011867003383132698,-0.020988002309112602,0.00046349653338034405,0.35714285714285715
전체,lv60+to20,+dlow252,5,반등,60,0.13059747063031005,-0.01571573232113422,-0.024021761958838685,-0.007693766027552345,0.36666666666666664
전체,lv60+to20,+dlow252,5,약세,231,0.12130270210594608,-0.00169950857950359,-0.010874356947251725,0.007659296107035895,0.4675324675324675
전체,lv60+to20,+mom12_1,5,전체,644,0.12401710050298191,-0.002380815775058916,-0.009296721438085598,0.005047651932125589,0.39596273291925466
전체,lv60+to20,+mom12_1,5,강세,297,0.12043801392007668,0.0006796243493027068,-0.009223136462023343,0.010213399167810696,0.43097643097643096
전체,lv60+to20,+mom12_1,5,조정,56,0.14714553866723987,-0.0029253691127232575,-0.01934049249968215,0.012159310495661204,0.35714285714285715
전체,lv60+to20,+mom12_1,5,반등,60,0.13059747063031005,0.003580850318725617,-0.012505039072983335,0.020666872091090346,0.38333333333333336
전체,lv60+to20,+mom12_1,5,약세,231,0.12130270210594608,-0.0077321391328652855,-0.021221452753765607,0.005375204959473433,0.36363636363636365
전체,lv60+to20,+mom21,5,전체,644,0.12401710050298191,-0.021437407808404363,-0.028667622554348588,-0.01494867972022791,0.34316770186335405
전체,lv60+to20,+mom21,5,강세,297,0.12043801392007668,-0.011871305849444532,-0.020542381448588613,-0.0023584504279651137,0.4208754208754209
전체,lv60+to20,+mom21,5,조정,56,0.14714553866723987,-0.024920826682912574,-0.047477662331966236,-0.004351052650007492,0.23214285714285715
전체,lv60+to20,+mom21,5,반등,60,0.13059747063031005,-0.02381693377896223,-0.03857295098781337,-0.015913819903202002,0.23333333333333334
전체,lv60+to20,+mom21,5,약세,231,0.12130270210594608,-0.032274157880288076,-0.04502329663310716,-0.018085842000220672,0.2987012987012987
전체,lv60+to20,+mom63,5,전체,644,0.12401710050298191,-0.014140535578911487,-0.02205730768499684,-0.006262261426725402,0.43478260869565216
전체,lv60+to20,+mom63,5,강세,297,0.12043801392007668,-0.0010190387005073382,-0.012449062873467576,0.010674453347623174,0.5117845117845118
전체,lv60+to20,+mom63,5,조정,56,0.14714553866723987,-0.01808333082141492,-0.04470937207577272,0.00818573166074004,0.44642857142857145
전체,lv60+to20,+mom63,5,반등,60,0.13059747063031005,-0.005367780351574983,-0.023817019588247435,0.009995444665283178,0.48333333333333334
전체,lv60+to20,+mom63,5,약세,231,0.12130270210594608,-0.032333840137119416,-0.046401445523056396,-0.01799497030371913,0.3203463203463203
전체,lv60+to20,+ret5,5,전체,644,0.12401710050298191,-0.007705060920026542,-0.013824004899298345,-0.00100359732932896,0.40372670807453415
전체,lv60+to20,+ret5,5,강세,297,0.12043801392007668,-0.013598496655095422,-0.02095670571483527,-0.005742743060035801,0.3367003367003367
전체,lv60+to20,+ret5,5,조정,56,0.14714553866723987,-0.005070799216919634,-0.0175439677088589,0.007733730934604359,0.44642857142857145
전체,lv60+to20,+ret5,5,반등,60,0.13059747063031005,-0.006078694724888029,-0.01525738577380893,0.005920384745522836,0.45
전체,lv60+to20,+ret5,5,약세,231,0.12130270210594608,-0.001188828079190349,-0.012841847684499955,0.013518862717521035,0.4675324675324675
전체,lv60+to20,+upratio63,5,전체,644,0.12401710050298191,-0.006774024675072149,-0.013232606542241907,-0.0006492627447261642,0.468944099378882
전체,lv60+to20,+upratio63,5,강세,297,0.12043801392007668,0.0038737342306165478,-0.005771363985083995,0.013736879473889636,0.5488215488215489
전체,lv60+to20,+upratio63,5,조정,56,0.14714553866723987,-0.012287254338914755,-0.03155035793612016,0.009095735541506354,0.5
전체,lv60+to20,+upratio63,5,반등,60,0.13059747063031005,0.002048387054242304,-0.011910320360547743,0.012782960684996778,0.5166666666666667
전체,lv60+to20,+upratio63,5,약세,231,0.12130270210594608,-0.02141899540049736,-0.03043056400364135,-0.01170495229772323,0.3463203463203463
전체,lv60+to20,+on60,5,전체,644,0.12401710050298191,-0.00960722283363687,-0.013695484025984967,-0.005788442240322953,0.3447204968944099
전체,lv60+to20,+on60,5,강세,297,0.12043801392007668,-0.014719608003706823,-0.020143429157979766,-0.009433394036344321,0.26262626262626265
전체,lv60+to20,+on60,5,조정,56,0.14714553866723987,-0.01358108610094312,-0.02253759405588006,-0.003750632865949947,0.30357142857142855
전체,lv60+to20,+on60,5,반등,60,0.13059747063031005,-0.015962149975401154,-0.02411998681516276,-0.009577711919162263,0.18333333333333332
전체,lv60+to20,+on60,5,약세,231,0.12130270210594608,-0.00042016496789754894,-0.006572144805738815,0.005697420367233528,0.5021645021645021
전체,lv60+to20,cut:on60,5,전체,644,0.12401710050298191,-0.008955399914686813,-0.011995393130227511,-0.006313946790164878,0.358695652173913
전체,lv60+to20,cut:on60,5,강세,297,0.12043801392007668,-0.008517910992572273,-0.012191242107510155,-0.004737408279807256,0.3771043771043771
전체,lv60+to20,cut:on60,5,조정,56,0.14714553866723987,-0.005837202001272676,-0.011156976277156012,-0.00011571638176079229,0.3392857142857143
전체,lv60+to20,cut:on60,5,반등,60,0.13059747063031005,-0.008991549970648412,-0.015382691163885076,-0.0046427172835213195,0.3
전체,lv60+to20,cut:on60,5,약세,231,0.12130270210594608,-0.010264422813654406,-0.01533740100866185,-0.004185939511894735,0.354978354978355
전체,lv60+to20,+size,5,전체,644,0.12401710050298191,1.104253236503966e-05,-0.005729798362469161,0.0058209960634726865,0.5341614906832298
전체,lv60+to20,+size,5,강세,297,0.12043801392007668,0.007124568153572904,-0.0006424801096268155,0.014757055829248354,0.6026936026936027
전체,lv60+to20,+size,5,조정,56,0.14714553866723987,-0.001522862963583451,-0.021006354424874384,0.015197713474890058,0.5
전체,lv60+to20,+size,5,반등,60,0.13059747063031005,0.006657929043706909,-0.0003183131991310169,0.015126857700415537,0.7
전체,lv60+to20,+size,5,약세,231,0.12130270210594608,-0.01048952713173077,-0.01956469224236996,-0.001720608857383368,0.41125541125541126
전체,lv60+to20,+amt20,5,전체,644,0.12401710050298191,-0.018508241609949728,-0.024045726020444823,-0.014123370896548134,0.2732919254658385
전체,lv60+to20,+amt20,5,강세,297,0.12043801392007668,-0.026883821391697767,-0.03317586910309644,-0.0215010646767305,0.19865319865319866
전체,lv60+to20,+amt20,5,조정,56,0.14714553866723987,-0.022574341771477102,-0.03032744969187891,-0.011100372201675422,0.25
전체,lv60+to20,+amt20,5,반등,60,0.13059747063031005,-0.02557202274083194,-0.03396418422649304,-0.021711294004973392,0.11666666666666667
전체,lv60+to20,+amt20,5,약세,231,0.12130270210594608,-0.00491916943645348,-0.012807481072859067,0.0032047448687120665,0.4155844155844156
전체,lv60+to20,+max5_21,5,전체,644,0.12401710050298191,-0.0006033627072278518,-0.0029909141079626483,0.001643786405800547,0.4937888198757764
전체,lv60+to20,+max5_21,5,강세,297,0.12043801392007668,-0.0012419922782408274,-0.004583024200259224,0.0016559704246463579,0.48484848484848486
전체,lv60+to20,+max5_21,5,조정,56,0.14714553866723987,-0.0041387566804982874,-0.007785721252487084,0.000605412339143725,0.44642857142857145
전체,lv60+to20,+max5_21,5,반등,60,0.13059747063031005,0.0002492147742406605,-0.0038582648309347964,0.005093932538077333,0.48333333333333334
전체,lv60+to20,+max5_21,5,약세,231,0.12130270210594608,0.0008533489646591066,-0.003594779993628664,0.005369008869395704,0.5194805194805194
전체,lv60+to20,+bbw20,5,전체,644,0.12401710050298191,-0.003924183790242051,-0.0068946133705176296,-0.0013835891484773773,0.4332298136645963
전체,lv60+to20,+bbw20,5,강세,297,0.12043801392007668,-0.0036292784496731404,-0.007779407205511587,6.453629964354882e-05,0.42424242424242425
전체,lv60+to20,+bbw20,5,조정,56,0.14714553866723987,-0.006378721011258433,-0.012787819096996155,-0.00031223383676405234,0.3392857142857143
전체,lv60+to20,+bbw20,5,반등,60,0.13059747063031005,-0.006043971276497031,-0.012469813586992595,0.0003742874961242758,0.3333333333333333
전체,lv60+to20,+bbw20,5,약세,231,0.12130270210594608,-0.0031577143209639124,-0.007203812954074521,0.0016362275873416535,0.4935064935064935
전체,lv60+to20,+sma20gap,5,전체,644,0.12401710050298191,-0.023647360107063524,-0.03049937590613748,-0.017805315962551697,0.33229813664596275
