cagr,vol,sharpe,mdd,score,N,k,weight,cost
0.19329331539875505,0.15580062373506845,1.2406453245491567,-0.16654139163012316,조용함+nh252,20,20,equal,0.0
0.12047221219217419,0.15580062373506845,0.7732460198428439,-0.18196010077915503,조용함+nh252,20,20,equal,0.005
0.1942838884937832,0.158665559235,1.2244868352685714,-0.1926525197066673,조용함+nh252,20,20,rank,0.0
0.12140244457474969,0.15866555923499998,0.7651467978311551,-0.2003308938535323,조용함+nh252,20,20,rank,0.005
0.19087064542589927,0.14654836212667455,1.3024413419299297,-0.15430197418744684,조용함+nh252,20,20,invvol,0.0
0.11819721275096184,0.14654836212667455,0.8065406602688174,-0.16236486270459705,조용함+nh252,20,20,invvol,0.005
0.180201828896142,0.1576921149409624,1.1427447020011552,-0.18141161552958873,조용함+nh252,20,40,equal,0.0
0.14362453505143247,0.1576921149409624,0.9107908477554718,-0.18998386769564668,조용함+nh252,20,40,equal,0.005
0.18284304850693212,0.15849713323197423,1.1536047673450696,-0.20293958150027935,조용함+nh252,20,40,rank,0.0
0.14618419937171034,0.15849713323197423,0.9223144696109876,-0.20578089517455633,조용함+nh252,20,40,rank,0.005
0.17510813411515813,0.14929128890014365,1.1729293477550629,-0.1623713780945677,조용함+nh252,20,40,invvol,0.0
0.138688274742925,0.14929128890014365,0.9289776768937223,-0.16574352034730422,조용함+nh252,20,40,invvol,0.005
0.2134615333046881,0.16005070947781863,1.33371188419675,-0.1743540308169762,조용함+nh252,40,20,equal,0.0
0.13941423249655638,0.16005070947781863,0.8710628834536828,-0.19155510424385191,조용함+nh252,40,20,equal,0.005
0.2011963679345492,0.1562183217098329,1.2879178686112156,-0.16648622974549265,조용함+nh252,40,20,rank,0.0
0.12789481826874827,0.1562183217098329,0.8186928195676432,-0.18302970529046791,조용함+nh252,40,20,rank,0.005
0.19393948107337877,0.14969889534944408,1.2955304754965848,-0.1606365390122978,조용함+nh252,40,20,invvol,0.0
0.12107935640978296,0.14969889534944408,0.8088193044253655,-0.1781196748917796,조용함+nh252,40,20,invvol,0.005
0.19659869018193055,0.16257233719891254,1.209299771223598,-0.19142275758554883,조용함+nh252,40,40,equal,0.0
0.15951510178326345,0.16257233719891254,0.9811946148506897,-0.19989145846730605,조용함+nh252,40,40,equal,0.005
0.1889911444422694,0.15833323626503024,1.1936290124577609,-0.1799735685430487,조용함+nh252,40,40,rank,0.0
0.1521425016616429,0.15833323626503024,0.9609005995871592,-0.18856071905600402,조용함+nh252,40,40,rank,0.005
0.17564233479598812,0.15220769882628502,1.1539648529635094,-0.17169115061626428,조용함+nh252,40,40,invvol,0.0
0.1392059206841374,0.15220769882628502,0.9145787089456849,-0.18036385506818697,조용함+nh252,40,40,invvol,0.005
0.11273870614084802,0.14533237106887142,0.7757301784295694,-0.1790199132515573,조용함v2(to20+hl+volvol),10,20,equal,0.0
0.044815639985025246,0.14533237106887142,0.30836653703108996,-0.1957222120274288,조용함v2(to20+hl+volvol),10,20,equal,0.005
0.12757590309334255,0.14461754109705757,0.8821606433463156,-0.15312738108694035,조용함v2(to20+hl+volvol),10,20,rank,0.0
0.058750690908156766,0.14461754109705757,0.406248719639945,-0.16492759624867703,조용함v2(to20+hl+volvol),10,20,rank,0.005
0.10042624400147249,0.13991559161965192,0.7177630658523911,-0.16437477989990168,조용함v2(to20+hl+volvol),10,20,invvol,0.0
0.03325207324019286,0.13991559161965192,0.23765809696595974,-0.18137124357865908,조용함v2(to20+hl+volvol),10,20,invvol,0.005
0.1254373375809883,0.14964679960119778,0.8382226543786659,-0.19290290297641544,조용함v2(to20+hl+volvol),10,40,equal,0.0
0.09055102085177236,0.14964679960119778,0.6050982787008268,-0.2011562811156018,조용함v2(to20+hl+volvol),10,40,equal,0.005
0.13271416061173946,0.14652264487531652,0.9057587018352871,-0.17265187084720446,조용함v2(to20+hl+volvol),10,40,rank,0.0
0.09760322475960481,0.14652264487531652,0.666130650608036,-0.1811097570556114,조용함v2(to20+hl+volvol),10,40,rank,0.005
0.1073409406978365,0.14289677738328574,0.7511781767472658,-0.17616421178256825,조용함v2(to20+hl+volvol),10,40,invvol,0.0
0.07301353472601013,0.14289677738328574,0.5109529834264152,-0.1845865683447041,조용함v2(to20+hl+volvol),10,40,invvol,0.005
0.12513911622953544,0.15027246474058611,0.832748144815232,-0.20207255633068655,조용함v2(to20+hl+volvol),20,20,equal,0.0
0.056461838592697156,0.15027246474058611,0.37572976985615214,-0.2185070714518038,조용함v2(to20+hl+volvol),20,20,equal,0.005
0.11939049048114003,0.14560066291211116,0.8199858990560204,-0.18040131700620687,조용함v2(to20+hl+volvol),20,20,rank,0.0
0.05106294265960587,0.14560066291211116,0.3507054270105141,-0.19707592869223178,조용함v2(to20+hl+volvol),20,20,rank,0.005
0.11522971251444147,0.14189638975197652,0.8120693748153406,-0.18360365228846431,조용함v2(to20+hl+volvol),20,20,invvol,0.0
0.04715530175622429,0.14189638975197652,0.33232206850821194,-0.20041374149127122,조용함v2(to20+hl+volvol),20,20,invvol,0.005
0.12494909817756361,0.15232849822975583,0.8202608154719934,-0.21321434613565138,조용함v2(to20+hl+volvol),20,40,equal,0.0
0.09007779922478121,0.15232849822975583,0.5913391142930957,-0.22126261065759456,조용함v2(to20+hl+volvol),20,40,equal,0.005
