add,dIC,lo,hi,n,pos,ortho_ic,ortho_lo,ortho_hi,dTop20_exc_pp,dTop20_lo,dTop20_hi,dTop20_h40_pp,dTop20_h40_lo,dTop20_h40_hi,d_강세,d_조정,d_반등,d_약세
idio_share,-0.00798151138694479,-0.029008529226570087,0.010391919987887709,629,0.4419713831478537,0.029417239688587806,-0.016548789858485964,0.07151548440886038,0.6551104788350341,-0.578776523110211,1.4695514277117345,0.8983888925379112,-0.6504325519116317,3.0178272808925346,0.001952007109213376,-0.0009389037340894563,-0.015532211157905188,-0.021061368548842933
upvol20,-0.00836855016126608,-0.017333599170230116,-0.0008378869709679301,629,0.40063593004769477,0.024865417124774036,0.005269887522034133,0.039138042865140214,0.11052507319152034,-0.5430156350864358,0.48161308155784566,-0.10087880215975198,-0.9441834479508939,0.7992070901113507,-0.00973544135231795,-0.011174799125986486,-0.01533421824245731,-0.004432283960985695
skew60,-0.008763352116709807,-0.016127793453323817,-0.002018244887019961,629,0.3497615262321145,0.015140106396367047,-0.0015487313404587168,0.032508167257096134,0.4125888961036328,-0.030484404484627255,0.8451208248555122,0.485132280515846,-0.37492339591395274,1.3759006284507047,-0.007014191715497348,-0.007686991594734479,-0.003757456978822869,-0.012360105603592667
clv20,-0.010849593061741788,-0.01760307513964531,-0.0029417025456047424,629,0.40381558028616854,0.0170169800480299,0.0003410188449343883,0.037710029663673976,0.19085206987482095,-0.21995543487971925,0.5937238816419361,0.014795200802916492,-0.531754616224778,0.7784129076269727,-0.004012268687333282,-0.0037725449661696747,-0.005338505328006393,-0.022654559043192066
vol_spike5,-0.011026218288371463,-0.02156029238460697,-0.0026517735253148915,629,0.3497615262321145,0.03177832183548969,0.00902484877534603,0.04727347563086044,-0.0638674700114544,-0.7447853883915864,0.45179717823630033,-0.08143351760858984,-0.9139821841420219,1.1795266702441345,-0.02083790583089674,-0.010397397573309828,-0.010428235384943557,0.001474457416549673
lv_ratio,-0.011231415727538906,-0.020461920717091686,-0.0033868347756328605,629,0.35771065182829886,0.026915994036567227,0.0065728905648848954,0.043075018167219245,0.5471876636610769,0.044709521632973676,1.085812702052333,0.6265948994205408,-0.1238483757916073,1.7881479725679943,-0.016179465836459968,-0.014611401540135167,-0.009579265398463002,-0.004303578569384078
gap_abs20,-0.01169614182409002,-0.02095488569002568,-0.0035340391512415133,629,0.3799682034976153,0.003661102353280733,-0.02365445993611216,0.03614793252532278,0.13488413174399652,-0.1500330302732445,0.3948832920291173,0.08911701122020477,-0.33749688481042006,0.5626207396061148,-0.020908142268696524,-0.01049201993949483,-0.004727460948899424,-0.001459139085047687
rsi14,-0.014179093500739568,-0.028509805870437024,-0.003808751711529849,629,0.3640699523052464,0.016526482941664186,-0.01397834974222496,0.03980219662194532,-0.23143599768759046,-1.1013087764240064,0.23241647038788987,-0.9376237618456169,-1.8068378767197566,0.019649891038610482,-0.024877318191920825,-0.0161486922957948,-0.02518781106287485,0.0025581376781482396
sma60gap,-0.016075664936351968,-0.031141165346355984,-0.006146970305647633,629,0.3386327503974563,0.01481958239876601,-0.01942933632289573,0.036244775986304795,-0.3551462779914243,-1.599221449440987,0.3280770673379705,-1.0733792726514257,-2.1583983474541006,0.28490441903457664,-0.0263259624382482,-0.016837851263789207,-0.027645808715585352,-0.00010028031440955625
to_trend,-0.019218828557659395,-0.03350237257368022,-0.007680612149435063,629,0.3179650238473768,0.009099498236884081,-0.02414314665299844,0.03439974548022923,0.00037043481856083017,-0.7396488973702575,0.6763403690791245,-0.07688749662284812,-1.2981377211374814,1.583518727608501,-0.02662183359398754,-0.014383309783485078,-0.02207185948111563,-0.01016247360695063
vol_dry,-0.01922172798361598,-0.033502701975258085,-0.007677674473730259,629,0.3179650238473768,0.00908946250524426,-0.02414196503460443,0.034401272382752084,-0.0013690218227585581,-0.7402782325355809,0.675711033913801,-0.07688749662284812,-1.2981377211374814,1.583518727608501,-0.02662182637337572,-0.014383309783485078,-0.02207185948111563,-0.010170481867689244
sma120gap,-0.02466920395676376,-0.039332202749118805,-0.013025125716800978,629,0.2575516693163752,-0.010475421947691906,-0.04228795257436882,0.014545992080188709,-0.6896797338894814,-1.685217645996458,-0.08774746745208858,-1.8359982623083742,-2.718748559144375,-0.7798042819716213,-0.03484632090438534,-0.028758290888577724,-0.03430448424198695,-0.008379352836957175
beta60,-0.02703939215055427,-0.044259679602522625,-0.010807786492778856,629,0.2845786963434022,-0.01805344440310435,-0.06463725624102826,0.03692889160775697,0.13568894974822296,-0.1153768822385813,0.35675145342866,0.0621257413332495,-0.32014805608401464,0.508451791902781,-0.03533101758077126,-0.026563818878869272,-0.01761706156506995,-0.018338915038901463
