factor,decile,ex20,pos
on60,2,0.024125530790720714,0.6451612903225806
on60,3,0.02697209152916798,0.8064516129032258
on60,4,0.0239065681079804,0.8387096774193549
on60,5,0.028635232005759167,0.9354838709677419
on60,6,0.029345925558315597,0.967741935483871
on60,7,0.024850851110195495,0.8709677419354839
on60,8,0.030564378401300128,0.9354838709677419
on60,9,0.028713730907528604,0.9032258064516129
on60,10,0.01991142838714623,0.8064516129032258
size,1,0.009660453778682847,0.6451612903225806
size,2,0.014548071179940286,0.7096774193548387
size,3,0.015515112973589875,0.7096774193548387
size,4,0.02045601149697546,0.8064516129032258
size,5,0.02099477836170396,0.7096774193548387
size,6,0.023946968069327616,0.8709677419354839
size,7,0.024206680613074707,0.7419354838709677
size,8,0.032428508131972004,0.8709677419354839
size,9,0.03467081682955393,0.8709677419354839
size,10,0.04752365777022698,0.8387096774193549
amt20,1,0.02813827157018593,0.6451612903225806
amt20,2,0.021060827959766833,0.7096774193548387
amt20,3,0.02064556153410356,0.6774193548387096
amt20,4,0.024374365895689854,0.8387096774193549
amt20,5,0.021616583319431525,0.8709677419354839
amt20,6,0.02474872697441081,0.9032258064516129
amt20,7,0.02554313105800324,0.967741935483871
amt20,8,0.024494741436888998,0.9354838709677419
amt20,9,0.025076359970158064,0.9032258064516129
amt20,10,0.02831185852082211,0.9354838709677419
max5_21,1,-0.009348289580123143,0.3225806451612903
max5_21,2,0.011155040605063395,0.5806451612903226
max5_21,3,0.03028694363883111,0.7419354838709677
max5_21,4,0.027328740477490777,0.8387096774193549
max5_21,5,0.030506945902821513,0.8709677419354839
max5_21,6,0.02808407433943988,0.9032258064516129
max5_21,7,0.031152146388054063,0.967741935483871
max5_21,8,0.032470762371982875,0.967741935483871
max5_21,9,0.032020363855958175,0.9354838709677419
max5_21,10,0.030201476102405235,0.8387096774193549
bbw20,1,0.0009584246215572571,0.45161290322580644
bbw20,2,0.017264315866690392,0.6451612903225806
bbw20,3,0.024347187199372258,0.7741935483870968
bbw20,4,0.027558459608891292,0.7741935483870968
bbw20,5,0.023987898811771706,0.8064516129032258
bbw20,6,0.026030986963852813,0.8387096774193549
bbw20,7,0.0279089119067973,0.9032258064516129
bbw20,8,0.034259152655614925,0.9354838709677419
bbw20,9,0.0275261740094394,0.9032258064516129
bbw20,10,0.03408291396216378,0.8387096774193549
sma20gap,1,0.019353958474808218,0.6451612903225806
sma20gap,2,0.027860730705075994,0.8387096774193549
sma20gap,3,0.03143845519102311,0.9032258064516129
sma20gap,4,0.03115457678932228,0.9354838709677419
sma20gap,5,0.030059310878926736,0.967741935483871
sma20gap,6,0.026495683157290353,0.9032258064516129
sma20gap,7,0.02453798802487916,0.8387096774193549
sma20gap,8,0.024671391708204534,0.9354838709677419
sma20gap,9,0.024093759402649958,0.8387096774193549
sma20gap,10,0.004412460543087039,0.6129032258064516
rsi14,1,0.010229255897017434,0.6774193548387096
rsi14,2,0.023122159381072205,0.7741935483870968
rsi14,3,0.02059824309462877,0.7741935483870968
rsi14,4,0.02278564681758897,0.8709677419354839
rsi14,5,0.025748565776475673,0.9354838709677419
rsi14,6,0.0278201600984286,0.9032258064516129
rsi14,7,0.02608220490710422,0.9354838709677419
rsi14,8,0.029788778425344355,0.9354838709677419
rsi14,9,0.030741734601227866,0.9032258064516129
rsi14,10,0.027081058064477345,0.9032258064516129
dd52,1,0.01781300412864141,0.7419354838709677
dd52,2,0.01817019445547409,0.6774193548387096
dd52,3,0.026164900136512133,0.8064516129032258
dd52,4,0.02535879916854734,0.8387096774193549
dd52,5,0.022437042277998063,0.8709677419354839
dd52,6,0.022113253777081288,0.8064516129032258
dd52,7,0.026790108380045145,0.8709677419354839
dd52,8,0.028466040185264788,0.9032258064516129
dd52,9,0.032605567627345865,0.8709677419354839
dd52,10,0.024069811776630288,0.7741935483870968
