code,strategy,first_buy,closed_at,realized_pnl,qty,buy_avg,sell_avg,ret_pct,a,b,hold_td,mkt,lvb_top20,lvb_rank,lvb_n,exc_mkt,vs_top20,m
036570,저변동,07-31,08-06,11000,1,223500,234500,4.9,20260731,20260806,4,9.5931659464217,6.096517936451966,8.0,124.0,-4.693165946421699,-1.1965179364519658,08
017670,모멘텀,07-13,08-04,30000,3,85800,95800,11.7,20260713,20260804,15,0.18825941308848737,1.4260603996062864,21.0,150.0,11.511740586911511,10.273939600393714,08
003490,모멘텀b,07-22,08-04,600,1,25300,25900,2.4,20260722,20260804,9,3.112941698625038,5.089681984558022,29.0,130.0,-0.7129416986250381,-2.6896819845580224,08
257720,저변동,06-30,07-08,33250,7,31700,36450,15.0,20260630,20260708,6,-7.18470479516049,0.737500677804701,1.0,294.0,22.184704795160492,14.2624993221953,07
017800,스윙,06-26,07-03,3100,3,69600,70633,1.5,20260626,20260703,5,5.582500167931448,7.36862902813174,9.0,191.0,-4.082500167931448,-5.86862902813174,07
028050,스윙,06-26,07-03,54600,7,42000,49800,18.6,20260626,20260703,5,5.582500167931448,7.36862902813174,95.0,191.0,13.017499832068554,11.231370971868262,07
021240,스윙,06-26,07-03,28800,3,85300,94900,11.3,20260626,20260703,5,5.582500167931448,7.36862902813174,3.0,191.0,5.717499832068553,3.931370971868261,07
037270,스윙,06-26,07-03,13300,70,3115,3305,6.1,20260626,20260703,5,5.582500167931448,7.36862902813174,39.0,191.0,0.5174998320685518,-1.2686290281317403,07
007340,스윙,06-26,07-03,4800,6,36200,37000,2.2,20260626,20260703,5,5.582500167931448,7.36862902813174,46.0,191.0,-3.3825001679314477,-5.16862902813174,07
105840,스윙,06-26,07-02,10270,13,15560,16350,5.1,20260626,20260702,4,4.432722049005289,6.113599882405544,122.0,191.0,0.6672779509947109,-1.0135998824055443,07
267250,스윙,06-30,07-01,1400,1,198600,200000,0.7,20260630,20260701,1,2.512434359693305,3.1782872981158263,25.0,51.0,-1.8124343596933052,-2.478287298115826,07
031210,스윙,06-25,06-30,4250,5,40600,41450,2.1,20260625,20260630,3,2.317606165006292,2.5895808890743286,,,-0.2176061650062917,-0.4895808890743285,06
064350,스윙,06-26,06-30,10500,2,169350,174600,3.1,20260626,20260630,2,6.431512166958719,4.3325231315532085,68.0,191.0,-3.3315121669587193,-1.2325231315532084,06
071970,스윙,06-25,06-29,3600,6,58200,58800,1.0,20260625,20260629,2,3.401710585526807,4.274502635407913,56.0,187.0,-2.401710585526807,-3.274502635407913,06
004430,스윙,05-26,06-26,-20160,9,11770,9530,-19.0,20260526,20260626,22,-27.57605351723903,,,,8.576053517239028,,06
460860,스윙,06-16,06-26,-44040,36,9833,8610,-12.4,20260616,20260626,8,-17.829598737746245,-10.425100623162146,155.0,179.0,5.429598737746245,-1.974899376837854,06
263750,스윙,06-18,06-26,-23750,5,39250,34500,-12.1,20260618,20260626,6,-15.697443039555182,-11.489702614514812,126.0,336.0,3.5974430395551824,-0.6102973854851879,06
003720,스윙,06-23,06-26,-23320,44,7070,6540,-7.5,20260623,20260626,3,-5.330170723813588,-1.1099296335527313,,,-2.1698292761864124,-6.390070366447269,06
373220,스윙,06-25,06-26,-21500,1,362000,340500,-5.9,20260625,20260626,1,-3.8653082326773336,-2.1192319478223047,173.0,187.0,-2.0346917673226668,-3.7807680521776956,06
095340,스윙,06-18,06-25,2600,4,191550,192200,0.3,20260618,20260625,5,-12.30787199642297,-8.718191623668814,202.0,336.0,12.60787199642297,9.018191623668814,06
007660,스윙,06-23,06-25,15600,4,112000,115900,3.5,20260623,20260625,2,-1.5237605324430636,1.102289155965196,76.0,179.0,5.023760532443063,2.397710844034804,06
099320,스윙,06-25,06-25,-17500,4,88575,84200,-4.9,20260625,20260625,0,,0.0,,,,-4.9,06
460930,스윙,05-29,06-23,-45240,12,16460,12690,-22.9,20260529,20260623,16,-17.099525195846788,,,,-5.800474804153211,,06
272550,스윙,05-18,06-23,-38600,20,10160,8230,-19.0,20260518,20260623,24,-21.94331312010498,,,,2.9433131201049783,,06
004980,스윙,05-19,06-23,-47547,27,9611,7850,-18.3,20260519,20260623,23,-20.481345192130373,,,,2.1813451921303724,,06
249420,스윙,05-18,06-23,-57800,13,21577,17131,-20.6,20260518,20260623,24,-21.94331312010498,,,,1.3433131201049768,,06
000390,스윙,05-22,06-23,-21450,13,7700,6050,-21.4,20260522,20260623,20,-23.540231040420025,,,,2.1402310404200264,,06
042370,스윙,06-01,06-23,-58820,17,13140,9680,-26.3,20260601,20260623,15,-14.745628045944613,,,,-11.554371954055387,,06
199820,스윙,05-26,06-18,-28050,9,13097,9980,-23.8,20260526,20260618,16,-14.090450996945858,,,,-9.709549003054143,,06
052690,스윙,05-18,06-18,6100,2,139350,142400,2.2,20260518,20260618,21,-12.344138929835236,,,,14.544138929835235,,06
011930,스윙,05-21,06-18,-22600,7,27300,24071,-11.8,20260521,20260618,18,-11.035384292986928,,,,-0.764615707013073,,06
025860,스윙,05-27,06-18,-30510,27,7450,6320,-15.2,20260527,20260618,15,-10.843833359983012,,,,-4.356166640016987,,06
005880,스윙,06-10,06-18,18444,106,1901,2075,9.2,20260610,20260618,6,3.954060561660633,2.0446293782200113,,,5.2459394383393665,7.155370621779988,06
015760,스윙,06-05,06-16,14700,6,38050,40500,6.4,20260605,20260616,7,2.3749090132745287,,,,4.025090986725472,,06
004310,스윙,05-18,06-16,6480,27,7320,7560,3.3,20260518,20260616,19,-10.069646645635455,,,,13.369646645635456,,06
389650,스윙,05-29,06-05,27250,5,44450,49900,12.3,20260529,20260605,4,-6.704719385443458,,,,19.004719385443458,,06
103140,스윙,05-18,05-27,600,3,85600,85800,0.2,20260518,20260527,6,-1.6827838459115951,,,,1.882783845911595,,05
