variant,kind,h,n,ic_var,ic_base,diff,lo,hi,pos
+px_ret5,add,20,38,0.15764674478605734,0.17365289250370766,-0.01600614771765035,-0.058446102401641845,0.018618182985293143,0.4473684210526316
+px_ret5,replace_roe,5,47,0.0786101405782948,0.10877507234083542,-0.03016493176254064,-0.08144045298417461,0.033636672319604335,0.3829787234042553
+px_ret5,replace_roe,10,44,0.14273354991668016,0.15377609048432683,-0.011042540567646654,-0.07531488022063225,0.03888203565506822,0.4772727272727273
+px_ret5,replace_roe,20,38,0.1597065882451342,0.17365289250370766,-0.013946304258573483,-0.07609502628706682,0.03612321538333717,0.5526315789473685
-px_ret5,add,5,47,0.09695274275833153,0.10877507234083542,-0.01182232958250391,-0.05019508509293624,0.020867608936979302,0.5106382978723404
-px_ret5,add,10,44,0.11506891197368296,0.15377609048432683,-0.03870717851064387,-0.08434023238326596,0.010680998465435469,0.3181818181818182
-px_ret5,add,20,38,0.12750751620267778,0.17365289250370766,-0.04614537630102989,-0.10174266504470855,0.007083388736857337,0.3684210526315789
-px_ret5,replace_roe,5,47,0.08992461360852103,0.10877507234083542,-0.018850458732314376,-0.06978523158957892,0.0208254567286758,0.46808510638297873
-px_ret5,replace_roe,10,44,0.10481382818287469,0.15377609048432683,-0.04896226230145215,-0.1021873337940383,0.018717116132877226,0.3409090909090909
-px_ret5,replace_roe,20,38,0.12134772773103829,0.17365289250370766,-0.05230516477266939,-0.12067200090870356,0.016575599919545766,0.4473684210526316
+px_upratio63,add,5,47,0.05699029292995133,0.10877507234083542,-0.051784779410884114,-0.10143604969042844,-0.016192935648796633,0.2553191489361702
+px_upratio63,add,10,44,0.0897623148045907,0.15377609048432683,-0.06401377567973614,-0.12419018357963377,-0.026009891458330214,0.25
+px_upratio63,add,20,38,0.09533506394975755,0.17365289250370766,-0.07831782855395013,-0.1135620344005544,-0.041758306589442726,0.15789473684210525
+px_upratio63,replace_roe,5,47,0.03338260150100933,0.10877507234083542,-0.0753924708398261,-0.12810561829549685,-0.03895347679323983,0.1702127659574468
+px_upratio63,replace_roe,10,44,0.06822653428044326,0.15377609048432683,-0.08554955620388356,-0.14271220745333205,-0.05367893685797779,0.18181818181818182
+px_upratio63,replace_roe,20,38,0.08220986909643963,0.17365289250370766,-0.09144302340726804,-0.1301185251058909,-0.05296239479221037,0.15789473684210525
-px_upratio63,add,5,47,0.1255910543267678,0.10877507234083542,0.016815981985932333,0.0019265014060576063,0.03662229373915206,0.6170212765957447
-px_upratio63,add,10,44,0.16691149391674265,0.15377609048432683,0.013135403432415765,-0.0024852060846105232,0.04918688421750513,0.6590909090909091
-px_upratio63,add,20,38,0.19505737817343421,0.17365289250370766,0.021404485669726504,-0.007472386308675707,0.06216083433751199,0.6052631578947368
-px_upratio63,replace_roe,5,47,0.11248010671119821,0.10877507234083542,0.0037050343703627824,-0.022267545874484148,0.036887613436860894,0.44680851063829785
-px_upratio63,replace_roe,10,44,0.16950168011596767,0.15377609048432683,0.015725589631640845,-0.01922194737708355,0.06640354430082406,0.5454545454545454
-px_upratio63,replace_roe,20,38,0.20458817070819377,0.17365289250370766,0.03093527820448606,-0.012531875403555177,0.08907654549906767,0.6052631578947368
+px_on60,add,5,47,0.05395220240807429,0.10877507234083542,-0.054822869932761135,-0.1129360959913731,-0.011790659864040622,0.3617021276595745
+px_on60,add,10,44,0.08559143991837716,0.15377609048432683,-0.0681846505659497,-0.14638400164089488,-0.01607531259950266,0.29545454545454547
+px_on60,add,20,38,0.0771217028145382,0.17365289250370766,-0.09653118968916947,-0.16223122232583473,-0.0293552398903979,0.2631578947368421
+px_on60,replace_roe,5,47,0.034490939122489045,0.10877507234083542,-0.0742841332183464,-0.13793656229163206,-0.02926155144390881,0.2553191489361702
+px_on60,replace_roe,10,44,0.06551897908454499,0.15377609048432683,-0.08825711139978183,-0.17378082006735873,-0.029294117138666396,0.20454545454545456
+px_on60,replace_roe,20,38,0.05796142826004482,0.17365289250370766,-0.11569146424366288,-0.198192834492603,-0.03100018903151635,0.2631578947368421
-px_on60,add,5,47,0.12040644947453354,0.10877507234083542,0.01163137713369808,-0.01371659935726445,0.04315082218340205,0.5531914893617021
-px_on60,add,10,44,0.1708706838015025,0.15377609048432683,0.01709459331717566,0.0013433272462310918,0.044847410800693474,0.6363636363636364
-px_on60,add,20,38,0.20738353571931553,0.17365289250370766,0.03373064321560787,0.01912399107424069,0.053242694383557096,0.7631578947368421
-px_on60,replace_roe,5,47,0.11535287277394896,0.10877507234083542,0.006577800433113535,-0.032436031432810604,0.050452063300452904,0.48936170212765956
-px_on60,replace_roe,10,44,0.1677390420667638,0.15377609048432683,0.013962951582436971,-0.011447655200551549,0.057375093278080554,0.5681818181818182
-px_on60,replace_roe,20,38,0.22193653415549844,0.17365289250370766,0.04828364165179074,0.04010233888357588,0.06323915941266647,0.868421052631579
+px_size,add,5,47,0.07315347356996654,0.10877507234083542,-0.03562159877086887,-0.08502719280911404,0.007651424218969092,0.3191489361702128
+px_size,add,10,44,0.08484818975109612,0.15377609048432683,-0.06892790073323073,-0.12306102963474734,-0.020421909800523157,0.25
+px_size,add,20,38,0.09100793338111539,0.17365289250370766,-0.08264495912259227,-0.13991680646883078,-0.024743498234668624,0.2631578947368421
+px_size,replace_roe,5,47,0.06771313546084252,0.10877507234083542,-0.041061936879992884,-0.09111235818727038,0.0044906156776822635,0.23404255319148937
+px_size,replace_roe,10,44,0.07670707948152436,0.15377609048432683,-0.07706901100280246,-0.13216901698671601,-0.028127901031924793,0.22727272727272727
