combo,k,train_ic20,test_ic20,test_lo20,test_n20,test_regmin20,test_reg20,test_top50_ex20,train_ic60,test_ic60,test_lo60,test_n60,test_regmin60,test_reg60
to20+max5_21+bbw20,3,0.17877822071085453,0.1459534068440164,0.10530834785691053,267,0.08340043761024302,+0.13/+0.08/+nan/+0.22,0.03458822299008716,0.21897601088826024,0.19240553826626974,0.15633164921880105,227,0.1593343184603568,+0.16/+0.24/+nan/+0.36
to20+max5_21+volvol20,3,0.17557993241538306,0.15265794416527098,0.11908820752233902,267,0.09874515210090053,+0.15/+0.10/+nan/+0.19,0.035138526695333315,0.21010519180610215,0.20726376633824065,0.1774878529866015,227,0.18106796754566654,+0.18/+0.26/+nan/+0.33
to20+max5_21+skew60,3,0.17691916849984227,0.13879926528923978,0.10566568556082932,267,0.08123983634593482,+0.13/+0.08/+nan/+0.18,0.03395214533429259,0.2142864694388864,0.19097970779046006,0.15847633931681238,227,0.16263835127323392,+0.16/+0.24/+nan/+0.33
to20+max5_21+size,3,0.17966901378809957,0.16599701709270112,0.12841819012835376,267,0.10184208050351323,+0.17/+0.10/+nan/+0.19,0.04306682231252772,0.22386260495754412,0.2425144334856441,0.21494018854475358,227,0.21628790337477377,+0.22/+0.30/+nan/+0.36
to20+max5_21+dlow252,3,0.16997128775694276,0.12568344455790034,0.08706679429599032,267,0.04403910013082727,+0.11/+0.04/+nan/+0.22,0.03243369619311634,0.1996038042722741,0.14647480813978075,0.10429114040239383,227,0.11464146085429808,+0.11/+0.19/+nan/+0.32
to20+max5_21+beta60,3,0.18306179620054183,0.10336421699892734,0.053512572754551194,267,0.01008114652768917,+0.09/+0.01/+nan/+0.19,0.028473802569040484,0.21938916390131036,0.13895298646474283,0.08545669813049725,227,0.10134456849294869,+0.10/+0.18/+nan/+0.35
to20+downvol60+bbw20,3,0.1811550562976262,0.1512889200203705,0.10814996677259008,267,0.08639136565020973,+0.14/+0.09/+nan/+0.22,0.03278558786863466,0.22781028329885822,0.21496361450107135,0.17379323727037216,227,0.181339727134219,+0.18/+0.26/+nan/+0.39
to20+downvol60+volvol20,3,0.1848385039952757,0.1682055933732113,0.13002500189731678,267,0.10979294393092509,+0.16/+0.11/+nan/+0.21,0.03202923589021233,0.22797757990955222,0.24202239956581412,0.20830958230370347,227,0.2121663278017654,+0.21/+0.29/+nan/+0.39
to20+downvol60+skew60,3,0.18744843408466436,0.15387719470919484,0.11565441651031301,267,0.08930366115837139,+0.15/+0.09/+nan/+0.20,0.03194191717834944,0.23439590545115752,0.2248231457001123,0.18837234516991264,227,0.19359154557385522,+0.19/+0.27/+nan/+0.38
to20+downvol60+size,3,0.17783551310906218,0.17574668135572566,0.13415863799929412,267,0.10744605225514156,+0.18/+0.11/+nan/+0.20,0.03804538777726302,0.2291457629264109,0.2719550875105173,0.24033334542980914,227,0.24271160404933034,+0.24/+0.33/+nan/+0.40
to20+downvol60+dlow252,3,0.1728731198401734,0.13012122240143156,0.08703631657727155,267,0.04203381037729949,+0.11/+0.04/+nan/+0.23,0.03158904156944055,0.2097639892399156,0.16408191642844872,0.11515237289510824,227,0.12987245876367826,+0.13/+0.20/+nan/+0.35
to20+downvol60+beta60,3,0.17230773947318986,0.1023804708695238,0.04891886629552931,267,0.0036164914526585325,+0.09/+0.00/+nan/+0.19,0.02575028618806712,0.2151927022853577,0.14899546827007978,0.09642349494849292,227,0.11112713272219023,+0.11/+0.19/+nan/+0.37
to20+bbw20+volvol20,3,0.1735334935123588,0.15729074729513906,0.12357603894364465,267,0.11342304084422017,+0.15/+0.11/+nan/+0.20,0.040341777562146325,0.2153533043463452,0.21863449451218334,0.1903836660011166,227,0.19066379238784595,+0.19/+0.27/+nan/+0.35
to20+bbw20+skew60,3,0.17556806868472452,0.14361373489718138,0.10893718307843052,267,0.09578012167554176,+0.14/+0.10/+nan/+0.19,0.03601955456919898,0.22103629044973339,0.2037613147929648,0.1733745018719277,227,0.17388789429923676,+0.17/+0.26/+nan/+0.35
to20+bbw20+size,3,0.17600345032034037,0.16579450488012115,0.12935996957907628,267,0.11375639878255574,+0.17/+0.11/+nan/+0.18,0.04351315560611764,0.227052909006876,0.2519258178258399,0.22586848693193717,227,0.22562247144758493,+0.23/+0.31/+nan/+0.36
to20+bbw20+dlow252,3,0.1657262557397662,0.129504219239611,0.0889968543972247,267,0.05743267331108901,+0.10/+0.06/+nan/+0.23,0.030974647331828194,0.20233504312948242,0.1542654764072058,0.1115908066011538,227,0.11960199993398091,+0.12/+0.20/+nan/+0.34
to20+bbw20+beta60,3,0.17621700609888996,0.1036508599947745,0.05321969032588186,267,0.0222118388428359,+0.09/+0.02/+nan/+0.19,0.030987216490336117,0.21946221791401438,0.14622388995161867,0.0963202390783657,227,0.10668151496488935,+0.11/+0.20/+nan/+0.37
to20+volvol20+skew60,3,0.1671966079329309,0.14805225680317458,0.12046267059989876,267,0.11051917518201654,+0.15/+0.11/+nan/+0.16,0.038937894154618215,0.20521692398561792,0.2143680311169084,0.19119981753742804,227,0.19109011966785602,+0.19/+0.26/+nan/+0.32
to20+volvol20+size,3,0.15902775912210224,0.16006748511543759,0.13098773770911698,267,0.11823195408482808,+0.17/+0.12/+nan/+0.15,0.052141042996815566,0.19973001681801147,0.24315956873665748,0.22307373012625292,227,0.22562468778714642,+0.23/+0.29/+nan/+0.30
to20+volvol20+dlow252,3,0.16706790900419916,0.14498820768981213,0.11252731276269767,267,0.08024469094804809,+0.13/+0.08/+nan/+0.22,0.03215767842912816,0.1980431436507885,0.180243637660676,0.14434575271337738,227,0.15177278457623852,+0.15/+0.22/+nan/+0.32
to20+volvol20+beta60,3,0.175815735092958,0.1204081869995443,0.0771732573529861,267,0.0453408274005638,+0.11/+0.05/+nan/+0.19,0.031656160442050975,0.21390088839273097,0.17322484139557687,0.13088275412643544,227,0.13792672721023422,+0.14/+0.23/+nan/+0.36
to20+skew60+size,3,0.1657272840100745,0.15397123782246575,0.1231329150771795,267,0.107735108999206,+0.17/+0.11/+nan/+0.15,0.04243629334061807,0.2122058133372772,0.24173381973183425,0.2224015602707034,227,0.22065382179932078,+0.22/+0.30/+nan/+0.32
to20+skew60+dlow252,3,0.16063521809333003,0.12381655709857911,0.09200628625716181,267,0.05555555708137281,+0.11/+0.06/+nan/+0.20,0.029122828073992926,0.1939034904349917,0.1536781815576946,0.11658724254050455,227,0.12410683430429682,+0.12/+0.19/+nan/+0.31
to20+skew60+beta60,3,0.17489915658288352,0.09739411057233414,0.051627292943595096,267,0.0162036482018982,+0.09/+0.02/+nan/+0.17,0.029671068150084648,0.21609412206788578,0.14508363705007646,0.09866848811150075,227,0.10906929252236558,+0.11/+0.19/+nan/+0.35
to20+size+dlow252,3,0.16911107542446122,0.15870252758348014,0.12198304335652059,267,0.08221322705068244,+0.15/+0.08/+nan/+0.21,0.03380283644639194,0.21031481442722483,0.21739555847243464,0.18233170508841068,227,0.18861804107562344,+0.19/+0.27/+nan/+0.35
to20+size+beta60,3,0.16708015585307615,0.12300183683390507,0.077122302820719,267,0.03690740876862855,+0.12/+0.04/+nan/+0.17,0.033647026085451906,0.21398504899340529,0.19835488286931777,0.15999432933935448,227,0.16414677907605277,+0.16/+0.26/+nan/+0.37
to20+dlow252+beta60,3,0.1645060434145486,0.0744260663630287,0.02293119382514003,267,-0.034350840453702236,+0.05/-0.03/+nan/+0.20,0.02864817960557721,0.19716992600833758,0.08296149188131867,0.026549266123058968,227,0.04400872902235286,+0.04/+0.12/+nan/+0.31
lv20+max5_21+downvol60,3,0.17809036793217495,0.1347045606796849,0.09377083977532691,267,0.057682515905498555,+0.12/+0.06/+nan/+0.20,0.026024844161075075,0.21354289094164752,0.17699696065972198,0.13658285652150592,227,0.14861542441948278,+0.15/+0.21/+nan/+0.34
lv20+max5_21+bbw20,3,0.16763863258305348,0.1291096890979535,0.09025871884017353,267,0.06471306461818792,+0.11/+0.06/+nan/+0.20,0.029382410257503884,0.2024985142208099,0.16157820230016087,0.12365170793952855,227,0.13273945477706242,+0.13/+0.20/+nan/+0.32
lv20+max5_21+volvol20,3,0.17086208876759393,0.1398816459755963,0.10680813691720448,267,0.08034895647006873,+0.14/+0.08/+nan/+0.18,0.03133825698699519,0.20181131346402956,0.18229959996190231,0.15170868751786146,227,0.15871877778769805,+0.16/+0.22/+nan/+0.30
lv20+max5_21+skew60,3,0.16959329752845181,0.12452866440106945,0.09184515135391909,267,0.06414316568149526,+0.12/+0.06/+nan/+0.17,0.030848693455513162,0.2026812191128934,0.1626543502122163,0.12987130403586208,227,0.1372824352737681,+0.14/+0.20/+nan/+0.30
lv20+max5_21+size,3,0.17917985736720035,0.15685068913758513,0.11924607117898733,267,0.08365595997252172,+0.16/+0.08/+nan/+0.18,0.03831465351992699,0.22036206306240055,0.22038071705174794,0.19115488723284657,227,0.19578398171530237,+0.20/+0.27/+nan/+0.33
lv20+max5_21+dlow252,3,0.16024632494811653,0.10806812627948006,0.06938934028963677,267,0.026758073348301784,+0.09/+0.03/+nan/+0.19,0.024814004041824142,0.1859709110610698,0.11622145702480327,0.07504640475006477,227,0.08932730027742612,+0.09/+0.14/+nan/+0.27
