factor,universe,h,hyp,first_anchor,n_week,ic,lo,hi,pos,n_daily
fl_trust20n,조용함상위30%,10,1,20260529,11,0.01668896059180296,-0.029360831767037278,0.061024433895970356,0.5454545454545454,55
fl_trust20n,조용함상위30%,20,1,20260529,9,0.011499437362444107,-0.023822905591226257,0.04679463026661769,0.6666666666666666,45
fl_trust20n,과매도(RSI<40),5,1,20260529,10,-0.019148531524954868,-0.10967246068743944,0.051851372083369665,0.5,51
fl_trust20n,과매도(RSI<40),10,1,20260529,9,0.01106337245105498,-0.0360441807889342,0.05864707709481297,0.5555555555555556,46
fl_trust20n,과매도(RSI<40),20,1,20260529,9,0.027670426280202408,-0.008587570977950244,0.06213936968112033,0.7777777777777778,45
fl_secfirm5n,전체(가드),5,1,20260529,12,-0.015331908656862308,-0.0483067176475222,0.016197271704354175,0.3333333333333333,60
fl_secfirm5n,전체(가드),10,1,20260529,11,-0.010788674241209743,-0.06232327576166776,0.04036643855460275,0.36363636363636365,55
fl_secfirm5n,전체(가드),20,1,20260529,9,-0.03472849403148916,-0.06526898224759872,-0.006649561944964771,0.2222222222222222,45
fl_secfirm5n,대형(시총상위20%),5,1,20260529,12,-0.03846931110623566,-0.1337762118691212,0.04739873087392274,0.5,60
fl_secfirm5n,대형(시총상위20%),10,1,20260529,11,-0.03987581137095804,-0.14232665611894063,0.05801648647249331,0.36363636363636365,55
fl_secfirm5n,대형(시총상위20%),20,1,20260529,9,-0.11057459870125802,-0.20842702429332896,-0.025674628243834118,0.2222222222222222,45
fl_secfirm5n,조용함상위30%,5,1,20260529,12,-0.020140655396820622,-0.07877990159882355,0.04040214484537106,0.3333333333333333,60
fl_secfirm5n,조용함상위30%,10,1,20260529,11,-0.023812092490441396,-0.08723734980416349,0.04076111026283219,0.2727272727272727,55
fl_secfirm5n,조용함상위30%,20,1,20260529,9,-0.05052719719945353,-0.09501780140713077,-0.0022613181369215787,0.3333333333333333,45
fl_secfirm5n,과매도(RSI<40),5,1,20260529,10,-0.016226743826172296,-0.05562525978578656,0.025488105144600155,0.4,51
fl_secfirm5n,과매도(RSI<40),10,1,20260529,9,-0.023097368374072107,-0.06930458521829262,0.029849401313724898,0.4444444444444444,46
fl_secfirm5n,과매도(RSI<40),20,1,20260529,9,-0.00016421983706056223,-0.04450046861922757,0.042544354594368915,0.5555555555555556,45
fl_secfirm20n,전체(가드),5,1,20260529,12,-0.01121205654726922,-0.06377590954067765,0.03721529936906477,0.3333333333333333,60
fl_secfirm20n,전체(가드),10,1,20260529,11,-0.017159426028274485,-0.0662094171015028,0.02976822324722419,0.2727272727272727,55
fl_secfirm20n,전체(가드),20,1,20260529,9,-0.025644939590048797,-0.05193280719937988,0.0029268440754779885,0.3333333333333333,45
fl_secfirm20n,대형(시총상위20%),5,1,20260529,12,-0.05844928170721838,-0.12604232464414972,0.002628314763505114,0.3333333333333333,60
fl_secfirm20n,대형(시총상위20%),10,1,20260529,11,-0.0832301802165597,-0.136766079782582,-0.03506309781994059,0.18181818181818182,55
fl_secfirm20n,대형(시총상위20%),20,1,20260529,9,-0.0821307480527402,-0.14541464742100688,-0.016990959398189474,0.3333333333333333,45
fl_secfirm20n,조용함상위30%,5,1,20260529,12,-0.020304658432826597,-0.09170795570102824,0.05622671887523074,0.5,60
fl_secfirm20n,조용함상위30%,10,1,20260529,11,-0.03125693658574937,-0.09809978017211697,0.0326103997313267,0.36363636363636365,55
fl_secfirm20n,조용함상위30%,20,1,20260529,9,-0.0423697306204615,-0.09922505222397582,0.01435633101535687,0.4444444444444444,45
fl_secfirm20n,과매도(RSI<40),5,1,20260529,10,-0.018692534722280336,-0.07564335170752126,0.0399735160401776,0.3,51
fl_secfirm20n,과매도(RSI<40),10,1,20260529,9,-0.01127707137055779,-0.041835992374778516,0.02748574057313179,0.2222222222222222,46
fl_secfirm20n,과매도(RSI<40),20,1,20260529,9,0.025254263928704043,-0.015117601455717859,0.06611228009290811,0.6666666666666666,45
fl_prveq5n,전체(가드),5,1,20260529,12,-0.015584787614886674,-0.04001820558429669,0.0052823231157210215,0.3333333333333333,60
fl_prveq5n,전체(가드),10,1,20260529,11,0.02129190221369422,-0.011049960149766426,0.04645140445709892,0.8181818181818182,55
fl_prveq5n,전체(가드),20,1,20260529,9,0.0068889085394158315,-0.021466555363063036,0.03564291388588321,0.4444444444444444,45
fl_prveq5n,대형(시총상위20%),5,1,20260529,12,0.0032762351348050167,-0.04467297019893542,0.044126440733109236,0.5833333333333334,60
fl_prveq5n,대형(시총상위20%),10,1,20260529,11,0.06743009291502094,0.014203820447383206,0.11179639744459999,0.7272727272727273,55
fl_prveq5n,대형(시총상위20%),20,1,20260529,9,0.03093564488974034,-0.022628721734589703,0.08197860069715304,0.6666666666666666,45
fl_prveq5n,조용함상위30%,5,1,20260529,12,-0.020100913611484562,-0.060948580462708284,0.021886612931546805,0.25,60
fl_prveq5n,조용함상위30%,10,1,20260529,11,0.003481613481316374,-0.023287753675787823,0.029866383813987887,0.5454545454545454,55
fl_prveq5n,조용함상위30%,20,1,20260529,9,0.007182846404734205,-0.029897933418611612,0.04101217588762331,0.5555555555555556,45
fl_prveq5n,과매도(RSI<40),5,1,20260529,10,0.013365262030152902,-0.034648420193632554,0.05811147747338831,0.5,51
fl_prveq5n,과매도(RSI<40),10,1,20260529,9,0.048380300913022575,0.02229179130542207,0.07375572310336201,1.0,46
fl_prveq5n,과매도(RSI<40),20,1,20260529,9,0.050579135749238086,0.022329307601009464,0.07951285893279504,0.8888888888888888,45
fl_prveq20n,전체(가드),5,1,20260529,12,0.004542806538494213,-0.02818973413872476,0.03475726784073508,0.6666666666666666,60
fl_prveq20n,전체(가드),10,1,20260529,11,0.016096844971642252,-0.016923725085136558,0.04666355980307451,0.7272727272727273,55
