name,date,net,benchmark,excess,kospi,n_filled,missing_exit
R1_amount,20251103,0.7614684919025169,0.4439171005014757,0.31755139140104116,0.5,20,0
R1_amount,20251201,0.7572068181617208,0.5443473686987355,0.2128594494629853,0.4,20,0
R1_amount,20260102,0.2652102439993889,0.06730696990966935,0.19790327408971958,0.2,20,0
R1_amount,20260202,-0.028105925323149126,-0.16701265425405204,0.13890672893090292,0.35,20,0
R1_amount,20260303,0.17978210563990876,0.23184115176363057,-0.05205904612372181,0.75,20,0
beta_near,20240801,0.08592803079683835,-0.051079870519100345,0.1370079013159387,0.5,20,0
beta_near,20240902,0.15526602832169234,-0.038891999256264936,0.19415802757795728,0.65,20,0
beta_near,20241002,-0.03504588273683387,-0.06779474991985956,0.03274886718302569,0.55,20,0
beta_near,20241101,-0.06049919428243717,-0.026999226787610853,-0.03349996749482632,0.5,20,0
beta_near,20241202,0.19229757147409743,0.1067397661939499,0.08555780528014753,0.4,20,0
beta_near,20250102,0.11218794785004402,0.1750052105087112,-0.06281726265866719,0.5,20,0
beta_near,20250203,0.09848318288277465,0.21386250497823733,-0.11537932209546269,0.5,20,0
beta_near,20250304,0.21693775943712026,0.15016999284873903,0.06676776658838124,0.45,20,0
beta_near,20250401,0.3213589186790242,0.28689737865234566,0.03446154002667856,0.3,20,0
beta_near,20250502,0.8931648275594865,0.41529239424644737,0.4778724333130391,0.4,20,0
beta_near,20250602,0.8288137069893768,0.2867483765077121,0.5420653304816647,0.35,20,0
beta_near,20250701,0.5485397586356149,0.2760926915352621,0.27244706710035277,0.6,20,0
beta_near,20250801,0.544969298347113,0.5338060378739337,0.011163260473179393,0.35,20,0
beta_near,20250901,0.5665779847789323,0.4945878974275481,0.07199008735138418,0.25,20,0
beta_near,20251001,0.4687500177375312,0.2879849135231144,0.18076510421441683,0.2,20,0
beta_near,20251103,0.8635199017031036,0.3182577177788299,0.5452621839242737,0.1,20,0
beta_near,20251201,0.3756058941348123,0.16003707697584071,0.2155688171589716,0.05,20,0
beta_near,20260102,0.1336855108056797,-0.01375121478406871,0.1474367255897484,0.1,20,0
beta_near,20260202,-0.19583893317732273,-0.14006458241195596,-0.05577435076536677,0.4,19,0
beta_near,20260303,0.059325651232399045,0.10659666171429805,-0.047271010481899,0.5,20,0
size_only,20240801,-0.05296802870991405,-0.05210392386190821,-0.0008641048480058436,1.0,20,0
size_only,20240902,-0.05942764827390407,-0.03536701155507527,-0.024060636718828805,1.0,20,0
size_only,20241002,-0.09036138820888331,-0.03230325600943307,-0.058058132199450246,1.0,20,0
size_only,20241101,-0.14441140576682573,-0.011270891512840997,-0.13314051425398474,1.0,20,0
size_only,20241202,0.004508660839733469,0.12477500899964022,-0.12026634815990675,1.0,20,0
size_only,20250102,0.18901289105563485,0.2507698859913512,-0.06175699493571635,1.0,20,0
size_only,20250203,0.29106354330805706,0.31139263969311215,-0.02032909638505509,1.0,20,0
size_only,20250304,0.18727744053143408,0.24947520258939138,-0.062197762057957295,1.0,20,0
size_only,20250401,0.31500723807129327,0.3851970980022825,-0.07018985993098925,1.0,20,0
size_only,20250502,0.4881683766380382,0.6403255886238246,-0.1521572119857864,1.0,20,0
size_only,20250602,0.3700946366765495,0.4171117783776761,-0.047017141701126586,1.0,20,0
size_only,20250701,0.32626798052016975,0.34295916177245345,-0.016691181252283693,1.0,20,0
size_only,20250801,0.5669372479718892,0.6597124930505915,-0.09277524507870238,1.0,20,0
size_only,20250901,0.5593418734801311,0.7601777861837438,-0.20083591270361267,1.0,20,0
size_only,20251001,0.40530710264964787,0.5356459606503983,-0.1303388580007504,1.0,20,0
size_only,20251103,0.4654895257591547,0.600991328904783,-0.13550180314562832,1.0,20,0
size_only,20251201,0.8793257611493444,1.2031650116522692,-0.32383925050292484,1.0,20,0
size_only,20260102,0.478232266514172,0.7157724474595737,-0.2375401809454017,1.0,20,0
size_only,20260202,0.043872518894058486,0.18331227969319674,-0.13943976079913825,1.0,20,0
size_only,20260303,0.18451954344253887,0.3570856418129631,-0.17256609837042422,1.0,20,0
amount_only,20240801,0.06849778975219821,-0.05189911319334664,0.12039690294554485,0.9,20,0
amount_only,20240902,-0.03954673377543306,-0.03687772056987084,-0.002669013205562218,0.85,20,0
amount_only,20241002,-0.1726254199267917,-0.04019025465619451,-0.13243516527059718,0.9,20,0
amount_only,20241101,0.08438954489500489,-0.012843725040317984,0.09723326993532287,0.95,20,0
amount_only,20241202,0.34168596247627747,0.12176913519869184,0.21991682727758563,0.9,20,0
amount_only,20250102,0.35497458484026323,0.22804048334655921,0.12693410149370402,0.85,20,0
amount_only,20250203,0.31829222151910447,0.27238058580716223,0.045911635711942234,0.8,20,0
amount_only,20250304,0.29528329085032534,0.21336421722915416,0.08191907362117118,0.8,20,0
amount_only,20250401,0.3861035452385644,0.3571114639023006,0.028992081336263797,0.8,20,0
amount_only,20250502,0.6929500036233943,0.5653145238313655,0.12763547979202883,0.8,20,0
amount_only,20250602,0.414902678304103,0.3569440544376927,0.057958623866410264,0.7,20,0
amount_only,20250701,0.17085924344943598,0.3346008529928045,-0.16374160954336853,0.95,20,0
amount_only,20250801,0.39972130305207737,0.6403422691772596,-0.2406209661251822,0.9,20,0
amount_only,20250901,0.5437374892887336,0.7601777861837438,-0.2164402968950102,1.0,20,0
amount_only,20251001,0.34550880863660427,0.4427730679776668,-0.09726425934106253,0.7,20,0
amount_only,20251103,0.42475464669619184,0.5224542147031294,-0.09769956800693752,0.75,20,0
amount_only,20251201,0.6836895498279957,0.9835591306677579,-0.29986958083976223,0.8,20,0
