name,ticker,mean_cohort_gross_contribution
R1,053580,-0.0011374695863746959
R1,058610,0.0013382953368234857
R1,060280,-0.0004078273591806877
R1,062040,0.0014583333333333332
R1,062970,-0.00035891089108910896
R1,063160,-0.0004159519725557462
R1,064350,0.002871853546910755
R1,065500,-0.0020610446821900568
R1,065680,0.000892857142857143
R1,067080,0.0004029768823453439
R1,071050,0.0014353542731921109
R1,071320,0.0004773269689737469
R1,071970,0.0016434540389972147
R1,078140,-0.00019191919191919205
R1,078160,-0.0012243166037657167
R1,080220,0.005787132962349042
R1,082270,-0.0008483483483483484
R1,082740,0.004372721755773553
R1,083650,0.001233826247689464
R1,084370,0.0006589341792305853
R1,087010,0.013092113885611815
R1,089030,-0.0003912466843501325
R1,089970,0.002118320610687023
R1,090360,-0.0005956112852664577
R1,090710,0.0015200695820294266
R1,093240,-0.0013960522126711238
R1,097230,0.0031200007334253464
R1,098120,0.0020727945712523134
R1,098460,0.0004099099099099102
R1,100220,0.001101063829787234
R1,100840,0.006712020802576508
R1,101170,-0.0012982973149967257
R1,101930,0.0014190897597977242
R1,102710,-0.0006482982171799029
R1,102940,-0.0002650176678445229
R1,103590,0.002970200251119849
R1,107640,-0.0019501165501165502
R1,108490,0.01063037395456608
R1,115180,-0.0014536703566627388
R1,115500,-0.0012926381269592474
R1,117730,-0.00015979381443298967
R1,119850,0.0018560481212920238
R1,123330,-0.0015239664336090608
R1,124500,-0.0010195474412081924
R1,140410,-0.0014595283620140215
R1,145020,-0.0014353890069257352
R1,158430,0.0007796610169491524
R1,160190,-0.0005023781212841854
R1,161580,-0.00023621573347829466
R1,168360,0.002504691726279451
R1,174900,-0.0012356046065259115
R1,199430,0.003887240196879127
R1,200350,-0.0011888996753306646
R1,200710,0.00015475358040038329
R1,204620,0.00018369690011481034
R1,205500,-0.00024163568773234194
R1,206560,-0.00034011220196353444
R1,210120,0.0009538635720350975
R1,214370,0.0038439830010634046
R1,215100,-0.0005687438180019782
R1,218410,-0.00035964912280701756
R1,234690,-0.0010455290373777549
R1,255220,-0.0007483277591973245
R1,257720,-0.0010756154747948417
R1,260970,-0.0004748603351955308
R1,263860,-0.001432593789407314
R1,267250,0.002017374517374517
R1,267260,0.002704348070586282
R1,272210,0.0021220273884686573
R1,277810,0.0008732177947860725
R1,278470,0.0007159090909090909
R1,281820,-0.0006267444721539123
R1,288330,-0.0015171101553204064
R1,290650,0.0007296890672016049
R1,294570,-1.857355126300142e-05
R1,298040,0.012316084035831867
R1,300080,-0.0013797468354430382
R1,305090,-0.002363790009435329
R1,310210,0.007237992607248507
R1,314930,-0.002303255870505492
R1,317830,-0.0015330739299610895
R1,319400,0.004921019900497513
R1,322000,0.005357142857142857
R1,323280,0.005792880661883024
R1,327260,0.008146438593263534
R1,329180,0.0019960978287844097
R1,332570,-0.0008537438171584513
R1,333430,0.0008936170212765959
R1,337930,-0.002856947871943719
R1,338840,-0.0009596928982725527
R1,347700,0.00480508067341332
R1,347850,0.022393213773942326
R1,355150,0.0011330822347771503
R1,356680,-0.00045704845814977966
R1,356860,0.002331668631889472
R1,388720,-0.0005359032045182308
R1,389470,-0.0009195357224255588
R1,394800,-0.0009478935698447893
R1,397030,0.001103104821780852
R1,402340,0.03157373704898253
R1,419530,-0.0012929017087232471
R1,437730,0.003039772727272727
R1,445680,0.003974646795687716
R1,448900,-0.0013165024630541872
R1,452430,-0.0005407303370786518
R1,466100,-0.0013836460032626426
R1,950160,0.000305771804403972
R1,950210,-4.086598720055512e-05
R1_amount,000100,-0.0018729787893590655
R1_amount,000150,0.025207888013535854
R1_amount,000155,0.008161717431985172
R1_amount,000250,0.0012618400342937826
R1_amount,000500,0.00024653979238754343
R1_amount,000520,-0.0013852044790652388
R1_amount,000660,0.02575270520382376
R1_amount,000720,4.728132387706863e-05
R1_amount,000810,6.034482758620674e-05
R1_amount,000880,0.004856170416739514
R1_amount,001250,-0.0007917789757412399
R1_amount,001270,0.0009519230769230769
R1_amount,001380,-0.0021007802935747014
R1_amount,001440,0.0003598848368522073
R1_amount,001510,-0.0003010427177934746
R1_amount,002020,0.0015995576486738995
R1_amount,002410,-0.0008026315789473684
R1_amount,002630,-0.0018300086730268863
R1_amount,003160,-0.00048054919908466833
R1_amount,003230,0.002849797570850203
R1_amount,003350,-0.0026899186083416847
R1_amount,004140,-0.0007113821138211382
R1_amount,004800,0.0020584725536992843
R1_amount,004870,-0.0008414187149633461
R1_amount,005380,-0.0005139720558882235
R1_amount,005690,0.00017147420127319347
R1_amount,005930,0.004039196293483572
R1_amount,005935,0.001731271777003484
R1_amount,006260,3.6193029490616536e-05
R1_amount,006800,0.006292976183118517
R1_amount,007110,0.0014246323529411764
R1_amount,007390,0.003698104457982307
R1_amount,007660,0.002253381879600957
R1_amount,007810,0.004921874614948618
R1_amount,008830,-0.00034747868125965223
R1_amount,008970,-0.0010056818181818181
R1_amount,009540,0.0030893607553708923
R1_amount,010120,0.019089309208775503
