name,family,h,n,filled,win2x,loss30,top2_to_cash,kospi_weight,net,net_lo,net_hi,excess,excess_lo,excess_hi,delta_base,delta_base_lo,delta_base_hi,delta_amount,delta_amount_lo,delta_amount_hi,delta_base_excess,delta_base_excess_lo,delta_base_excess_hi,delta_2024,n_2024,delta_2025,n_2025,delta_2026,n_2026,batch_simultaneous_lo,batch_simultaneous_hi
small_losses,trend_quality,120,20,20.0,0.037500000000000006,0.1325,0.06272338861013708,0.62,0.19684508023216815,-0.002311730236764281,0.39064433964403095,-0.018933415153961262,-0.05528724324578115,0.013462614146173332,-0.11185631882628419,-0.18560109378904027,-0.04041306138183607,-0.08536871266904784,-0.1498058086500184,-0.004247859684581935,-0.15395996535810813,-0.23805237213775962,-0.07373079907037175,-0.07703902991149657,5,-0.11299200510505676,12,-0.1653423885691734,3,-0.3044991217629802,0.08078648411041181
quiet_recent,trend_quality,120,20,20.0,0.04,0.04,0.12782203072782589,0.6625,0.2551442772883099,0.10376767868407538,0.3943302757203915,-0.004744372046965894,-0.04220520934580908,0.025995904774415414,-0.05355712177014242,-0.18417455301729943,0.05159194617173374,-0.027069515612906048,-0.09841429775261512,0.04270304986918701,-0.13977092225111276,-0.2538937044737547,-0.030246071909575435,-0.015108812173512851,5,-0.12066584866411424,12,0.1507972698113623,3,-0.24619992470683844,0.13908568116655357
repeated_high,trend_persistence,120,20,20.0,0.1125,0.16999999999999998,0.17134799399661127,0.425,0.377832231365386,0.0763475950402124,0.6977714957998514,0.17559293577281815,0.020387356165750235,0.3334625042859779,0.06913083230693365,-0.022719014090260538,0.18130583538978207,0.09561843846417001,-0.09335529915430582,0.30293154867775807,0.040566385568671294,-0.02084905920149738,0.11450405160363115,-0.019874914876018914,5,0.11441009576489262,12,0.036356690446685394,3,-0.12351197062976235,0.2617736352436296
price_nearness,trend_persistence,120,20,19.95,0.10250000000000001,0.1825,0.12194078980109935,0.36999999999999994,0.32801494313201573,0.07544506471024748,0.592963039454789,0.1691093019321307,0.07110416285819782,0.2695879346471082,0.01931354407356346,-0.04081412914595874,0.07422305066481548,0.04580115023079982,-0.07735629440788017,0.19247647400081505,0.03408275172798379,6.318459292543824e-05,0.06981068322245718,0.01648123663735789,5,0.04184700559324713,12,-0.06609978961149526,3,-0.17332925886313255,0.21195634701025945
multi_horizon,trend_persistence,120,20,19.95,0.08750000000000001,0.24500000000000002,0.0252409529035575,0.315,0.21114413687944653,-0.003221461180893648,0.4309317990999409,0.05101334263567192,-0.013051537962768459,0.11956208502607092,-0.09755726217900582,-0.14885850284338623,-0.03249967173986598,-0.07106965602176944,-0.16120288736148838,0.04319957611968263,-0.08401320756847495,-0.1337852380010185,-0.021832218015056016,-0.06456164945682152,5,-0.09936302594085061,12,-0.1453268950019337,3,-0.29020006511570184,0.09508554075769018
accelerating,trend_persistence,120,20,19.95,0.0825,0.255,0.017515445374930334,0.32500000000000007,0.19216126783994453,0.026132591334290467,0.3676358376021522,0.024295205216691287,-0.02027528267526116,0.0724872548241736,-0.11654013121850781,-0.19537053828497586,-0.03409479579066228,-0.09005252506127145,-0.16589559727768202,-0.005075639678682909,-0.1107313449874556,-0.19515836783759577,-0.022301311426976132,-0.02321889964378413,5,-0.15287045980547584,12,-0.1267542028285086,3,-0.3091829341552038,0.07610267171818819
squeeze_then_strength,price_volume_sequence,120,20,19.9,0.035,0.27749999999999997,-0.1157737549517609,0.275,0.007048435384972254,-0.13890819082750477,0.17105596643346693,-0.1625313827508197,-0.2892824155853363,-0.052234021241964794,-0.30165296367348005,-0.49084022943875394,-0.15854396238546672,-0.2751653575162437,-0.3995417191420008,-0.1603294868251253,-0.2975579329549666,-0.48721440437007024,-0.14951936968081744,-0.21903561086465934,5,-0.36535337621207575,12,-0.18454690153379857,3,-0.49429576661017605,-0.10901016073678405
squeeze_in_leaders,price_volume_sequence,120,20,20.0,0.0725,0.19,0.020124182960683516,0.38249999999999995,0.23144610869433385,0.035451185080060364,0.43917490256926844,0.04849312753020137,-0.050198882552093524,0.16212770826066236,-0.07725529036411848,-0.2006858856484266,0.026276693985631743,-0.05076768420688214,-0.16964624750106874,0.07262478174165476,-0.08653342267394551,-0.2094491443179487,0.012817193817050042,-0.054514620532246164,5,-0.1209140455949423,12,0.0594786141727229,3,-0.2698980933008145,0.11538751257257752
tight_now,price_volume_sequence,120,20,20.0,0.06500000000000002,0.18,0.017725811166090684,0.3275,0.19051680012342836,-0.007984751290191775,0.4046723254470603,0.009326343679271884,-0.05624149761784627,0.08533618682877454,-0.118184598935024,-0.20546890329712603,-0.0495325772596066,-0.09169699277778762,-0.19521525676178286,0.03307058752155583,-0.12570020652487499,-0.19324122490535045,-0.06831185393773374,-0.05857677918034989,5,-0.13406576456809605,12,-0.15400630266052576,3,-0.31082740187172,0.074458204001672
dry_then_strength,price_volume_sequence,120,20,19.95,0.052500000000000005,0.25250000000000006,-0.06666432439530293,0.3225,0.10736138651613328,-0.043976890995972254,0.2590535197981503,-0.06279206836534688,-0.16231976483019192,0.04246925194367137,-0.20134001254231904,-0.3607865389995024,-0.07666949691434362,-0.17485240638508265,-0.2618815401843761,-0.08726432266599905,-0.1978186185694938,-0.3673960734931724,-0.0648567687278426,-0.1336805160474358,5,-0.24387419663362983,12,-0.14396910366854823,3,-0.39398281547901504,-0.008697209605623035
