name,family,date,year,h,net,excess,benchmark,slots,filled,win2x,loss30,top2_to_cash,missing_exit,kospi_weight,kosdaq_weight
base_amount,baseline,20240902,2024,180,0.060250181099921155,-0.0014797875445113004,0.061729968644432455,20,20,0.05,0.15,-0.07125809886805964,0,0.85,0.15
base_amount,baseline,20241002,2024,60,-0.11433356336196335,-0.04381509956662401,-0.07051846379533934,20,20,0.0,0.25,-0.13919469225995912,0,0.9,0.1
base_amount,baseline,20241002,2024,120,-0.1726254199267917,-0.13243516527059718,-0.04019025465619452,20,20,0.0,0.25,-0.18668507293513287,0,0.9,0.1
base_amount,baseline,20241002,2024,180,-0.04171108856102686,-0.23630155584710932,0.19459046728608245,20,20,0.0,0.2,-0.0958004768856839,0,0.9,0.1
base_amount,baseline,20241101,2024,60,-0.044171591655073304,-0.0133947028550385,-0.030776888800034805,20,20,0.0,0.1,-0.06921449148432772,0,0.95,0.05
base_amount,baseline,20241101,2024,120,0.08438954489500489,0.09723326993532287,-0.012843725040317982,20,20,0.05,0.1,-0.024928121182647582,0,0.95,0.05
base_amount,baseline,20241101,2024,180,0.5192194794388225,0.2749413156275108,0.2442781638113117,20,20,0.2,0.05,0.2863136762428595,0,0.95,0.05
base_amount,baseline,20241202,2024,60,0.16263474494468416,0.13447722469077508,0.028157520253909073,20,20,0.1,0.05,0.038136334607428365,0,0.9,0.1
base_amount,baseline,20241202,2024,120,0.34168596247627747,0.21991682727758563,0.12176913519869184,20,20,0.2,0.1,0.16087537667009139,0,0.9,0.1
base_amount,baseline,20241202,2024,180,0.6312632465299436,0.3862173392753247,0.2450459072546189,20,20,0.25,0.1,0.3834631167440903,0,0.9,0.1
base_amount,baseline,20250102,2025,60,0.10984256844952309,0.10556683153705398,0.004275736912469108,20,20,0.05,0.0,0.012193099342148643,0,0.85,0.15
base_amount,baseline,20250102,2025,120,0.3549745848402633,0.12693410149370407,0.22804048334655921,20,20,0.05,0.05,0.18087141743540674,0,0.85,0.15
base_amount,baseline,20250102,2025,180,0.5973208973430624,0.22300508748354558,0.3743158098595168,20,20,0.25,0.1,0.3759759335314891,0,0.85,0.15
base_amount,baseline,20250203,2025,60,0.015727487882821634,-0.007679268951538542,0.023406756834360175,20,20,0.0,0.05,-0.06198379384537818,0,0.8,0.2
base_amount,baseline,20250203,2025,120,0.3182922215191045,0.04591163571194229,0.27238058580716223,20,20,0.1,0.05,0.16572047210244323,0,0.8,0.2
base_amount,baseline,20250203,2025,180,0.8865901912853772,0.32164774957526276,0.5649424417101144,20,20,0.2,0.05,0.6202920848594984,0,0.8,0.2
base_amount,baseline,20250304,2025,60,0.08502568841474595,0.04276426704835104,0.04226142136639491,20,20,0.0,0.0,0.021953925039927786,0,0.8,0.2
base_amount,baseline,20250304,2025,120,0.2952832908503254,0.08191907362117123,0.21336421722915416,20,20,0.05,0.0,0.1709317217708463,0,0.8,0.2
base_amount,baseline,20250304,2025,180,0.5606392562052087,0.07817817823547862,0.4824610779697301,20,20,0.1,0.0,0.37554167978141306,0,0.8,0.2
base_amount,baseline,20250401,2025,60,0.21087888989276532,0.0007400149308982862,0.21013887496186703,20,20,0.05,0.05,0.07975238475790944,0,0.8,0.2
base_amount,baseline,20250401,2025,120,0.38610354523856444,0.028992081336263797,0.35711146390230064,20,20,0.05,0.1,0.24213831886206458,0,0.8,0.2
base_amount,baseline,20250401,2025,180,0.6047423679389389,0.017759514044444757,0.5869828538944941,20,20,0.15,0.05,0.3905177809779605,0,0.8,0.2
base_amount,baseline,20250502,2025,60,0.18463815712828643,0.0012198620662964288,0.18341829506199,20,20,0.05,0.1,0.09018901652529968,0,0.8,0.2
base_amount,baseline,20250502,2025,120,0.6929500036233944,0.12763547979202894,0.5653145238313655,20,20,0.2,0.1,0.46655679515471415,0,0.8,0.2
base_amount,baseline,20250502,2025,180,1.0733266929702436,0.12824468427142677,0.9450820086988169,20,20,0.15,0.1,0.6968386556234241,0,0.8,0.2
base_amount,baseline,20250602,2025,60,0.09126946945007382,-0.03229010189120039,0.12355957134127421,20,20,0.0,0.05,0.02740728996289434,0,0.7,0.3
base_amount,baseline,20250602,2025,120,0.41490267830410305,0.057958623866410375,0.35694405443769267,20,20,0.1,0.1,0.13872833772872595,0,0.7,0.3
base_amount,baseline,20250602,2025,180,0.9541257180854851,0.035957256915480906,0.9181684611700042,20,20,0.25,0.15,0.6035173421193256,0,0.7,0.3
base_amount,baseline,20250701,2025,60,0.05713036824703838,-0.06971870213792974,0.12684907038496812,20,20,0.0,0.0,0.01478397722051646,0,0.95,0.05
base_amount,baseline,20250701,2025,120,0.17085924344943598,-0.16374160954336853,0.3346008529928045,20,20,0.0,0.05,0.06729446793538203,0,0.95,0.05
base_amount,baseline,20250701,2025,180,0.7531459872116236,0.052024569370998086,0.7011214178406255,20,20,0.2,0.05,0.47695887074786886,0,0.95,0.05
base_amount,baseline,20250801,2025,60,0.19455116417507748,-0.1021065134249414,0.2966576776000189,20,20,0.0,0.0,0.10461486290976647,0,0.9,0.1
base_amount,baseline,20250801,2025,120,0.39972130305207737,-0.2406209661251822,0.6403422691772596,20,20,0.05,0.1,0.2050751000321281,0,0.9,0.1
base_amount,baseline,20250801,2025,180,0.5768812478139611,-0.4619316724237772,1.0388129202377383,20,20,0.1,0.1,0.26947853630394586,0,0.9,0.1
base_amount,baseline,20250901,2025,60,0.16589551588919832,-0.09340121996907708,0.2592967358582754,20,20,0.0,0.0,0.083327446187318,0,1.0,0.0
base_amount,baseline,20250901,2025,120,0.5437374892887336,-0.2164402968950102,0.7601777861837438,20,20,0.1,0.0,0.3244836331565598,0,1.0,0.0
base_amount,baseline,20250901,2025,180,1.056868289275516,-0.7175702184553463,1.7744385077308622,20,20,0.1,0.0,0.4430394062691635,0,1.0,0.0
base_amount,baseline,20251001,2025,60,0.3388651323576014,0.11059577660224346,0.22826935575535795,20,20,0.05,0.0,0.215158066776646,0,0.7,0.3
base_amount,baseline,20251001,2025,120,0.34550880863660427,-0.09726425934106253,0.4427730679776668,20,20,0.0,0.0,0.22501554878916324,0,0.7,0.3
base_amount,baseline,20251001,2025,180,0.49602513435902973,-0.40418658928069584,0.9002117236397256,20,20,0.1,0.25,0.11557477284821276,0,0.7,0.3
base_amount,baseline,20251103,2025,60,0.2846197825697307,0.023851785107834367,0.26076799746189633,20,20,0.0,0.0,0.1799074133109767,0,0.75,0.25
base_amount,baseline,20251103,2025,120,0.4247546466961919,-0.09769956800693747,0.5224542147031294,20,20,0.05,0.0,0.2833168753626908,0,0.75,0.25
base_amount,baseline,20251103,2025,180,-0.08390717267175182,-0.27569205102735433,0.1917848783556025,20,20,0.0,0.5,-0.19537120309890982,0,0.75,0.25
base_amount,baseline,20251201,2025,60,0.2137410748008517,-0.14495299822886576,0.35869407302971745,20,20,0.0,0.0,0.12935697378169425,0,0.8,0.2
base_amount,baseline,20251201,2025,120,0.6836895498279957,-0.29986958083976223,0.9835591306677579,20,20,0.15,0.05,0.3540676656967792,0,0.8,0.2
base_amount,baseline,20251201,2025,180,0.358549685191316,-0.18155954871946345,0.5401092339107795,20,20,0.1,0.2,0.1438187638061885,0,0.8,0.2
base_amount,baseline,20260102,2026,60,0.004496002305038825,-0.1589276142271339,0.16342361653217272,20,20,0.0,0.2,-0.050548621228980184,0,0.55,0.45
base_amount,baseline,20260102,2026,120,0.04785592174238654,-0.3031546945953659,0.3510106163377525,20,20,0.05,0.3,-0.11280430073507856,0,0.55,0.45
base_amount,baseline,20260202,2026,60,0.28025807013357057,-0.08230403522837476,0.36256210536194533,20,20,0.0,0.0,0.18156139550864706,0,0.9,0.1
base_amount,baseline,20260202,2026,120,-0.07109550680355492,-0.20051164281255957,0.12941613600900465,20,20,0.0,0.3,-0.15134365813770406,0,0.9,0.1
base_amount,baseline,20260303,2026,60,0.819023730928379,0.15884944069683604,0.660174290231543,20,20,0.2,0.0,0.46793072238677824,0,0.9,0.1
base_amount,baseline,20260303,2026,120,0.354336934337438,0.04734908854420794,0.3069878457932301,20,20,0.1,0.1,0.15787504316633427,0,0.9,0.1
base_R1_amount,baseline,20240801,2024,60,0.08024327559388184,0.11627419600808594,-0.0360309204142041,20,20,0.05,0.05,-0.05084315113915182,0,0.4,0.6
base_R1_amount,baseline,20240801,2024,120,0.18401051777630462,0.2348855776268434,-0.05087505985053877,20,20,0.05,0.2,0.029968871715879235,0,0.4,0.6
base_R1_amount,baseline,20240801,2024,180,0.2386564241426537,0.2974745710276403,-0.05881814688498663,20,20,0.3,0.25,0.05876300199941471,0,0.4,0.6
base_R1_amount,baseline,20240902,2024,60,-0.09483037471013751,0.0009551575702078929,-0.0957855322803454,20,20,0.05,0.4,-0.1752171805033286,0,0.4,0.6
base_R1_amount,baseline,20240902,2024,120,0.09063718925581937,0.13204703687007693,-0.04140984761425756,20,20,0.05,0.3,-0.008716576734637566,0,0.4,0.6
base_R1_amount,baseline,20240902,2024,180,0.29442896277961994,0.2627059448011174,0.03172301797850255,20,20,0.1,0.3,0.022021656201943636,0,0.4,0.6
base_R1_amount,baseline,20241002,2024,60,-0.11903903867413519,-0.03226659820513002,-0.08677244046900517,20,20,0.05,0.15,-0.18542535195694027,0,0.5,0.5
base_R1_amount,baseline,20241002,2024,120,-0.15182814396407127,-0.08008989472083097,-0.07173824924324029,20,20,0.05,0.35,-0.2195861612129592,0,0.5,0.5
base_R1_amount,baseline,20241002,2024,180,0.16074652195693015,0.03856722995565595,0.1221792920012742,20,20,0.05,0.2,-0.056155611043727814,0,0.5,0.5
